Freq.,VOut,OutRef

1.00000000000000e+004,-8.99553223188290e+000,-9.84615061748770e-003

1.01395947979003e+004,-8.99553223114258e+000,-9.98359776094470e-003

1.02811382665607e+004,-8.99553223038208e+000,-1.01229635909225e-002

1.04246576084112e+004,-8.99553222960002e+000,-1.02642748965697e-002

1.05701804056138e+004,-8.99553222879566e+000,-1.04075588366545e-002

1.07177346253629e+004,-8.99553222796896e+000,-1.05528429441161e-002

1.08673486252606e+004,-8.99553222711949e+000,-1.07001551392775e-002

1.10190511587661e+004,-8.99553222624563e+000,-1.08495237391900e-002

1.11728713807222e+004,-8.99553222534683e+000,-1.10009774495876e-002

1.13288388529580e+004,-8.99553222442293e+000,-1.11545453737517e-002

1.14869835499703e+004,-8.99553222347332e+000,-1.13102570247886e-002

1.16473358646846e+004,-8.99553222249705e+000,-1.14681423292856e-002

1.18099266142953e+004,-8.99553222149316e+000,-1.16282316314474e-002

1.19747870461893e+004,-8.99553222046123e+000,-1.17905556959017e-002

1.21419488439505e+004,-8.99553221940055e+000,-1.19551457181711e-002

1.23114441334492e+004,-8.99553221830925e+000,-1.21220333368268e-002

1.24833054890161e+004,-8.99553221718799e+000,-1.22912506151328e-002

1.26575659397028e+004,-8.99553221603494e+000,-1.24628300803607e-002

1.28342589756290e+004,-8.99553221484931e+000,-1.26368047067572e-002

1.30134185544193e+004,-8.99553221363073e+000,-1.28132079259935e-002

1.31950791077289e+004,-8.99553221237731e+000,-1.29920736462294e-002

1.33792755478611e+004,-8.99553221108940e+000,-1.31734362340089e-002

1.35660432744767e+004,-8.99553220976460e+000,-1.33573305536525e-002

1.37554181813974e+004,-8.99553220840318e+000,-1.35437919383394e-002

1.39474366635040e+004,-8.99553220700288e+000,-1.37328562309724e-002

1.41421356237309e+004,-8.99553220556322e+000,-1.39245597627764e-002

1.43395524801583e+004,-8.99553220408347e+000,-1.41189393735690e-002

1.45397251732031e+004,-8.99553220256196e+000,-1.43160324238469e-002

1.47426921729110e+004,-8.99553220099759e+000,-1.45158767911165e-002

1.49484924863494e+004,-8.99553219938935e+000,-1.47185108811676e-002

1.51571656651040e+004,-8.99553219773629e+000,-1.49239736351080e-002

1.53687518128801e+004,-8.99553219603593e+000,-1.51323045477826e-002

1.55832915932100e+004,-8.99553219428856e+000,-1.53435436462649e-002

1.58008262372675e+004,-8.99553219249164e+000,-1.55577315356757e-002

1.60213975517924e+004,-8.99553219064423e+000,-1.57749093764134e-002

1.62450479271247e+004,-8.99553218874494e+000,-1.59951189067035e-002

1.64718203453514e+004,-8.99553218679205e+000,-1.62184024486690e-002

1.67017583885674e+004,-8.99553218478437e+000,-1.64448029121073e-002

1.69349062472505e+004,-8.99553218272025e+000,-1.66743638085328e-002

1.71713087287550e+004,-8.99553218059816e+000,-1.69071292550090e-002

1.74110112659224e+004,-8.99553217841654e+000,-1.71431439854879e-002

1.76540599258131e+004,-8.99553217617325e+000,-1.73824533609953e-002

1.79005014185594e+004,-8.99553217386749e+000,-1.76251033671157e-002

1.81503831063432e+004,-8.99553217149654e+000,-1.78711406435437e-002

1.84037530124975e+004,-8.99553216905874e+000,-1.81206124737309e-002

1.86606598307361e+004,-8.99553216655267e+000,-1.83735667994124e-002

1.89211529345119e+004,-8.99553216397605e+000,-1.86300522365628e-002

1.91852823865052e+004,-8.99553216132710e+000,-1.88901180761274e-002

1.94530989482457e+004,-8.99553215860348e+000,-1.91538143013395e-002

1.97246540898671e+004,-8.99553215580355e+000,-1.94211915868769e-002

1.99999999999999e+004,-8.99553215292443e+000,-1.96923013233385e-002

2.02791895958005e+004,-8.99553214996477e+000,-1.99671956083000e-002

2.05622765331213e+004,-8.99553214692186e+000,-2.02459272748535e-002

2.08493152168224e+004,-8.99553214379327e+000,-2.05285498917125e-002

2.11403608112276e+004,-8.99553214057679e+000,-2.08151177726964e-002

2.14354692507258e+004,-8.99553213726975e+000,-2.11056859934149e-002

2.17346972505211e+004,-8.99553213387020e+000,-2.14003103924799e-002

2.20381023175322e+004,-8.99553213037434e+000,-2.16990475996433e-002

2.23457427614443e+004,-8.99553212678082e+000,-2.20019550191785e-002

2.26576777059159e+004,-8.99553212308598e+000,-2.23090908707440e-002

2.29739670999406e+004,-8.99553211928754e+000,-2.26205141773190e-002

2.32946717293690e+004,-8.99553211538182e+000,-2.29362847948226e-002

2.36198532285905e+004,-8.99553211136691e+000,-2.32564634020217e-002

2.39495740923785e+004,-8.99553210723875e+000,-2.35811115386778e-002

2.42838976879009e+004,-8.99553210299448e+000,-2.39102915950358e-002

2.46228882668982e+004,-8.99553209863086e+000,-2.42440668340359e-002

2.49666109780322e+004,-8.99553209414496e+000,-2.45825013995080e-002

2.53151318794055e+004,-8.99553208953252e+000,-2.49256603384606e-002

2.56685179512580e+004,-8.99553208479074e+000,-2.52736095958267e-002

2.60268371088386e+004,-8.99553207991501e+000,-2.56264160482051e-002

2.63901582154578e+004,-8.99553207490296e+000,-2.59841474906137e-002

