Freq.,VOut,OutRef

1.00000000000000e+004,-3.11704802683742e+001,-3.75920815674549e-001

1.01395947979003e+004,-3.11704823153500e+001,-3.81168440597616e-001

1.02811382665607e+004,-3.11704844198733e+001,-3.86489318186765e-001

1.04246576084112e+004,-3.11704865835618e+001,-3.91884470949468e-001

1.05701804056138e+004,-3.11704888080789e+001,-3.97354935664086e-001

1.07177346253629e+004,-3.11704910951346e+001,-4.02901763579590e-001

1.08673486252606e+004,-3.11704934464872e+001,-4.08526020616408e-001

1.10190511587661e+004,-3.11704958639441e+001,-4.14228787573213e-001

1.11728713807222e+004,-3.11704983493638e+001,-4.20011160331221e-001

1.13288388529580e+004,-3.11705009046568e+001,-4.25874250066865e-001

1.14869835499703e+004,-3.11705035317875e+001,-4.31819183465327e-001

1.16473358646846e+004,-3.11705062327755e+001,-4.37847102935830e-001

1.18099266142953e+004,-3.11705090096971e+001,-4.43959166831018e-001

1.19747870461893e+004,-3.11705118646870e+001,-4.50156549669904e-001

1.21419488439505e+004,-3.11705147999398e+001,-4.56440442363998e-001

1.23114441334492e+004,-3.11705178177120e+001,-4.62812052444565e-001

1.24833054890161e+004,-3.11705209203235e+001,-4.69272604294261e-001

1.26575659397028e+004,-3.11705241101592e+001,-4.75823339384694e-001

1.28342589756290e+004,-3.11705273896713e+001,-4.82465516511538e-001

1.30134185544193e+004,-3.11705307613808e+001,-4.89200412038970e-001

1.31950791077289e+004,-3.11705342278796e+001,-4.96029320142700e-001

1.33792755478611e+004,-3.11705377918323e+001,-5.02953553059538e-001

1.35660432744767e+004,-3.11705414559788e+001,-5.09974441338412e-001

1.37554181813974e+004,-3.11705452231357e+001,-5.17093334096986e-001

1.39474366635040e+004,-3.11705490961988e+001,-5.24311599279104e-001

1.41421356237309e+004,-3.11705530781454e+001,-5.31630623918425e-001

1.43395524801583e+004,-3.11705571720364e+001,-5.39051814405351e-001

1.45397251732031e+004,-3.11705613810189e+001,-5.46576596754456e-001

1.47426921729110e+004,-3.11705657083283e+001,-5.54206416880570e-001

1.49484924863494e+004,-3.11705701572910e+001,-5.61942740874649e-001

1.51571656651040e+004,-3.11705747313269e+001,-5.69787055287058e-001

1.53687518128801e+004,-3.11705794339522e+001,-5.77740867409869e-001

1.55832915932100e+004,-3.11705842687816e+001,-5.85805705569440e-001

1.58008262372675e+004,-3.11705892395316e+001,-5.93983119417386e-001

1.60213975517924e+004,-3.11705943500233e+001,-6.02274680227664e-001

1.62450479271247e+004,-3.11705996041850e+001,-6.10681981200598e-001

1.64718203453514e+004,-3.11706050060556e+001,-6.19206637765478e-001

1.67017583885674e+004,-3.11706105597874e+001,-6.27850287892892e-001

1.69349062472505e+004,-3.11706162696492e+001,-6.36614592407304e-001

1.71713087287550e+004,-3.11706221400304e+001,-6.45501235306199e-001

1.74110112659224e+004,-3.11706281754433e+001,-6.54511924083396e-001

1.76540599258131e+004,-3.11706343805271e+001,-6.63648390055951e-001

1.79005014185594e+004,-3.11706407600516e+001,-6.72912388697040e-001

1.81503831063432e+004,-3.11706473189203e+001,-6.82305699972009e-001

1.84037530124975e+004,-3.11706540621749e+001,-6.91830128679071e-001

1.86606598307361e+004,-3.11706609949988e+001,-7.01487504796541e-001

1.89211529345119e+004,-3.11706681227209e+001,-7.11279683833568e-001

1.91852823865052e+004,-3.11706754508198e+001,-7.21208547186276e-001

