Freq.,VOut,OutRef

1.00000000000000e+004,-1.27652177639209e+000,-1.70545366322420e-001

1.01395947979003e+004,-1.27652167550828e+000,-1.72926091900221e-001

1.02811382665607e+004,-1.27652157178836e+000,-1.75340051209660e-001

1.04246576084112e+004,-1.27652146515237e+000,-1.77787708179410e-001

1.05701804056138e+004,-1.27652135551845e+000,-1.80269533212665e-001

1.07177346253629e+004,-1.27652124280231e+000,-1.82786003279412e-001

1.08673486252606e+004,-1.27652112691724e+000,-1.85337602009000e-001

1.10190511587661e+004,-1.27652100777429e+000,-1.87924819780433e-001

1.11728713807222e+004,-1.27652088528170e+000,-1.90548153820068e-001

1.13288388529580e+004,-1.27652075934553e+000,-1.93208108293348e-001

1.14869835499703e+004,-1.27652062986874e+000,-1.95905194406163e-001

1.16473358646846e+004,-1.27652049675187e+000,-1.98639930498809e-001

1.18099266142953e+004,-1.27652035989264e+000,-2.01412842147349e-001

1.19747870461893e+004,-1.27652021918576e+000,-2.04224462266615e-001

1.21419488439505e+004,-1.27652007452317e+000,-2.07075331208072e-001

1.23114441334492e+004,-1.27651992579348e+000,-2.09965996869205e-001

1.24833054890161e+004,-1.27651977288250e+000,-2.12897014793894e-001

1.26575659397028e+004,-1.27651961567256e+000,-2.15868948282225e-001

1.28342589756290e+004,-1.27651945404294e+000,-2.18882368496988e-001

1.30134185544193e+004,-1.27651928786930e+000,-2.21937854574944e-001

1.31950791077289e+004,-1.27651911702384e+000,-2.25035993737753e-001

1.33792755478611e+004,-1.27651894137534e+000,-2.28177381403264e-001

1.35660432744767e+004,-1.27651876078870e+000,-2.31362621302579e-001

1.37554181813974e+004,-1.27651857512516e+000,-2.34592325593523e-001

1.39474366635040e+004,-1.27651838424189e+000,-2.37867114980807e-001

1.41421356237309e+004,-1.27651818799226e+000,-2.41187618832531e-001

1.43395524801583e+004,-1.27651798622524e+000,-2.44554475304709e-001

1.45397251732031e+004,-1.27651777878589e+000,-2.47968331459311e-001

1.47426921729110e+004,-1.27651756551464e+000,-2.51429843393250e-001

1.49484924863494e+004,-1.27651734624758e+000,-2.54939676361072e-001

1.51571656651040e+004,-1.27651712081616e+000,-2.58498504905220e-001

1.53687518128801e+004,-1.27651688904700e+000,-2.62107012984110e-001

1.55832915932100e+004,-1.27651665076195e+000,-2.65765894104119e-001

1.58008262372675e+004,-1.27651640577785e+000,-2.69475851452636e-001

1.60213975517924e+004,-1.27651615390638e+000,-2.73237598033903e-001

1.62450479271247e+004,-1.27651589495387e+000,-2.77051856805288e-001

1.64718203453514e+004,-1.27651562872131e+000,-2.80919360816361e-001

1.67017583885674e+004,-1.27651535500405e+000,-2.84840853350266e-001

1.69349062472505e+004,-1.27651507359151e+000,-2.88817088067328e-001

1.71713087287550e+004,-1.27651478426754e+000,-2.92848829146544e-001

1.74110112659224e+004,-1.27651448680967e+000,-2.96936851436568e-001

1.76540599258131e+004,-1.27651418098914e+000,-3.01081940602740e-001

1.79005014185594e+004,-1.27651386657090e+000,-3.05284893277953e-001

1.81503831063432e+004,-1.27651354331328e+000,-3.09546517215539e-001

1.84037530124975e+004,-1.27651321096774e+000,-3.13867631446121e-001

1.86606598307361e+004,-1.27651286927881e+000,-3.18249066432752e-001

1.89211529345119e+004,-1.27651251798380e+000,-3.22691664233043e-001

1.91852823865052e+004,-1.27651215681269e+000,-3.27196278658630e-001

1.94530989482457e+004,-1.27651178548773e+000,-3.31763775441421e-001

1.97246540898671e+004,-1.27651140372357e+000,-3.36395032397899e-001

