Freq.,VOut,OutRef

1.00000000000000e+004,-3.01281338542162e+001,-5.14014940798428e-001

1.01395947979003e+004,-3.01281376540310e+001,-5.21190235487049e-001

1.02811382665607e+004,-3.01281415606702e+001,-5.28465689884541e-001

1.04246576084112e+004,-3.01281455771367e+001,-5.35842702011586e-001

1.05701804056138e+004,-3.01281497065181e+001,-5.43322689399489e-001

1.07177346253629e+004,-3.01281539519886e+001,-5.50907089359352e-001

1.08673486252606e+004,-3.01281583168117e+001,-5.58597359259434e-001

1.10190511587661e+004,-3.01281628043428e+001,-5.66394976805172e-001

1.11728713807222e+004,-3.01281674180312e+001,-5.74301440322294e-001

1.13288388529580e+004,-3.01281721614237e+001,-5.82318269043076e-001

1.14869835499703e+004,-3.01281770381663e+001,-5.90447003399778e-001

1.16473358646846e+004,-3.01281820520079e+001,-5.98689205319518e-001

1.18099266142953e+004,-3.01281872068025e+001,-6.07046458523951e-001

1.19747870461893e+004,-3.01281925065125e+001,-6.15520368832040e-001

1.21419488439505e+004,-3.01281979552117e+001,-6.24112564470484e-001

1.23114441334492e+004,-3.01282035570886e+001,-6.32824696383747e-001

1.24833054890161e+004,-3.01282093164490e+001,-6.41658438552315e-001

1.26575659397028e+004,-3.01282152377201e+001,-6.50615488313096e-001

1.28342589756290e+004,-3.01282213254534e+001,-6.59697566684451e-001

1.30134185544193e+004,-3.01282275843285e+001,-6.68906418697423e-001

1.31950791077289e+004,-3.01282340191563e+001,-6.78243813729952e-001

1.33792755478611e+004,-3.01282406348830e+001,-6.87711545846093e-001

1.35660432744767e+004,-3.01282474365940e+001,-6.97311434140022e-001

1.37554181813974e+004,-3.01282544295173e+001,-7.07045323085137e-001

1.39474366635040e+004,-3.01282616190283e+001,-7.16915082887153e-001

1.41421356237309e+004,-3.01282690106530e+001,-7.26922609843157e-001

1.43395524801583e+004,-3.01282766100733e+001,-7.37069826704729e-001

1.45397251732031e+004,-3.01282844231301e+001,-7.47358683048134e-001

1.47426921729110e+004,-3.01282924558291e+001,-7.57791155644907e-001

1.49484924863494e+004,-3.01283007143445e+001,-7.68369248843666e-001

1.51571656651040e+004,-3.01283092050240e+001,-7.79094994953072e-001

1.53687518128801e+004,-3.01283179343939e+001,-7.89970454631393e-001

1.55832915932100e+004,-3.01283269091638e+001,-8.00997717281016e-001

1.58008262372675e+004,-3.01283361362320e+001,-8.12178901449355e-001

