Freq.,VOut,OutRef

1.00000000000000e+004,-1.10267096768259e+001,-1.06847615709669e-002

1.01395947979003e+004,-1.10267096763762e+001,-1.08339152838070e-002

1.02811382665607e+004,-1.10267096759135e+001,-1.09851511073442e-002

1.04246576084112e+004,-1.10267096754382e+001,-1.11384981018030e-002

1.05701804056138e+004,-1.10267096749494e+001,-1.12939857410075e-002

1.07177346253629e+004,-1.10267096744473e+001,-1.14516439041604e-002

1.08673486252606e+004,-1.10267096739307e+001,-1.16115028961923e-002

1.10190511587661e+004,-1.10267096733994e+001,-1.17735934368179e-002

1.11728713807222e+004,-1.10267096728531e+001,-1.19379466782437e-002

1.13288388529580e+004,-1.10267096722915e+001,-1.21045942048965e-002

1.14869835499703e+004,-1.10267096717144e+001,-1.22735680429260e-002

1.16473358646846e+004,-1.10267096711208e+001,-1.24449006691540e-002

1.18099266142953e+004,-1.10267096705107e+001,-1.26186250084143e-002

1.19747870461893e+004,-1.10267096698835e+001,-1.27947744482410e-002

1.21419488439505e+004,-1.10267096692383e+001,-1.29733828460203e-002

1.23114441334492e+004,-1.10267096685753e+001,-1.31544845214744e-002

1.24833054890161e+004,-1.10267096678936e+001,-1.33381142828857e-002

1.26575659397028e+004,-1.10267096671928e+001,-1.35243074194518e-002

1.28342589756290e+004,-1.10267096664719e+001,-1.37130997178377e-002

1.30134185544193e+004,-1.10267096657311e+001,-1.39045274567016e-002

1.31950791077289e+004,-1.10267096649696e+001,-1.40986274257674e-002

1.33792755478611e+004,-1.10267096641862e+001,-1.42954369330375e-002

1.35660432744767e+004,-1.10267096633814e+001,-1.44949937945420e-002

1.37554181813974e+004,-1.10267096625535e+001,-1.46973363688336e-002

1.39474366635040e+004,-1.10267096617023e+001,-1.49025035408516e-002

1.41421356237309e+004,-1.10267096608276e+001,-1.51105347370284e-002

1.43395524801583e+004,-1.10267096599276e+001,-1.53214699447980e-002

1.45397251732031e+004,-1.10267096590029e+001,-1.55353496951799e-002

1.47426921729110e+004,-1.10267096580522e+001,-1.57522150948802e-002

1.49484924863494e+004,-1.10267096570743e+001,-1.59721078258849e-002

1.51571656651040e+004,-1.10267096560697e+001,-1.61950701406680e-002

1.53687518128801e+004,-1.10267096550364e+001,-1.64211448958476e-002

1.55832915932100e+004,-1.10267096539736e+001,-1.66503755401927e-002

1.58008262372675e+004,-1.10267096528817e+001,-1.68828061199826e-002

1.60213975517924e+004,-1.10267096517584e+001,-1.71184813136659e-002

1.62450479271247e+004,-1.10267096506040e+001,-1.73574464082658e-002

1.64718203453514e+004,-1.10267096494171e+001,-1.75997473314103e-002

1.67017583885674e+004,-1.10267096481968e+001,-1.78454306495050e-002

1.69349062472505e+004,-1.10267096469422e+001,-1.80945435794260e-002

1.71713087287550e+004,-1.10267096456521e+001,-1.83471339968735e-002

1.74110112659224e+004,-1.10267096443261e+001,-1.86032504436006e-002

1.76540599258131e+004,-1.10267096429623e+001,-1.88629421457374e-002

1.79005014185594e+004,-1.10267096415604e+001,-1.91262590075693e-002

1.81503831063432e+004,-1.10267096401193e+001,-1.93932516346127e-002

1.84037530124975e+004,-1.10267096386373e+001,-1.96639713422271e-002

1.86606598307361e+004,-1.10267096371140e+001,-1.99384701541065e-002

1.89211529345119e+004,-1.10267096355479e+001,-2.02168008269100e-002

1.91852823865052e+004,-1.10267096339375e+001,-2.04990168518620e-002

1.94530989482457e+004,-1.10267096322822e+001,-2.07851724644345e-002

1.97246540898671e+004,-1.10267096305799e+001,-2.10753226627718e-002

1.99999999999999e+004,-1.10267096288299e+001,-2.13695232063920e-002

2.02791895958005e+004,-1.10267096270310e+001,-2.16678306348426e-002

2.05622765331213e+004,-1.10267096251811e+001,-2.19703022822463e-002

2.08493152168224e+004,-1.10267096232795e+001,-2.22769962748231e-002

2.11403608112276e+004,-1.10267096213243e+001,-2.25879715570976e-002

2.14354692507258e+004,-1.10267096193140e+001,-2.29032878933881e-002

2.17346972505211e+004,-1.10267096172476e+001,-2.32230058794547e-002

2.20381023175322e+004,-1.10267096151228e+001,-2.35471869639621e-002

2.23457427614443e+004,-1.10267096129385e+001,-2.38758934468662e-002

2.26576777059159e+004,-1.10267096106925e+001,-2.42091885028363e-002

2.29739670999406e+004,-1.10267096083833e+001,-2.45471361851857e-002

2.32946717293690e+004,-1.10267096060092e+001,-2.48898014409709e-002

2.36198532285905e+004,-1.10267096035687e+001,-2.52372501235100e-002

2.39495740923785e+004,-1.10267096010593e+001,-2.55895490111825e-002

2.42838976879009e+004,-1.10267095984796e+001,-2.59467658067578e-002

2.46228882668982e+004,-1.10267095958269e+001,-2.63089691660587e-002

2.49666109780322e+004,-1.10267095931002e+001,-2.66762286922164e-002

2.53151318794055e+004,-1.10267095902963e+001,-2.70486149738197e-002

2.56685179512580e+004,-1.10267095874141e+001,-2.74261995715170e-002

2.60268371088386e+004,-1.10267095844504e+001,-2.78090550569406e-002

2.63901582154578e+004,-1.10267095814038e+001,-2.81972550028370e-002

2.67585510957221e+004,-1.10267095782712e+001,-2.85908740205649e-002

2.71320865489533e+004,-1.10267095750507e+001,-2.89899877543038e-002

2.75108363627948e+004,-1.10267095717395e+001,-2.93946729093108e-002

2.78948733270080e+004,-1.10267095683352e+001,-2.98050072588880e-002

2.82842712474618e+004,-1.10267095648357e+001,-3.02210696603523e-002

2.86791049603164e+004,-1.10267095612373e+001,-3.06429400794589e-002

2.90794503464061e+004,-1.10267095575379e+001,-3.10706995887553e-002

2.94853843458219e+004,-1.10267095537343e+001,-3.15044304011447e-002

2.98969849726987e+004,-1.10267095498240e+001,-3.19442158679111e-002

3.03143313302078e+004,-1.10267095458038e+001,-3.23901405113151e-002

3.07375036257601e+004,-1.10267095416703e+001,-3.28422900330587e-002

3.11665831864199e+004,-1.10267095374209e+001,-3.33007513254022e-002

3.16016524745350e+004,-1.10267095330517e+001,-3.37656125009997e-002

3.20427951035848e+004,-1.10267095285599e+001,-3.42369628958997e-002

3.24900958542493e+004,-1.10267095239420e+001,-3.47148930963163e-002

3.29436406907028e+004,-1.10267095191939e+001,-3.51994949570278e-002

3.34035167771346e+004,-1.10267095143125e+001,-3.56908616062513e-002

3.38698124945009e+004,-1.10267095092938e+001,-3.61890874794819e-002

3.43426174575100e+004,-1.10267095041342e+001,-3.66942683256292e-002

3.48220225318448e+004,-1.10267094988295e+001,-3.72065012348013e-002

3.53081198516260e+004,-1.10267094933753e+001,-3.77258846513091e-002

3.58010028371187e+004,-1.10267094877682e+001,-3.82525183885142e-002

3.63007662126863e+004,-1.10267094820032e+001,-3.87865036602533e-002

3.68075060249948e+004,-1.10267094760763e+001,-3.93279430886078e-002

3.73213196614721e+004,-1.10267094699824e+001,-3.98769407322808e-002

3.78423058690237e+004,-1.10267094637176e+001,-4.04336020960260e-002

3.83705647730104e+004,-1.10267094572764e+001,-4.09980341648161e-002

3.89061978964912e+004,-1.10267094506543e+001,-4.15703454114164e-002

3.94493081797342e+004,-1.10267094438461e+001,-4.21506458257950e-002

3.99999999999998e+004,-1.10267094368464e+001,-4.27390469329920e-002

4.05583791916010e+004,-1.10267094296496e+001,-4.33356618164440e-002

4.11245530662425e+004,-1.10267094222507e+001,-4.39406051325785e-002

4.16986304336447e+004,-1.10267094146440e+001,-4.45539931426280e-002

4.22807216224550e+004,-1.10267094068234e+001,-4.51759437310839e-002

4.28709385014515e+004,-1.10267093987828e+001,-4.58065764281086e-002

4.34693945010421e+004,-1.10267093905160e+001,-4.64460124316879e-002

4.40762046350642e+004,-1.10267093820169e+001,-4.70943746291028e-002

4.46914855228886e+004,-1.10267093732790e+001,-4.77517876264012e-002

4.53153554118317e+004,-1.10267093642953e+001,-4.84183777684922e-002

4.59479341998812e+004,-1.10267093550591e+001,-4.90942731635905e-002

4.65893434587380e+004,-1.10267093455631e+001,-4.97796037083070e-002

4.72397064571810e+004,-1.10267093358004e+001,-5.04745011107881e-002

4.78991481847569e+004,-1.10267093257631e+001,-5.11790989214406e-002

4.85677953758016e+004,-1.10267093154436e+001,-5.18935325530426e-002

4.92457765337964e+004,-1.10267093048341e+001,-5.26179393062916e-002

4.99332219560642e+004,-1.10267092939259e+001,-5.33524584058144e-002

5.06302637588109e+004,-1.10267092827115e+001,-5.40972310082479e-002

5.13370359025159e+004,-1.10267092711817e+001,-5.48524002510184e-002

5.20536742176771e+004,-1.10267092593277e+001,-5.56181112660854e-002

5.27803164309155e+004,-1.10267092471403e+001,-5.63945112108566e-002

5.35171021914442e+004,-1.10267092346104e+001,-5.71817492966752e-002

5.42641730979066e+004,-1.10267092217283e+001,-5.79799768179163e-002

5.50216727255895e+004,-1.10267092084840e+001,-5.87893471813270e-002

5.57897466540159e+004,-1.10267091948672e+001,-5.96100159379097e-002

5.65685424949235e+004,-1.10267091808679e+001,-6.04421408033918e-002

5.73582099206328e+004,-1.10267091664749e+001,-6.12858817028418e-002

5.81589006928121e+004,-1.10267091516772e+001,-6.21414007885134e-002

5.89707686916437e+004,-1.10267091364634e+001,-6.30088624781103e-002

5.97939699453972e+004,-1.10267091208219e+001,-6.38884334845006e-002

6.06286626604156e+004,-1.10267091047407e+001,-6.47802828473543e-002

6.14750072515201e+004,-1.10267090882075e+001,-6.56845819654074e-002

6.23331663728396e+004,-1.10267090712093e+001,-6.66015046326463e-002

6.32033049490698e+004,-1.10267090537335e+001,-6.75312270650113e-002

6.40855902071694e+004,-1.10267090357661e+001,-6.84739279437115e-002

6.49801917084985e+004,-1.10267090172937e+001,-6.94297884384640e-002

6.58872813814055e+004,-1.10267089983019e+001,-7.03989922522081e-002

6.68070335542691e+004,-1.10267089787764e+001,-7.13817256497750e-002

6.77396249890018e+004,-1.10267089587017e+001,-7.23781774994960e-002

6.86852349150199e+004,-1.10267089380626e+001,-7.33885393028228e-002

6.96440450636895e+004,-1.10267089168435e+001,-7.44130052342197e-002

7.06162397032520e+004,-1.10267088950277e+001,-7.54517721816277e-002

7.16020056742374e+004,-1.10267088725983e+001,-7.65050397816753e-002

7.26015324253724e+004,-1.10267088495387e+001,-7.75730104522220e-002

7.36150120499896e+004,-1.10267088258308e+001,-7.86558894421203e-002

7.46426393229441e+004,-1.10267088014562e+001,-7.97538848655484e-002

7.56846117380472e+004,-1.10267087763966e+001,-8.08672077380429e-002

7.67411295460207e+004,-1.10267087506321e+001,-8.19960720260693e-002

7.78123957929823e+004,-1.10267087241435e+001,-8.31406946771116e-002

7.88986163594682e+004,-1.10267086969102e+001,-8.43012956700333e-002

7.99999999999995e+004,-1.10267086689113e+001,-8.54780980558780e-002

8.11167583832018e+004,-1.10267086401253e+001,-8.66713279968143e-002

8.22491061324848e+004,-1.10267086105299e+001,-8.78812148143111e-002

8.33972608672892e+004,-1.10267085801024e+001,-8.91079910294801e-002

8.45614432449099e+004,-1.10267085488194e+001,-9.03518924109872e-002

8.57418770029029e+004,-1.10267085166572e+001,-9.16131580141413e-002

8.69387890020841e+004,-1.10267084835905e+001,-9.28920302385533e-002

8.81524092701283e+004,-1.10267084495944e+001,-9.41887548611392e-002

8.93829710457770e+004,-1.10267084146423e+001,-9.55035810949270e-002

9.06307108236633e+004,-1.10267083787079e+001,-9.68367616263237e-002

9.18958683997622e+004,-1.10267083417630e+001,-9.81885526750506e-002

9.31786869174758e+004,-1.10267083037797e+001,-9.95592140320395e-002

9.44794129143618e+004,-1.10267082647281e+001,-1.00949009120985e-001

9.57982963695136e+004,-1.10267082245790e+001,-1.02358205035070e-001

9.71355907516031e+004,-1.10267081833009e+001,-1.03787072603476e-001

9.84915530675926e+004,-1.10267081408626e+001,-1.05235886430053e-001

9.98664439121282e+004,-1.10267080972310e+001,-1.06704924957190e-001

1.01260527517622e+005,-1.10267080523727e+001,-1.08194470510890e-001

1.02674071805032e+005,-1.10267080062534e+001,-1.09704809358271e-001

1.04107348435354e+005,-1.10267079588375e+001,-1.11236231763304e-001

1.05560632861831e+005,-1.10267079100886e+001,-1.12789032043265e-001

1.07034204382888e+005,-1.10267078599690e+001,-1.14363508622819e-001

1.08528346195813e+005,-1.10267078084405e+001,-1.15959964091090e-001

1.10043345451179e+005,-1.10267077554633e+001,-1.17578705263783e-001

1.11579493308032e+005,-1.10267077009967e+001,-1.19220043238193e-001

1.13137084989847e+005,-1.10267076449989e+001,-1.20884293453767e-001

1.14716419841265e+005,-1.10267075874266e+001,-1.22571775756070e-001

1.16317801385624e+005,-1.10267075282359e+001,-1.24282814452046e-001

1.17941537383287e+005,-1.10267074673811e+001,-1.26017738377606e-001

1.19587939890794e+005,-1.10267074048153e+001,-1.27776880960776e-001

1.21257325320831e+005,-1.10267073404909e+001,-1.29560580278703e-001

1.22950014503040e+005,-1.10267072743577e+001,-1.31369179136045e-001

1.24666332745679e+005,-1.10267072063654e+001,-1.33203025114863e-001

1.26406609898139e+005,-1.10267071364617e+001,-1.35062470653659e-001

1.28171180414339e+005,-1.10267070645927e+001,-1.36947873111166e-001

1.29960383416997e+005,-1.10267069907030e+001,-1.38859594833340e-001

1.31774562762811e+005,-1.10267069147362e+001,-1.40798003223049e-001

1.33614067108538e+005,-1.10267068366336e+001,-1.42763470815012e-001

1.35479249978003e+005,-1.10267067563352e+001,-1.44756375342587e-001

1.37370469830040e+005,-1.10267066737793e+001,-1.46777099812249e-001

1.39288090127379e+005,-1.10267065889026e+001,-1.48826032576147e-001

1.41232479406504e+005,-1.10267065016395e+001,-1.50903567410738e-001

1.43204011348474e+005,-1.10267064119233e+001,-1.53010103585848e-001

1.45203064850745e+005,-1.10267063196847e+001,-1.55146045948043e-001

1.47230024099979e+005,-1.10267062248529e+001,-1.57311804992995e-001

1.49285278645888e+005,-1.10267061273553e+001,-1.59507796947182e-001

1.51369223476094e+005,-1.10267060271164e+001,-1.61734443849510e-001

1.53482259092041e+005,-1.10267059240594e+001,-1.63992173628674e-001

1.55624791585964e+005,-1.10267058181053e+001,-1.66281420185740e-001

1.57797232718936e+005,-1.10267057091722e+001,-1.68602623482702e-001

1.59999999999999e+005,-1.10267055971767e+001,-1.70956229619385e-001

1.62233516766403e+005,-1.10267054820327e+001,-1.73342690924648e-001

1.64498212264969e+005,-1.10267053636514e+001,-1.75762466043562e-001

1.66794521734578e+005,-1.10267052419421e+001,-1.78216020020027e-001

1.69122886489819e+005,-1.10267051168110e+001,-1.80703824392337e-001

1.71483754005805e+005,-1.10267049881620e+001,-1.83226357281476e-001

1.73877578004168e+005,-1.10267048558962e+001,-1.85784103480647e-001

1.76304818540256e+005,-1.10267047199119e+001,-1.88377554553278e-001

1.78765942091554e+005,-1.10267045801047e+001,-1.91007208922651e-001

1.81261421647326e+005,-1.10267044363670e+001,-1.93673571971176e-001

1.83791736799524e+005,-1.10267042885881e+001,-1.96377156137327e-001

1.86357373834951e+005,-1.10267041366548e+001,-1.99118481009432e-001

1.88958825828723e+005,-1.10267039804500e+001,-2.01898073433652e-001

1.91596592739027e+005,-1.10267038198537e+001,-2.04716467607384e-001

1.94271181503206e+005,-1.10267036547426e+001,-2.07574205185964e-001

1.96983106135185e+005,-1.10267034849894e+001,-2.10471835387833e-001

1.99732887824256e+005,-1.10267033104638e+001,-2.13409915097636e-001

2.02521055035243e+005,-1.10267031310319e+001,-2.16389008971030e-001

2.05348143610063e+005,-1.10267029465553e+001,-2.19409689551635e-001

2.08214696870707e+005,-1.10267027568925e+001,-2.22472537371038e-001

2.11121265723661e+005,-1.10267025618976e+001,-2.25578141066625e-001

2.14068408765776e+005,-1.10267023614206e+001,-2.28727097494163e-001

2.17056692391625e+005,-1.10267021553075e+001,-2.31920011839024e-001

2.20086690902357e+005,-1.10267019433998e+001,-2.35157497736855e-001

2.23158986616063e+005,-1.10267017255346e+001,-2.38440177389055e-001

2.26274169979693e+005,-1.10267015015444e+001,-2.41768681681890e-001

2.29432839682530e+005,-1.10267012712571e+001,-2.45143650309798e-001

2.32635602771247e+005,-1.10267010344956e+001,-2.48565731896889e-001

2.35883074766574e+005,-1.10267007910778e+001,-2.52035584122480e-001

2.39175879781588e+005,-1.10267005408167e+001,-2.55553873846203e-001

2.42514650641661e+005,-1.10267002835198e+001,-2.59121277237582e-001

2.45900029006080e+005,-1.10267000189895e+001,-2.62738479904705e-001

2.49332665491357e+005,-1.10266997470222e+001,-2.66406177028478e-001

2.52813219796278e+005,-1.10266994674089e+001,-2.70125073492314e-001

2.56342360828676e+005,-1.10266991799349e+001,-2.73895884019978e-001

2.59920766833993e+005,-1.10266988843788e+001,-2.77719333314865e-001

2.63549125525621e+005,-1.10266985805136e+001,-2.81596156195410e-001

2.67228134217075e+005,-1.10266982681056e+001,-2.85527097738921e-001

2.70958499956006e+005,-1.10266979469148e+001,-2.89512913422569e-001

2.74740939660078e+005,-1.10266976166942e+001,-2.93554369271842e-001

2.78576180254757e+005,-1.10266972771900e+001,-2.97652242004551e-001

2.82464958813007e+005,-1.10266969281409e+001,-3.01807319183778e-001

2.86408022696948e+005,-1.10266965692790e+001,-3.06020399363566e-001

2.90406129701488e+005,-1.10266962003283e+001,-3.10292292248435e-001

2.94460048199957e+005,-1.10266958210051e+001,-3.14623818846196e-001

2.98570557291775e+005,-1.10266954310177e+001,-3.19015811625619e-001

3.02738446952187e+005,-1.10266950300665e+001,-3.23469114676025e-001

3.06964518184081e+005,-1.10266946178430e+001,-3.27984583872415e-001

3.11249583171928e+005,-1.10266941940307e+001,-3.32563087035337e-001

3.15594465437872e+005,-1.10266937583035e+001,-3.37205504103407e-001

3.19999999999997e+005,-1.10266933103266e+001,-3.41912727296210e-001

3.24467033532806e+005,-1.10266928497554e+001,-3.46685661291415e-001

3.28996424529938e+005,-1.10266923762362e+001,-3.51525223394365e-001

3.33589043469155e+005,-1.10266918894046e+001,-3.56432343718186e-001

3.38245772979638e+005,-1.10266913888866e+001,-3.61407965358922e-001

3.42967508011610e+005,-1.10266908742975e+001,-3.66453044579597e-001

3.47755156008335e+005,-1.10266903452413e+001,-3.71568550992968e-001

3.52609637080511e+005,-1.10266898013118e+001,-3.76755467747153e-001

3.57531884183106e+005,-1.10266892420905e+001,-3.82014791716781e-001

3.62522843294651e+005,-1.10266886671477e+001,-3.87347533691583e-001

3.67583473599047e+005,-1.10266880760415e+001,-3.92754718573119e-001

3.72714747669902e+005,-1.10266874683173e+001,-3.98237385571857e-001

3.77917651657445e+005,-1.10266868435080e+001,-4.03796588405930e-001

