Freq.,VOut,OutRef

1.00000000000000e+004,-2.36645425567627e+001,-5.57531596489656e-001

1.01395947979003e+004,-2.36645465454547e+001,-5.65314350541528e-001

1.02811382665607e+004,-2.36645506462807e+001,-5.73205743672195e-001

1.04246576084112e+004,-2.36645548623927e+001,-5.81207292251869e-001

1.05701804056138e+004,-2.36645591970319e+001,-5.89320533810390e-001

1.07177346253629e+004,-2.36645636535302e+001,-5.97547027334089e-001

1.08673486252606e+004,-2.36645682353132e+001,-6.05888353563667e-001

1.10190511587661e+004,-2.36645729459030e+001,-6.14346115296644e-001

1.11728713807222e+004,-2.36645777889206e+001,-6.22921937696867e-001

1.13288388529580e+004,-2.36645827680887e+001,-6.31617468605790e-001

1.14869835499703e+004,-2.36645878872347e+001,-6.40434378857697e-001

1.16473358646846e+004,-2.36645931502936e+001,-6.49374362601171e-001

1.18099266142953e+004,-2.36645985613112e+001,-6.58439137623031e-001

1.19747870461893e+004,-2.36646041244465e+001,-6.67630445680867e-001

1.21419488439505e+004,-2.36646098439759e+001,-6.76950052832875e-001

1.23114441334492e+004,-2.36646157242960e+001,-6.86399749779401e-001

1.24833054890161e+004,-2.36646217699266e+001,-6.95981352206268e-001

1.26575659397028e+004,-2.36646279855148e+001,-7.05696701132417e-001

1.28342589756290e+004,-2.36646343758385e+001,-7.15547663262595e-001

1.30134185544193e+004,-2.36646409458093e+001,-7.25536131347051e-001

1.31950791077289e+004,-2.36646477004776e+001,-7.35664024541853e-001

1.33792755478611e+004,-2.36646546450354e+001,-7.45933288779525e-001

1.35660432744767e+004,-2.36646617848203e+001,-7.56345897141324e-001

1.37554181813974e+004,-2.36646691253207e+001,-7.66903850233939e-001

1.39474366635040e+004,-2.36646766721785e+001,-7.77609176576105e-001

1.41421356237309e+004,-2.36646844311947e+001,-7.88463932984796e-001

1.43395524801583e+004,-2.36646924083330e+001,-7.99470204970743e-001

1.45397251732031e+004,-2.36647006097251e+001,-8.10630107138181e-001

1.47426921729110e+004,-2.36647090416745e+001,-8.21945783589852e-001

1.49484924863494e+004,-2.36647177106627e+001,-8.33419408337276e-001

1.51571656651040e+004,-2.36647266233523e+001,-8.45053185720179e-001

1.53687518128801e+004,-2.36647357865940e+001,-8.56849350825056e-001

1.55832915932100e+004,-2.36647452074307e+001,-8.68810169915973e-001

1.58008262372675e+004,-2.36647548931035e+001,-8.80937940867417e-001

1.60213975517924e+004,-2.36647648510566e+001,-8.93234993606102e-001

1.62450479271247e+004,-2.36647750889438e+001,-9.05703690555610e-001

1.64718203453514e+004,-2.36647856146336e+001,-9.18346427090546e-001

1.67017583885674e+004,-2.36647964362162e+001,-9.31165631993014e-001

1.69349062472505e+004,-2.36648075620088e+001,-9.44163767920381e-001

1.71713087287550e+004,-2.36648190005622e+001,-9.57343331874907e-001

1.74110112659224e+004,-2.36648307606680e+001,-9.70706855682648e-001

1.76540599258131e+004,-2.36648428513645e+001,-9.84256906478296e-001

1.79005014185594e+004,-2.36648552819441e+001,-9.97996087195938e-001

1.81503831063432e+004,-2.36648680619603e+001,-1.01192703706807e+000

1.84037530124975e+004,-2.36648812012352e+001,-1.02605243213009e+000

1.86606598307361e+004,-2.36648947098669e+001,-1.04037498573278e+000

1.89211529345119e+004,-2.36649085982372e+001,-1.05489744906062e+000

1.91852823865052e+004,-2.36649228770196e+001,-1.06962261166005e+000

1.94530989482457e+004,-2.36649375571876e+001,-1.08455330197123e+000

1.97246540898671e+004,-2.36649526500233e+001,-1.09969238786878e+000

1.99999999999999e+004,-2.36649681671255e+001,-1.11504277721238e+000

2.02791895958005e+004,-2.36649841204190e+001,-1.13060741840132e+000

2.05622765331213e+004,-2.36650005221639e+001,-1.14638930093688e+000

2.08493152168224e+004,-2.36650173849644e+001,-1.16239145599766e+000

2.11403608112276e+004,-2.36650347217793e+001,-1.17861695701470e+000

2.14354692507258e+004,-2.36650525459313e+001,-1.19506892026077e+000

2.17346972505211e+004,-2.36650708711174e+001,-1.21175050544681e+000

2.20381023175322e+004,-2.36650897114197e+001,-1.22866491632364e+000

2.23457427614443e+004,-2.36651090813157e+001,-1.24581540129424e+000

