Freq.,VOut,OutRef

1.00000000000000e+004,-2.90993218156221e+001,-2.12616017477196e-001

1.01395947979003e+004,-2.90993224599844e+001,-2.15584020416278e-001

1.02811382665607e+004,-2.90993231224621e+001,-2.18593454875044e-001

1.04246576084112e+004,-2.90993238035645e+001,-2.21644899205626e-001

1.05701804056138e+004,-2.90993245038151e+001,-2.24738939832043e-001

1.07177346253629e+004,-2.90993252237526e+001,-2.27876171363129e-001

1.08673486252606e+004,-2.90993259639299e+001,-2.31057196711778e-001

1.10190511587661e+004,-2.90993267249164e+001,-2.34282627202590e-001

1.11728713807222e+004,-2.90993275072970e+001,-2.37553082694682e-001

1.13288388529580e+004,-2.90993283116732e+001,-2.40869191699883e-001

1.14869835499703e+004,-2.90993291386633e+001,-2.44231591502847e-001

1.16473358646846e+004,-2.90993299889032e+001,-2.47640928283450e-001

1.18099266142953e+004,-2.90993308630464e+001,-2.51097857242419e-001

1.19747870461893e+004,-2.90993317617649e+001,-2.54603042724354e-001

1.21419488439505e+004,-2.90993326857498e+001,-2.58157158348464e-001

1.23114441334492e+004,-2.90993336357111e+001,-2.61760887135707e-001

1.24833054890161e+004,-2.90993346123794e+001,-2.65414921641692e-001

1.26575659397028e+004,-2.90993356165053e+001,-2.69119964088490e-001

1.28342589756290e+004,-2.90993366488608e+001,-2.72876726499219e-001

1.30134185544193e+004,-2.90993377102396e+001,-2.76685930837569e-001

1.31950791077289e+004,-2.90993388014575e+001,-2.80548309142969e-001

1.33792755478611e+004,-2.90993399233536e+001,-2.84464603672761e-001

1.35660432744767e+004,-2.90993410767901e+001,-2.88435567045822e-001

1.37554181813974e+004,-2.90993422626538e+001,-2.92461962386303e-001

1.39474366635040e+004,-2.90993434818565e+001,-2.96544563467778e-001

1.41421356237309e+004,-2.90993447353352e+001,-3.00684154867431e-001

1.43395524801583e+004,-2.90993460240537e+001,-3.04881532110934e-001

1.45397251732031e+004,-2.90993473490027e+001,-3.09137501829963e-001

1.47426921729110e+004,-2.90993487112008e+001,-3.13452881912404e-001

1.49484924863494e+004,-2.90993501116949e+001,-3.17828501665975e-001

1.51571656651040e+004,-2.90993515515619e+001,-3.22265201970455e-001

1.53687518128801e+004,-2.90993530319088e+001,-3.26763835442726e-001

1.55832915932100e+004,-2.90993545538733e+001,-3.31325266603010e-001

1.58008262372675e+004,-2.90993561186256e+001,-3.35950372034836e-001

1.60213975517924e+004,-2.90993577273686e+001,-3.40640040558412e-001

1.62450479271247e+004,-2.90993593813389e+001,-3.45395173399996e-001

1.64718203453514e+004,-2.90993610818081e+001,-3.50216684364298e-001

1.67017583885674e+004,-2.90993628300834e+001,-3.55105500010371e-001

1.69349062472505e+004,-2.90993646275087e+001,-3.60062559829557e-001

1.71713087287550e+004,-2.90993664754659e+001,-3.65088816425752e-001

1.74110112659224e+004,-2.90993683753755e+001,-3.70185235700140e-001

1.76540599258131e+004,-2.90993703286980e+001,-3.75352797033557e-001

1.79005014185594e+004,-2.90993723369352e+001,-3.80592493476306e-001

1.81503831063432e+004,-2.90993744016307e+001,-3.85905331940006e-001

1.84037530124975e+004,-2.90993765243718e+001,-3.91292333389264e-001

1.86606598307361e+004,-2.90993787067903e+001,-3.96754533037088e-001

1.89211529345119e+004,-2.90993809505640e+001,-4.02292980547207e-001

1.91852823865052e+004,-2.90993832574176e+001,-4.07908740231123e-001

1.94530989482457e+004,-2.90993856291246e+001,-4.13602891255560e-001

1.97246540898671e+004,-2.90993880675083e+001,-4.19376527849023e-001

1.99999999999999e+004,-2.90993905744429e+001,-4.25230759511454e-001

2.02791895958005e+004,-2.90993931518557e+001,-4.31166711228427e-001

2.05622765331213e+004,-2.90993958017281e+001,-4.37185523684153e-001

2.08493152168224e+004,-2.90993985260971e+001,-4.43288353484722e-001

2.11403608112276e+004,-2.90994013270569e+001,-4.49476373377442e-001

2.14354692507258e+004,-2.90994042067608e+001,-4.55750772477108e-001

2.17346972505211e+004,-2.90994071674224e+001,-4.62112756492745e-001

2.20381023175322e+004,-2.90994102113177e+001,-4.68563547961240e-001

2.23457427614443e+004,-2.90994133407866e+001,-4.75104386480977e-001

2.26576777059159e+004,-2.90994165582348e+001,-4.81736528949437e-001

2.29739670999406e+004,-2.90994198661355e+001,-4.88461249805799e-001

2.32946717293690e+004,-2.90994232670318e+001,-4.95279841273292e-001

2.36198532285905e+004,-2.90994267635378e+001,-5.02193613610753e-001

2.39495740923785e+004,-2.90994303583414e+001,-5.09203895361175e-001

2.42838976879009e+004,-2.90994340542058e+001,-5.16312033607217e-001

2.46228882668982e+004,-2.90994378539724e+001,-5.23519394230157e-001

2.49666109780322e+004,-2.90994417605620e+001,-5.30827362173072e-001

2.53151318794055e+004,-2.90994457769774e+001,-5.38237341705837e-001

2.56685179512580e+004,-2.90994499063062e+001,-5.45750756693538e-001

2.60268371088386e+004,-2.90994541517228e+001,-5.53369050871091e-001

2.63901582154578e+004,-2.90994585164904e+001,-5.61093688120660e-001

2.67585510957221e+004,-2.90994630039643e+001,-5.68926152751210e-001

2.71320865489533e+004,-2.90994676175941e+001,-5.76867949784373e-001

2.75108363627948e+004,-2.90994723609261e+001,-5.84920605242600e-001

2.78948733270080e+004,-2.90994772376066e+001,-5.93085666442234e-001

2.82842712474618e+004,-2.90994822513842e+001,-6.01364702291673e-001

2.86791049603164e+004,-2.90994874061131e+001,-6.09759303588824e-001

2.90794503464061e+004,-2.90994927057555e+001,-6.18271083331248e-001

2.94853843458219e+004,-2.90994981543852e+001,-6.26901677021718e-001

2.98969849726987e+004,-2.90995037561905e+001,-6.35652742982299e-001

3.03143313302078e+004,-2.90995095154773e+001,-6.44525962675832e-001

3.07375036257601e+004,-2.90995154366727e+001,-6.53523041024347e-001

3.11665831864199e+004,-2.90995215243283e+001,-6.62645706738232e-001

3.16016524745350e+004,-2.90995277831233e+001,-6.71895712647188e-001

3.20427951035848e+004,-2.90995342178687e+001,-6.81274836037240e-001

3.24900958542493e+004,-2.90995408335108e+001,-6.90784878989683e-001

3.29436406907028e+004,-2.90995476351345e+001,-7.00427668729997e-001

3.34035167771346e+004,-2.90995546279683e+001,-7.10205057973404e-001

3.38698124945009e+004,-2.90995618173870e+001,-7.20118925285304e-001

3.43426174575100e+004,-2.90995692089169e+001,-7.30171175437268e-001

3.48220225318448e+004,-2.90995768082395e+001,-7.40363739774843e-001

3.53081198516260e+004,-2.90995846211960e+001,-7.50698576586370e-001

3.58010028371187e+004,-2.90995926537918e+001,-7.61177671478869e-001

3.63007662126863e+004,-2.90996009122009e+001,-7.71803037759561e-001

3.68075060249948e+004,-2.90996094027712e+001,-7.82576716819151e-001

3.73213196614721e+004,-2.90996181320286e+001,-7.93500778526036e-001

3.78423058690237e+004,-2.90996271066829e+001,-8.04577321621022e-001

3.83705647730104e+004,-2.90996363336320e+001,-8.15808474119975e-001

