Freq.,VOut,OutRef

1.00000000000000e+004,-1.46751090917266e+001,-2.41625401166526e-003

1.01395947979003e+004,-1.46751090917460e+001,-2.44998366267709e-003

1.02811382665607e+004,-1.46751090917667e+001,-2.48418415707285e-003

1.04246576084112e+004,-1.46751090917873e+001,-2.51886207637593e-003

1.05701804056138e+004,-1.46751090918092e+001,-2.55402407768180e-003

1.07177346253629e+004,-1.46751090918306e+001,-2.58967692856949e-003

1.08673486252606e+004,-1.46751090918526e+001,-2.62582747495397e-003

1.10190511587661e+004,-1.46751090918765e+001,-2.66248265632513e-003

1.11728713807222e+004,-1.46751090919009e+001,-2.69964952556290e-003

1.13288388529580e+004,-1.46751090919246e+001,-2.73733523385671e-003

1.14869835499703e+004,-1.46751090919502e+001,-2.77554700752591e-003

1.16473358646846e+004,-1.46751090919767e+001,-2.81429219557325e-003

1.18099266142953e+004,-1.46751090920033e+001,-2.85357825158554e-003

1.19747870461893e+004,-1.46751090920302e+001,-2.89341272247311e-003

1.21419488439505e+004,-1.46751090920583e+001,-2.93380325940296e-003

1.23114441334492e+004,-1.46751090920878e+001,-2.97475762341295e-003

1.24833054890161e+004,-1.46751090921170e+001,-3.01628369672175e-003

1.26575659397028e+004,-1.46751090921476e+001,-3.05838944822593e-003

1.28342589756290e+004,-1.46751090921797e+001,-3.10108296955155e-003

1.30134185544193e+004,-1.46751090922114e+001,-3.14437247931073e-003

1.31950791077289e+004,-1.46751090922443e+001,-3.18826628547498e-003

1.33792755478611e+004,-1.46751090922796e+001,-3.23277281728218e-003

1.35660432744767e+004,-1.46751090923141e+001,-3.27790064880221e-003

1.37554181813974e+004,-1.46751090923506e+001,-3.32365843476306e-003

1.39474366635040e+004,-1.46751090923881e+001,-3.37005497502027e-003

1.41421356237309e+004,-1.46751090924258e+001,-3.41709919314824e-003

1.43395524801583e+004,-1.46751090924651e+001,-3.46480012024052e-003

1.45397251732031e+004,-1.46751090925058e+001,-3.51316692547742e-003

1.47426921729110e+004,-1.46751090925473e+001,-3.56220890901510e-003

1.49484924863494e+004,-1.46751090925900e+001,-3.61193549212532e-003

1.51571656651040e+004,-1.46751090926337e+001,-3.66235623392797e-003

1.53687518128801e+004,-1.46751090926792e+001,-3.71348081968791e-003

1.55832915932100e+004,-1.46751090927253e+001,-3.76531908202182e-003

1.58008262372675e+004,-1.46751090927732e+001,-3.81788097684599e-003

1.60213975517924e+004,-1.46751090928222e+001,-3.87117660944558e-003

1.62450479271247e+004,-1.46751090928728e+001,-3.92521622032005e-003

1.64718203453514e+004,-1.46751090929241e+001,-3.98001020033260e-003

1.67017583885674e+004,-1.46751090929778e+001,-4.03556907013057e-003

1.69349062472505e+004,-1.46751090930328e+001,-4.09190351398451e-003

1.71713087287550e+004,-1.46751090930892e+001,-4.14902435826088e-003

1.74110112659224e+004,-1.46751090931475e+001,-4.20694257744083e-003

1.76540599258131e+004,-1.46751090932070e+001,-4.26566930761959e-003

1.79005014185594e+004,-1.46751090932678e+001,-4.32521583551876e-003

1.81503831063432e+004,-1.46751090933311e+001,-4.38559359642032e-003

1.84037530124975e+004,-1.46751090933959e+001,-4.44681420151067e-003

1.86606598307361e+004,-1.46751090934624e+001,-4.50888941464318e-003

1.89211529345119e+004,-1.46751090935308e+001,-4.57183116567651e-003

1.91852823865052e+004,-1.46751090936012e+001,-4.63565155029924e-003

1.94530989482457e+004,-1.46751090936737e+001,-4.70036283308713e-003

1.97246540898671e+004,-1.46751090937475e+001,-4.76597745702337e-003

1.99999999999999e+004,-1.46751090938247e+001,-4.83250801814465e-003

2.02791895958005e+004,-1.46751090939032e+001,-4.89996731734348e-003

2.05622765331213e+004,-1.46751090939840e+001,-4.96836831227855e-003

2.08493152168224e+004,-1.46751090940670e+001,-5.03772415015063e-003

