Freq.,VOut,OutRef

1.00000000000000e+004,-1.91560226757211e+001,-3.22253374197621e-001

1.01395947979003e+004,-1.91560237616376e+001,-3.26751846054779e-001

1.02811382665607e+004,-1.91560248780829e+001,-3.31313113491694e-001

1.04246576084112e+004,-1.91560260259152e+001,-3.35938053069457e-001

1.05701804056138e+004,-1.91560272060170e+001,-3.40627553584938e-001

1.07177346253629e+004,-1.91560284192953e+001,-3.45382516241724e-001

1.08673486252606e+004,-1.91560296666829e+001,-3.50203854820129e-001

1.10190511587661e+004,-1.91560309491385e+001,-3.55092495857080e-001

1.11728713807222e+004,-1.91560322676483e+001,-3.60049378819627e-001

1.13288388529580e+004,-1.91560336232257e+001,-3.65075456289405e-001

1.14869835499703e+004,-1.91560350169128e+001,-3.70171694143204e-001

1.16473358646846e+004,-1.91560364497809e+001,-3.75339071739424e-001

1.18099266142953e+004,-1.91560379229315e+001,-3.80578582105537e-001

1.19747870461893e+004,-1.91560394374971e+001,-3.85891232129361e-001

1.21419488439505e+004,-1.91560409946419e+001,-3.91278042752514e-001

1.23114441334492e+004,-1.91560425955630e+001,-3.96740049165175e-001

1.24833054890161e+004,-1.91560442414911e+001,-4.02278301007762e-001

1.26575659397028e+004,-1.91560459336913e+001,-4.07893862570169e-001

1.28342589756290e+004,-1.91560476734645e+001,-4.13587812996178e-001

1.30134185544193e+004,-1.91560494621480e+001,-4.19361246492065e-001

1.31950791077289e+004,-1.91560513011170e+001,-4.25215272535125e-001

1.33792755478611e+004,-1.91560531917849e+001,-4.31151016089236e-001

1.35660432744767e+004,-1.91560551356052e+001,-4.37169617817693e-001

1.37554181813974e+004,-1.91560571340721e+001,-4.43272234304299e-001

1.39474366635040e+004,-1.91560591887219e+001,-4.49460038276220e-001

1.41421356237309e+004,-1.91560613011339e+001,-4.55734218826726e-001

1.43395524801583e+004,-1.91560634729320e+001,-4.62095981645277e-001

1.45397251732031e+004,-1.91560657057856e+001,-4.68546549248786e-001

1.47426921729110e+004,-1.91560680014111e+001,-4.75087161215921e-001

1.49484924863494e+004,-1.91560703615732e+001,-4.81719074425586e-001

1.51571656651040e+004,-1.91560727880861e+001,-4.88443563297560e-001

1.53687518128801e+004,-1.91560752828149e+001,-4.95261920039434e-001

1.55832915932100e+004,-1.91560778476776e+001,-5.02175454890561e-001

1.58008262372675e+004,-1.91560804846455e+001,-5.09185496377715e-001

1.60213975517924e+004,-1.91560831957457e+001,-5.16293391568065e-001

1.62450479271247e+004,-1.91560859830622e+001,-5.23500506328365e-001

1.64718203453514e+004,-1.91560888487374e+001,-5.30808225587017e-001

1.67017583885674e+004,-1.91560917949741e+001,-5.38217953600327e-001

1.69349062472505e+004,-1.91560948240372e+001,-5.45731114220043e-001

1.71713087287550e+004,-1.91560979382549e+001,-5.53349151170862e-001

1.74110112659224e+004,-1.91561011400210e+001,-5.61073528323808e-001

1.76540599258131e+004,-1.91561044317966e+001,-5.68905729978107e-001

1.79005014185594e+004,-1.91561078161119e+001,-5.76847261147047e-001

1.81503831063432e+004,-1.91561112955684e+001,-5.84899647846784e-001

1.84037530124975e+004,-1.91561148728405e+001,-5.93064437387503e-001

1.86606598307361e+004,-1.91561185506779e+001,-6.01343198672803e-001

1.89211529345119e+004,-1.91561223319076e+001,-6.09737522499114e-001

1.91852823865052e+004,-1.91561262194361e+001,-6.18249021861029e-001

1.94530989482457e+004,-1.91561302162513e+001,-6.26879332261994e-001

1.97246540898671e+004,-1.91561343254254e+001,-6.35630112028019e-001

1.99999999999999e+004,-1.91561385501169e+001,-6.44503042623628e-001

2.02791895958005e+004,-1.91561428935730e+001,-6.53499828977752e-001

2.05622765331213e+004,-1.91561473591323e+001,-6.62622199808195e-001

2.08493152168224e+004,-1.91561519502268e+001,-6.71871907956081e-001

2.11403608112276e+004,-1.91561566703855e+001,-6.81250730718203e-001

2.14354692507258e+004,-1.91561615232365e+001,-6.90760470191815e-001

2.17346972505211e+004,-1.91561665125095e+001,-7.00402953618929e-001

2.20381023175322e+004,-1.91561716420394e+001,-7.10180033735708e-001

2.23457427614443e+004,-1.91561769157687e+001,-7.20093589129498e-001

2.26576777059159e+004,-1.91561823377508e+001,-7.30145524598018e-001

2.29739670999406e+004,-1.91561879121530e+001,-7.40337771515551e-001

2.32946717293690e+004,-1.91561936432596e+001,-7.50672288203197e-001

2.36198532285905e+004,-1.91561995354754e+001,-7.61151060303235e-001

2.39495740923785e+004,-1.91562055933291e+001,-7.71776101161513e-001

2.42838976879009e+004,-1.91562118214765e+001,-7.82549452212507e-001

2.46228882668982e+004,-1.91562182247042e+001,-7.93473183371345e-001

2.49666109780322e+004,-1.91562248079336e+001,-8.04549393429912e-001

2.53151318794055e+004,-1.91562315762242e+001,-8.15780210460018e-001

2.56685179512580e+004,-1.91562385347777e+001,-8.27167792220644e-001

2.60268371088386e+004,-1.91562456889420e+001,-8.38714326572086e-001

2.63901582154578e+004,-1.91562530442152e+001,-8.50422031894741e-001

2.67585510957221e+004,-1.91562606062502e+001,-8.62293157514753e-001

2.71320865489533e+004,-1.91562683808582e+001,-8.74329984135732e-001

2.75108363627948e+004,-1.91562763740144e+001,-8.86534824273313e-001

2.78948733270080e+004,-1.91562845918613e+001,-8.98910022701460e-001

2.82842712474618e+004,-1.91562930407144e+001,-9.11457956898982e-001

