Freq.,VOut,OutRef

1.00000000000000e+004,-2.58697728869448e+001,-3.56839714680065e-001

1.01395947979003e+004,-2.58697747255586e+001,-3.61820978202009e-001

1.02811382665607e+004,-2.58697766158619e+001,-3.66871776159232e-001

1.04246576084112e+004,-2.58697785593078e+001,-3.71993079155355e-001

1.05701804056138e+004,-2.58697805573902e+001,-3.77185871342702e-001

1.07177346253629e+004,-2.58697826116451e+001,-3.82451150607378e-001

1.08673486252606e+004,-2.58697847236517e+001,-3.87789928762914e-001

1.10190511587661e+004,-2.58697868950335e+001,-3.93203231745828e-001

1.11728713807222e+004,-2.58697891274597e+001,-3.98692099809443e-001

1.13288388529580e+004,-2.58697914226464e+001,-4.04257587725911e-001

1.14869835499703e+004,-2.58697937823581e+001,-4.09900764987984e-001

1.16473358646846e+004,-2.58697962084085e+001,-4.15622716015543e-001

1.18099266142953e+004,-2.58697987026627e+001,-4.21424540362011e-001

1.19747870461893e+004,-2.58698012670381e+001,-4.27307352925863e-001

1.21419488439505e+004,-2.58698039035058e+001,-4.33272284166703e-001

1.23114441334492e+004,-2.58698066140926e+001,-4.39320480318988e-001

1.24833054890161e+004,-2.58698094008821e+001,-4.45453103614815e-001

1.26575659397028e+004,-2.58698122660165e+001,-4.51671332506097e-001

1.28342589756290e+004,-2.58698152116983e+001,-4.57976361890228e-001

1.30134185544193e+004,-2.58698182401919e+001,-4.64369403339414e-001

1.31950791077289e+004,-2.58698213538252e+001,-4.70851685336179e-001

1.33792755478611e+004,-2.58698245549916e+001,-4.77424453504716e-001

1.35660432744767e+004,-2.58698278461520e+001,-4.84088970852697e-001

1.37554181813974e+004,-2.58698312298362e+001,-4.90846518012703e-001

1.39474366635040e+004,-2.58698347086452e+001,-4.97698393489524e-001

1.41421356237309e+004,-2.58698382852531e+001,-5.04645913907288e-001

1.43395524801583e+004,-2.58698419624092e+001,-5.11690414264086e-001

1.45397251732031e+004,-2.58698457429401e+001,-5.18833248186121e-001

1.47426921729110e+004,-2.58698496297519e+001,-5.26075788188554e-001

1.49484924863494e+004,-2.58698536258321e+001,-5.33419425941099e-001

1.51571656651040e+004,-2.58698577342526e+001,-5.40865572530297e-001

1.53687518128801e+004,-2.58698619581713e+001,-5.48415658734497e-001

1.55832915932100e+004,-2.58698663008351e+001,-5.56071135296299e-001

1.58008262372675e+004,-2.58698707655821e+001,-5.63833473200722e-001

1.60213975517924e+004,-2.58698753558440e+001,-5.71704163959743e-001

1.62450479271247e+004,-2.58698800751493e+001,-5.79684719895312e-001

1.64718203453514e+004,-2.58698849271256e+001,-5.87776674431840e-001

1.67017583885674e+004,-2.58698899155022e+001,-5.95981582389232e-001

1.69349062472505e+004,-2.58698950441136e+001,-6.04301020280828e-001

1.71713087287550e+004,-2.58699003169018e+001,-6.12736586617784e-001

1.74110112659224e+004,-2.58699057379198e+001,-6.21289902212448e-001

1.76540599258131e+004,-2.58699113113343e+001,-6.29962610493124e-001

1.79005014185594e+004,-2.58699170414294e+001,-6.38756377814910e-001

1.81503831063432e+004,-2.58699229326093e+001,-6.47672893782601e-001

1.84037530124975e+004,-2.58699289894022e+001,-6.56713871573620e-001

1.86606598307361e+004,-2.58699352164635e+001,-6.65881048266762e-001

1.89211529345119e+004,-2.58699416185795e+001,-6.75176185173987e-001

1.91852823865052e+004,-2.58699482006708e+001,-6.84601068179588e-001

1.94530989482457e+004,-2.58699549677967e+001,-6.94157508082108e-001

1.97246540898671e+004,-2.58699619251584e+001,-7.03847340941208e-001

1.99999999999999e+004,-2.58699690781033e+001,-7.13672428429310e-001

2.02791895958005e+004,-2.58699764321293e+001,-7.23634658189268e-001

2.05622765331213e+004,-2.58699839928885e+001,-7.33735944196024e-001

2.08493152168224e+004,-2.58699917661920e+001,-7.43978227122842e-001

2.11403608112276e+004,-2.58699997580144e+001,-7.54363474712901e-001

2.14354692507258e+004,-2.58700079744980e+001,-7.64893682156866e-001

2.17346972505211e+004,-2.58700164219576e+001,-7.75570872476561e-001

2.20381023175322e+004,-2.58700251068859e+001,-7.86397096908907e-001

2.23457427614443e+004,-2.58700340359577e+001,-7.97374435302236e-001

2.26576777059159e+004,-2.58700432160354e+001,-8.08504996513428e-001

2.29739670999406e+004,-2.58700526541745e+001,-8.19790918811317e-001

2.32946717293690e+004,-2.58700623576285e+001,-8.31234370286976e-001

2.36198532285905e+004,-2.58700723338549e+001,-8.42837549268376e-001

2.39495740923785e+004,-2.58700825905208e+001,-8.54602684741069e-001

2.42838976879009e+004,-2.58700931355085e+001,-8.66532036776065e-001

2.46228882668982e+004,-2.58701039769222e+001,-8.78627896960645e-001

2.49666109780322e+004,-2.58701151230936e+001,-8.90892588838280e-001

2.53151318794055e+004,-2.58701265825885e+001,-9.03328468353138e-001

2.56685179512580e+004,-2.58701383642135e+001,-9.15937924300632e-001

2.60268371088386e+004,-2.58701504770225e+001,-9.28723378784314e-001

2.63901582154578e+004,-2.58701629303241e+001,-9.41687287679448e-001

2.67585510957221e+004,-2.58701757336882e+001,-9.54832141103210e-001

2.71320865489533e+004,-2.58701888969536e+001,-9.68160463889965e-001

2.75108363627948e+004,-2.58702024302358e+001,-9.81674816074781e-001

2.78948733270080e+004,-2.58702163439343e+001,-9.95377793382634e-001

2.82842712474618e+004,-2.58702306487409e+001,-1.00927202772447e+000

2.86791049603164e+004,-2.58702453556478e+001,-1.02336018770118e+000

2.90794503464061e+004,-2.58702604759558e+001,-1.03764497911287e+000

2.94853843458219e+004,-2.58702760212836e+001,-1.05212914547536e+000

2.98969849726987e+004,-2.58702920035762e+001,-1.06681546854497e+000

3.03143313302078e+004,-2.58703084351140e+001,-1.08170676885091e+000

3.07375036257601e+004,-2.58703253285225e+001,-1.09680590623180e+000

3.11665831864199e+004,-2.58703426967822e+001,-1.11211578038341e+000

3.16016524745350e+004,-2.58703605532377e+001,-1.12763933141194e+000

3.20427951035848e+004,-2.58703789116090e+001,-1.14337954039441e+000

3.24900958542493e+004,-2.58703977860012e+001,-1.15933942994915e+000

3.29436406907028e+004,-2.58704171909159e+001,-1.17552206481093e+000

3.34035167771346e+004,-2.58704371412616e+001,-1.19193055241683e+000

3.38698124945009e+004,-2.58704576523663e+001,-1.20856804349803e+000

3.43426174575100e+004,-2.58704787399878e+001,-1.22543773268143e+000

3.48220225318448e+004,-2.58705004203270e+001,-1.24254285909808e+000

3.53081198516260e+004,-2.58705227100397e+001,-1.25988670700081e+000

3.58010028371187e+004,-2.58705456262495e+001,-1.27747260639071e+000

3.63007662126863e+004,-2.58705691865610e+001,-1.29530393365001e+000

3.68075060249948e+004,-2.58705934090731e+001,-1.31338411218692e+000

3.73213196614721e+004,-2.58706183123934e+001,-1.33171661308581e+000

3.78423058690237e+004,-2.58706439156514e+001,-1.35030495577009e+000

3.83705647730104e+004,-2.58706702385145e+001,-1.36915270867030e+000

3.89061978964912e+004,-2.58706973012020e+001,-1.38826348990323e+000

3.94493081797342e+004,-2.58707251245011e+001,-1.40764096796107e+000

3.99999999999998e+004,-2.58707537297828e+001,-1.42728886240855e+000

4.05583791916010e+004,-2.58707831390182e+001,-1.44721094458947e+000

4.11245530662425e+004,-2.58708133747951e+001,-1.46741103834484e+000

4.16986304336447e+004,-2.58708444603357e+001,-1.48789302073746e+000

4.22807216224550e+004,-2.58708764195142e+001,-1.50866082279012e+000

4.28709385014515e+004,-2.58709092768751e+001,-1.52971843023053e+000

4.34693945010421e+004,-2.58709430576519e+001,-1.55106988424890e+000

4.40762046350642e+004,-2.58709777877865e+001,-1.57271928226346e+000

4.46914855228886e+004,-2.58710134939491e+001,-1.59467077869884e+000

4.53153554118317e+004,-2.58710502035586e+001,-1.61692858577271e+000

4.59479341998812e+004,-2.58710879448035e+001,-1.63949697429465e+000

4.65893434587380e+004,-2.58711267466635e+001,-1.66238027447522e+000

4.72397064571810e+004,-2.58711666389318e+001,-1.68558287674560e+000

4.78991481847569e+004,-2.58712076522376e+001,-1.70910923258878e+000

4.85677953758016e+004,-2.58712498180699e+001,-1.73296385538151e+000

4.92457765337964e+004,-2.58712931688014e+001,-1.75715132124861e+000

4.99332219560642e+004,-2.58713377377130e+001,-1.78167626992752e+000

5.06302637588109e+004,-2.58713835590197e+001,-1.80654340564514e+000

5.13370359025159e+004,-2.58714306678965e+001,-1.83175749800553e+000

5.20536742176771e+004,-2.58714791005055e+001,-1.85732338289153e+000

5.27803164309155e+004,-2.58715288940230e+001,-1.88324596337577e+000

5.35171021914442e+004,-2.58715800866686e+001,-1.90953021064662e+000

5.42641730979066e+004,-2.58716327177340e+001,-1.93618116494414e+000

5.50216727255895e+004,-2.58716868276128e+001,-1.96320393650914e+000

5.57897466540159e+004,-2.58717424578322e+001,-1.99060370654617e+000

5.65685424949235e+004,-2.58717996510835e+001,-2.01838572819813e+000

5.73582099206328e+004,-2.58718584512558e+001,-2.04655532753361e+000

5.81589006928121e+004,-2.58719189034687e+001,-2.07511790454813e+000

5.89707686916437e+004,-2.58719810541072e+001,-2.10407893417785e+000

5.97939699453972e+004,-2.58720449508570e+001,-2.13344396732709e+000

6.06286626604156e+004,-2.58721106427406e+001,-2.16321863191028e+000

6.14750072515201e+004,-2.58721781801550e+001,-2.19340863390540e+000

6.23331663728396e+004,-2.58722476149101e+001,-2.22401975842380e+000

6.32033049490698e+004,-2.58723190002678e+001,-2.25505787079169e+000

6.40855902071694e+004,-2.58723923909833e+001,-2.28652891764791e+000

6.49801917084985e+004,-2.58724678433461e+001,-2.31843892805498e+000

6.58872813814055e+004,-2.58725454152232e+001,-2.35079401462471e+000

6.68070335542691e+004,-2.58726251661032e+001,-2.38360037465822e+000

6.77396249890018e+004,-2.58727071571414e+001,-2.41686429130140e+000

6.86852349150199e+004,-2.58727914512068e+001,-2.45059213471538e+000

6.96440450636895e+004,-2.58728781129290e+001,-2.48479036326173e+000

7.06162397032520e+004,-2.58729672087485e+001,-2.51946552470195e+000

7.16020056742374e+004,-2.58730588069663e+001,-2.55462425741570e+000

7.26015324253724e+004,-2.58731529777963e+001,-2.59027329163108e+000

7.36150120499896e+004,-2.58732497934187e+001,-2.62641945067201e+000

7.46426393229441e+004,-2.58733493280343e+001,-2.66306965222259e+000

7.56846117380472e+004,-2.58734516579215e+001,-2.70023090960615e+000

7.67411295460207e+004,-2.58735568614937e+001,-2.73791033308133e+000

7.78123957929823e+004,-2.58736650193592e+001,-2.77611513115434e+000

7.88986163594682e+004,-2.58737762143820e+001,-2.81485261190772e+000

7.99999999999995e+004,-2.58738905317449e+001,-2.85413018434626e+000

8.11167583832018e+004,-2.58740080590138e+001,-2.89395535975986e+000

8.22491061324848e+004,-2.58741288862045e+001,-2.93433575310195e+000

8.33972608672892e+004,-2.58742531058502e+001,-2.97527908438873e+000

8.45614432449099e+004,-2.58743808130722e+001,-3.01679318011085e+000

