Freq.,VOut,OutRef

1.00000000000000e+004,-1.58849709242296e+000,-1.58283360167108e-002

1.01395947979003e+004,-1.58849711826765e+000,-1.60492902351520e-002

1.02811382665607e+004,-1.58849714483855e+000,-1.62733288141312e-002

1.04246576084112e+004,-1.58849717215658e+000,-1.65004948045095e-002

1.05701804056138e+004,-1.58849720024251e+000,-1.67308318625142e-002

1.07177346253629e+004,-1.58849722911779e+000,-1.69643842537368e-002

1.08673486252606e+004,-1.58849725880513e+000,-1.72011968563678e-002

1.10190511587661e+004,-1.58849728932699e+000,-1.74413151814163e-002

1.11728713807222e+004,-1.58849732070644e+000,-1.76847853752074e-002

1.13288388529580e+004,-1.58849735296833e+000,-1.79316542207825e-002

1.14869835499703e+004,-1.58849738613718e+000,-1.81819691604001e-002

1.16473358646846e+004,-1.58849742023851e+000,-1.84357782968583e-002

1.18099266142953e+004,-1.58849745529835e+000,-1.86931304055971e-002

1.19747870461893e+004,-1.58849749134355e+000,-1.89540749421825e-002

1.21419488439505e+004,-1.58849752840196e+000,-1.92186620507897e-002

1.23114441334492e+004,-1.58849756650235e+000,-1.94869425747977e-002

1.24833054890161e+004,-1.58849760567386e+000,-1.97589680696464e-002

1.26575659397028e+004,-1.58849764594617e+000,-2.00347908124230e-002

1.28342589756290e+004,-1.58849768735063e+000,-2.03144638043731e-002

1.30134185544193e+004,-1.58849772991924e+000,-2.05980407878609e-002

1.31950791077289e+004,-1.58849777368413e+000,-2.08855762601687e-002

1.33792755478611e+004,-1.58849781867921e+000,-2.11771254738910e-002

1.35660432744767e+004,-1.58849786493933e+000,-2.14727444524035e-002

1.37554181813974e+004,-1.58849791249960e+000,-2.17724900058006e-002

1.39474366635040e+004,-1.58849796139676e+000,-2.20764197325779e-002

1.41421356237309e+004,-1.58849801166849e+000,-2.23845920362452e-002

1.43395524801583e+004,-1.58849806335325e+000,-2.26970661368234e-002

1.45397251732031e+004,-1.58849811649075e+000,-2.30139020794801e-002

1.47426921729110e+004,-1.58849817112230e+000,-2.33351607443505e-002

1.49484924863494e+004,-1.58849822728916e+000,-2.36609038693099e-002

1.51571656651040e+004,-1.58849828503448e+000,-2.39911940490210e-002

1.53687518128801e+004,-1.58849834440345e+000,-2.43260947460750e-002

1.55832915932100e+004,-1.58849840544083e+000,-2.46656703195578e-002

1.58008262372675e+004,-1.58849846819428e+000,-2.50099860165638e-002

1.60213975517924e+004,-1.58849853271129e+000,-2.53591080041521e-002

1.62450479271247e+004,-1.58849859904170e+000,-2.57131033660011e-002

1.64718203453514e+004,-1.58849866723665e+000,-2.60720401231672e-002

1.67017583885674e+004,-1.58849873734831e+000,-2.64359872479175e-002

1.69349062472505e+004,-1.58849880943073e+000,-2.68050146725619e-002

1.71713087287550e+004,-1.58849888353900e+000,-2.71791933081756e-002

1.74110112659224e+004,-1.58849895973023e+000,-2.75585950525389e-002

1.76540599258131e+004,-1.58849903806335e+000,-2.79432928050556e-002

1.79005014185594e+004,-1.58849911859761e+000,-2.83333604913842e-002

1.81503831063432e+004,-1.58849920139566e+000,-2.87288730569293e-002

1.84037530124975e+004,-1.58849928652088e+000,-2.91299065000370e-002

1.86606598307361e+004,-1.58849937403850e+000,-2.95365378783966e-002

1.89211529345119e+004,-1.58849946401613e+000,-2.99488453220400e-002

1.91852823865052e+004,-1.58849955652246e+000,-3.03669080559965e-002

1.94530989482457e+004,-1.58849965162865e+000,-3.07908064072986e-002

1.97246540898671e+004,-1.58849974940793e+000,-3.12206218233442e-002

1.99999999999999e+004,-1.58849984993519e+000,-3.16564368905081e-002

2.02791895958005e+004,-1.58849995328763e+000,-3.20983353457372e-002

2.05622765331213e+004,-1.58850005954472e+000,-3.25464020942624e-002

2.08493152168224e+004,-1.58850016878839e+000,-3.30007232239226e-002

2.11403608112276e+004,-1.58850028110200e+000,-3.34613860292342e-002

2.14354692507258e+004,-1.58850039657195e+000,-3.39284790183331e-002

