Freq.,VOut,OutRef

1.00000000000000e+004,-2.97315902834681e+001,-4.73921949103490e-001

1.01395947979003e+004,-2.97315936291239e+001,-4.80537577451799e-001

1.02811382665607e+004,-2.97315970688361e+001,-4.87245553323802e-001

1.04246576084112e+004,-2.97316006052489e+001,-4.94047165705706e-001

1.05701804056138e+004,-2.97316042410806e+001,-5.00943721573637e-001

1.07177346253629e+004,-2.97316079791264e+001,-5.07936546140285e-001

1.08673486252606e+004,-2.97316118222595e+001,-5.15026983112826e-001

1.10190511587661e+004,-2.97316157734343e+001,-5.22216394948314e-001

1.11728713807222e+004,-2.97316198356877e+001,-5.29506163117869e-001

1.13288388529580e+004,-2.97316240121427e+001,-5.36897688367767e-001

1.14869835499703e+004,-2.97316283060096e+001,-5.44392390992084e-001

1.16473358646846e+004,-2.97316327205890e+001,-5.51991711103181e-001

1.18099266142953e+004,-2.97316372592745e+001,-5.59697108908991e-001

1.19747870461893e+004,-2.97316419255546e+001,-5.67510064992759e-001

1.21419488439505e+004,-2.97316467230165e+001,-5.75432080596635e-001

1.23114441334492e+004,-2.97316516553477e+001,-5.83464677910784e-001

1.24833054890161e+004,-2.97316567263398e+001,-5.91609400363732e-001

1.26575659397028e+004,-2.97316619398905e+001,-5.99867812921242e-001

1.28342589756290e+004,-2.97316673000075e+001,-6.08241502383569e-001

1.30134185544193e+004,-2.97316728108109e+001,-6.16732077691163e-001

1.31950791077289e+004,-2.97316784765366e+001,-6.25341170234129e-001

1.33792755478611e+004,-2.97316843015398e+001,-6.34070434162576e-001

1.35660432744767e+004,-2.97316902902978e+001,-6.42921546707354e-001

1.37554181813974e+004,-2.97316964474140e+001,-6.51896208498325e-001

1.39474366635040e+004,-2.97317027776210e+001,-6.60996143892803e-001

1.41421356237309e+004,-2.97317092857847e+001,-6.70223101305072e-001

1.43395524801583e+004,-2.97317159769074e+001,-6.79578853542170e-001

1.45397251732031e+004,-2.97317228561322e+001,-6.89065198143584e-001

1.47426921729110e+004,-2.97317299287468e+001,-6.98683957725324e-001

1.49484924863494e+004,-2.97317372001875e+001,-7.08436980329961e-001

1.51571656651040e+004,-2.97317446760433e+001,-7.18326139781266e-001

1.53687518128801e+004,-2.97317523620604e+001,-7.28353336042829e-001

1.55832915932100e+004,-2.97317602641464e+001,-7.38520495580922e-001

1.58008262372675e+004,-2.97317683883752e+001,-7.48829571736293e-001

1.60213975517924e+004,-2.97317767409909e+001,-7.59282545097381e-001

1.62450479271247e+004,-2.97317853284138e+001,-7.69881423878238e-001

1.64718203453514e+004,-2.97317941572438e+001,-7.80628244306532e-001

1.67017583885674e+004,-2.97318032342672e+001,-7.91525071009232e-001

1.69349062472505e+004,-2.97318125664603e+001,-8.02573997413697e-001

1.71713087287550e+004,-2.97318221609958e+001,-8.13777146143285e-001

1.74110112659224e+004,-2.97318320252479e+001,-8.25136669427365e-001

1.76540599258131e+004,-2.97318421667983e+001,-8.36654749512080e-001

1.79005014185594e+004,-2.97318525934413e+001,-8.48333599078296e-001

1.81503831063432e+004,-2.97318633131907e+001,-8.60175461665944e-001

1.84037530124975e+004,-2.97318743342853e+001,-8.72182612102753e-001

1.86606598307361e+004,-2.97318856651954e+001,-8.84357356940704e-001

1.89211529345119e+004,-2.97318973146294e+001,-8.96702034895393e-001

1.91852823865052e+004,-2.97319092915405e+001,-9.09219017296895e-001

1.94530989482457e+004,-2.97319216051335e+001,-9.21910708540829e-001

1.97246540898671e+004,-2.97319342648717e+001,-9.34779546549572e-001

1.99999999999999e+004,-2.97319472804845e+001,-9.47828003237908e-001

2.02791895958005e+004,-2.97319606619747e+001,-9.61058584987610e-001

2.05622765331213e+004,-2.97319744196262e+001,-9.74473833124526e-001

2.08493152168224e+004,-2.97319885640118e+001,-9.88076324406760e-001

2.11403608112276e+004,-2.97320031060014e+001,-1.00186867151538e+000

2.14354692507258e+004,-2.97320180567704e+001,-1.01585352355588e+000

2.17346972505211e+004,-2.97320334278083e+001,-1.03003356656269e+000

2.20381023175322e+004,-2.97320492309273e+001,-1.04441152401471e+000

2.23457427614443e+004,-2.97320654782715e+001,-1.05899015735358e+000

2.26576777059159e+004,-2.97320821823264e+001,-1.07377226651224e+000

2.29739670999406e+004,-2.97320993559282e+001,-1.08876069045067e+000

2.32946717293690e+004,-2.97321170122738e+001,-1.10395830769685e+000

2.36198532285905e+004,-2.97321351649308e+001,-1.11936803689749e+000

2.39495740923785e+004,-2.97321538278481e+001,-1.13499283737450e+000

2.42838976879009e+004,-2.97321730153666e+001,-1.15083570969028e+000

2.46228882668982e+004,-2.97321927422299e+001,-1.16689969622059e+000

2.49666109780322e+004,-2.97322130235960e+001,-1.18318788173537e+000

2.53151318794055e+004,-2.97322338750486e+001,-1.19970339398631e+000

2.56685179512580e+004,-2.97322553126093e+001,-1.21644940430499e+000

2.60268371088386e+004,-2.97322773527499e+001,-1.23342912820581e+000

2.63901582154578e+004,-2.97323000124048e+001,-1.25064582600146e+000

2.67585510957221e+004,-2.97323233089841e+001,-1.26810280342228e+000

2.71320865489533e+004,-2.97323472603872e+001,-1.28580341224707e+000

2.75108363627948e+004,-2.97323718850159e+001,-1.30375105094265e+000

2.78948733270080e+004,-2.97323972017895e+001,-1.32194916530977e+000

2.82842712474618e+004,-2.97324232301582e+001,-1.34040124914066e+000

2.86791049603164e+004,-2.97324499901188e+001,-1.35911084488318e+000

2.90794503464061e+004,-2.97324775022297e+001,-1.37808154431630e+000

2.94853843458219e+004,-2.97325057876269e+001,-1.39731698923244e+000

2.98969849726987e+004,-2.97325348680398e+001,-1.41682087213109e+000

3.03143313302078e+004,-2.97325647658083e+001,-1.43659693692086e+000

3.07375036257601e+004,-2.97325955038996e+001,-1.45664897963147e+000

