Freq.,VOut,OutRef

1.00000000000000e+004,-3.99608456633645e+000,-2.11833176833274e-002

1.01395947979003e+004,-3.99608466196279e+000,-2.14790216478569e-002

1.02811382665607e+004,-3.99608476027709e+000,-2.17788533116524e-002

1.04246576084112e+004,-3.99608486135515e+000,-2.20828702869885e-002

1.05701804056138e+004,-3.99608496527441e+000,-2.23911309921232e-002

1.07177346253629e+004,-3.99608507211564e+000,-2.27036946531298e-002

1.08673486252606e+004,-3.99608518195973e+000,-2.30206213370522e-002

1.10190511587661e+004,-3.99608529489189e+000,-2.33419719351500e-002

1.11728713807222e+004,-3.99608541099880e+000,-2.36678081946308e-002

1.13288388529580e+004,-3.99608553036929e+000,-2.39981927260738e-002

1.14869835499703e+004,-3.99608565309528e+000,-2.43331890099035e-002

1.16473358646846e+004,-3.99608577927139e+000,-2.46728614112089e-002

1.18099266142953e+004,-3.99608590899437e+000,-2.50172751971242e-002

1.19747870461893e+004,-3.99608604236429e+000,-2.53664965407745e-002

1.21419488439505e+004,-3.99608617948314e+000,-2.57205925451514e-002

1.23114441334492e+004,-3.99608632045606e+000,-2.60796312467706e-002

1.24833054890161e+004,-3.99608646539205e+000,-2.64436816263718e-002

1.26575659397028e+004,-3.99608661440240e+000,-2.68128136316222e-002

1.28342589756290e+004,-3.99608676760135e+000,-2.71870981870487e-002

1.30134185544193e+004,-3.99608692510657e+000,-2.75666072055944e-002

1.31950791077289e+004,-3.99608708703911e+000,-2.79514136028417e-002

1.33792755478611e+004,-3.99608725352379e+000,-2.83415913091313e-002

1.35660432744767e+004,-3.99608742468839e+000,-2.87372152898380e-002

1.37554181813974e+004,-3.99608760066418e+000,-2.91383615566504e-002

1.39474366635040e+004,-3.99608778158667e+000,-2.95451071781764e-002

1.41421356237309e+004,-3.99608796759465e+000,-2.99575303014685e-002

1.43395524801583e+004,-3.99608815883098e+000,-3.03757101623796e-002

1.45397251732031e+004,-3.99608835544306e+000,-3.07997270989054e-002

1.47426921729110e+004,-3.99608855758166e+000,-3.12296625747110e-002

1.49484924863494e+004,-3.99608876540213e+000,-3.16655991868984e-002

1.51571656651040e+004,-3.99608897906421e+000,-3.21076206854278e-002

1.53687518128801e+004,-3.99608919873174e+000,-3.25558119900553e-002

1.55832915932100e+004,-3.99608942457393e+000,-3.30102592007798e-002

1.58008262372675e+004,-3.99608965676435e+000,-3.34710496200638e-002

1.60213975517924e+004,-3.99608989548100e+000,-3.39382717719891e-002

1.62450479271247e+004,-3.99609014090752e+000,-3.44120154098186e-002

1.64718203453514e+004,-3.99609039323208e+000,-3.48923715436589e-002

1.67017583885674e+004,-3.99609065264938e+000,-3.53794324442498e-002

1.69349062472505e+004,-3.99609091935794e+000,-3.58732916798519e-002

1.71713087287550e+004,-3.99609119356271e+000,-3.63740441181722e-002

1.74110112659224e+004,-3.99609147547488e+000,-3.68817859464720e-002

1.76540599258131e+004,-3.99609176531079e+000,-3.73966146982952e-002

1.79005014185594e+004,-3.99609206329264e+000,-3.79186292688129e-002

1.81503831063432e+004,-3.99609236964978e+000,-3.84479299257808e-002

1.84037530124975e+004,-3.99609268461774e+000,-3.89846183373029e-002

1.86606598307361e+004,-3.99609300843778e+000,-3.95287975942815e-002

1.89211529345119e+004,-3.99609334135901e+000,-4.00805722179652e-002

1.91852823865052e+004,-3.99609368363749e+000,-4.06400481873258e-002

1.94530989482457e+004,-3.99609403553556e+000,-4.12073329640719e-002

1.97246540898671e+004,-3.99609439732408e+000,-4.17825355012608e-002

1.99999999999999e+004,-3.99609476928037e+000,-4.23657662778642e-002

2.02791895958005e+004,-3.99609515169029e+000,-4.29571373074760e-002

2.05622765331213e+004,-3.99609554484738e+000,-4.35567621679842e-002

2.08493152168224e+004,-3.99609594905390e+000,-4.41647560170759e-002

2.11403608112276e+004,-3.99609636462021e+000,-4.47812356195791e-002

2.14354692507258e+004,-3.99609679186558e+000,-4.54063193669039e-002

2.17346972505211e+004,-3.99609723111748e+000,-4.60401273046781e-002

2.20381023175322e+004,-3.99609768271401e+000,-4.66827811426735e-002

2.23457427614443e+004,-3.99609814700116e+000,-4.73344042971759e-002

2.26576777059159e+004,-3.99609862433631e+000,-4.79951218926073e-002

2.29739670999406e+004,-3.99609911508494e+000,-4.86650608103020e-002

2.32946717293690e+004,-3.99609961962481e+000,-4.93443496853019e-002

2.36198532285905e+004,-3.99610013834257e+000,-5.00331189563891e-002

2.39495740923785e+004,-3.99610067163709e+000,-5.07315008707914e-002

2.42838976879009e+004,-3.99610121991695e+000,-5.14396295274291e-002

2.46228882668982e+004,-3.99610178360402e+000,-5.21576408814457e-002

2.49666109780322e+004,-3.99610236313030e+000,-5.28856727926445e-002

2.53151318794055e+004,-3.99610295894089e+000,-5.36238650346433e-002

2.56685179512580e+004,-3.99610357149337e+000,-5.43723593278182e-002

2.60268371088386e+004,-3.99610420125767e+000,-5.51312993691440e-002

2.63901582154578e+004,-3.99610484871693e+000,-5.59008308566326e-002

2.67585510957221e+004,-3.99610551436828e+000,-5.66811015143090e-002

2.71320865489533e+004,-3.99610619872280e+000,-5.74722611228153e-002

2.75108363627948e+004,-3.99610690230532e+000,-5.82744615515464e-002

2.78948733270080e+004,-3.99610762565604e+000,-5.90878567807080e-002

2.82842712474618e+004,-3.99610836932948e+000,-5.99126029386646e-002

2.86791049603164e+004,-3.99610913389685e+000,-6.07488583197322e-002

2.90794503464061e+004,-3.99610991994455e+000,-6.15967834268178e-002

2.94853843458219e+004,-3.99611072807559e+000,-6.24565409953106e-002

2.98969849726987e+004,-3.99611155891000e+000,-6.33282960244904e-002

3.03143313302078e+004,-3.99611241308498e+000,-6.42122158106799e-002

3.07375036257601e+004,-3.99611329125603e+000,-6.51084699754938e-002

3.11665831864199e+004,-3.99611419409677e+000,-6.60172305012576e-002

3.16016524745350e+004,-3.99611512229908e+000,-6.69386717672920e-002

3.20427951035848e+004,-3.99611607657541e+000,-6.78729705700616e-002

3.24900958542493e+004,-3.99611705765739e+000,-6.88203061708517e-002

3.29436406907028e+004,-3.99611806629722e+000,-6.97808603225745e-002

3.34035167771346e+004,-3.99611910326840e+000,-7.07548173037634e-002

3.38698124945009e+004,-3.99612016936597e+000,-7.17423639567568e-002

3.43426174575100e+004,-3.99612126540724e+000,-7.27436897205090e-002

3.48220225318448e+004,-3.99612239223253e+000,-7.37589866669571e-002

3.53081198516260e+004,-3.99612355070520e+000,-7.47884495402081e-002

3.58010028371187e+004,-3.99612474171373e+000,-7.58322757848297e-002

3.63007662126863e+004,-3.99612596617061e+000,-7.68906655943248e-002

3.68075060249948e+004,-3.99612722501417e+000,-7.79638219419801e-002

3.73213196614721e+004,-3.99612851920905e+000,-7.90519506195947e-002

3.78423058690237e+004,-3.99612984974666e+000,-8.01552602795553e-002

3.83705647730104e+004,-3.99613121764695e+000,-8.12739624663893e-002

3.89061978964912e+004,-3.99613262395716e+000,-8.24082716697408e-002

3.94493081797342e+004,-3.99613406975492e+000,-8.35584053506976e-002

3.99999999999998e+004,-3.99613555614732e+000,-8.47245839927227e-002

4.05583791916010e+004,-3.99613708427293e+000,-8.59070311362662e-002

4.11245530662425e+004,-3.99613865530137e+000,-8.71059734291356e-002

4.16986304336447e+004,-3.99614027043582e+000,-8.83216406577009e-002

4.22807216224550e+004,-3.99614193091276e+000,-8.95542657984673e-002

4.28709385014515e+004,-3.99614363800340e+000,-9.08040850578866e-002

4.34693945010421e+004,-3.99614539301386e+000,-9.20713379219961e-002

4.40762046350642e+004,-3.99614719728758e+000,-9.33562671921248e-002

4.46914855228886e+004,-3.99614905220507e+000,-9.46591190373837e-002

4.53153554118317e+004,-3.99615095918539e+000,-9.59801430396482e-002

4.59479341998812e+004,-3.99615291968743e+000,-9.73195922370295e-002

4.65893434587380e+004,-3.99615493521051e+000,-9.86777231752028e-002

4.72397064571810e+004,-3.99615700729645e+000,-1.00054795949130e-001

4.78991481847569e+004,-3.99615913752932e+000,-1.01451074260139e-001

4.85677953758016e+004,-3.99616132753768e+000,-1.02866825458662e-001

4.92457765337964e+004,-3.99616357899583e+000,-1.04302320593499e-001

4.99332219560642e+004,-3.99616589362453e+000,-1.05757834465469e-001

5.06302637588109e+004,-3.99616827319246e+000,-1.07233645677972e-001

5.13370359025159e+004,-3.99617071951752e+000,-1.08730036687404e-001

5.20536742176771e+004,-3.99617323446886e+000,-1.10247293852865e-001

5.27803164309155e+004,-3.99617581996697e+000,-1.11785707496218e-001

5.35171021914442e+004,-3.99617847798626e+000,-1.13345571948871e-001

5.42641730979066e+004,-3.99618121055605e+000,-1.14927185609430e-001

5.50216727255895e+004,-3.99618401976253e+000,-1.16530850995132e-001

5.57897466540159e+004,-3.99618690774903e+000,-1.18156874806331e-001

5.65685424949235e+004,-3.99618987671965e+000,-1.19805567969727e-001

5.73582099206328e+004,-3.99619292893906e+000,-1.21477245707594e-001

5.81589006928121e+004,-3.99619606673541e+000,-1.23172227586662e-001

5.89707686916437e+004,-3.99619929250096e+000,-1.24890837585181e-001

5.97939699453972e+004,-3.99620260869508e+000,-1.26633404142867e-001

6.06286626604156e+004,-3.99620601784537e+000,-1.28400260226586e-001

6.14750072515201e+004,-3.99620952254929e+000,-1.30191743392207e-001

6.23331663728396e+004,-3.99621312547700e+000,-1.32008195839496e-001

6.32033049490698e+004,-3.99621682937215e+000,-1.33849964483282e-001

6.40855902071694e+004,-3.99622063705506e+000,-1.35717401007802e-001

6.49801917084985e+004,-3.99622455142406e+000,-1.37610861935883e-001

6.58872813814055e+004,-3.99622857545812e+000,-1.39530708690147e-001

6.68070335542691e+004,-3.99623271221804e+000,-1.41477307664479e-001

6.77396249890018e+004,-3.99623696485032e+000,-1.43451030280052e-001

6.86852349150199e+004,-3.99624133658838e+000,-1.45452253058787e-001

6.96440450636895e+004,-3.99624583075455e+000,-1.47481357693847e-001

7.06162397032520e+004,-3.99625045076391e+000,-1.49538731108704e-001

7.16020056742374e+004,-3.99625520012571e+000,-1.51624765533313e-001

7.26015324253724e+004,-3.99626008244617e+000,-1.53739858573041e-001

7.36150120499896e+004,-3.99626510143112e+000,-1.55884413278562e-001

7.46426393229441e+004,-3.99627026088881e+000,-1.58058838218158e-001

7.56846117380472e+004,-3.99627556473283e+000,-1.60263547547671e-001

7.67411295460207e+004,-3.99628101698458e+000,-1.62498961087404e-001

7.78123957929823e+004,-3.99628662177605e+000,-1.64765504396278e-001

7.88986163594682e+004,-3.99629238335382e+000,-1.67063608841251e-001

7.99999999999995e+004,-3.99629830608120e+000,-1.69393711677964e-001

8.11167583832018e+004,-3.99630439444114e+000,-1.71756256129673e-001

8.22491061324848e+004,-3.99631065304062e+000,-1.74151691457028e-001

8.33972608672892e+004,-3.99631708661299e+000,-1.76580473042526e-001

8.45614432449099e+004,-3.99632370002181e+000,-1.79043062466516e-001

8.57418770029029e+004,-3.99633049826404e+000,-1.81539927590057e-001

8.69387890020841e+004,-3.99633748647408e+000,-1.84071542631586e-001

8.81524092701283e+004,-3.99634466992690e+000,-1.86638388252599e-001

8.93829710457770e+004,-3.99635205404192e+000,-1.89240951639227e-001

