Freq.,VOut,OutRef

1.00000000000000e+004,-3.05075536432269e+001,-6.70294075954697e-002

1.01395947979003e+004,-3.05075537587672e+001,-6.79651007766060e-002

1.02811382665607e+004,-3.05075538775555e+001,-6.89138556435066e-002

1.04246576084112e+004,-3.05075539996834e+001,-6.98758545240770e-002

1.05701804056138e+004,-3.05075541252444e+001,-7.08512822957916e-002

1.07177346253629e+004,-3.05075542543356e+001,-7.18403264104755e-002

1.08673486252606e+004,-3.05075543870557e+001,-7.28431769431153e-002

1.10190511587661e+004,-3.05075545235069e+001,-7.38600266178682e-002

1.11728713807222e+004,-3.05075546637940e+001,-7.48910708512731e-002

1.13288388529580e+004,-3.05075548080250e+001,-7.59365077833880e-002

1.14869835499703e+004,-3.05075549563109e+001,-7.69965383239285e-002

1.16473358646846e+004,-3.05075551087652e+001,-7.80713661876012e-002

1.18099266142953e+004,-3.05075552655054e+001,-7.91611979297327e-002

1.19747870461893e+004,-3.05075554266520e+001,-8.02662429889092e-002

1.21419488439505e+004,-3.05075555923286e+001,-8.13867137302393e-002

1.23114441334492e+004,-3.05075557626630e+001,-8.25228254772963e-002

1.24833054890161e+004,-3.05075559377857e+001,-8.36747965664877e-002

1.26575659397028e+004,-3.05075561178317e+001,-8.48428483753073e-002

1.28342589756290e+004,-3.05075563029389e+001,-8.60272053761663e-002

1.30134185544193e+004,-3.05075564932500e+001,-8.72280951707419e-002

1.31950791077289e+004,-3.05075566889110e+001,-8.84457485398937e-002

1.33792755478611e+004,-3.05075568900725e+001,-8.96803994842914e-002

1.35660432744767e+004,-3.05075570968891e+001,-9.09322852715666e-002

1.37554181813974e+004,-3.05075573095196e+001,-9.22016464813401e-002

1.39474366635040e+004,-3.05075575281277e+001,-9.34887270498542e-002

1.41421356237309e+004,-3.05075577528811e+001,-9.47937743203535e-002

1.43395524801583e+004,-3.05075579839525e+001,-9.61170390873047e-002

1.45397251732031e+004,-3.05075582215200e+001,-9.74587756428655e-002

1.47426921729110e+004,-3.05075584657657e+001,-9.88192418327366e-002

1.49484924863494e+004,-3.05075587168777e+001,-1.00198699098877e-001

1.51571656651040e+004,-3.05075589750487e+001,-1.01597412534263e-001

1.53687518128801e+004,-3.05075592404772e+001,-1.03015650929888e-001

1.55832915932100e+004,-3.05075595133672e+001,-1.04453686829866e-001

1.58008262372675e+004,-3.05075597939287e+001,-1.05911796579675e-001

1.60213975517924e+004,-3.05075600823769e+001,-1.07390260385374e-001

1.62450479271247e+004,-3.05075603789337e+001,-1.08889362361914e-001

1.64718203453514e+004,-3.05075606838270e+001,-1.10409390589238e-001

1.67017583885674e+004,-3.05075609972912e+001,-1.11950637167767e-001

1.69349062472505e+004,-3.05075613195672e+001,-1.13513398276841e-001

1.71713087287550e+004,-3.05075616509024e+001,-1.15097974228641e-001

1.74110112659224e+004,-3.05075619915518e+001,-1.16704669524297e-001

1.76540599258131e+004,-3.05075623417771e+001,-1.18333792917593e-001

1.79005014185594e+004,-3.05075627018473e+001,-1.19985657471260e-001

1.81503831063432e+004,-3.05075630720391e+001,-1.21660580615790e-001

1.84037530124975e+004,-3.05075634526373e+001,-1.23358884212101e-001

1.86606598307361e+004,-3.05075638439341e+001,-1.25080894613639e-001

1.89211529345119e+004,-3.05075642462303e+001,-1.26826942728565e-001

1.91852823865052e+004,-3.05075646598351e+001,-1.28597364083407e-001

1.94530989482457e+004,-3.05075650850662e+001,-1.30392498886331e-001

1.97246540898671e+004,-3.05075655222504e+001,-1.32212692094230e-001

1.99999999999999e+004,-3.05075659717238e+001,-1.34058293478002e-001

2.02791895958005e+004,-3.05075664338316e+001,-1.35929657689412e-001

2.05622765331213e+004,-3.05075669089291e+001,-1.37827144329343e-001

2.08493152168224e+004,-3.05075673973812e+001,-1.39751118018486e-001

2.11403608112276e+004,-3.05075678995630e+001,-1.41701948465705e-001

2.14354692507258e+004,-3.05075684158610e+001,-1.43680010535938e-001

2.17346972505211e+004,-3.05075689466714e+001,-1.45685684330189e-001

2.20381023175322e+004,-3.05075694924023e+001,-1.47719355250520e-001

2.23457427614443e+004,-3.05075700534728e+001,-1.49781414079594e-001

2.26576777059159e+004,-3.05075706303141e+001,-1.51872257051242e-001

2.29739670999406e+004,-3.05075712233696e+001,-1.53992285928180e-001

2.32946717293690e+004,-3.05075718330947e+001,-1.56141908082036e-001

2.36198532285905e+004,-3.05075724599580e+001,-1.58321536566404e-001

2.39495740923785e+004,-3.05075731044410e+001,-1.60531590201422e-001

2.42838976879009e+004,-3.05075737670389e+001,-1.62772493649199e-001

2.46228882668982e+004,-3.05075744482608e+001,-1.65044677498265e-001

2.49666109780322e+004,-3.05075751486300e+001,-1.67348578345290e-001

2.53151318794055e+004,-3.05075758686847e+001,-1.69684638878472e-001

2.56685179512580e+004,-3.05075766089777e+001,-1.72053307965535e-001

2.60268371088386e+004,-3.05075773700780e+001,-1.74455040733444e-001

2.63901582154578e+004,-3.05075781525703e+001,-1.76890298662309e-001

2.67585510957221e+004,-3.05075789570555e+001,-1.79359549670964e-001

2.71320865489533e+004,-3.05075797841516e+001,-1.81863268206046e-001

2.75108363627948e+004,-3.05075806344941e+001,-1.84401935333692e-001

2.78948733270080e+004,-3.05075815087360e+001,-1.86976038833078e-001

2.82842712474618e+004,-3.05075824075489e+001,-1.89586073288254e-001

2.86791049603164e+004,-3.05075833316231e+001,-1.92232540183975e-001

2.90794503464061e+004,-3.05075842816686e+001,-1.94915948000205e-001

2.94853843458219e+004,-3.05075852584146e+001,-1.97636812313883e-001

2.98969849726987e+004,-3.05075862626117e+001,-2.00395655891472e-001

3.03143313302078e+004,-3.05075872950308e+001,-2.03193008794728e-001

3.07375036257601e+004,-3.05075883564651e+001,-2.06029408478777e-001

3.11665831864199e+004,-3.05075894477294e+001,-2.08905399898461e-001

3.16016524745350e+004,-3.05075905696621e+001,-2.11821535607988e-001

3.20427951035848e+004,-3.05075917231247e+001,-2.14778375870732e-001

3.24900958542493e+004,-3.05075929090026e+001,-2.17776488767805e-001

3.29436406907028e+004,-3.05075941282066e+001,-2.20816450302657e-001

3.34035167771346e+004,-3.05075953816730e+001,-2.23898844512508e-001

3.38698124945009e+004,-3.05075966703640e+001,-2.27024263583607e-001

3.43426174575100e+004,-3.05075979952692e+001,-2.30193307959976e-001

3.48220225318448e+004,-3.05075993574057e+001,-2.33406586463251e-001

3.53081198516260e+004,-3.05076007578194e+001,-2.36664716404769e-001

3.58010028371187e+004,-3.05076021975852e+001,-2.39968323707182e-001

3.63007662126863e+004,-3.05076036778085e+001,-2.43318043022026e-001

3.68075060249948e+004,-3.05076051996257e+001,-2.46714517852634e-001

3.73213196614721e+004,-3.05076067642047e+001,-2.50158400677602e-001

3.78423058690237e+004,-3.05076083727467e+001,-2.53650353074039e-001

3.83705647730104e+004,-3.05076100264861e+001,-2.57191045846691e-001

3.89061978964912e+004,-3.05076117266923e+001,-2.60781159153368e-001

3.94493081797342e+004,-3.05076134746702e+001,-2.64421382637625e-001

3.99999999999998e+004,-3.05076152717612e+001,-2.68112415560059e-001

4.05583791916010e+004,-3.05076171193444e+001,-2.71854966930719e-001

4.11245530662425e+004,-3.05076190188376e+001,-2.75649755647789e-001

4.16986304336447e+004,-3.05076209716982e+001,-2.79497510632329e-001

4.22807216224550e+004,-3.05076229794247e+001,-2.83398970967801e-001

4.28709385014515e+004,-3.05076250435577e+001,-2.87354886042922e-001

4.34693945010421e+004,-3.05076271656804e+001,-2.91366015696069e-001

4.40762046350642e+004,-3.05076293474210e+001,-2.95433130356424e-001

4.46914855228886e+004,-3.05076315904533e+001,-2.99557011194389e-001

4.53153554118317e+004,-3.05076338964976e+001,-3.03738450271281e-001

4.59479341998812e+004,-3.05076362673228e+001,-3.07978250688303e-001

4.65893434587380e+004,-3.05076387047471e+001,-3.12277226742526e-001

4.72397064571810e+004,-3.05076412106400e+001,-3.16636204080038e-001

4.78991481847569e+004,-3.05076437869230e+001,-3.21056019857347e-001

4.85677953758016e+004,-3.05076464355718e+001,-3.25537522895330e-001

4.92457765337964e+004,-3.05076491586170e+001,-3.30081573848991e-001

4.99332219560642e+004,-3.05076519581466e+001,-3.34689045364375e-001

5.06302637588109e+004,-3.05076548363067e+001,-3.39360822250491e-001

5.13370359025159e+004,-3.05076577953036e+001,-3.44097801646272e-001

5.20536742176771e+004,-3.05076608374056e+001,-3.48900893190141e-001

5.27803164309155e+004,-3.05076639649442e+001,-3.53771019196446e-001

5.35171021914442e+004,-3.05076671803162e+001,-3.58709114830389e-001

5.42641730979066e+004,-3.05076704859859e+001,-3.63716128284927e-001

5.50216727255895e+004,-3.05076738844861e+001,-3.68793020964220e-001

5.57897466540159e+004,-3.05076773784207e+001,-3.73940767664555e-001

5.65685424949235e+004,-3.05076809704663e+001,-3.79160356761696e-001

5.73582099206328e+004,-3.05076846633749e+001,-3.84452790397191e-001

5.81589006928121e+004,-3.05076884599747e+001,-3.89819084672987e-001

5.89707686916437e+004,-3.05076923631737e+001,-3.95260269840598e-001

5.97939699453972e+004,-3.05076963759610e+001,-4.00777390500296e-001

6.06286626604156e+004,-3.05077005014091e+001,-4.06371505798798e-001

6.14750072515201e+004,-3.05077047426767e+001,-4.12043689631186e-001

6.23331663728396e+004,-3.05077091030105e+001,-4.17795030845235e-001

6.32033049490698e+004,-3.05077135857483e+001,-4.23626633448206e-001

6.40855902071694e+004,-3.05077181943209e+001,-4.29539616817143e-001

6.49801917084985e+004,-3.05077229322551e+001,-4.35535115911530e-001

6.58872813814055e+004,-3.05077278031763e+001,-4.41614281487428e-001

6.68070335542691e+004,-3.05077328108109e+001,-4.47778280321020e-001

6.77396249890018e+004,-3.05077379589897e+001,-4.54028295423441e-001

6.86852349150199e+004,-3.05077432516502e+001,-4.60365526270339e-001

6.96440450636895e+004,-3.05077486928400e+001,-4.66791189027579e-001

7.06162397032520e+004,-3.05077542867195e+001,-4.73306516783107e-001

7.16020056742374e+004,-3.05077600375655e+001,-4.79912759779055e-001

7.26015324253724e+004,-3.05077659497738e+001,-4.86611185649685e-001

7.36150120499896e+004,-3.05077720278629e+001,-4.93403079663454e-001

7.46426393229441e+004,-3.05077782764776e+001,-5.00289744962901e-001

7.56846117380472e+004,-3.05077847003917e+001,-5.07272502814456e-001

7.67411295460207e+004,-3.05077913045125e+001,-5.14352692856575e-001

7.78123957929823e+004,-3.05077980938839e+001,-5.21531673355161e-001

7.88986163594682e+004,-3.05078050736903e+001,-5.28810821458660e-001

7.99999999999995e+004,-3.05078122492605e+001,-5.36191533459796e-001

8.11167583832018e+004,-3.05078196260719e+001,-5.43675225057872e-001

8.22491061324848e+004,-3.05078272097541e+001,-5.51263331627945e-001

8.33972608672892e+004,-3.05078350060935e+001,-5.58957308491045e-001

8.45614432449099e+004,-3.05078430210377e+001,-5.66758631187809e-001

8.57418770029029e+004,-3.05078512606995e+001,-5.74668795758001e-001

8.69387890020841e+004,-3.05078597313616e+001,-5.82689319023741e-001

8.81524092701283e+004,-3.05078684394818e+001,-5.90821738870892e-001

8.93829710457770e+004,-3.05078773916969e+001,-5.99067614544511e-001

9.06307108236633e+004,-3.05078865948284e+001,-6.07428526937567e-001

9.18958683997622e+004,-3.05078960558870e+001,-6.15906078890622e-001

9.31786869174758e+004,-3.05079057820782e+001,-6.24501895492734e-001

9.44794129143618e+004,-3.05079157808076e+001,-6.33217624386281e-001

9.57982963695136e+004,-3.05079260596859e+001,-6.42054936077047e-001

9.71355907516031e+004,-3.05079366265352e+001,-6.51015524246358e-001

9.84915530675926e+004,-3.05079474893945e+001,-6.60101106070602e-001

9.98664439121282e+004,-3.05079586565251e+001,-6.69313422542057e-001

1.01260527517622e+005,-3.05079701364176e+001,-6.78654238794692e-001

1.02674071805032e+005,-3.05079819377977e+001,-6.88125344433458e-001

1.04107348435354e+005,-3.05079940696323e+001,-6.97728553872414e-001

1.05560632861831e+005,-3.05080065411366e+001,-7.07465706669096e-001

1.07034204382888e+005,-3.05080193617805e+001,-7.17338667872311e-001

1.08528346195813e+005,-3.05080325412957e+001,-7.27349328367024e-001

1.10043345451179e+005,-3.05080460896830e+001,-7.37499605227857e-001

1.11579493308032e+005,-3.05080600172190e+001,-7.47791442076574e-001

1.13137084989847e+005,-3.05080743344640e+001,-7.58226809444597e-001

1.14716419841265e+005,-3.05080890522699e+001,-7.68807705136205e-001

1.16317801385624e+005,-3.05081041817873e+001,-7.79536154603737e-001

1.17941537383287e+005,-3.05081197344746e+001,-7.90414211320071e-001

1.19587939890794e+005,-3.05081357221054e+001,-8.01443957162549e-001

1.21257325320831e+005,-3.05081521567775e+001,-8.12627502795715e-001

1.22950014503040e+005,-3.05081690509215e+001,-8.23966988064276e-001

1.24666332745679e+005,-3.05081864173097e+001,-8.35464582387243e-001

1.26406609898139e+005,-3.05082042690653e+001,-8.47122485159801e-001

1.28171180414339e+005,-3.05082226196719e+001,-8.58942926157775e-001

1.29960383416997e+005,-3.05082414829831e+001,-8.70928165950102e-001

1.31774562762811e+005,-3.05082608732320e+001,-8.83080496314244e-001

1.33614067108538e+005,-3.05082808050423e+001,-8.95402240656994e-001

1.35479249978003e+005,-3.05083012934377e+001,-9.07895754442679e-001

1.37370469830040e+005,-3.05083223538530e+001,-9.20563425624756e-001

1.39288090127379e+005,-3.05083440021452e+001,-9.33407675082011e-001

1.41232479406504e+005,-3.05083662546043e+001,-9.46430957064261e-001

1.43204011348474e+005,-3.05083891279650e+001,-9.59635759638895e-001

1.45203064850745e+005,-3.05084126394186e+001,-9.73024605145509e-001

1.47230024099979e+005,-3.05084368066247e+001,-9.86600050656508e-001

1.49285278645888e+005,-3.05084616477240e+001,-1.00036468844108e+000

1.51369223476094e+005,-3.05084871813503e+001,-1.01432114643851e+000

1.53482259092041e+005,-3.05085134266442e+001,-1.02847208873325e+000

1.55624791585964e+005,-3.05085404032659e+001,-1.04282021603915e+000

1.57797232718936e+005,-3.05085681314090e+001,-1.05736826618719e+000

1.59999999999999e+005,-3.05085966318143e+001,-1.07211901462220e+000

1.62233516766403e+005,-3.05086259257842e+001,-1.08707527490083e+000

1.64498212264969e+005,-3.05086560351970e+001,-1.10223989920060e+000

1.66794521734578e+005,-3.05086869825223e+001,-1.11761577883219e+000

1.69122886489819e+005,-3.05087187908360e+001,-1.13320584475847e+000

1.71483754005805e+005,-3.05087514838358e+001,-1.14901306811982e+000

1.73877578004168e+005,-3.05087850858578e+001,-1.16504046076527e+000

1.76304818540256e+005,-3.05088196218921e+001,-1.18129107579220e+000

1.78765942091554e+005,-3.05088551176004e+001,-1.19776800808818e+000

1.81261421647326e+005,-3.05088915993325e+001,-1.21447439488351e+000

1.83791736799524e+005,-3.05089290941442e+001,-1.23141341630788e+000

1.86357373834951e+005,-3.05089676298149e+001,-1.24858829595399e+000

1.88958825828723e+005,-3.05090072348665e+001,-1.26600230144780e+000

1.91596592739027e+005,-3.05090479385818e+001,-1.28365874502522e+000

1.94271181503206e+005,-3.05090897710234e+001,-1.30156098411686e+000

1.96983106135185e+005,-3.05091327630540e+001,-1.31971242193739e+000

1.99732887824256e+005,-3.05091769463557e+001,-1.33811650808191e+000

2.02521055035243e+005,-3.05092223534509e+001,-1.35677673913152e+000

2.05348143610063e+005,-3.05092690177233e+001,-1.37569665926321e+000

2.08214696870707e+005,-3.05093169734386e+001,-1.39487986086753e+000

2.11121265723661e+005,-3.05093662557669e+001,-1.41432998517379e+000

2.14068408765776e+005,-3.05094169008047e+001,-1.43405072288114e+000

2.17056692391625e+005,-3.05094689455978e+001,-1.45404581479724e+000

2.20086690902357e+005,-3.05095224281640e+001,-1.47431905248497e+000

2.23158986616063e+005,-3.05095773875174e+001,-1.49487427891492e+000

2.26274169979693e+005,-3.05096338636918e+001,-1.51571538912549e+000

2.29432839682530e+005,-3.05096918977659e+001,-1.53684633089098e+000

2.32635602771247e+005,-3.05097515318881e+001,-1.55827110539550e+000

2.35883074766574e+005,-3.05098128093019e+001,-1.57999376791685e+000

2.39175879781588e+005,-3.05098757743725e+001,-1.60201842851365e+000

2.42514650641661e+005,-3.05099404726126e+001,-1.62434925272498e+000

2.45900029006080e+005,-3.05100069507100e+001,-1.64699046227304e+000

2.49332665491357e+005,-3.05100752565550e+001,-1.66994633577660e+000

2.52813219796278e+005,-3.05101454392681e+001,-1.69322120947046e+000

2.56342360828676e+005,-3.05102175492291e+001,-1.71681947793203e+000

2.59920766833993e+005,-3.05102916381058e+001,-1.74074559481795e+000

2.63549125525621e+005,-3.05103677588836e+001,-1.76500407360613e+000

2.67228134217075e+005,-3.05104459658952e+001,-1.78959948834747e+000

2.70958499956006e+005,-3.05105263148518e+001,-1.81453647442392e+000

2.74740939660078e+005,-3.05106088628738e+001,-1.83981972931502e+000

2.78576180254757e+005,-3.05106936685220e+001,-1.86545401337427e+000

2.82464958813007e+005,-3.05107807918302e+001,-1.89144415061055e+000

2.86408022696948e+005,-3.05108702943376e+001,-1.91779502947938e+000

2.90406129701488e+005,-3.05109622391215e+001,-1.94451160368381e+000

2.94460048199957e+005,-3.05110566908309e+001,-1.97159889298094e+000

2.98570557291775e+005,-3.05111537157209e+001,-1.99906198399817e+000

3.02738446952187e+005,-3.05112533816867e+001,-2.02690603105870e+000

3.06964518184081e+005,-3.05113557582986e+001,-2.05513625701462e+000

3.11249583171928e+005,-3.05114609168376e+001,-2.08375795408913e+000

3.15594465437872e+005,-3.05115689303309e+001,-2.11277648472716e+000

3.19999999999997e+005,-3.05116798735888e+001,-2.14219728245593e+000

3.24467033532806e+005,-3.05117938232407e+001,-2.17202585275397e+000

3.28996424529938e+005,-3.05119108577726e+001,-2.20226777392882e+000

3.33589043469155e+005,-3.05120310575651e+001,-2.23292869800496e+000

3.38245772979638e+005,-3.05121545049306e+001,-2.26401435162089e+000

3.42967508011610e+005,-3.05122812841521e+001,-2.29553053693611e+000

3.47755156008335e+005,-3.05124114815223e+001,-2.32748313254709e+000

3.52609637080511e+005,-3.05125451853819e+001,-2.35987809441459e+000

3.57531884183106e+005,-3.05126824861601e+001,-2.39272145679914e+000

3.62522843294651e+005,-3.05128234764135e+001,-2.42601933320942e+000

3.67583473599047e+005,-3.05129682508669e+001,-2.45977791735985e+000

3.72714747669902e+005,-3.05131169064536e+001,-2.49400348413807e+000

3.77917651657445e+005,-3.05132695423562e+001,-2.52870239058562e+000

3.83193185478053e+005,-3.05134262600476e+001,-2.56388107688808e+000

3.88542363006410e+005,-3.05135871633322e+001,-2.59954606737839e+000

3.93966212270369e+005,-3.05137523583877e+001,-2.63570397155110e+000

3.99465775648511e+005,-3.05139219538072e+001,-2.67236148508815e+000

4.05042110070485e+005,-3.05140960606402e+001,-2.70952539089971e+000

4.10696287220124e+005,-3.05142747924360e+001,-2.74720256017482e+000

4.16429393741414e+005,-3.05144582652853e+001,-2.78539995344807e+000

4.22242531447321e+005,-3.05146465978630e+001,-2.82412462167786e+000

4.28136817531551e+005,-3.05148399114710e+001,-2.86338370734036e+000

4.34113384783250e+005,-3.05150383300808e+001,-2.90318444553665e+000

4.40173381804713e+005,-3.05152419803770e+001,-2.94353416511595e+000

4.46317973232124e+005,-3.05154509917994e+001,-2.98444028981459e+000

4.52548339959385e+005,-3.05156654965872e+001,-3.02591033940945e+000

4.58865679365059e+005,-3.05158856298215e+001,-3.06795193089000e+000

4.65271205542494e+005,-3.05161115294691e+001,-3.11057277964615e+000

4.71766149533147e+005,-3.05163433364256e+001,-3.15378070067446e+000

4.78351759563174e+005,-3.05165811945587e+001,-3.19758360980393e+000

4.85029301283321e+005,-3.05168252507525e+001,-3.24198952493795e+000

4.91800058012158e+005,-3.05170756549500e+001,-3.28700656732004e+000

4.98665330982714e+005,-3.05173325601978e+001,-3.33264296281693e+000

5.05626439592555e+005,-3.05175961226890e+001,-3.37890704322526e+000

5.12684721657352e+005,-3.05178665018076e+001,-3.42580724759971e+000

5.19841533667984e+005,-3.05181438601721e+001,-3.47335212360352e+000

5.27098251051240e+005,-3.05184283636801e+001,-3.52155032888434e+000

5.34456268434150e+005,-3.05187201815520e+001,-3.57041063247468e+000

5.41916999912011e+005,-3.05190194863758e+001,-3.61994191621697e+000

