Freq.,VOut,OutRef

1.00000000000000e+004,-3.50643743323938e+001,-1.30316267142367e-001

1.01395947979003e+004,-3.50643748773234e+001,-1.32135386418670e-001

1.02811382665607e+004,-3.50643754375702e+001,-1.33979898462738e-001

1.04246576084112e+004,-3.50643760135643e+001,-1.35850157696777e-001

1.05701804056138e+004,-3.50643766057487e+001,-1.37746523482998e-001

1.07177346253629e+004,-3.50643772145782e+001,-1.39669360200699e-001

1.08673486252606e+004,-3.50643778405205e+001,-1.41619037314121e-001

1.10190511587661e+004,-3.50643784840564e+001,-1.43595929442114e-001

1.11728713807222e+004,-3.50643791456804e+001,-1.45600416428690e-001

1.13288388529580e+004,-3.50643798259009e+001,-1.47632883419153e-001

1.14869835499703e+004,-3.50643805252405e+001,-1.49693720931843e-001

1.16473358646846e+004,-3.50643812442363e+001,-1.51783324934716e-001

1.18099266142953e+004,-3.50643819834405e+001,-1.53902096919870e-001

1.19747870461893e+004,-3.50643827434211e+001,-1.56050443980839e-001

1.21419488439505e+004,-3.50643835247621e+001,-1.58228778888567e-001

1.23114441334492e+004,-3.50643843280633e+001,-1.60437520177290e-001

1.24833054890161e+004,-3.50643851539421e+001,-1.62677092214769e-001

1.26575659397028e+004,-3.50643860030326e+001,-1.64947925294347e-001

1.28342589756290e+004,-3.50643868759870e+001,-1.67250455709099e-001

1.30134185544193e+004,-3.50643877734760e+001,-1.69585125837857e-001

1.31950791077289e+004,-3.50643886961889e+001,-1.71952384232896e-001

1.33792755478611e+004,-3.50643896448342e+001,-1.74352685703075e-001

1.35660432744767e+004,-3.50643906201406e+001,-1.76786491400524e-001

1.37554181813974e+004,-3.50643916228570e+001,-1.79254268911861e-001

1.39474366635040e+004,-3.50643926537536e+001,-1.81756492344237e-001

1.41421356237309e+004,-3.50643937136220e+001,-1.84293642419338e-001

1.43395524801583e+004,-3.50643948032763e+001,-1.86866206562615e-001

1.45397251732031e+004,-3.50643959235530e+001,-1.89474679000162e-001

1.47426921729110e+004,-3.50643970753125e+001,-1.92119560849849e-001

1.49484924863494e+004,-3.50643982594390e+001,-1.94801360219712e-001

1.51571656651040e+004,-3.50643994768419e+001,-1.97520592303934e-001

1.53687518128801e+004,-3.50644007284559e+001,-2.00277779481778e-001

1.55832915932100e+004,-3.50644020152419e+001,-2.03073451418106e-001

1.58008262372675e+004,-3.50644033381879e+001,-2.05908145164588e-001

1.60213975517924e+004,-3.50644046983094e+001,-2.08782405262986e-001

1.62450479271247e+004,-3.50644060966507e+001,-2.11696783846763e-001

1.64718203453514e+004,-3.50644075342853e+001,-2.14651840750818e-001

1.67017583885674e+004,-3.50644090123167e+001,-2.17648143616038e-001

1.69349062472505e+004,-3.50644105318793e+001,-2.20686267998684e-001

1.71713087287550e+004,-3.50644120941396e+001,-2.23766797479099e-001

1.74110112659224e+004,-3.50644137002967e+001,-2.26890323776054e-001

1.76540599258131e+004,-3.50644153515832e+001,-2.30057446858202e-001

1.79005014185594e+004,-3.50644170492665e+001,-2.33268775057748e-001

1.81503831063432e+004,-3.50644187946495e+001,-2.36524925189518e-001

1.84037530124975e+004,-3.50644205890714e+001,-2.39826522667709e-001

1.86606598307361e+004,-3.50644224339093e+001,-2.43174201623365e-001

1.89211529345119e+004,-3.50644243305787e+001,-2.46568605029056e-001

1.91852823865052e+004,-3.50644262805347e+001,-2.50010384820096e-001

1.94530989482457e+004,-3.50644282852736e+001,-2.53500202017972e-001

1.97246540898671e+004,-3.50644303463334e+001,-2.57038726858039e-001

1.99999999999999e+004,-3.50644324652950e+001,-2.60626638919550e-001

2.02791895958005e+004,-3.50644346437838e+001,-2.64264627251089e-001

2.05622765331213e+004,-3.50644368834711e+001,-2.67953390503478e-001

2.08493152168224e+004,-3.50644391860744e+001,-2.71693637066228e-001

2.11403608112276e+004,-3.50644415533598e+001,-2.75486085199684e-001

2.14354692507258e+004,-3.50644439871427e+001,-2.79331463172519e-001

2.17346972505211e+004,-3.50644464892896e+001,-2.83230509401028e-001

2.20381023175322e+004,-3.50644490617188e+001,-2.87183972591013e-001

2.23457427614443e+004,-3.50644517064028e+001,-2.91192611878820e-001

2.26576777059159e+004,-3.50644544253693e+001,-2.95257196977097e-001

2.29739670999406e+004,-3.50644572207026e+001,-2.99378508321439e-001

2.32946717293690e+004,-3.50644600945454e+001,-3.03557337219546e-001

2.36198532285905e+004,-3.50644630491006e+001,-3.07794486001029e-001

2.39495740923785e+004,-3.50644660866325e+001,-3.12090768171126e-001

2.42838976879009e+004,-3.50644692094690e+001,-3.16447008564970e-001

2.46228882668982e+004,-3.50644724200032e+001,-3.20864043505500e-001

2.49666109780322e+004,-3.50644757206949e+001,-3.25342720961944e-001

2.53151318794055e+004,-3.50644791140730e+001,-3.29883900712196e-001

2.56685179512580e+004,-3.50644826027371e+001,-3.34488454504085e-001

2.60268371088386e+004,-3.50644861893595e+001,-3.39157266224751e-001

2.63901582154578e+004,-3.50644898766872e+001,-3.43891232066093e-001

2.67585510957221e+004,-3.50644936675443e+001,-3.48691260695011e-001

2.71320865489533e+004,-3.50644975648334e+001,-3.53558273428617e-001

2.75108363627948e+004,-3.50645015715388e+001,-3.58493204406324e-001

2.78948733270080e+004,-3.50645056907279e+001,-3.63497000768954e-001

2.82842712474618e+004,-3.50645099255539e+001,-3.68570622838533e-001

2.86791049603164e+004,-3.50645142792583e+001,-3.73715044299636e-001

2.90794503464061e+004,-3.50645187551728e+001,-3.78931252386171e-001

2.94853843458219e+004,-3.50645233567228e+001,-3.84220248064956e-001

2.98969849726987e+004,-3.50645280874286e+001,-3.89583046230852e-001

3.03143313302078e+004,-3.50645329509095e+001,-3.95020675893116e-001

3.07375036257601e+004,-3.50645379508858e+001,-4.00534180374204e-001

3.11665831864199e+004,-3.50645430911810e+001,-4.06124617508522e-001

3.16016524745350e+004,-3.50645483757263e+001,-4.11793059837315e-001

3.20427951035848e+004,-3.50645538085618e+001,-4.17540594817939e-001

3.24900958542493e+004,-3.50645593938407e+001,-4.23368325025247e-001

3.29436406907028e+004,-3.50645651358323e+001,-4.29277368360354e-001

3.34035167771346e+004,-3.50645710389244e+001,-4.35268858265700e-001

3.38698124945009e+004,-3.50645771076277e+001,-4.41343943933129e-001

3.43426174575100e+004,-3.50645833465783e+001,-4.47503790527215e-001

3.48220225318448e+004,-3.50645897605415e+001,-4.53749579400407e-001

3.53081198516260e+004,-3.50645963544156e+001,-4.60082508318339e-001

