Freq.,VOut,OutRef

1.00000000000000e+004,-2.28124260604129e+001,-4.67342233483421e-001

1.01395947979003e+004,-2.28124292160772e+001,-4.73865987623183e-001

1.02811382665607e+004,-2.28124324604523e+001,-4.80480805717615e-001

1.04246576084112e+004,-2.28124357960317e+001,-4.87187958790859e-001

1.05701804056138e+004,-2.28124392253793e+001,-4.93988735602364e-001

1.07177346253629e+004,-2.28124427511308e+001,-5.00884442894364e-001

1.08673486252606e+004,-2.28124463759958e+001,-5.07876405643077e-001

1.10190511587661e+004,-2.28124501027605e+001,-5.14965967309712e-001

1.11728713807222e+004,-2.28124539342890e+001,-5.22154490102229e-001

1.13288388529580e+004,-2.28124578735262e+001,-5.29443355234457e-001

1.14869835499703e+004,-2.28124619234994e+001,-5.36833963191754e-001

1.16473358646846e+004,-2.28124660873214e+001,-5.44327733998324e-001

1.18099266142953e+004,-2.28124703681922e+001,-5.51926107490611e-001

1.19747870461893e+004,-2.28124747694019e+001,-5.59630543593855e-001

1.21419488439505e+004,-2.28124792943328e+001,-5.67442522601216e-001

1.23114441334492e+004,-2.28124839464624e+001,-5.75363545458526e-001

1.24833054890161e+004,-2.28124887293660e+001,-5.83395134049536e-001

1.26575659397028e+004,-2.28124936467193e+001,-5.91538831491509e-001

1.28342589756290e+004,-2.28124987023011e+001,-5.99796202428555e-001

1.30134185544193e+004,-2.28125038999968e+001,-6.08168833330762e-001

1.31950791077289e+004,-2.28125092438008e+001,-6.16658332801097e-001

1.33792755478611e+004,-2.28125147378194e+001,-6.25266331881781e-001

1.35660432744767e+004,-2.28125203862747e+001,-6.33994484367576e-001

1.37554181813974e+004,-2.28125261935073e+001,-6.42844467121970e-001

1.39474366635040e+004,-2.28125321639798e+001,-6.51817980398944e-001

1.41421356237309e+004,-2.28125383022801e+001,-6.60916748169056e-001

1.43395524801583e+004,-2.28125446131251e+001,-6.70142518449481e-001

1.45397251732031e+004,-2.28125511013641e+001,-6.79497063638338e-001

1.47426921729110e+004,-2.28125577719828e+001,-6.88982180855775e-001

1.49484924863494e+004,-2.28125646301069e+001,-6.98599692285939e-001

1.51571656651040e+004,-2.28125716810061e+001,-7.08351445527429e-001

1.53687518128801e+004,-2.28125789300982e+001,-7.18239313947415e-001

1.55832915932100e+004,-2.28125863829531e+001,-7.28265197038725e-001

1.58008262372675e+004,-2.28125940452974e+001,-7.38431020784711e-001

1.60213975517924e+004,-2.28126019230182e+001,-7.48738738029072e-001

1.62450479271247e+004,-2.28126100221684e+001,-7.59190328846365e-001

1.64718203453514e+004,-2.28126183489706e+001,-7.69787800924053e-001

1.67017583885674e+004,-2.28126269098225e+001,-7.80533189945752e-001

1.69349062472505e+004,-2.28126357113013e+001,-7.91428559980164e-001

1.71713087287550e+004,-2.28126447601689e+001,-8.02476003876780e-001

1.74110112659224e+004,-2.28126540633774e+001,-8.13677643665357e-001

1.76540599258131e+004,-2.28126636280740e+001,-8.25035630962747e-001

1.79005014185594e+004,-2.28126734616066e+001,-8.36552147384344e-001

1.81503831063432e+004,-2.28126835715296e+001,-8.48229404960558e-001

1.84037530124975e+004,-2.28126939656095e+001,-8.60069646559954e-001

1.86606598307361e+004,-2.28127046518310e+001,-8.72075146318713e-001

1.89211529345119e+004,-2.28127156384030e+001,-8.84248210074302e-001

1.91852823865052e+004,-2.28127269337649e+001,-8.96591175807016e-001

1.94530989482457e+004,-2.28127385465930e+001,-9.09106414086784e-001

1.97246540898671e+004,-2.28127504858077e+001,-9.21796328524578e-001

1.99999999999999e+004,-2.28127627605794e+001,-9.34663356233124e-001

2.02791895958005e+004,-2.28127753803362e+001,-9.47709968292055e-001

2.05622765331213e+004,-2.28127883547709e+001,-9.60938670220230e-001

2.08493152168224e+004,-2.28128016938486e+001,-9.74352002451975e-001

2.11403608112276e+004,-2.28128154078140e+001,-9.87952540824281e-001

2.14354692507258e+004,-2.28128295071995e+001,-1.00174289706806e+000

2.17346972505211e+004,-2.28128440028333e+001,-1.01572571930531e+000

