Freq.,VOut,OutRef

1.00000000000000e+004,-1.30251288771647e+001,-1.72016788923263e-002

1.01395947979003e+004,-1.30251294186908e+001,-1.74417597177874e-002

1.02811382665607e+004,-1.30251299754369e+001,-1.76851900038950e-002

1.04246576084112e+004,-1.30251305478292e+001,-1.79320164334620e-002

1.05701804056138e+004,-1.30251311363076e+001,-1.81822863273248e-002

1.07177346253629e+004,-1.30251317413249e+001,-1.84360476600116e-002

1.08673486252606e+004,-1.30251323633453e+001,-1.86933490783979e-002

1.10190511587661e+004,-1.30251330028462e+001,-1.89542399063817e-002

1.11728713807222e+004,-1.30251336603189e+001,-1.92187701459190e-002

1.13288388529580e+004,-1.30251343362686e+001,-1.94869904943626e-002

1.14869835499703e+004,-1.30251350312141e+001,-1.97589523544148e-002

1.16473358646846e+004,-1.30251357456882e+001,-2.00347078470746e-002

1.18099266142953e+004,-1.30251364802404e+001,-2.03143098031861e-002

1.19747870461893e+004,-1.30251372354347e+001,-2.05978117917901e-002

1.21419488439505e+004,-1.30251380118501e+001,-2.08852681315814e-002

1.23114441334492e+004,-1.30251388100834e+001,-2.11767338824840e-002

1.24833054890161e+004,-1.30251396307471e+001,-2.14722648745454e-002

1.26575659397028e+004,-1.30251404744713e+001,-2.17719177075611e-002

1.28342589756290e+004,-1.30251413419038e+001,-2.20757497669202e-002

1.30134185544193e+004,-1.30251422337094e+001,-2.23838192387002e-002

1.31950791077289e+004,-1.30251431505738e+001,-2.26961851001352e-002

1.33792755478611e+004,-1.30251440932004e+001,-2.30129071551063e-002

1.35660432744767e+004,-1.30251450623124e+001,-2.33340460339329e-002

1.37554181813974e+004,-1.30251460586539e+001,-2.36596632020854e-002

1.39474366635040e+004,-1.30251470829892e+001,-2.39898209793393e-002

1.41421356237309e+004,-1.30251481361046e+001,-2.43245825424699e-002

1.43395524801583e+004,-1.30251492188080e+001,-2.46640119456393e-002

1.45397251732031e+004,-1.30251503319300e+001,-2.50081741274161e-002

1.47426921729110e+004,-1.30251514763249e+001,-2.53571349209607e-002

1.49484924863494e+004,-1.30251526528703e+001,-2.57109610714457e-002

1.51571656651040e+004,-1.30251538624689e+001,-2.60697202440470e-002

1.53687518128801e+004,-1.30251551060496e+001,-2.64334810313268e-002

1.55832915932100e+004,-1.30251563845650e+001,-2.68023129865250e-002

1.58008262372675e+004,-1.30251576989960e+001,-2.71762866133861e-002

1.60213975517924e+004,-1.30251590503518e+001,-2.75554733817042e-002

1.62450479271247e+004,-1.30251604396671e+001,-2.79399457632803e-002

1.64718203453514e+004,-1.30251618680086e+001,-2.83297772101677e-002

1.67017583885674e+004,-1.30251633364707e+001,-2.87250422005065e-002

1.69349062472505e+004,-1.30251648461804e+001,-2.91258162242905e-002

1.71713087287550e+004,-1.30251663982940e+001,-2.95321758254213e-002

1.74110112659224e+004,-1.30251679940022e+001,-2.99441985867897e-002

1.76540599258131e+004,-1.30251696345280e+001,-3.03619631672879e-002

1.79005014185594e+004,-1.30251713211293e+001,-3.07855493007546e-002

1.81503831063432e+004,-1.30251730550979e+001,-3.12150378247165e-002

1.84037530124975e+004,-1.30251748377635e+001,-3.16505106767111e-002

1.86606598307361e+004,-1.30251766704921e+001,-3.20920509248514e-002

1.89211529345119e+004,-1.30251785546880e+001,-3.25397427757917e-002

1.91852823865052e+004,-1.30251804917945e+001,-3.29936715927240e-002

1.94530989482457e+004,-1.30251824832959e+001,-3.34539239054521e-002

1.97246540898671e+004,-1.30251845307182e+001,-3.39205874281512e-002

1.99999999999999e+004,-1.30251866356290e+001,-3.43937510816244e-002

