Freq.,VOut,OutRef

1.00000000000000e+004,-3.10772020097396e+001,-4.20821431414904e-001

1.01395947979003e+004,-3.10772049740871e+001,-4.26695790520257e-001

1.02811382665607e+004,-3.10772080217676e+001,-4.32652148836942e-001

1.04246576084112e+004,-3.10772111551234e+001,-4.38691650870485e-001

1.05701804056138e+004,-3.10772143765629e+001,-4.44815457096520e-001

1.07177346253629e+004,-3.10772176885621e+001,-4.51024744182826e-001

1.08673486252606e+004,-3.10772210936665e+001,-4.57320705215775e-001

1.10190511587661e+004,-3.10772245944932e+001,-4.63704549929039e-001

1.11728713807222e+004,-3.10772281937328e+001,-4.70177504935301e-001

1.13288388529580e+004,-3.10772318941517e+001,-4.76740813960605e-001

1.14869835499703e+004,-3.10772356985939e+001,-4.83395738086007e-001

1.16473358646846e+004,-3.10772396099833e+001,-4.90143555985654e-001

1.18099266142953e+004,-3.10772436313259e+001,-4.96985564175775e-001

1.19747870461893e+004,-3.10772477657125e+001,-5.03923077259014e-001

1.21419488439505e+004,-3.10772520163203e+001,-5.10957428181126e-001

1.23114441334492e+004,-3.10772563864162e+001,-5.18089968482824e-001

1.24833054890161e+004,-3.10772608793588e+001,-5.25322068560557e-001

1.26575659397028e+004,-3.10772654986009e+001,-5.32655117929393e-001

1.28342589756290e+004,-3.10772702476924e+001,-5.40090525489680e-001

1.30134185544193e+004,-3.10772751302832e+001,-5.47629719795291e-001

1.31950791077289e+004,-3.10772801501254e+001,-5.55274149329261e-001

1.33792755478611e+004,-3.10772853110768e+001,-5.63025282781526e-001

1.35660432744767e+004,-3.10772906171034e+001,-5.70884609328315e-001

1.37554181813974e+004,-3.10772960722829e+001,-5.78853638920370e-001

1.39474366635040e+004,-3.10773016808072e+001,-5.86933902571031e-001

1.41421356237309e+004,-3.10773074469864e+001,-5.95126952647543e-001

1.43395524801583e+004,-3.10773133752514e+001,-6.03434363172037e-001

1.45397251732031e+004,-3.10773194701579e+001,-6.11857730120607e-001

1.47426921729110e+004,-3.10773257363891e+001,-6.20398671731276e-001

1.49484924863494e+004,-3.10773321787604e+001,-6.29058828810389e-001

1.51571656651040e+004,-3.10773388022220e+001,-6.37839865050262e-001

1.53687518128801e+004,-3.10773456118635e+001,-6.46743467346554e-001

1.55832915932100e+004,-3.10773526129172e+001,-6.55771346121166e-001

1.58008262372675e+004,-3.10773598107627e+001,-6.64925235649563e-001

1.60213975517924e+004,-3.10773672109305e+001,-6.74206894393617e-001

1.62450479271247e+004,-3.10773748191067e+001,-6.83618105336469e-001

1.64718203453514e+004,-3.10773826411369e+001,-6.93160676326360e-001

1.67017583885674e+004,-3.10773906830310e+001,-7.02836440420803e-001

1.69349062472505e+004,-3.10773989509678e+001,-7.12647256237041e-001

1.71713087287550e+004,-3.10774074512997e+001,-7.22595008309921e-001

1.74110112659224e+004,-3.10774161905573e+001,-7.32681607450043e-001

1.76540599258131e+004,-3.10774251754549e+001,-7.42908991109641e-001

1.79005014185594e+004,-3.10774344128953e+001,-7.53279123754882e-001

1.81503831063432e+004,-3.10774439099751e+001,-7.63793997239633e-001

1.84037530124975e+004,-3.10774536739904e+001,-7.74455631187606e-001

1.86606598307361e+004,-3.10774637124422e+001,-7.85266073376872e-001

1.89211529345119e+004,-3.10774740330421e+001,-7.96227400133993e-001

1.91852823865052e+004,-3.10774846437181e+001,-8.07341716727626e-001

1.94530989482457e+004,-3.10774955526214e+001,-8.18611157772955e-001

1.97246540898671e+004,-3.10775067681315e+001,-8.30037887639734e-001

1.99999999999999e+004,-3.10775182988637e+001,-8.41624100864391e-001

2.02791895958005e+004,-3.10775301536749e+001,-8.53372022569366e-001

2.05622765331213e+004,-3.10775423416709e+001,-8.65283908890122e-001

2.08493152168224e+004,-3.10775548722130e+001,-8.77362047403314e-001

2.11403608112276e+004,-3.10775677549257e+001,-8.89608757564072e-001

2.14354692507258e+004,-3.10775809997035e+001,-9.02026391150245e-001

2.17346972505211e+004,-3.10775946167187e+001,-9.14617332708939e-001

2.20381023175322e+004,-3.10776086164292e+001,-9.27384000014068e-001

2.23457427614443e+004,-3.10776230095867e+001,-9.40328844524759e-001

2.26576777059159e+004,-3.10776378072446e+001,-9.53454351855290e-001

2.29739670999406e+004,-3.10776530207665e+001,-9.66763042246777e-001

