Freq.,VOut,OutRef

1.00000000000000e+004,-2.36644195049681e+001,-1.53942383260670e-002

1.01395947979003e+004,-2.36644200341789e+001,-1.56090893139687e-002

1.02811382665607e+004,-2.36644205782637e+001,-1.58269376123699e-002

1.04246576084112e+004,-2.36644211376390e+001,-1.60478249908117e-002

1.05701804056138e+004,-2.36644217127351e+001,-1.62717937843199e-002

1.07177346253629e+004,-2.36644223039944e+001,-1.64988869169772e-002

1.08673486252606e+004,-2.36644229118691e+001,-1.67291479233134e-002

1.10190511587661e+004,-2.36644235368271e+001,-1.69626209229654e-002

1.11728713807222e+004,-2.36644241793486e+001,-1.71993506524310e-002

1.13288388529580e+004,-2.36644248399261e+001,-1.74393824779158e-002

1.14869835499703e+004,-2.36644255190680e+001,-1.76827623792682e-002

1.16473358646846e+004,-2.36644262172946e+001,-1.79295369888022e-002

1.18099266142953e+004,-2.36644269351424e+001,-1.81797535766078e-002

1.19747870461893e+004,-2.36644276731627e+001,-1.84334600670684e-002

1.21419488439505e+004,-2.36644284319219e+001,-1.86907050520436e-002

1.23114441334492e+004,-2.36644292120025e+001,-1.89515377951654e-002

1.24833054890161e+004,-2.36644300140036e+001,-1.92160082403168e-002

1.26575659397028e+004,-2.36644308385407e+001,-1.94841670249700e-002

1.28342589756290e+004,-2.36644316862466e+001,-1.97560654870725e-002

1.30134185544193e+004,-2.36644325577727e+001,-2.00317556706480e-002

1.31950791077289e+004,-2.36644334537866e+001,-2.03112903513637e-002

1.33792755478611e+004,-2.36644343749772e+001,-2.05947230188584e-002

1.35660432744767e+004,-2.36644353220514e+001,-2.08821079108767e-002

1.37554181813974e+004,-2.36644362957351e+001,-2.11735000201864e-002

1.39474366635040e+004,-2.36644372967765e+001,-2.14689550864454e-002

1.41421356237309e+004,-2.36644383259431e+001,-2.17685296307729e-002

1.43395524801583e+004,-2.36644393840250e+001,-2.20722809469925e-002

1.45397251732031e+004,-2.36644404718344e+001,-2.23802671209506e-002

1.47426921729110e+004,-2.36644415902048e+001,-2.26925470495584e-002

1.49484924863494e+004,-2.36644427399953e+001,-2.30091804275731e-002

1.51571656651040e+004,-2.36644439220873e+001,-2.33302277844218e-002

1.53687518128801e+004,-2.36644451373877e+001,-2.36557504790693e-002

1.55832915932100e+004,-2.36644463868297e+001,-2.39858107111089e-002

1.58008262372675e+004,-2.36644476713699e+001,-2.43204715531589e-002

1.60213975517924e+004,-2.36644489919950e+001,-2.46597969275821e-002

1.62450479271247e+004,-2.36644503497170e+001,-2.50038516499729e-002

1.64718203453514e+004,-2.36644517455775e+001,-2.53527014198569e-002

1.67017583885674e+004,-2.36644531806470e+001,-2.57064128435504e-002

1.69349062472505e+004,-2.36644546560254e+001,-2.60650534466309e-002

1.71713087287550e+004,-2.36644561728439e+001,-2.64286916786009e-002

1.74110112659224e+004,-2.36644577322652e+001,-2.67973969312730e-002

1.76540599258131e+004,-2.36644593354857e+001,-2.71712395418532e-002

1.79005014185594e+004,-2.36644609837335e+001,-2.75502908249631e-002

