Freq.,VOut,OutRef

1.00000000000000e+004,-1.44789975702385e+001,-1.97536964054928e-002

1.01395947979003e+004,-1.44789982092222e+001,-2.00293938375737e-002

1.02811382665607e+004,-1.44789988661640e+001,-2.03089375762574e-002

1.04246576084112e+004,-1.44789995415689e+001,-2.05923812135850e-002

1.05701804056138e+004,-1.44790002359555e+001,-2.08797790887035e-002

1.07177346253629e+004,-1.44790009498565e+001,-2.11711862993094e-002

1.08673486252606e+004,-1.44790016838212e+001,-2.14666586975562e-002

1.10190511587661e+004,-1.44790024384120e+001,-2.17662529233961e-002

1.11728713807222e+004,-1.44790032142094e+001,-2.20700263891711e-002

1.13288388529580e+004,-1.44790040118081e+001,-2.23780373176429e-002

1.14869835499703e+004,-1.44790048318216e+001,-2.26903447232609e-002

1.16473358646846e+004,-1.44790056748786e+001,-2.30070084552497e-002

1.18099266142953e+004,-1.44790065416268e+001,-2.33280891800253e-002

1.19747870461893e+004,-1.44790074327318e+001,-2.36536484086980e-002

1.21419488439505e+004,-1.44790083488776e+001,-2.39837485069919e-002

1.23114441334492e+004,-1.44790092907677e+001,-2.43184527021218e-002

1.24833054890161e+004,-1.44790102591244e+001,-2.46578251017570e-002

1.26575659397028e+004,-1.44790112546920e+001,-2.50019306935271e-002

1.28342589756290e+004,-1.44790122782346e+001,-2.53508353688843e-002

1.30134185544193e+004,-1.44790133305377e+001,-2.57046059323048e-002

1.31950791077289e+004,-1.44790144124084e+001,-2.60633101172444e-002

1.33792755478611e+004,-1.44790155246779e+001,-2.64270165829676e-002

1.35660432744767e+004,-1.44790166681990e+001,-2.67957949503923e-002

1.37554181813974e+004,-1.44790178438503e+001,-2.71697157905203e-002

1.39474366635040e+004,-1.44790190525332e+001,-2.75488506638795e-002

1.41421356237309e+004,-1.44790202951758e+001,-2.79332721081737e-002

1.43395524801583e+004,-1.44790215727309e+001,-2.83230536728946e-002

1.45397251732031e+004,-1.44790228861797e+001,-2.87182699144905e-002

1.47426921729110e+004,-1.44790242365286e+001,-2.91189964315101e-002

1.49484924863494e+004,-1.44790256248149e+001,-2.95253098497123e-002

1.51571656651040e+004,-1.44790270521030e+001,-2.99372878659652e-002

1.53687518128801e+004,-1.44790285194878e+001,-3.03550092437094e-002

1.55832915932100e+004,-1.44790300280950e+001,-3.07785538322908e-002

1.58008262372675e+004,-1.44790315790819e+001,-3.12080025820541e-002

1.60213975517924e+004,-1.44790331736380e+001,-3.16434375607706e-002

1.62450479271247e+004,-1.44790348129856e+001,-3.20849419681847e-002

1.64718203453514e+004,-1.44790364983829e+001,-3.25326001426754e-002

1.67017583885674e+004,-1.44790382311212e+001,-3.29864975948369e-002

1.69349062472505e+004,-1.44790400125300e+001,-3.34467210009994e-002

1.71713087287550e+004,-1.44790418439745e+001,-3.39133582372708e-002

1.74110112659224e+004,-1.44790437268590e+001,-3.43864983852355e-002

1.76540599258131e+004,-1.44790456626267e+001,-3.48662317520262e-002

1.79005014185594e+004,-1.44790476527613e+001,-3.53526498856341e-002

1.81503831063432e+004,-1.44790496987890e+001,-3.58458455838377e-002

1.84037530124975e+004,-1.44790518022771e+001,-3.63459129308071e-002

1.86606598307361e+004,-1.44790539648377e+001,-3.68529472936252e-002

1.89211529345119e+004,-1.44790561881276e+001,-3.73670453496176e-002

1.91852823865052e+004,-1.44790584738507e+001,-3.78883050988159e-002

1.94530989482457e+004,-1.44790608237581e+001,-3.84168258836642e-002

1.97246540898671e+004,-1.44790632396501e+001,-3.89527084085283e-002

1.99999999999999e+004,-1.44790657233763e+001,-3.94960547591799e-002

2.02791895958005e+004,-1.44790682768397e+001,-4.00469684098986e-002

2.05622765331213e+004,-1.44790709019955e+001,-4.06055542539445e-002

2.08493152168224e+004,-1.44790736008537e+001,-4.11719186175968e-002

2.11403608112276e+004,-1.44790763754815e+001,-4.17461692707835e-002

2.14354692507258e+004,-1.44790792280013e+001,-4.23284154714757e-002

2.17346972505211e+004,-1.44790821605983e+001,-4.29187679451003e-002

2.20381023175322e+004,-1.44790851755163e+001,-4.35173389400060e-002

2.23457427614443e+004,-1.44790882750625e+001,-4.41242422291080e-002

2.26576777059159e+004,-1.44790914616081e+001,-4.47395931360782e-002

2.29739670999406e+004,-1.44790947375919e+001,-4.53635085443180e-002

2.32946717293690e+004,-1.44790981055192e+001,-4.59961069334888e-002

2.36198532285905e+004,-1.44791015679663e+001,-4.66375083868014e-002

2.39495740923785e+004,-1.44791051275812e+001,-4.72878346155044e-002

2.42838976879009e+004,-1.44791087870856e+001,-4.79472089844334e-002

2.46228882668982e+004,-1.44791125492768e+001,-4.86157565265829e-002

2.49666109780322e+004,-1.44791164170310e+001,-4.92936039659872e-002

2.53151318794055e+004,-1.44791203933040e+001,-4.99808797395100e-002

2.56685179512580e+004,-1.44791244811344e+001,-5.06777140186464e-002

2.60268371088386e+004,-1.44791286836454e+001,-5.13842387298036e-002

2.63901582154578e+004,-1.44791330040476e+001,-5.21005875766258e-002

2.67585510957221e+004,-1.44791374456398e+001,-5.28268960700233e-002

2.71320865489533e+004,-1.44791420118142e+001,-5.35633015344338e-002

2.75108363627948e+004,-1.44791467060567e+001,-5.43099431438255e-002

2.78948733270080e+004,-1.44791515319507e+001,-5.50669619379844e-002

2.82842712474618e+004,-1.44791564931789e+001,-5.58345008495002e-002

2.86791049603164e+004,-1.44791615935265e+001,-5.66127047251584e-002

2.90794503464061e+004,-1.44791668368846e+001,-5.74017203439555e-002

2.94853843458219e+004,-1.44791722272521e+001,-5.82016964493810e-002

2.98969849726987e+004,-1.44791777687387e+001,-5.90127837715087e-002

3.03143313302078e+004,-1.44791834655692e+001,-5.98351350412802e-002

3.07375036257601e+004,-1.44791893220855e+001,-6.06689050258662e-002

3.11665831864199e+004,-1.44791953427501e+001,-6.15142505467422e-002

3.16016524745350e+004,-1.44792015321486e+001,-6.23713305119324e-002

3.20427951035848e+004,-1.44792078949952e+001,-6.32403059256622e-002

3.24900958542493e+004,-1.44792144361344e+001,-6.41213399247624e-002

3.29436406907028e+004,-1.44792211605451e+001,-6.50145978009190e-002

3.34035167771346e+004,-1.44792280733439e+001,-6.59202470258978e-002

3.38698124945009e+004,-1.44792351797895e+001,-6.68384572751642e-002

3.43426174575100e+004,-1.44792424852868e+001,-6.77694004497945e-002

3.48220225318448e+004,-1.44792499953893e+001,-6.87132507127286e-002

3.53081198516260e+004,-1.44792577158056e+001,-6.96701844981921e-002

3.58010028371187e+004,-1.44792656524012e+001,-7.06403805521844e-002

3.63007662126863e+004,-1.44792738112042e+001,-7.16240199500615e-002

3.68075060249948e+004,-1.44792821984090e+001,-7.26212861250291e-002

3.73213196614721e+004,-1.44792908203825e+001,-7.36323648864240e-002

3.78423058690237e+004,-1.44792996836659e+001,-7.46574444596622e-002

3.83705647730104e+004,-1.44793087949817e+001,-7.56967155004830e-002

3.89061978964912e+004,-1.44793181612378e+001,-7.67503711242372e-002

3.94493081797342e+004,-1.44793277895324e+001,-7.78186069347939e-002

