Freq.,VOut,OutRef

1.00000000000000e+004,-1.33217470564540e+001,-5.85721580337778e-002

1.01395947979003e+004,-1.33217471991227e+001,-5.93897830917154e-002

1.02811382665607e+004,-1.33217473458013e+001,-6.02188212689696e-002

1.04246576084112e+004,-1.33217474966021e+001,-6.10594318655632e-002

1.05701804056138e+004,-1.33217476516409e+001,-6.19117764054967e-002

1.07177346253629e+004,-1.33217478110371e+001,-6.27760186630772e-002

1.08673486252606e+004,-1.33217479749127e+001,-6.36523247027304e-002

1.10190511587661e+004,-1.33217481433940e+001,-6.45408629011742e-002

1.11728713807222e+004,-1.33217483166101e+001,-6.54418039873424e-002

1.13288388529580e+004,-1.33217484946939e+001,-6.63553210734984e-002

1.14869835499703e+004,-1.33217486777826e+001,-6.72815896826911e-002

1.16473358646846e+004,-1.33217488660161e+001,-6.82207877935813e-002

1.18099266142953e+004,-1.33217490595395e+001,-6.91730958613904e-002

1.19747870461893e+004,-1.33217492585013e+001,-7.01386968622353e-002

1.21419488439505e+004,-1.33217494630541e+001,-7.11177763263090e-002

1.23114441334492e+004,-1.33217496733547e+001,-7.21105223722314e-002

1.24833054890161e+004,-1.33217498895650e+001,-7.31171257384079e-002

1.26575659397028e+004,-1.33217501118509e+001,-7.41377798296334e-002

1.28342589756290e+004,-1.33217503403828e+001,-7.51726807471292e-002

1.30134185544193e+004,-1.33217505753364e+001,-7.62220273274645e-002

1.31950791077289e+004,-1.33217508168918e+001,-7.72860211815559e-002

1.33792755478611e+004,-1.33217510652347e+001,-7.83648667319635e-002

1.35660432744767e+004,-1.33217513205554e+001,-7.94587712555099e-002

1.37554181813974e+004,-1.33217515830500e+001,-8.05679449180176e-002

1.39474366635040e+004,-1.33217518529199e+001,-8.16926008181377e-002

1.41421356237309e+004,-1.33217521303722e+001,-8.28329550261165e-002

1.43395524801583e+004,-1.33217524156199e+001,-8.39892266266476e-002

1.45397251732031e+004,-1.33217527088818e+001,-8.51616377610105e-002

1.47426921729110e+004,-1.33217530103828e+001,-8.63504136698617e-002

1.49484924863494e+004,-1.33217533203545e+001,-8.75557827321727e-002

1.51571656651040e+004,-1.33217536390344e+001,-8.87779765167959e-002

1.53687518128801e+004,-1.33217539666671e+001,-9.00172298180137e-002

1.55832915932100e+004,-1.33217543035043e+001,-9.12737807062390e-002

1.58008262372675e+004,-1.33217546498037e+001,-9.25478705754368e-002

1.60213975517924e+004,-1.33217550058312e+001,-9.38397441830357e-002

1.62450479271247e+004,-1.33217553718601e+001,-9.51496496978948e-002

1.64718203453514e+004,-1.33217557481707e+001,-9.64778387557329e-002

1.67017583885674e+004,-1.33217561350518e+001,-9.78245664957233e-002

1.69349062472505e+004,-1.33217565328002e+001,-9.91900916167227e-002

1.71713087287550e+004,-1.33217569417206e+001,-1.00574676427572e-001

1.74110112659224e+004,-1.33217573621266e+001,-1.01978586891846e-001

1.76540599258131e+004,-1.33217577943407e+001,-1.03402092680974e-001

1.79005014185594e+004,-1.33217582386939e+001,-1.04845467230984e-001

1.81503831063432e+004,-1.33217586955269e+001,-1.06308987785668e-001

1.84037530124975e+004,-1.33217591651899e+001,-1.07792935455708e-001

1.86606598307361e+004,-1.33217596480429e+001,-1.09297595272095e-001

1.89211529345119e+004,-1.33217601444558e+001,-1.10823256237973e-001

1.91852823865052e+004,-1.33217606548091e+001,-1.12370211386402e-001

1.94530989482457e+004,-1.33217611794937e+001,-1.13938757835446e-001

1.97246540898671e+004,-1.33217617189115e+001,-1.15529196845817e-001

1.99999999999999e+004,-1.33217622734758e+001,-1.17141833874520e-001

2.02791895958005e+004,-1.33217628436114e+001,-1.18776978639364e-001

2.05622765331213e+004,-1.33217634297550e+001,-1.20434945173166e-001

2.08493152168224e+004,-1.33217640323553e+001,-1.22116051887164e-001

2.11403608112276e+004,-1.33217646518738e+001,-1.23820621629108e-001

2.14354692507258e+004,-1.33217652887848e+001,-1.25548981745992e-001

2.17346972505211e+004,-1.33217659435758e+001,-1.27301464147707e-001

2.20381023175322e+004,-1.33217666167481e+001,-1.29078405367349e-001

2.23457427614443e+004,-1.33217673088168e+001,-1.30880146629969e-001

2.26576777059159e+004,-1.33217680203116e+001,-1.32707033912787e-001

2.29739670999406e+004,-1.33217687517769e+001,-1.34559418014032e-001

2.32946717293690e+004,-1.33217695037723e+001,-1.36437654620484e-001

2.36198532285905e+004,-1.33217702768730e+001,-1.38342104372538e-001

