Freq.,VOut,OutRef

1.00000000000000e+004,-1.63171179226494e+001,-1.34067766753011e-001

1.01395947979003e+004,-1.63171191472950e+001,-1.35939138788185e-001

1.02811382665607e+004,-1.63171204063461e+001,-1.37836628081531e-001

1.04246576084112e+004,-1.63171217007690e+001,-1.39760598955255e-001

1.05701804056138e+004,-1.63171230315563e+001,-1.41711420808935e-001

1.07177346253629e+004,-1.63171243997291e+001,-1.43689468185176e-001

1.08673486252606e+004,-1.63171258063365e+001,-1.45695120845432e-001

1.10190511587661e+004,-1.63171272524578e+001,-1.47728763835658e-001

1.11728713807222e+004,-1.63171287392018e+001,-1.49790787569096e-001

1.13288388529580e+004,-1.63171302677087e+001,-1.51881587891961e-001

1.14869835499703e+004,-1.63171318391508e+001,-1.54001566162269e-001

1.16473358646846e+004,-1.63171334547328e+001,-1.56151129328406e-001

1.18099266142953e+004,-1.63171351156935e+001,-1.58330690001621e-001

1.19747870461893e+004,-1.63171368233063e+001,-1.60540666538215e-001

1.21419488439505e+004,-1.63171385788803e+001,-1.62781483118230e-001

1.23114441334492e+004,-1.63171403837614e+001,-1.65053569823487e-001

1.24833054890161e+004,-1.63171422393326e+001,-1.67357362725078e-001

1.26575659397028e+004,-1.63171441470165e+001,-1.69693303958483e-001

1.28342589756290e+004,-1.63171461082748e+001,-1.72061841815081e-001

1.30134185544193e+004,-1.63171481246103e+001,-1.74463430821970e-001

1.31950791077289e+004,-1.63171501975683e+001,-1.76898531827975e-001

1.33792755478611e+004,-1.63171523287367e+001,-1.79367612096431e-001

1.35660432744767e+004,-1.63171545197482e+001,-1.81871145388176e-001

1.37554181813974e+004,-1.63171567722811e+001,-1.84409612053947e-001

1.39474366635040e+004,-1.63171590880608e+001,-1.86983499122827e-001

1.41421356237309e+004,-1.63171614688606e+001,-1.89593300399788e-001

1.43395524801583e+004,-1.63171639165036e+001,-1.92239516553023e-001

1.45397251732031e+004,-1.63171664328642e+001,-1.94922655210300e-001

1.47426921729110e+004,-1.63171690198687e+001,-1.97643231058496e-001

1.49484924863494e+004,-1.63171716794973e+001,-2.00401765937808e-001

1.51571656651040e+004,-1.63171744137859e+001,-2.03198788938578e-001

1.53687518128801e+004,-1.63171772248270e+001,-2.06034836504817e-001

1.55832915932100e+004,-1.63171801147714e+001,-2.08910452535111e-001

1.58008262372675e+004,-1.63171830858308e+001,-2.11826188480099e-001

1.60213975517924e+004,-1.63171861402774e+001,-2.14782603455014e-001

