Freq.,VOut,OutRef

1.00000000000000e+004,-7.69360896449242e+000,-1.73687602706521e-002

1.01395947979003e+004,-7.69360898039630e+000,-1.76112167824229e-002

1.02811382665607e+004,-7.69360899674667e+000,-1.78570577631307e-002

1.04246576084112e+004,-7.69360901355670e+000,-1.81063304496817e-002

1.05701804056138e+004,-7.69360903083859e+000,-1.83590827468858e-002

1.07177346253629e+004,-7.69360904860638e+000,-1.86153632187818e-002

1.08673486252606e+004,-7.69360906687269e+000,-1.88752211183313e-002

1.10190511587661e+004,-7.69360908565221e+000,-1.91387063753326e-002

1.11728713807222e+004,-7.69360910495908e+000,-1.94058696221606e-002

1.13288388529580e+004,-7.69360912480817e+000,-1.96767621957861e-002

1.14869835499703e+004,-7.69360914521495e+000,-1.99514361481448e-002

1.16473358646846e+004,-7.69360916619454e+000,-2.02299442629795e-002

1.18099266142953e+004,-7.69360918776341e+000,-2.05123400545374e-002

1.19747870461893e+004,-7.69360920993763e+000,-2.07986777891734e-002

1.21419488439505e+004,-7.69360923273462e+000,-2.10890124848564e-002

1.23114441334492e+004,-7.69360925617207e+000,-2.13833999288121e-002

1.24833054890161e+004,-7.69360928026727e+000,-2.16818966921831e-002

1.26575659397028e+004,-7.69360930503937e+000,-2.19845601269433e-002

1.28342589756290e+004,-7.69360933050652e+000,-2.22914483952045e-002

1.30134185544193e+004,-7.69360935668906e+000,-2.26026204593790e-002

1.31950791077289e+004,-7.69360938360602e+000,-2.29181361175531e-002

1.33792755478611e+004,-7.69360941127907e+000,-2.32380559878639e-002

1.35660432744767e+004,-7.69360943972909e+000,-2.35624415437303e-002

1.37554181813974e+004,-7.69360946897726e+000,-2.38913551176951e-002

1.39474366635040e+004,-7.69360949904663e+000,-2.42248599042698e-002

1.41421356237309e+004,-7.69360952995988e+000,-2.45630199857493e-002

1.43395524801583e+004,-7.69360956174103e+000,-2.49059003346486e-002

1.45397251732031e+004,-7.69360959441376e+000,-2.52535668356868e-002

1.47426921729110e+004,-7.69360962800361e+000,-2.56060862856697e-002

1.49484924863494e+004,-7.69360966253607e+000,-2.59635264182157e-002

1.51571656651040e+004,-7.69360969803723e+000,-2.63259559123971e-002

1.53687518128801e+004,-7.69360973453509e+000,-2.66934443978687e-002

1.55832915932100e+004,-7.69360977205653e+000,-2.70660624884929e-002

1.58008262372675e+004,-7.69360981063095e+000,-2.74438817710298e-002

1.60213975517924e+004,-7.69360985028755e+000,-2.78269748382868e-002

1.62450479271247e+004,-7.69360989105625e+000,-2.82154152955691e-002

1.64718203453514e+004,-7.69360993296904e+000,-2.86092777678937e-002

1.67017583885674e+004,-7.69360997605738e+000,-2.90086379300698e-002

1.69349062472505e+004,-7.69361002035395e+000,-2.94135725100038e-002

1.71713087287550e+004,-7.69361006589313e+000,-2.98241593012356e-002

1.74110112659224e+004,-7.69361011270909e+000,-3.02404771901466e-002

1.76540599258131e+004,-7.69361016083813e+000,-3.06626061555854e-002

1.79005014185594e+004,-7.69361021031682e+000,-3.10906272965762e-002

1.81503831063432e+004,-7.69361026118251e+000,-3.15246228454633e-002

1.84037530124975e+004,-7.69361031347461e+000,-3.19646761743724e-002

1.86606598307361e+004,-7.69361036723208e+000,-3.24108718287557e-002

1.89211529345119e+004,-7.69361042249728e+000,-3.28632955180121e-002

1.91852823865052e+004,-7.69361047931086e+000,-3.33220341657591e-002

1.94530989482457e+004,-7.69361053771665e+000,-3.37871758943840e-002

1.97246540898671e+004,-7.69361059775957e+000,-3.42588100563955e-002

1.99999999999999e+004,-7.69361065948458e+000,-3.47370272579971e-002

2.02791895958005e+004,-7.69361072293950e+000,-3.52219193586553e-002

2.05622765331213e+004,-7.69361078817199e+000,-3.57135795083326e-002

2.08493152168224e+004,-7.69361085523189e+000,-3.62121021507701e-002

2.11403608112276e+004,-7.69361092417036e+000,-3.67175830463952e-002

2.14354692507258e+004,-7.69361099503964e+000,-3.72301192934815e-002

2.17346972505211e+004,-7.69361106789314e+000,-3.77498093463028e-002

2.20381023175322e+004,-7.69361114278728e+000,-3.82767530213398e-002

2.23457427614443e+004,-7.69361121977818e+000,-3.88110515394959e-002

2.26576777059159e+004,-7.69361129892428e+000,-3.93528075273084e-002

2.29739670999406e+004,-7.69361138028582e+000,-3.99021250414584e-002

2.32946717293690e+004,-7.69361146392481e+000,-4.04591095884354e-002

