Freq.,VOut,OutRef

1.00000000000000e+004,-1.22752497609638e+001,-2.85459650074520e-002

1.01395947979003e+004,-1.22752513053069e+001,-2.89442562925240e-002

1.02811382665607e+004,-1.22752528930350e+001,-2.93480992174119e-002

1.04246576084112e+004,-1.22752545253660e+001,-2.97575709267128e-002

1.05701804056138e+004,-1.22752562035520e+001,-3.01727496289292e-002

1.07177346253629e+004,-1.22752579288800e+001,-3.05937146081420e-002

1.08673486252606e+004,-1.22752597026724e+001,-3.10205462431744e-002

1.10190511587661e+004,-1.22752615262905e+001,-3.14533260081381e-002

1.11728713807222e+004,-1.22752634011320e+001,-3.18921365049158e-002

1.13288388529580e+004,-1.22752653286350e+001,-3.23370614654097e-002

1.14869835499703e+004,-1.22752673102776e+001,-3.27881857707685e-002

1.16473358646846e+004,-1.22752693475773e+001,-3.32455954804411e-002

1.18099266142953e+004,-1.22752714420975e+001,-3.37093778124442e-002

1.19747870461893e+004,-1.22752735954425e+001,-3.41796211998730e-002

1.21419488439505e+004,-1.22752758092637e+001,-3.46564152733954e-002

1.23114441334492e+004,-1.22752780852567e+001,-3.51398509043311e-002

1.24833054890161e+004,-1.22752804251665e+001,-3.56300201943469e-002

1.26575659397028e+004,-1.22752828307859e+001,-3.61270165135351e-002

1.28342589756290e+004,-1.22752853039576e+001,-3.66309345105323e-002

1.30134185544193e+004,-1.22752878465762e+001,-3.71418701236378e-002

1.31950791077289e+004,-1.22752904605894e+001,-3.76599206023041e-002

1.33792755478611e+004,-1.22752931480002e+001,-3.81851845173317e-002

1.35660432744767e+004,-1.22752959108656e+001,-3.87177617967967e-002

1.37554181813974e+004,-1.22752987513025e+001,-3.92577537172111e-002

1.39474366635040e+004,-1.22753016714849e+001,-3.98052629461345e-002

1.41421356237309e+004,-1.22753046736487e+001,-4.03603935428528e-002

1.43395524801583e+004,-1.22753077600927e+001,-4.09232509782333e-002

1.45397251732031e+004,-1.22753109331783e+001,-4.14939421690153e-002

1.47426921729110e+004,-1.22753141953348e+001,-4.20725754708658e-002

1.49484924863494e+004,-1.22753175490585e+001,-4.26592607153443e-002

1.51571656651040e+004,-1.22753209969147e+001,-4.32541092288810e-002

1.53687518128801e+004,-1.22753245415419e+001,-4.38572338351808e-002

1.55832915932100e+004,-1.22753281856513e+001,-4.44687488918338e-002

1.58008262372675e+004,-1.22753319320295e+001,-4.50887703060214e-002

1.60213975517924e+004,-1.22753357835422e+001,-4.57174155424076e-002

1.62450479271247e+004,-1.22753397431338e+001,-4.63548036586238e-002

1.64718203453514e+004,-1.22753438138316e+001,-4.70010553148464e-002

1.67017583885674e+004,-1.22753479987467e+001,-4.76562927997765e-002

1.69349062472505e+004,-1.22753523010776e+001,-4.83206400450772e-002

1.71713087287550e+004,-1.22753567241112e+001,-4.89942226533939e-002

1.74110112659224e+004,-1.22753612712277e+001,-4.96771679038157e-002

1.76540599258131e+004,-1.22753659458990e+001,-5.03696047994019e-002

1.79005014185594e+004,-1.22753707516964e+001,-5.10716640547754e-002

1.81503831063432e+004,-1.22753756922888e+001,-5.17834781459275e-002

1.84037530124975e+004,-1.22753807714479e+001,-5.25051813170443e-002

1.86606598307361e+004,-1.22753859930506e+001,-5.32369096026996e-002

1.89211529345119e+004,-1.22753913610814e+001,-5.39788008528806e-002

1.91852823865052e+004,-1.22753968796365e+001,-5.47309947503693e-002

1.94530989482457e+004,-1.22754025529243e+001,-5.54936328437683e-002

1.97246540898671e+004,-1.22754083852718e+001,-5.62668585540851e-002

1.99999999999999e+004,-1.22754143811264e+001,-5.70508172020654e-002

2.02791895958005e+004,-1.22754205450577e+001,-5.78456560424558e-002

2.05622765331213e+004,-1.22754268817637e+001,-5.86515242666020e-002

2.08493152168224e+004,-1.22754333960726e+001,-5.94685730383814e-002

2.11403608112276e+004,-1.22754400929456e+001,-6.02969555194219e-002

2.14354692507258e+004,-1.22754469774829e+001,-6.11368268780624e-002

2.17346972505211e+004,-1.22754540549258e+001,-6.19883443242230e-002

2.20381023175322e+004,-1.22754613306607e+001,-6.28516671283042e-002

2.23457427614443e+004,-1.22754688102237e+001,-6.37269566436023e-002

2.26576777059159e+004,-1.22754764993043e+001,-6.46143763315149e-002

2.29739670999406e+004,-1.22754844037494e+001,-6.55140917848804e-002

2.32946717293690e+004,-1.22754925295678e+001,-6.64262707493071e-002

2.36198532285905e+004,-1.22755008829347e+001,-6.73510831495516e-002

2.39495740923785e+004,-1.22755094701968e+001,-6.82887011047408e-002

2.42838976879009e+004,-1.22755182978754e+001,-6.92392989667787e-002

2.46228882668982e+004,-1.22755273726730e+001,-7.02030533281762e-002

2.49666109780322e+004,-1.22755367014757e+001,-7.11801430627750e-002

2.53151318794055e+004,-1.22755462913617e+001,-7.21707493286402e-002

2.56685179512580e+004,-1.22755561496034e+001,-7.31750556093878e-002

2.60268371088386e+004,-1.22755662836737e+001,-7.41932477309313e-002

2.63901582154578e+004,-1.22755767012529e+001,-7.52255138776658e-002

2.67585510957221e+004,-1.22755874102310e+001,-7.62720446364762e-002

2.71320865489533e+004,-1.22755984187174e+001,-7.73330329921271e-002

2.75108363627948e+004,-1.22756097350432e+001,-7.84086743755453e-002

2.78948733270080e+004,-1.22756213677692e+001,-7.94991666741389e-002

2.82842712474618e+004,-1.22756333256915e+001,-8.06047102577950e-002

2.86791049603164e+004,-1.22756456178480e+001,-8.17255080019162e-002

2.90794503464061e+004,-1.22756582535248e+001,-8.28617653079080e-002

2.94853843458219e+004,-1.22756712422623e+001,-8.40136901334996e-002

2.98969849726987e+004,-1.22756845938632e+001,-8.51814930042180e-002

3.03143313302078e+004,-1.22756983183985e+001,-8.63653870428810e-002

3.07375036257601e+004,-1.22757124262148e+001,-8.75655879901451e-002

3.11665831864199e+004,-1.22757269279417e+001,-8.87823142263049e-002

3.16016524745350e+004,-1.22757418345002e+001,-9.00157867890220e-002

3.20427951035848e+004,-1.22757571571086e+001,-9.12662294009914e-002

3.24900958542493e+004,-1.22757729072917e+001,-9.25338684872548e-002

3.29436406907028e+004,-1.22757890968895e+001,-9.38189331877503e-002

3.34035167771346e+004,-1.22758057380629e+001,-9.51216553965319e-002

3.38698124945009e+004,-1.22758228433054e+001,-9.64422697586119e-002

3.43426174575100e+004,-1.22758404254495e+001,-9.77810137053003e-002

3.48220225318448e+004,-1.22758584976762e+001,-9.91381274661496e-002

3.53081198516260e+004,-1.22758770735251e+001,-1.00513854083872e-001

3.58010028371187e+004,-1.22758961669024e+001,-1.01908439437814e-001

3.63007662126863e+004,-1.22759157920914e+001,-1.03322132253271e-001

3.68075060249948e+004,-1.22759359637609e+001,-1.04755184130509e-001

3.73213196614721e+004,-1.22759566969777e+001,-1.06207849538277e-001

3.78423058690237e+004,-1.22759780072143e+001,-1.07680385850593e-001

