Freq.,VOut,OutRef

1.00000000000000e+004,-2.41378620987849e+001,-5.17658117722315e-001

1.01395947979003e+004,-2.41378667824256e+001,-5.24884101013534e-001

1.02811382665607e+004,-2.41378715977084e+001,-5.32210944458217e-001

1.04246576084112e+004,-2.41378765483325e+001,-5.39640055553562e-001

1.05701804056138e+004,-2.41378816381008e+001,-5.47172861423706e-001

1.07177346253629e+004,-2.41378868709230e+001,-5.54810809095552e-001

1.08673486252606e+004,-2.41378922508188e+001,-5.62555365774205e-001

1.10190511587661e+004,-2.41378977819207e+001,-5.70408019122831e-001

1.11728713807222e+004,-2.41379034684770e+001,-5.78370277551750e-001

1.13288388529580e+004,-2.41379093148557e+001,-5.86443670500650e-001

1.14869835499703e+004,-2.41379153255472e+001,-5.94629748736169e-001

1.16473358646846e+004,-2.41379215051680e+001,-6.02930084646045e-001

1.18099266142953e+004,-2.41379278584643e+001,-6.11346272541780e-001

1.19747870461893e+004,-2.41379343903155e+001,-6.19879928960980e-001

1.21419488439505e+004,-2.41379411057381e+001,-6.28532692978671e-001

1.23114441334492e+004,-2.41379480098891e+001,-6.37306226519462e-001

1.24833054890161e+004,-2.41379551080708e+001,-6.46202214675431e-001

1.26575659397028e+004,-2.41379624057339e+001,-6.55222366028129e-001

1.28342589756290e+004,-2.41379699084823e+001,-6.64368412976205e-001

1.30134185544193e+004,-2.41379776220773e+001,-6.73642112064170e-001

1.31950791077289e+004,-2.41379855524417e+001,-6.83045244319573e-001

1.33792755478611e+004,-2.41379937056646e+001,-6.92579615592888e-001

1.35660432744767e+004,-2.41380020880061e+001,-7.02247056902624e-001

1.37554181813974e+004,-2.41380107059019e+001,-7.12049424783765e-001

1.39474366635040e+004,-2.41380195659682e+001,-7.21988601643441e-001

1.41421356237309e+004,-2.41380286750072e+001,-7.32066496119211e-001

1.43395524801583e+004,-2.41380380400117e+001,-7.42285043444529e-001

1.45397251732031e+004,-2.41380476681708e+001,-7.52646205815746e-001

1.47426921729110e+004,-2.41380575668752e+001,-7.63151972769624e-001

1.49484924863494e+004,-2.41380677437230e+001,-7.73804361559707e-001

1.51571656651040e+004,-2.41380782065258e+001,-7.84605417541653e-001

1.53687518128801e+004,-2.41380889633137e+001,-7.95557214565037e-001

1.55832915932100e+004,-2.41381000223425e+001,-8.06661855366104e-001

1.58008262372675e+004,-2.41381113920996e+001,-8.17921471968944e-001

1.60213975517924e+004,-2.41381230813102e+001,-8.29338226093104e-001

