Freq.,VOut,OutRef

1.00000000000000e+004,-4.31361500188369e+001,-5.01256171086765e-001

1.01395947979003e+004,-4.31361548166616e+001,-5.08253203938413e-001

1.02811382665607e+004,-4.31361597493412e+001,-5.15347901432653e-001

1.04246576084112e+004,-4.31361648206652e+001,-5.22541626480494e-001

1.05701804056138e+004,-4.31361700345296e+001,-5.29835760999560e-001

1.07177346253629e+004,-4.31361753949400e+001,-5.37231706178147e-001

1.08673486252606e+004,-4.31361809060140e+001,-5.44730882746696e-001

1.10190511587661e+004,-4.31361865719854e+001,-5.52334731244058e-001

1.11728713807222e+004,-4.31361923972067e+001,-5.60044712299278e-001

1.13288388529580e+004,-4.31361983861526e+001,-5.67862306906341e-001

1.14869835499703e+004,-4.31362045434232e+001,-5.75789016710659e-001

1.16473358646846e+004,-4.31362108737485e+001,-5.83826364293783e-001

1.18099266142953e+004,-4.31362173819906e+001,-5.91975893466437e-001

1.19747870461893e+004,-4.31362240731485e+001,-6.00239169563446e-001

1.21419488439505e+004,-4.31362309523615e+001,-6.08617779742861e-001

1.23114441334492e+004,-4.31362380249130e+001,-6.17113333289004e-001

1.24833054890161e+004,-4.31362452962352e+001,-6.25727461920534e-001

1.26575659397028e+004,-4.31362527719125e+001,-6.34461820102121e-001

1.28342589756290e+004,-4.31362604576860e+001,-6.43318085361305e-001

1.30134185544193e+004,-4.31362683594582e+001,-6.52297958607480e-001

1.31950791077289e+004,-4.31362764832972e+001,-6.61403164459588e-001

1.33792755478611e+004,-4.31362848354415e+001,-6.70635451571635e-001

1.35660432744767e+004,-4.31362934223046e+001,-6.79996592970776e-001

1.37554181813974e+004,-4.31363022504801e+001,-6.89488386392557e-001

1.39474366635040e+004,-4.31363113267468e+001,-6.99112654626172e-001

1.41421356237309e+004,-4.31363206580736e+001,-7.08871245861204e-001

1.43395524801583e+004,-4.31363302516251e+001,-7.18766034040872e-001

1.45397251732031e+004,-4.31363401147667e+001,-7.28798919220545e-001

1.47426921729110e+004,-4.31363502550709e+001,-7.38971827927984e-001

1.49484924863494e+004,-4.31363606803225e+001,-7.49286713531664e-001

1.51571656651040e+004,-4.31363713985245e+001,-7.59745556615428e-001

1.53687518128801e+004,-4.31363824179050e+001,-7.70350365352681e-001

1.55832915932100e+004,-4.31363937469226e+001,-7.81103175890624e-001

1.58008262372675e+004,-4.31364053942732e+001,-7.92006052739278e-001

1.60213975517924e+004,-4.31364173688967e+001,-8.03061089162796e-001

1.62450479271247e+004,-4.31364296799840e+001,-8.14270407579784e-001

1.64718203453514e+004,-4.31364423369835e+001,-8.25636159966488e-001

1.67017583885674e+004,-4.31364553496087e+001,-8.37160528266959e-001

1.69349062472505e+004,-4.31364687278457e+001,-8.48845724807872e-001

1.71713087287550e+004,-4.31364824819606e+001,-8.60693992719819e-001

1.74110112659224e+004,-4.31364966225072e+001,-8.72707606364263e-001

1.76540599258131e+004,-4.31365111603355e+001,-8.84888871764664e-001

1.79005014185594e+004,-4.31365261065996e+001,-8.97240127046666e-001

1.81503831063432e+004,-4.31365414727663e+001,-9.09763742881062e-001

1.84037530124975e+004,-4.31365572706241e+001,-9.22462122934116e-001

1.86606598307361e+004,-4.31365735122916e+001,-9.35337704325737e-001

1.89211529345119e+004,-4.31365902102275e+001,-9.48392958090197e-001

1.91852823865052e+004,-4.31366073772392e+001,-9.61630389646582e-001

1.94530989482457e+004,-4.31366250264936e+001,-9.75052539272293e-001

1.97246540898671e+004,-4.31366431715262e+001,-9.88661982586979e-001

1.99999999999999e+004,-4.31366618262519e+001,-1.00246133103940e+000

2.02791895958005e+004,-4.31366810049755e+001,-1.01645323240308e+000

2.05622765331213e+004,-4.31367007224026e+001,-1.03064037127727e+000

2.08493152168224e+004,-4.31367209936506e+001,-1.04502546959520e+000

2.11403608112276e+004,-4.31367418342605e+001,-1.05961128714073e+000

2.14354692507258e+004,-4.31367632602084e+001,-1.07440062206861e+000

2.17346972505211e+004,-4.31367852879178e+001,-1.08939631143500e+000

2.20381023175322e+004,-4.31368079342725e+001,-1.10460123173243e+000

2.23457427614443e+004,-4.31368312166284e+001,-1.12001829943492e+000

2.26576777059159e+004,-4.31368551528277e+001,-1.13565047154810e+000

2.29739670999406e+004,-4.31368797612119e+001,-1.15150074616669e+000

2.32946717293690e+004,-4.31369050606358e+001,-1.16757216304094e+000

2.36198532285905e+004,-4.31369310704820e+001,-1.18386780414967e+000

2.39495740923785e+004,-4.31369578106752e+001,-1.20039079428129e+000

2.42838976879009e+004,-4.31369853016979e+001,-1.21714430162161e+000

2.46228882668982e+004,-4.31370135646051e+001,-1.23413153835159e+000

2.49666109780322e+004,-4.31370426210412e+001,-1.25135576125063e+000

2.53151318794055e+004,-4.31370724932555e+001,-1.26882027230980e+000

2.56685179512580e+004,-4.31371032041198e+001,-1.28652841935136e+000

2.60268371088386e+004,-4.31371347771450e+001,-1.30448359665825e+000

2.63901582154578e+004,-4.31371672364992e+001,-1.32268924561195e+000

2.67585510957221e+004,-4.31372006070264e+001,-1.34114885533592e+000

2.71320865489533e+004,-4.31372349142643e+001,-1.35986596335126e+000

2.75108363627948e+004,-4.31372701844645e+001,-1.37884415623890e+000

2.78948733270080e+004,-4.31373064446117e+001,-1.39808707031063e+000

2.82842712474618e+004,-4.31373437224444e+001,-1.41759839228996e+000

2.86791049603164e+004,-4.31373820464754e+001,-1.43738186000009e+000

2.90794503464061e+004,-4.31374214460140e+001,-1.45744126306289e+000

2.94853843458219e+004,-4.31374619511873e+001,-1.47778044360527e+000

2.98969849726987e+004,-4.31375035929633e+001,-1.49840329697641e+000

3.03143313302078e+004,-4.31375464031739e+001,-1.51931377247304e+000

3.07375036257601e+004,-4.31375904145394e+001,-1.54051587407390e+000

3.11665831864199e+004,-4.31376356606923e+001,-1.56201366118607e+000

3.16016524745350e+004,-4.31376821762031e+001,-1.58381124939641e+000

3.20427951035848e+004,-4.31377299966059e+001,-1.60591281123875e+000

3.24900958542493e+004,-4.31377791584254e+001,-1.62832257696543e+000

3.29436406907028e+004,-4.31378296992038e+001,-1.65104483533193e+000

3.34035167771346e+004,-4.31378816575294e+001,-1.67408393438965e+000

3.38698124945009e+004,-4.31379350730649e+001,-1.69744428229119e+000

3.43426174575100e+004,-4.31379899865777e+001,-1.72113034810337e+000

3.48220225318448e+004,-4.31380464399697e+001,-1.74514666263192e+000

3.53081198516260e+004,-4.31381044763090e+001,-1.76949781925702e+000

3.58010028371187e+004,-4.31381641398618e+001,-1.79418847477751e+000

3.63007662126863e+004,-4.31382254761254e+001,-1.81922335026780e+000

3.68075060249948e+004,-4.31382885318622e+001,-1.84460723194473e+000

3.73213196614721e+004,-4.31383533551343e+001,-1.87034497204480e+000

3.78423058690237e+004,-4.31384199953394e+001,-1.89644148971292e+000

3.83705647730104e+004,-4.31384885032470e+001,-1.92290177190277e+000

3.89061978964912e+004,-4.31385589310368e+001,-1.94973087428682e+000

3.94493081797342e+004,-4.31386313323367e+001,-1.97693392217772e+000

3.99999999999998e+004,-4.31387057622627e+001,-2.00451611146435e+000

4.05583791916010e+004,-4.31387822774598e+001,-2.03248270955386e+000

4.11245530662425e+004,-4.31388609361434e+001,-2.06083905632996e+000

4.16986304336447e+004,-4.31389417981429e+001,-2.08959056512023e+000

4.22807216224550e+004,-4.31390249249451e+001,-2.11874272367610e+000

4.28709385014515e+004,-4.31391103797398e+001,-2.14830109516469e+000

4.34693945010421e+004,-4.31391982274663e+001,-2.17827131917190e+000

4.40762046350642e+004,-4.31392885348606e+001,-2.20865911271940e+000

4.46914855228886e+004,-4.31393813705050e+001,-2.23947027129034e+000

4.53153554118317e+004,-4.31394768048779e+001,-2.27071066987130e+000

4.59479341998812e+004,-4.31395749104053e+001,-2.30238626400240e+000

4.65893434587380e+004,-4.31396757615138e+001,-2.33450309084451e+000

4.72397064571810e+004,-4.31397794346849e+001,-2.36706727025397e+000

4.78991481847569e+004,-4.31398860085106e+001,-2.40008500587334e+000

4.85677953758016e+004,-4.31399955637506e+001,-2.43356258623365e+000

4.92457765337964e+004,-4.31401081833906e+001,-2.46750638586847e+000

4.99332219560642e+004,-4.31402239527032e+001,-2.50192286644239e+000

5.06302637588109e+004,-4.31403429593085e+001,-2.53681857789197e+000

5.13370359025159e+004,-4.31404652932384e+001,-2.57220015957730e+000

5.20536742176771e+004,-4.31405910470010e+001,-2.60807434145033e+000

5.27803164309155e+004,-4.31407203156472e+001,-2.64444794523361e+000

5.35171021914442e+004,-4.31408531968390e+001,-2.68132788561255e+000

5.42641730979066e+004,-4.31409897909198e+001,-2.71872117144115e+000

5.50216727255895e+004,-4.31411302009859e+001,-2.75663490696139e+000

5.57897466540159e+004,-4.31412745329603e+001,-2.79507629303518e+000

5.65685424949235e+004,-4.31414228956680e+001,-2.83405262838933e+000

5.73582099206328e+004,-4.31415754009141e+001,-2.87357131087505e+000

5.81589006928121e+004,-4.31417321635620e+001,-2.91363983873999e+000

5.89707686916437e+004,-4.31418933016160e+001,-2.95426581191344e+000

5.97939699453972e+004,-4.31420589363040e+001,-2.99545693330612e+000

6.06286626604156e+004,-4.31422291921631e+001,-3.03722101012200e+000

6.14750072515201e+004,-4.31424041971273e+001,-3.07956595518533e+000

6.23331663728396e+004,-4.31425840826173e+001,-3.12249978827891e+000

6.32033049490698e+004,-4.31427689836325e+001,-3.16603063749867e+000

6.40855902071694e+004,-4.31429590388452e+001,-3.21016674061895e+000

6.49801917084985e+004,-4.31431543906974e+001,-3.25491644647388e+000

6.58872813814055e+004,-4.31433551854995e+001,-3.30028821635019e+000

6.68070335542691e+004,-4.31435615735318e+001,-3.34629062539497e+000

6.77396249890018e+004,-4.31437737091483e+001,-3.39293236403644e+000

6.86852349150199e+004,-4.31439917508832e+001,-3.44022223941787e+000

6.96440450636895e+004,-4.31442158615593e+001,-3.48816917684560e+000

7.06162397032520e+004,-4.31444462084001e+001,-3.53678222124997e+000

7.16020056742374e+004,-4.31446829631438e+001,-3.58607053865979e+000

7.26015324253724e+004,-4.31449263021596e+001,-3.63604341769081e+000

7.36150120499896e+004,-4.31451764065682e+001,-3.68671027104600e+000

7.46426393229441e+004,-4.31454334623637e+001,-3.73808063703052e+000

7.56846117380472e+004,-4.31456976605390e+001,-3.79016418107896e+000

7.67411295460207e+004,-4.31459691972140e+001,-3.84297069729687e+000

7.78123957929823e+004,-4.31462482737671e+001,-3.89651011001295e+000

