Freq.,VOut,OutRef

1.00000000000000e+004,-1.21495273647821e+001,-2.49532544490609e-002

1.01395947979003e+004,-1.21495293187588e+001,-2.53012594406487e-002

1.02811382665607e+004,-1.21495313275974e+001,-2.56541084174574e-002

1.04246576084112e+004,-1.21495333928342e+001,-2.60118684179760e-002

1.05701804056138e+004,-1.21495355160519e+001,-2.63746073702680e-002

1.07177346253629e+004,-1.21495376988758e+001,-2.67423941343618e-002

1.08673486252606e+004,-1.21495399429764e+001,-2.71152985066720e-002

1.10190511587661e+004,-1.21495422500709e+001,-2.74933912289218e-002

1.11728713807222e+004,-1.21495446219255e+001,-2.78767439943490e-002

1.13288388529580e+004,-1.21495470603544e+001,-2.82654294732936e-002

1.14869835499703e+004,-1.21495495672239e+001,-2.86595213127614e-002

1.16473358646846e+004,-1.21495521444516e+001,-2.90590941548940e-002

1.18099266142953e+004,-1.21495547940079e+001,-2.94642236573039e-002

1.19747870461893e+004,-1.21495575179197e+001,-2.98749864869032e-002

1.21419488439505e+004,-1.21495603182701e+001,-3.02914603438189e-002

1.23114441334492e+004,-1.21495631971993e+001,-3.07137239808833e-002

1.24833054890161e+004,-1.21495661569083e+001,-3.11418572024821e-002

1.26575659397028e+004,-1.21495691996593e+001,-3.15759408840075e-002

1.28342589756290e+004,-1.21495723277770e+001,-3.20160569906811e-002

1.30134185544193e+004,-1.21495755436512e+001,-3.24622885812148e-002

1.31950791077289e+004,-1.21495788497394e+001,-3.29147198202102e-002

1.33792755478611e+004,-1.21495822485660e+001,-3.33734360048048e-002

1.35660432744767e+004,-1.21495857427261e+001,-3.38385235690996e-002

1.37554181813974e+004,-1.21495893348883e+001,-3.43100700895506e-002

1.39474366635040e+004,-1.21495930277937e+001,-3.47881643204958e-002

1.41421356237309e+004,-1.21495968242605e+001,-3.52728961890700e-002

1.43395524801583e+004,-1.21496007271863e+001,-3.57643568113389e-002

1.45397251732031e+004,-1.21496047395471e+001,-3.62626385218125e-002

1.47426921729110e+004,-1.21496088644043e+001,-3.67678348613009e-002

1.49484924863494e+004,-1.21496131049025e+001,-3.72800406181962e-002

1.51571656651040e+004,-1.21496174642748e+001,-3.77993518223341e-002

1.53687518128801e+004,-1.21496219458430e+001,-3.83258657761245e-002

1.55832915932100e+004,-1.21496265530225e+001,-3.88596810505673e-002

1.58008262372675e+004,-1.21496312893222e+001,-3.94008975196309e-002

1.60213975517924e+004,-1.21496361583505e+001,-3.99496163508030e-002

1.62450479271247e+004,-1.21496411638133e+001,-4.05059400491011e-002

1.64718203453514e+004,-1.21496463095208e+001,-4.10699724489906e-002

1.67017583885674e+004,-1.21496515993892e+001,-4.16418187318892e-002

1.69349062472505e+004,-1.21496570374422e+001,-4.22215854536792e-002

