Freq.,VOut,OutRef

1.00000000000000e+004,-2.99667939459151e+001,-3.78571035473596e-001

1.01395947979003e+004,-2.99667974146640e+001,-3.83855394510909e-001

1.02811382665607e+004,-2.99668009808734e+001,-3.89213507905346e-001

1.04246576084112e+004,-2.99668046472801e+001,-3.94646404696324e-001

1.05701804056138e+004,-2.99668084166971e+001,-4.00155128268086e-001

1.07177346253629e+004,-2.99668122920169e+001,-4.05740736543506e-001

1.08673486252606e+004,-2.99668162762129e+001,-4.11404302191283e-001

1.10190511587661e+004,-2.99668203723416e+001,-4.17146912827043e-001

1.11728713807222e+004,-2.99668245835456e+001,-4.22969671223399e-001

1.13288388529580e+004,-2.99668289130552e+001,-4.28873695519180e-001

1.14869835499703e+004,-2.99668333641916e+001,-4.34860119432331e-001

1.16473358646846e+004,-2.99668379403690e+001,-4.40930092476872e-001

1.18099266142953e+004,-2.99668426450970e+001,-4.47084780183113e-001

1.19747870461893e+004,-2.99668474819839e+001,-4.53325364317372e-001

1.21419488439505e+004,-2.99668524547390e+001,-4.59653043109555e-001

1.23114441334492e+004,-2.99668575671756e+001,-4.66069031480172e-001

1.24833054890161e+004,-2.99668628232136e+001,-4.72574561273185e-001

1.26575659397028e+004,-2.99668682268828e+001,-4.79170881489817e-001

1.28342589756290e+004,-2.99668737823261e+001,-4.85859258524774e-001

1.30134185544193e+004,-2.99668794938022e+001,-4.92640976410533e-001

1.31950791077289e+004,-2.99668853656892e+001,-4.99517337060226e-001

1.33792755478611e+004,-2.99668914024875e+001,-5.06489660515507e-001

1.35660432744767e+004,-2.99668976088240e+001,-5.13559285196650e-001

1.37554181813974e+004,-2.99669039894547e+001,-5.20727568158934e-001

1.39474366635040e+004,-2.99669105492690e+001,-5.27995885349781e-001

1.41421356237309e+004,-2.99669172932928e+001,-5.35365631870234e-001

1.43395524801583e+004,-2.99669242266931e+001,-5.42838222240721e-001

1.45397251732031e+004,-2.99669313547811e+001,-5.50415090668338e-001

1.47426921729110e+004,-2.99669386830169e+001,-5.58097691319909e-001

1.49484924863494e+004,-2.99669462170132e+001,-5.65887498599748e-001

1.51571656651040e+004,-2.99669539625395e+001,-5.73786007426958e-001

1.53687518128801e+004,-2.99669619255269e+001,-5.81794733520280e-001

1.55832915932100e+004,-2.99669701120724e+001,-5.89915213685179e-001

1.58008262372675e+004,-2.99669785284430e+001,-5.98149006105853e-001

1.60213975517924e+004,-2.99669871810816e+001,-6.06497690638985e-001

1.62450479271247e+004,-2.99669960766105e+001,-6.14962869115658e-001

1.64718203453514e+004,-2.99670052218375e+001,-6.23546165641105e-001

1.67017583885674e+004,-2.99670146237602e+001,-6.32249226905552e-001

1.69349062472505e+004,-2.99670242895722e+001,-6.41073722493348e-001

1.71713087287550e+004,-2.99670342266674e+001,-6.50021345200655e-001

1.74110112659224e+004,-2.99670444426467e+001,-6.59093811352841e-001

1.76540599258131e+004,-2.99670549453228e+001,-6.68292861132080e-001

1.79005014185594e+004,-2.99670657427268e+001,-6.77620258902462e-001

1.81503831063432e+004,-2.99670768431137e+001,-6.87077793546746e-001

1.84037530124975e+004,-2.99670882549690e+001,-6.96667278799448e-001

1.86606598307361e+004,-2.99670999870148e+001,-7.06390553593601e-001

1.89211529345119e+004,-2.99671120482165e+001,-7.16249482403386e-001

1.91852823865052e+004,-2.99671244477894e+001,-7.26245955598844e-001

1.94530989482457e+004,-2.99671371952058e+001,-7.36381889797943e-001

1.97246540898671e+004,-2.99671503002021e+001,-7.46659228230521e-001

1.99999999999999e+004,-2.99671637727856e+001,-7.57079941101741e-001

2.02791895958005e+004,-2.99671776232427e+001,-7.67646025963306e-001

2.05622765331213e+004,-2.99671918621464e+001,-7.78359508087635e-001

2.08493152168224e+004,-2.99672065003637e+001,-7.89222440849500e-001

2.11403608112276e+004,-2.99672215490643e+001,-8.00236906110257e-001

2.14354692507258e+004,-2.99672370197286e+001,-8.11405014607631e-001

2.17346972505211e+004,-2.99672529241566e+001,-8.22728906352326e-001

2.20381023175322e+004,-2.99672692744762e+001,-8.34210751027356e-001

2.23457427614443e+004,-2.99672860831525e+001,-8.45852748395107e-001

2.26576777059159e+004,-2.99673033629973e+001,-8.57657128707598e-001

2.29739670999406e+004,-2.99673211271781e+001,-8.69626153122539e-001

2.32946717293690e+004,-2.99673393892283e+001,-8.81762114127714e-001

2.36198532285905e+004,-2.99673581630570e+001,-8.94067335965116e-001

2.39495740923785e+004,-2.99673774629594e+001,-9.06544175066969e-001

2.42838976879009e+004,-2.99673973036273e+001,-9.19195020492651e-001

2.46228882668982e+004,-2.99674177001598e+001,-9.32022294373922e-001

2.49666109780322e+004,-2.99674386680752e+001,-9.45028452363684e-001

2.53151318794055e+004,-2.99674602233213e+001,-9.58215984094396e-001

2.56685179512580e+004,-2.99674823822879e+001,-9.71587413636917e-001

2.60268371088386e+004,-2.99675051618189e+001,-9.85145299970564e-001

2.63901582154578e+004,-2.99675285792241e+001,-9.98892237455532e-001

