Freq.,VOut,OutRef

1.00000000000000e+004,-7.94181919970392e+000,-1.67607604677868e-001

1.01395947979003e+004,-7.94181930530591e+000,-1.69947263345655e-001

1.02811382665607e+004,-7.94181941386388e+000,-1.72319580042678e-001

1.04246576084112e+004,-7.94181952546020e+000,-1.74725010556821e-001

1.05701804056138e+004,-7.94181964017956e+000,-1.77164017034023e-001

1.07177346253629e+004,-7.94181975810891e+000,-1.79637068067262e-001

1.08673486252606e+004,-7.94181987933769e+000,-1.82144638785673e-001

1.10190511587661e+004,-7.94182000395775e+000,-1.84687210946878e-001

1.11728713807222e+004,-7.94182013206338e+000,-1.87265273028319e-001

1.13288388529580e+004,-7.94182026375153e+000,-1.89879320321333e-001

1.14869835499703e+004,-7.94182039912187e+000,-1.92529855025165e-001

1.16473358646846e+004,-7.94182053827693e+000,-1.95217386342507e-001

1.18099266142953e+004,-7.94182068132158e+000,-1.97942430582483e-001

1.19747870461893e+004,-7.94182082836428e+000,-2.00705511249938e-001

1.21419488439505e+004,-7.94182097951586e+000,-2.03507159155182e-001

1.23114441334492e+004,-7.94182113489036e+000,-2.06347912510378e-001

1.24833054890161e+004,-7.94182129460519e+000,-2.09228317032709e-001

1.26575659397028e+004,-7.94182145878070e+000,-2.12148926051319e-001

1.28342589756290e+004,-7.94182162754046e+000,-2.15110300612372e-001

1.30134185544193e+004,-7.94182180101180e+000,-2.18113009583487e-001

1.31950791077289e+004,-7.94182197932523e+000,-2.21157629767188e-001

1.33792755478611e+004,-7.94182216261486e+000,-2.24244746008992e-001

1.35660432744767e+004,-7.94182235101838e+000,-2.27374951309600e-001

1.37554181813974e+004,-7.94182254467764e+000,-2.30548846935855e-001

1.39474366635040e+004,-7.94182274373786e+000,-2.33767042541820e-001

1.41421356237309e+004,-7.94182294834834e+000,-2.37030156280084e-001

1.43395524801583e+004,-7.94182315866268e+000,-2.40338814920827e-001

1.45397251732031e+004,-7.94182337483831e+000,-2.43693653974203e-001

1.47426921729110e+004,-7.94182359703727e+000,-2.47095317808496e-001

1.49484924863494e+004,-7.94182382542554e+000,-2.50544459777367e-001

1.51571656651040e+004,-7.94182406017415e+000,-2.54041742339006e-001

1.53687518128801e+004,-7.94182430145827e+000,-2.57587837189285e-001

1.55832915932100e+004,-7.94182454945806e+000,-2.61183425385183e-001

1.58008262372675e+004,-7.94182480435849e+000,-2.64829197477130e-001

1.60213975517924e+004,-7.94182506634954e+000,-2.68525853639785e-001

1.62450479271247e+004,-7.94182533562605e+000,-2.72274103808704e-001

1.64718203453514e+004,-7.94182561238855e+000,-2.76074667810183e-001

1.67017583885674e+004,-7.94182589684240e+000,-2.79928275506055e-001

1.69349062472505e+004,-7.94182618919906e+000,-2.83835666925350e-001

1.71713087287550e+004,-7.94182648967511e+000,-2.87797592412531e-001

1.74110112659224e+004,-7.94182679849335e+000,-2.91814812764896e-001

1.76540599258131e+004,-7.94182711588200e+000,-2.95888099383512e-001

1.79005014185594e+004,-7.94182744207600e+000,-3.00018234413138e-001

1.81503831063432e+004,-7.94182777731599e+000,-3.04206010899304e-001

1.84037530124975e+004,-7.94182812184942e+000,-3.08452232932080e-001

1.86606598307361e+004,-7.94182847592983e+000,-3.12757715806926e-001

1.89211529345119e+004,-7.94182883981786e+000,-3.17123286172723e-001

1.91852823865052e+004,-7.94182921378093e+000,-3.21549782194202e-001

1.94530989482457e+004,-7.94182959809343e+000,-3.26038053709660e-001

1.97246540898671e+004,-7.94182999303692e+000,-3.30588962394293e-001

1.99999999999999e+004,-7.94183039890047e+000,-3.35203381922100e-001

2.02791895958005e+004,-7.94183081598082e+000,-3.39882198132608e-001

2.05622765331213e+004,-7.94183124458202e+000,-3.44626309203223e-001

2.08493152168224e+004,-7.94183168501671e+000,-3.49436625813035e-001

2.11403608112276e+004,-7.94183213760485e+000,-3.54314071324606e-001

2.14354692507258e+004,-7.94183260267558e+000,-3.59259581950264e-001

2.17346972505211e+004,-7.94183308056577e+000,-3.64274106939454e-001

2.20381023175322e+004,-7.94183357162159e+000,-3.69358608750630e-001

2.23457427614443e+004,-7.94183407619769e+000,-3.74514063241090e-001

2.26576777059159e+004,-7.94183459465806e+000,-3.79741459847749e-001

2.29739670999406e+004,-7.94183512737595e+000,-3.85041801776673e-001

2.32946717293690e+004,-7.94183567473421e+000,-3.90416106193219e-001

2.36198532285905e+004,-7.94183623712526e+000,-3.95865404416163e-001

2.39495740923785e+004,-7.94183681495152e+000,-4.01390742111639e-001

2.42838976879009e+004,-7.94183740862566e+000,-4.06993179492430e-001

2.46228882668982e+004,-7.94183801857081e+000,-4.12673791518048e-001

2.49666109780322e+004,-7.94183864522051e+000,-4.18433668099718e-001

2.53151318794055e+004,-7.94183928901942e+000,-4.24273914305115e-001

2.56685179512580e+004,-7.94183995042290e+000,-4.30195650570466e-001

2.60268371088386e+004,-7.94184062989804e+000,-4.36200012908527e-001

2.63901582154578e+004,-7.94184132792319e+000,-4.42288153126978e-001

2.67585510957221e+004,-7.94184204498867e+000,-4.48461239044021e-001

2.71320865489533e+004,-7.94184278159654e+000,-4.54720454711687e-001

2.75108363627948e+004,-7.94184353826127e+000,-4.61067000636623e-001

2.78948733270080e+004,-7.94184431551004e+000,-4.67502094007459e-001

2.82842712474618e+004,-7.94184511388241e+000,-4.74026968926216e-001

2.86791049603164e+004,-7.94184593393107e+000,-4.80642876640308e-001

2.90794503464061e+004,-7.94184677622203e+000,-4.87351085777105e-001

2.94853843458219e+004,-7.94184764133452e+000,-4.94152882585774e-001

2.98969849726987e+004,-7.94184852986166e+000,-5.01049571176756e-001

3.03143313302078e+004,-7.94184944241054e+000,-5.08042473768775e-001

3.07375036257601e+004,-7.94185037960219e+000,-5.15132930938852e-001

3.11665831864199e+004,-7.94185134207225e+000,-5.22322301871739e-001

3.16016524745350e+004,-7.94185233047103e+000,-5.29611964617051e-001

3.20427951035848e+004,-7.94185334546370e+000,-5.37003316347961e-001

3.24900958542493e+004,-7.94185438773035e+000,-5.44497773624529e-001

3.29436406907028e+004,-7.94185545796680e+000,-5.52096772656183e-001

3.34035167771346e+004,-7.94185655688405e+000,-5.59801769575869e-001

3.38698124945009e+004,-7.94185768520904e+000,-5.67614240709289e-001

3.43426174575100e+004,-7.94185884368471e+000,-5.75535682852334e-001

3.48220225318448e+004,-7.94186003307008e+000,-5.83567613552278e-001

3.53081198516260e+004,-7.94186125414072e+000,-5.91711571390185e-001

3.58010028371187e+004,-7.94186250768862e+000,-5.99969116269382e-001

3.63007662126863e+004,-7.94186379452254e+000,-6.08341829706522e-001

3.68075060249948e+004,-7.94186511546826e+000,-6.16831315126686e-001

3.73213196614721e+004,-7.94186647136829e+000,-6.25439198163948e-001

3.78423058690237e+004,-7.94186786308272e+000,-6.34167126961452e-001

3.83705647730104e+004,-7.94186929148878e+000,-6.43016772480129e-001

3.89061978964912e+004,-7.94187075748116e+000,-6.51989828809676e-001

3.94493081797342e+004,-7.94187226197196e+000,-6.61088013484216e-001

3.99999999999998e+004,-7.94187380589091e+000,-6.70313067799634e-001

4.05583791916010e+004,-7.94187539018549e+000,-6.79666757137660e-001

4.11245530662425e+004,-7.94187701582070e+000,-6.89150871293771e-001

4.16986304336447e+004,-7.94187868377939e+000,-6.98767224807419e-001

4.22807216224550e+004,-7.94188039506180e+000,-7.08517657300707e-001

4.28709385014515e+004,-7.94188215068597e+000,-7.18404033815408e-001

4.34693945010421e+004,-7.94188395168733e+000,-7.28428245160270e-001

4.40762046350642e+004,-7.94188579911889e+000,-7.38592208257938e-001

4.46914855228886e+004,-7.94188769405057e+000,-7.48897866501745e-001

4.53153554118317e+004,-7.94188963756967e+000,-7.59347190109821e-001

4.59479341998812e+004,-7.94189163078018e+000,-7.69942176490555e-001

4.65893434587380e+004,-7.94189367480251e+000,-7.80684850610012e-001

4.72397064571810e+004,-7.94189577077345e+000,-7.91577265362122e-001

4.78991481847569e+004,-7.94189791984571e+000,-8.02621501946928e-001

4.85677953758016e+004,-7.94190012318707e+000,-8.13819670252912e-001

4.92457765337964e+004,-7.94190238198069e+000,-8.25173909240251e-001

4.99332219560642e+004,-7.94190469742378e+000,-8.36686387336088e-001

5.06302637588109e+004,-7.94190707072738e+000,-8.48359302828630e-001

5.13370359025159e+004,-7.94190950311577e+000,-8.60194884267757e-001

5.20536742176771e+004,-7.94191199582535e+000,-8.72195390873869e-001

5.27803164309155e+004,-7.94191455010401e+000,-8.84363112947518e-001

5.35171021914442e+004,-7.94191716721029e+000,-8.96700372286285e-001

5.42641730979066e+004,-7.94191984841215e+000,-9.09209522607005e-001

5.50216727255895e+004,-7.94192259498606e+000,-9.21892949972989e-001

5.57897466540159e+004,-7.94192540821563e+000,-9.34753073226315e-001

5.65685424949235e+004,-7.94192828939032e+000,-9.47792344425890e-001

5.73582099206328e+004,-7.94193123980406e+000,-9.61013249290849e-001

5.81589006928121e+004,-7.94193426075355e+000,-9.74418307649947e-001

5.89707686916437e+004,-7.94193735353664e+000,-9.88010073895848e-001

5.97939699453972e+004,-7.94194051945072e+000,-1.00179113744419e+000

6.06286626604156e+004,-7.94194375979023e+000,-1.01576412320180e+000

6.14750072515201e+004,-7.94194707584502e+000,-1.02993169203647e+000

6.23331663728396e+004,-7.94195046889775e+000,-1.04429654125556e+000

6.32033049490698e+004,-7.94195394022158e+000,-1.05886140508923e+000

6.40855902071694e+004,-7.94195749107753e+000,-1.07362905517941e+000

6.49801917084985e+004,-7.94196112271131e+000,-1.08860230107729e+000

6.58872813814055e+004,-7.94196483635084e+000,-1.10378399074198e+000

6.68070335542691e+004,-7.94196863320252e+000,-1.11917701105099e+000

6.77396249890018e+004,-7.94197251444782e+000,-1.13478428831421e+000

6.86852349150199e+004,-7.94197648123982e+000,-1.15060878879233e+000

6.96440450636895e+004,-7.94198053469878e+000,-1.16665351922753e+000

7.06162397032520e+004,-7.94198467590835e+000,-1.18292152737370e+000

7.16020056742374e+004,-7.94198890591074e+000,-1.19941590253821e+000

7.26015324253724e+004,-7.94199322570200e+000,-1.21613977612937e+000

7.36150120499896e+004,-7.94199763622696e+000,-1.23309632220847e+000

7.46426393229441e+004,-7.94200213837367e+000,-1.25028875805218e+000

7.56846117380472e+004,-7.94200673296757e+000,-1.26772034471934e+000

7.67411295460207e+004,-7.94201142076556e+000,-1.28539438762553e+000

7.78123957929823e+004,-7.94201620244915e+000,-1.30331423712600e+000

7.88986163594682e+004,-7.94202107861787e+000,-1.32148328910333e+000

7.99999999999995e+004,-7.94202604978163e+000,-1.33990498556581e+000

8.11167583832018e+004,-7.94203111635313e+000,-1.35858281525101e+000

8.22491061324848e+004,-7.94203627863964e+000,-1.37752031423681e+000

8.33972608672892e+004,-7.94204153683423e+000,-1.39672106656225e+000

8.45614432449099e+004,-7.94204689100647e+000,-1.41618870485532e+000

8.57418770029029e+004,-7.94205234109297e+000,-1.43592691096751e+000

8.69387890020841e+004,-7.94205788688680e+000,-1.45593941661863e+000

8.81524092701283e+004,-7.94206352802694e+000,-1.47623000404846e+000

8.93829710457770e+004,-7.94206926398670e+000,-1.49680250667779e+000

9.06307108236633e+004,-7.94207509406150e+000,-1.51766080977858e+000

9.18958683997622e+004,-7.94208101735657e+000,-1.53880885115082e+000

9.31786869174758e+004,-7.94208703277319e+000,-1.56025062181080e+000

9.44794129143618e+004,-7.94209313899470e+000,-1.58199016668828e+000

9.57982963695136e+004,-7.94209933447187e+000,-1.60403158533025e+000

9.71355907516031e+004,-7.94210561740698e+000,-1.62637903261962e+000

9.84915530675926e+004,-7.94211198573791e+000,-1.64903671949729e+000

9.98664439121282e+004,-7.94211843712032e+000,-1.67200891370065e+000

1.01260527517622e+005,-7.94212496891010e+000,-1.69529994050783e+000

1.02674071805032e+005,-7.94213157814425e+000,-1.71891418349348e+000

1.04107348435354e+005,-7.94213826152082e+000,-1.74285608529764e+000

1.05560632861831e+005,-7.94214501537844e+000,-1.76713014840192e+000

1.07034204382888e+005,-7.94215183567407e+000,-1.79174093592123e+000

1.08528346195813e+005,-7.94215871796045e+000,-1.81669307240283e+000

1.10043345451179e+005,-7.94216565736204e+000,-1.84199124464124e+000

