Freq.,VOut,OutRef

1.00000000000000e+004,-1.39478582756688e+001,-6.66786587476036e-002

1.01395947979003e+004,-1.39478585702065e+001,-6.76094099673162e-002

1.02811382665607e+004,-1.39478588730143e+001,-6.85531519445296e-002

1.04246576084112e+004,-1.39478591843239e+001,-6.95100659390053e-002

1.05701804056138e+004,-1.39478595043736e+001,-7.04803357354568e-002

1.07177346253629e+004,-1.39478598334087e+001,-7.14641476779217e-002

1.08673486252606e+004,-1.39478601716811e+001,-7.24616907099565e-002

1.10190511587661e+004,-1.39478605194495e+001,-7.34731564088560e-002

1.11728713807222e+004,-1.39478608769803e+001,-7.44987390201949e-002

1.13288388529580e+004,-1.39478612445470e+001,-7.55386354988188e-002

1.14869835499703e+004,-1.39478616224308e+001,-7.65930455420652e-002

1.16473358646846e+004,-1.39478620109211e+001,-7.76621716305387e-002

1.18099266142953e+004,-1.39478624103146e+001,-7.87462190687450e-002

1.19747870461893e+004,-1.39478628209173e+001,-7.98453960174918e-002

1.21419488439505e+004,-1.39478632430431e+001,-8.09599135404442e-002

1.23114441334492e+004,-1.39478636770144e+001,-8.20899856433711e-002

1.24833054890161e+004,-1.39478641231634e+001,-8.32358293099526e-002

1.26575659397028e+004,-1.39478645818311e+001,-8.43976645479709e-002

1.28342589756290e+004,-1.39478650533678e+001,-8.55757144307488e-002

1.30134185544193e+004,-1.39478655381341e+001,-8.67702051379626e-002

1.31950791077289e+004,-1.39478660365002e+001,-8.79813660006512e-002

1.33792755478611e+004,-1.39478665488470e+001,-8.92094295399928e-002

1.35660432744767e+004,-1.39478670755658e+001,-9.04546315200230e-002

1.37554181813974e+004,-1.39478676170586e+001,-9.17172109861534e-002

1.39474366635040e+004,-1.39478681737389e+001,-9.29974103114997e-002

1.41421356237309e+004,-1.39478687460319e+001,-9.42954752436204e-002

1.43395524801583e+004,-1.39478693343741e+001,-9.56116549539204e-002

1.45397251732031e+004,-1.39478699392146e+001,-9.69462020789134e-002

1.47426921729110e+004,-1.39478705610145e+001,-9.82993727769676e-002

1.49484924863494e+004,-1.39478712002485e+001,-9.96714267658994e-002

1.51571656651040e+004,-1.39478718574037e+001,-1.01062627382872e-001

1.53687518128801e+004,-1.39478725329813e+001,-1.02473241627487e-001

1.55832915932100e+004,-1.39478732274962e+001,-1.03903540216401e-001

1.58008262372675e+004,-1.39478739414774e+001,-1.05353797633188e-001

1.60213975517924e+004,-1.39478746754690e+001,-1.06824292178324e-001

1.62450479271247e+004,-1.39478754300300e+001,-1.08315306026514e-001

1.64718203453514e+004,-1.39478762057350e+001,-1.09827125275007e-001

1.67017583885674e+004,-1.39478770031743e+001,-1.11360040003339e-001

1.69349062472505e+004,-1.39478778229549e+001,-1.12914344324054e-001

1.71713087287550e+004,-1.39478786657003e+001,-1.14490336439552e-001

1.74110112659224e+004,-1.39478795320518e+001,-1.16088318698409e-001

1.76540599258131e+004,-1.39478804226678e+001,-1.17708597654593e-001

1.79005014185594e+004,-1.39478813382253e+001,-1.19351484122748e-001

1.81503831063432e+004,-1.39478822794202e+001,-1.21017293236375e-001

1.84037530124975e+004,-1.39478832469671e+001,-1.22706344512589e-001

1.86606598307361e+004,-1.39478842416007e+001,-1.24418961906780e-001

1.89211529345119e+004,-1.39478852640764e+001,-1.26155473873774e-001

1.91852823865052e+004,-1.39478863151697e+001,-1.27916213435596e-001

1.94530989482457e+004,-1.39478873956781e+001,-1.29701518238376e-001

1.97246540898671e+004,-1.39478885064206e+001,-1.31511730618963e-001

1.99999999999999e+004,-1.39478896482394e+001,-1.33347197667653e-001

2.02791895958005e+004,-1.39478908219994e+001,-1.35208271295113e-001

2.05622765331213e+004,-1.39478920285897e+001,-1.37095308297149e-001

2.08493152168224e+004,-1.39478932689234e+001,-1.39008670425064e-001

2.11403608112276e+004,-1.39478945439392e+001,-1.40948724448391e-001

2.14354692507258e+004,-1.39478958546016e+001,-1.42915842226831e-001

2.17346972505211e+004,-1.39478972019012e+001,-1.44910400781906e-001

2.20381023175322e+004,-1.39478985868562e+001,-1.46932782362600e-001

2.23457427614443e+004,-1.39479000105126e+001,-1.48983374522964e-001

2.26576777059159e+004,-1.39479014739453e+001,-1.51062570188355e-001

2.29739670999406e+004,-1.39479029782581e+001,-1.53170767736285e-001

2.32946717293690e+004,-1.39479045245856e+001,-1.55308371064426e-001

2.36198532285905e+004,-1.39479061140934e+001,-1.57475789668047e-001

2.39495740923785e+004,-1.39479077479786e+001,-1.59673438720729e-001

2.42838976879009e+004,-1.39479094274713e+001,-1.61901739144105e-001

2.46228882668982e+004,-1.39479111538353e+001,-1.64161117693036e-001

2.49666109780322e+004,-1.39479129283688e+001,-1.66452007031319e-001

2.53151318794055e+004,-1.39479147524050e+001,-1.68774845815226e-001

2.56685179512580e+004,-1.39479166273140e+001,-1.71130078771792e-001

2.60268371088386e+004,-1.39479185545027e+001,-1.73518156785113e-001

2.63901582154578e+004,-1.39479205354167e+001,-1.75939536974218e-001

2.67585510957221e+004,-1.39479225715406e+001,-1.78394682785384e-001

2.71320865489533e+004,-1.39479246643991e+001,-1.80884064073808e-001

2.75108363627948e+004,-1.39479268155585e+001,-1.83408157190767e-001

2.78948733270080e+004,-1.39479290266278e+001,-1.85967445069727e-001

2.82842712474618e+004,-1.39479312992586e+001,-1.88562417322778e-001

2.86791049603164e+004,-1.39479336351480e+001,-1.91193570322834e-001

2.90794503464061e+004,-1.39479360360387e+001,-1.93861407299131e-001

2.94853843458219e+004,-1.39479385037200e+001,-1.96566438429364e-001

2.98969849726987e+004,-1.39479410400299e+001,-1.99309180933681e-001

3.03143313302078e+004,-1.39479436468553e+001,-2.02090159170263e-001

3.07375036257601e+004,-1.39479463261341e+001,-2.04909904729703e-001

3.11665831864199e+004,-1.39479490798563e+001,-2.07768956534183e-001

3.16016524745350e+004,-1.39479519100648e+001,-2.10667860935480e-001

3.20427951035848e+004,-1.39479548188572e+001,-2.13607171815814e-001

3.24900958542493e+004,-1.39479578083875e+001,-2.16587450686344e-001

3.29436406907028e+004,-1.39479608808668e+001,-2.19609266792966e-001

3.34035167771346e+004,-1.39479640385651e+001,-2.22673197217312e-001

3.38698124945009e+004,-1.39479672838128e+001,-2.25779826983646e-001

3.43426174575100e+004,-1.39479706190021e+001,-2.28929749163833e-001

3.48220225318448e+004,-1.39479740465888e+001,-2.32123564985079e-001

3.53081198516260e+004,-1.39479775690932e+001,-2.35361883939451e-001

3.58010028371187e+004,-1.39479811891025e+001,-2.38645323893608e-001

3.63007662126863e+004,-1.39479849092721e+001,-2.41974511198941e-001

3.68075060249948e+004,-1.39479887323269e+001,-2.45350080807939e-001

3.73213196614721e+004,-1.39479926610639e+001,-2.48772676383351e-001

3.78423058690237e+004,-1.39479966983527e+001,-2.52242950420251e-001

3.83705647730104e+004,-1.39480008471384e+001,-2.55761564355897e-001

3.89061978964912e+004,-1.39480051104428e+001,-2.59329188694578e-001

3.94493081797342e+004,-1.39480094913661e+001,-2.62946503122667e-001

3.99999999999998e+004,-1.39480139930898e+001,-2.66614196630544e-001

4.05583791916010e+004,-1.39480186188768e+001,-2.70332967638453e-001

4.11245530662425e+004,-1.39480233720751e+001,-2.74103524117053e-001

4.16986304336447e+004,-1.39480282561185e+001,-2.77926583714980e-001

4.22807216224550e+004,-1.39480332745297e+001,-2.81802873882854e-001

4.28709385014515e+004,-1.39480384309213e+001,-2.85733132005335e-001

4.34693945010421e+004,-1.39480437289983e+001,-2.89718105529737e-001

4.40762046350642e+004,-1.39480491725604e+001,-2.93758552095337e-001

4.46914855228886e+004,-1.39480547655041e+001,-2.97855239669436e-001

4.53153554118317e+004,-1.39480605118240e+001,-3.02008946680316e-001

4.59479341998812e+004,-1.39480664156166e+001,-3.06220462150833e-001

4.65893434587380e+004,-1.39480724810810e+001,-3.10490585840383e-001

4.72397064571810e+004,-1.39480787125219e+001,-3.14820128380830e-001

4.78991481847569e+004,-1.39480851143518e+001,-3.19209911417073e-001

4.85677953758016e+004,-1.39480916910931e+001,-3.23660767750086e-001

4.92457765337964e+004,-1.39480984473809e+001,-3.28173541480080e-001

4.99332219560642e+004,-1.39481053879647e+001,-3.32749088151461e-001

5.06302637588109e+004,-1.39481125177113e+001,-3.37388274900509e-001

