Freq.,VOut,OutRef

1.00000000000000e+004,-1.20241175627224e+001,-2.07816411918938e-001

1.01395947979003e+004,-1.20241180721807e+001,-2.10717323438964e-001

1.02811382665607e+004,-1.20241185959401e+001,-2.13658726038560e-001

1.04246576084112e+004,-1.20241191344013e+001,-2.16641184777516e-001

1.05701804056138e+004,-1.20241196879765e+001,-2.19665272594222e-001

1.07177346253629e+004,-1.20241202570891e+001,-2.22731570419065e-001

1.08673486252606e+004,-1.20241208421745e+001,-2.25840667283719e-001

1.10190511587661e+004,-1.20241214436802e+001,-2.28993160432787e-001

1.11728713807222e+004,-1.20241220620662e+001,-2.32189655440029e-001

1.13288388529580e+004,-1.20241226978054e+001,-2.35430766323886e-001

1.14869835499703e+004,-1.20241233513837e+001,-2.38717115664453e-001

1.16473358646846e+004,-1.20241240233009e+001,-2.42049334721336e-001

1.18099266142953e+004,-1.20241247140703e+001,-2.45428063559142e-001

1.19747870461893e+004,-1.20241254242200e+001,-2.48853951163449e-001

1.21419488439505e+004,-1.20241261542923e+001,-2.52327655570633e-001

1.23114441334492e+004,-1.20241269048452e+001,-2.55849843988291e-001

1.24833054890161e+004,-1.20241276764518e+001,-2.59421192928203e-001

1.26575659397028e+004,-1.20241284697013e+001,-2.63042388332336e-001

1.28342589756290e+004,-1.20241292851992e+001,-2.66714125704719e-001

1.30134185544193e+004,-1.20241301235682e+001,-2.70437110244780e-001

1.31950791077289e+004,-1.20241309854480e+001,-2.74212056980933e-001

1.33792755478611e+004,-1.20241318714963e+001,-2.78039690908714e-001

1.35660432744767e+004,-1.20241327823889e+001,-2.81920747128629e-001

1.37554181813974e+004,-1.20241337188208e+001,-2.85855970985863e-001

1.39474366635040e+004,-1.20241346815056e+001,-2.89846118214743e-001

1.41421356237309e+004,-1.20241356711776e+001,-2.93891955079127e-001

1.43395524801583e+004,-1.20241366885909e+001,-2.97994258522991e-001

1.45397251732031e+004,-1.20241377345208e+001,-3.02153816316227e-001

1.47426921729110e+004,-1.20241388097639e+001,-3.06371427206255e-001

1.49484924863494e+004,-1.20241399151393e+001,-3.10647901067998e-001

1.51571656651040e+004,-1.20241410514885e+001,-3.14984059062017e-001

1.53687518128801e+004,-1.20241422196766e+001,-3.19380733787246e-001

1.55832915932100e+004,-1.20241434205924e+001,-3.23838769443461e-001

1.58008262372675e+004,-1.20241446551495e+001,-3.28359021989745e-001

1.60213975517924e+004,-1.20241459242869e+001,-3.32942359307488e-001

1.62450479271247e+004,-1.20241472289694e+001,-3.37589661367505e-001

