Freq.,VOut,OutRef

1.00000000000000e+004,-1.46751369640839e+001,-9.72058213405966e-003

1.01395947979003e+004,-1.46751377471922e+001,-9.85614461738408e-003

1.02811382665607e+004,-1.46751385522884e+001,-9.99359388620199e-003

1.04246576084112e+004,-1.46751393799875e+001,-1.01329560505638e-002

1.05701804056138e+004,-1.46751402309242e+001,-1.02742575611508e-002

1.07177346253629e+004,-1.46751411057496e+001,-1.04175252351148e-002

1.08673486252606e+004,-1.46751420051329e+001,-1.05627862522051e-002

1.10190511587661e+004,-1.46751429297643e+001,-1.07100681477316e-002

1.11728713807222e+004,-1.46751438803501e+001,-1.08593988486012e-002

1.13288388529580e+004,-1.46751448576161e+001,-1.10108066607922e-002

1.14869835499703e+004,-1.46751458623129e+001,-1.11643202439563e-002

1.16473358646846e+004,-1.46751468952078e+001,-1.13199686714594e-002

1.18099266142953e+004,-1.46751479570903e+001,-1.14777814048244e-002

1.19747870461893e+004,-1.46751490487726e+001,-1.16377882953684e-002

1.21419488439505e+004,-1.46751501710903e+001,-1.18000195934641e-002

1.23114441334492e+004,-1.46751513249011e+001,-1.19645059626118e-002

1.24833054890161e+004,-1.46751525110859e+001,-1.21312784837073e-002

1.26575659397028e+004,-1.46751537305531e+001,-1.23003686345485e-002

1.28342589756290e+004,-1.46751549842345e+001,-1.24718083262943e-002

1.30134185544193e+004,-1.46751562730853e+001,-1.26456299149078e-002

1.31950791077289e+004,-1.46751575980931e+001,-1.28218661511427e-002

1.33792755478611e+004,-1.46751589602692e+001,-1.30005502465969e-002

1.35660432744767e+004,-1.46751603606526e+001,-1.31817158586193e-002

1.37554181813974e+004,-1.46751618003136e+001,-1.33653970769482e-002

1.39474366635040e+004,-1.46751632803507e+001,-1.35516284558116e-002

1.41421356237309e+004,-1.46751648018928e+001,-1.37404450073449e-002

1.43395524801583e+004,-1.46751663661026e+001,-1.39318821926105e-002

1.45397251732031e+004,-1.46751679741720e+001,-1.41259759636964e-002

1.47426921729110e+004,-1.46751696273279e+001,-1.43227627323560e-002

1.49484924863494e+004,-1.46751713268304e+001,-1.45222793996825e-002

1.51571656651040e+004,-1.46751730739757e+001,-1.47245633433284e-002

1.53687518128801e+004,-1.46751748700957e+001,-1.49296524348729e-002

1.55832915932100e+004,-1.46751767165576e+001,-1.51375850544307e-002

1.58008262372675e+004,-1.46751786147705e+001,-1.53484000568683e-002

1.60213975517924e+004,-1.46751805661774e+001,-1.55621368410733e-002

1.62450479271247e+004,-1.46751825722659e+001,-1.57788352895370e-002

1.64718203453514e+004,-1.46751846345618e+001,-1.59985358222080e-002

1.67017583885674e+004,-1.46751867546362e+001,-1.62212793665092e-002

1.69349062472505e+004,-1.46751889341000e+001,-1.64471074044805e-002

1.71713087287550e+004,-1.46751911746123e+001,-1.66760619299877e-002

1.74110112659224e+004,-1.46751934778757e+001,-1.69081854962614e-002

1.76540599258131e+004,-1.46751958456411e+001,-1.71435211963083e-002

1.79005014185594e+004,-1.46751982797074e+001,-1.73821126789166e-002

1.81503831063432e+004,-1.46752007819239e+001,-1.76240041479619e-002

1.84037530124975e+004,-1.46752033541899e+001,-1.78692403796709e-002

1.86606598307361e+004,-1.46752059984591e+001,-1.81178667091013e-002

1.89211529345119e+004,-1.46752087167366e+001,-1.83699290627843e-002

1.91852823865052e+004,-1.46752115110850e+001,-1.86254739345752e-002

1.94530989482457e+004,-1.46752143836232e+001,-1.88845484128852e-002

1.97246540898671e+004,-1.46752173365270e+001,-1.91472001860160e-002

1.99999999999999e+004,-1.46752203720358e+001,-1.94134775181877e-002

2.02791895958005e+004,-1.46752234924468e+001,-1.96834293047266e-002

2.05622765331213e+004,-1.46752267001221e+001,-1.99571050374718e-002

2.08493152168224e+004,-1.46752299974894e+001,-2.02345548212924e-002

2.11403608112276e+004,-1.46752333870420e+001,-2.05158293891026e-002

2.14354692507258e+004,-1.46752368713437e+001,-2.08009800869805e-002

2.17346972505211e+004,-1.46752404530256e+001,-2.10900589107281e-002

2.20381023175322e+004,-1.46752441347933e+001,-2.13831184811198e-002

2.23457427614443e+004,-1.46752479194264e+001,-2.16802120599069e-002

2.26576777059159e+004,-1.46752518097798e+001,-2.19813935616667e-002

2.29739670999406e+004,-1.46752558087881e+001,-2.22867175430151e-002

2.32946717293690e+004,-1.46752599194635e+001,-2.25962392347685e-002

2.36198532285905e+004,-1.46752641449038e+001,-2.29100145103866e-002

2.39495740923785e+004,-1.46752684882901e+001,-2.32280999152365e-002

2.42838976879009e+004,-1.46752729528892e+001,-2.35505526747177e-002

2.46228882668982e+004,-1.46752775420580e+001,-2.38774306828954e-002

2.49666109780322e+004,-1.46752822592459e+001,-2.42087925075058e-002

2.53151318794055e+004,-1.46752871079951e+001,-2.45446974061594e-002

2.56685179512580e+004,-1.46752920919434e+001,-2.48852053301969e-002

2.60268371088386e+004,-1.46752972148305e+001,-2.52303769027918e-002

2.63901582154578e+004,-1.46753024804935e+001,-2.55802734686868e-002

2.67585510957221e+004,-1.46753078928773e+001,-2.59349570475019e-002

2.71320865489533e+004,-1.46753134560307e+001,-2.62944903806915e-002

2.75108363627948e+004,-1.46753191741153e+001,-2.66589368934962e-002

2.78948733270080e+004,-1.46753250514019e+001,-2.70283607406507e-002

2.82842712474618e+004,-1.46753310922791e+001,-2.74028267722067e-002

2.86791049603164e+004,-1.46753373012528e+001,-2.77824005565101e-002

2.90794503464061e+004,-1.46753436829515e+001,-2.81671483706583e-002

2.94853843458219e+004,-1.46753502421266e+001,-2.85571372174854e-002

2.98969849726987e+004,-1.46753569836586e+001,-2.89524348094577e-002

3.03143313302078e+004,-1.46753639125580e+001,-2.93531095832175e-002

3.07375036257601e+004,-1.46753710339707e+001,-2.97592306916470e-002

3.11665831864199e+004,-1.46753783531790e+001,-3.01708680125348e-002

3.16016524745350e+004,-1.46753858756087e+001,-3.05880921319669e-002

3.20427951035848e+004,-1.46753936068280e+001,-3.10109743695417e-002

3.24900958542493e+004,-1.46754015525556e+001,-3.14395867514096e-002

3.29436406907028e+004,-1.46754097186605e+001,-3.18740020345986e-002

3.34035167771346e+004,-1.46754181111696e+001,-3.23142936780422e-002

3.38698124945009e+004,-1.46754267362683e+001,-3.27605358641253e-002

3.43426174575100e+004,-1.46754356003061e+001,-3.32128034844457e-002

3.48220225318448e+004,-1.46754447098010e+001,-3.36711721348144e-002

3.53081198516260e+004,-1.46754540714425e+001,-3.41357181179172e-002

3.58010028371187e+004,-1.46754636920969e+001,-3.46065184323882e-002

3.63007662126863e+004,-1.46754735788102e+001,-3.50836507779427e-002

3.68075060249948e+004,-1.46754837388141e+001,-3.55671935366537e-002

3.73213196614721e+004,-1.46754941795292e+001,-3.60572257783156e-002

3.78423058690237e+004,-1.46755049085702e+001,-3.65538272462692e-002

3.83705647730104e+004,-1.46755159337513e+001,-3.70570783460578e-002

3.89061978964912e+004,-1.46755272630881e+001,-3.75670601544631e-002

3.94493081797342e+004,-1.46755389048063e+001,-3.80838543876435e-002

3.99999999999998e+004,-1.46755508673426e+001,-3.86075434124406e-002

4.05583791916010e+004,-1.46755631593544e+001,-3.91382102089612e-002

4.11245530662425e+004,-1.46755757897198e+001,-3.96759383887873e-002

4.16986304336447e+004,-1.46755887675469e+001,-4.02208121579213e-002

4.22807216224550e+004,-1.46756021021755e+001,-4.07729163220557e-002

4.28709385014515e+004,-1.46756158031860e+001,-4.13323362523839e-002

4.34693945010421e+004,-1.46756298804016e+001,-4.18991578879544e-002

4.40762046350642e+004,-1.46756443438964e+001,-4.24734677032132e-002

4.46914855228886e+004,-1.46756592039994e+001,-4.30553526994154e-002

4.53153554118317e+004,-1.46756744713004e+001,-4.36449003816366e-002

4.59479341998812e+004,-1.46756901566561e+001,-4.42421987403467e-002

4.65893434587380e+004,-1.46757062711953e+001,-4.48473362280640e-002

4.72397064571810e+004,-1.46757228263257e+001,-4.54604017342042e-002

4.78991481847569e+004,-1.46757398337389e+001,-4.60814845631654e-002

4.85677953758016e+004,-1.46757573054181e+001,-4.67106744000923e-002

4.92457765337964e+004,-1.46757752536407e+001,-4.73480613043551e-002

4.99332219560642e+004,-1.46757936909890e+001,-4.79937356492881e-002

5.06302637588109e+004,-1.46758126303527e+001,-4.86477881196151e-002

5.13370359025159e+004,-1.46758320849363e+001,-4.93103096655483e-002

5.20536742176771e+004,-1.46758520682674e+001,-4.99813914610033e-002

5.27803164309155e+004,-1.46758725941995e+001,-5.06611248868681e-002

5.35171021914442e+004,-1.46758936769215e+001,-5.13496014743102e-002

5.42641730979066e+004,-1.46759153309613e+001,-5.20469128837805e-002

5.50216727255895e+004,-1.46759375711957e+001,-5.27531508382547e-002

5.57897466540159e+004,-1.46759604128532e+001,-5.34684071062104e-002

5.65685424949235e+004,-1.46759838715236e+001,-5.41927734329638e-002

5.73582099206328e+004,-1.46760079631623e+001,-5.49263415066456e-002

5.81589006928121e+004,-1.46760327040983e+001,-5.56692029013708e-002

5.89707686916437e+004,-1.46760581110393e+001,-5.64214490272738e-002

5.97939699453972e+004,-1.46760842010791e+001,-5.71831710740574e-002

6.06286626604156e+004,-1.46761109917037e+001,-5.79544599534470e-002

6.14750072515201e+004,-1.46761385007981e+001,-5.87354062372910e-002

6.23331663728396e+004,-1.46761667466518e+001,-5.95261000967650e-002

6.32033049490698e+004,-1.46761957479663e+001,-6.03266312332458e-002

6.40855902071694e+004,-1.46762255238591e+001,-6.11370888213419e-002

6.49801917084985e+004,-1.46762560938731e+001,-6.19575614172506e-002

6.58872813814055e+004,-1.46762874779793e+001,-6.27881369055755e-002

6.68070335542691e+004,-1.46763196965838e+001,-6.36289024160289e-002

6.77396249890018e+004,-1.46763527705355e+001,-6.44799442274230e-002

6.86852349150199e+004,-1.46763867211277e+001,-6.53413477144807e-002

6.96440450636895e+004,-1.46764215701076e+001,-6.62131972322110e-002

7.06162397032520e+004,-1.46764573396784e+001,-6.70955760468249e-002

7.16020056742374e+004,-1.46764940525060e+001,-6.79885662335603e-002

7.26015324253724e+004,-1.46765317317227e+001,-6.88922485832467e-002

7.36150120499896e+004,-1.46765704009331e+001,-6.98067024972451e-002

7.46426393229441e+004,-1.46766100842164e+001,-7.07320058957291e-002

7.56846117380472e+004,-1.46766508061320e+001,-7.16682350983957e-002

7.67411295460207e+004,-1.46766925917216e+001,-7.26154647269865e-002

7.78123957929823e+004,-1.46767354665142e+001,-7.35737675761469e-002

7.88986163594682e+004,-1.46767794565262e+001,-7.45432145162106e-002

7.99999999999995e+004,-1.46768245882677e+001,-7.55238743439148e-002

8.11167583832018e+004,-1.46768708887397e+001,-7.65158136927444e-002

8.22491061324848e+004,-1.46769183854405e+001,-7.75190968676037e-002

8.33972608672892e+004,-1.46769671063616e+001,-7.85337857475495e-002

8.45614432449099e+004,-1.46770170799939e+001,-7.95599396119339e-002

8.57418770029029e+004,-1.46770683353208e+001,-8.05976150433269e-002

8.69387890020841e+004,-1.46771209018242e+001,-8.16468657393688e-002

8.81524092701283e+004,-1.46771748094775e+001,-8.27077424017970e-002

8.93829710457770e+004,-1.46772300887475e+001,-8.37802925589725e-002

9.06307108236633e+004,-1.46772867705879e+001,-8.48645604329255e-002

9.18958683997622e+004,-1.46773448864394e+001,-8.59605867572012e-002

9.31786869174758e+004,-1.46774044682226e+001,-8.70684086310697e-002

9.44794129143618e+004,-1.46774655483329e+001,-8.81880593513151e-002

9.57982963695136e+004,-1.46775281596357e+001,-8.93195682342912e-002

9.71355907516031e+004,-1.46775923354569e+001,-9.04629604566154e-002

9.84915530675926e+004,-1.46776581095773e+001,-9.16182568629961e-002

9.98664439121282e+004,-1.46777255162210e+001,-9.27854737990237e-002

1.01260527517622e+005,-1.46777945900462e+001,-9.39646229262612e-002

1.02674071805032e+005,-1.46778653661339e+001,-9.51557110307184e-002

1.04107348435354e+005,-1.46779378799739e+001,-9.63587398447071e-002

1.05560632861831e+005,-1.46780121674516e+001,-9.75737058528798e-002

1.07034204382888e+005,-1.46780882648329e+001,-9.88006000951031e-002

1.08528346195813e+005,-1.46781662087464e+001,-1.00039407980582e-001

1.10043345451179e+005,-1.46782460361668e+001,-1.01290109084643e-001

1.11579493308032e+005,-1.46783277843935e+001,-1.02552676957261e-001

1.13137084989847e+005,-1.46784114910316e+001,-1.03827078916366e-001

1.14716419841265e+005,-1.46784971939664e+001,-1.05113275862624e-001

1.16317801385624e+005,-1.46785849313422e+001,-1.06411222061999e-001

1.17941537383287e+005,-1.46786747415337e+001,-1.07720864963353e-001

1.19587939890794e+005,-1.46787666631188e+001,-1.09042144991685e-001

1.21257325320831e+005,-1.46788607348506e+001,-1.10374995345820e-001

1.22950014503040e+005,-1.46789569956238e+001,-1.11719341812564e-001

1.24666332745679e+005,-1.46790554844426e+001,-1.13075102564650e-001

1.26406609898139e+005,-1.46791562403856e+001,-1.14442187971532e-001

1.28171180414339e+005,-1.46792593025684e+001,-1.15820500407353e-001

1.29960383416997e+005,-1.46793647101036e+001,-1.17209934074389e-001

1.31774562762811e+005,-1.46794725020606e+001,-1.18610374816913e-001

1.33614067108538e+005,-1.46795827174226e+001,-1.20021699939353e-001

1.35479249978003e+005,-1.46796953950398e+001,-1.21443778051097e-001

1.37370469830040e+005,-1.46798105735823e+001,-1.22876468896301e-001

1.39288090127379e+005,-1.46799282914922e+001,-1.24319623190732e-001

1.41232479406504e+005,-1.46800485869291e+001,-1.25773082488296e-001

1.43204011348474e+005,-1.46801714977169e+001,-1.27236679037701e-001

1.45203064850745e+005,-1.46802970612893e+001,-1.28710235646226e-001

1.47230024099979e+005,-1.46804253146292e+001,-1.30193565572263e-001

1.49285278645888e+005,-1.46805562942088e+001,-1.31686472419924e-001

1.51369223476094e+005,-1.46806900359283e+001,-1.33188750032364e-001

1.53482259092041e+005,-1.46808265750487e+001,-1.34700182431964e-001

1.55624791585964e+005,-1.46809659461272e+001,-1.36220543740201e-001

1.57797232718936e+005,-1.46811081829468e+001,-1.37749598136129e-001

1.59999999999999e+005,-1.46812533184463e+001,-1.39287099822857e-001

1.62233516766403e+005,-1.46814013846473e+001,-1.40832793010658e-001

1.64498212264969e+005,-1.46815524125792e+001,-1.42386411925850e-001

1.66794521734578e+005,-1.46817064322031e+001,-1.43947680834884e-001

1.69122886489819e+005,-1.46818634723339e+001,-1.45516314085476e-001

1.71483754005805e+005,-1.46820235605607e+001,-1.47092016178858e-001

1.73877578004168e+005,-1.46821867231650e+001,-1.48674481861032e-001

1.76304818540256e+005,-1.46823529850400e+001,-1.50263396231218e-001

1.78765942091554e+005,-1.46825223696048e+001,-1.51858434895067e-001

1.81261421647326e+005,-1.46826948987225e+001,-1.53459264115584e-001

1.83791736799524e+005,-1.46828705926133e+001,-1.55065541016494e-001

1.86357373834951e+005,-1.46830494697686e+001,-1.56676913805233e-001

1.88958825828723e+005,-1.46832315468651e+001,-1.58293022016784e-001

1.91596592739027e+005,-1.46834168386788e+001,-1.59913496797673e-001

1.94271181503206e+005,-1.46836053579960e+001,-1.61537961225065e-001

1.96983106135185e+005,-1.46837971155303e+001,-1.63166030630879e-001

1.99732887824256e+005,-1.46839921198342e+001,-1.64797312994156e-001

2.02521055035243e+005,-1.46841903772145e+001,-1.66431409340649e-001

2.05348143610063e+005,-1.46843918916485e+001,-1.68067914182352e-001

2.08214696870707e+005,-1.46845966647014e+001,-1.69706415989317e-001

2.11121265723661e+005,-1.46848046954437e+001,-1.71346497703551e-001

2.14068408765776e+005,-1.46850159803737e+001,-1.72987737267996e-001

2.17056692391625e+005,-1.46852305133385e+001,-1.74629708213060e-001

2.20086690902357e+005,-1.46854482854599e+001,-1.76271980258965e-001

2.23158986616063e+005,-1.46856692850637e+001,-1.77914119950987e-001

2.26274169979693e+005,-1.46858934976093e+001,-1.79555691345479e-001

2.29432839682530e+005,-1.46861209056256e+001,-1.81196256707300e-001

2.32635602771247e+005,-1.46863514886493e+001,-1.82835377254005e-001

2.35883074766574e+005,-1.46865852231676e+001,-1.84472613924136e-001

2.39175879781588e+005,-1.46868220825663e+001,-1.86107528173397e-001

2.42514650641661e+005,-1.46870620370809e+001,-1.87739682811674e-001

2.45900029006080e+005,-1.46873050537553e+001,-1.89368642846217e-001

2.49332665491357e+005,-1.46875510964028e+001,-1.90993976382268e-001

2.52813219796278e+005,-1.46878001255771e+001,-1.92615255510539e-001

