Freq.,VOut,OutRef

1.00000000000000e+004,-2.53966808919843e+001,-2.29960014289621e-001

1.01395947979003e+004,-2.53966824516055e+001,-2.33169978556289e-001

1.02811382665607e+004,-2.53966840550402e+001,-2.36424745554127e-001

1.04246576084112e+004,-2.53966857035181e+001,-2.39724940422129e-001

1.05701804056138e+004,-2.53966873983038e+001,-2.43071197012695e-001

1.07177346253629e+004,-2.53966891406966e+001,-2.46464158017293e-001

1.08673486252606e+004,-2.53966909320331e+001,-2.49904475080742e-001

1.10190511587661e+004,-2.53966927736867e+001,-2.53392808934707e-001

1.11728713807222e+004,-2.53966946670696e+001,-2.56929829519693e-001

1.13288388529580e+004,-2.53966966136333e+001,-2.60516216111712e-001

1.14869835499703e+004,-2.53966986148703e+001,-2.64152657454891e-001

1.16473358646846e+004,-2.53967006723145e+001,-2.67839851892143e-001

1.18099266142953e+004,-2.53967027875432e+001,-2.71578507496880e-001

1.19747870461893e+004,-2.53967049621773e+001,-2.75369342211009e-001

1.21419488439505e+004,-2.53967071978838e+001,-2.79213083978486e-001

1.23114441334492e+004,-2.53967094963756e+001,-2.83110470887461e-001

1.24833054890161e+004,-2.53967118594143e+001,-2.87062251308194e-001

1.26575659397028e+004,-2.53967142888100e+001,-2.91069184039864e-001

1.28342589756290e+004,-2.53967167864241e+001,-2.95132038449467e-001

1.30134185544193e+004,-2.53967193541699e+001,-2.99251594623327e-001

1.31950791077289e+004,-2.53967219940142e+001,-3.03428643513107e-001

1.33792755478611e+004,-2.53967247079785e+001,-3.07663987089018e-001

1.35660432744767e+004,-2.53967274981415e+001,-3.11958438489202e-001

1.37554181813974e+004,-2.53967303666395e+001,-3.16312822177361e-001

1.39474366635040e+004,-2.53967333156688e+001,-3.20727974098044e-001

1.41421356237309e+004,-2.53967363474869e+001,-3.25204741838023e-001

1.43395524801583e+004,-2.53967394644144e+001,-3.29743984784579e-001

1.45397251732031e+004,-2.53967426688371e+001,-3.34346574289725e-001

1.47426921729110e+004,-2.53967459632070e+001,-3.39013393839388e-001

1.49484924863494e+004,-2.53967493500449e+001,-3.43745339215913e-001

1.51571656651040e+004,-2.53967528319420e+001,-3.48543318672030e-001

1.53687518128801e+004,-2.53967564115618e+001,-3.53408253102943e-001

1.55832915932100e+004,-2.53967600916421e+001,-3.58341076220105e-001

1.58008262372675e+004,-2.53967638749972e+001,-3.63342734729787e-001

