Freq.,VOut,OutRef

1.00000000000000e+004,-6.15638754271644e+000,-3.99385001087723e-002

1.01395947979003e+004,-6.15639097538524e+000,-4.04952962475759e-002

1.02811382665607e+004,-6.15639450435942e+000,-4.10598342448792e-002

1.04246576084112e+004,-6.15639813233503e+000,-4.16322208723951e-002

1.05701804056138e+004,-6.15640186208349e+000,-4.22125643347857e-002

1.07177346253629e+004,-6.15640569645296e+000,-4.28009742934642e-002

1.08673486252606e+004,-6.15640963837165e+000,-4.33975618762871e-002

1.10190511587661e+004,-6.15641369084887e+000,-4.40024397030522e-002

1.11728713807222e+004,-6.15641785697780e+000,-4.46157219000803e-002

1.13288388529580e+004,-6.15642213993784e+000,-4.52375241184405e-002

1.14869835499703e+004,-6.15642654299694e+000,-4.58679635529388e-002

1.16473358646846e+004,-6.15643106951300e+000,-4.65071589666703e-002

1.18099266142953e+004,-6.15643572293962e+000,-4.71552306896438e-002

1.19747870461893e+004,-6.15644050682330e+000,-4.78123006716214e-002

1.21419488439505e+004,-6.15644542481191e+000,-4.84784924635322e-002

1.23114441334492e+004,-6.15645048065293e+000,-4.91539312655547e-002

1.24833054890161e+004,-6.15645567819896e+000,-4.98387439292457e-002

1.26575659397028e+004,-6.15646102140888e+000,-5.05330589866631e-002

1.28342589756290e+004,-6.15646651435191e+000,-5.12370066633785e-002

1.30134185544193e+004,-6.15647216120935e+000,-5.19507189061600e-002

1.31950791077289e+004,-6.15647796628073e+000,-5.26743293823361e-002

1.33792755478611e+004,-6.15648393398197e+000,-5.34079735328385e-002

1.35660432744767e+004,-6.15649006885241e+000,-5.41517885668948e-002

1.37554181813974e+004,-6.15649637555847e+000,-5.49059134800134e-002

1.39474366635040e+004,-6.15650285889426e+000,-5.56704890924345e-002

1.41421356237309e+004,-6.15650952378729e+000,-5.64456580548678e-002

1.43395524801583e+004,-6.15651637530054e+000,-5.72315648789296e-002

1.45397251732031e+004,-6.15652341863884e+000,-5.80283559395146e-002

1.47426921729110e+004,-6.15653065914832e+000,-5.88361795238140e-002

1.49484924863494e+004,-6.15653810232542e+000,-5.96551858177293e-002

1.51571656651040e+004,-6.15654575381692e+000,-6.04855269529182e-002

1.53687518128801e+004,-6.15655361942602e+000,-6.13273570135007e-002

1.55832915932100e+004,-6.15656170511580e+000,-6.21808320618983e-002

1.58008262372675e+004,-6.15657001701325e+000,-6.30461101605203e-002

1.60213975517924e+004,-6.15657856141566e+000,-6.39233513798266e-002

1.62450479271247e+004,-6.15658734479228e+000,-6.48127178373301e-002

1.64718203453514e+004,-6.15659637379118e+000,-6.57143737032628e-002

1.67017583885674e+004,-6.15660565524322e+000,-6.66284852262755e-002

1.69349062472505e+004,-6.15661519616735e+000,-6.75552207511421e-002

1.71713087287550e+004,-6.15662500377508e+000,-6.84947507426604e-002

1.74110112659224e+004,-6.15663508547609e+000,-6.94472478014527e-002

1.76540599258131e+004,-6.15664544888310e+000,-7.04128866883830e-002

1.79005014185594e+004,-6.15665610181800e+000,-7.13918443381861e-002

1.81503831063432e+004,-6.15666705231633e+000,-7.23842998864505e-002

1.84037530124975e+004,-6.15667830863515e+000,-7.33904346753961e-002

1.86606598307361e+004,-6.15668987925584e+000,-7.44104322919146e-002

1.89211529345119e+004,-6.15670177289230e+000,-7.54444785727394e-002

1.91852823865052e+004,-6.15671399849650e+000,-7.64927616268496e-002

1.94530989482457e+004,-6.15672656526530e+000,-7.75554718505721e-002

1.97246540898671e+004,-6.15673948264555e+000,-7.86328019541055e-002

1.99999999999999e+004,-6.15675276034195e+000,-7.97249469716576e-002

2.02791895958005e+004,-6.15676640832306e+000,-8.08321042834435e-002

2.05622765331213e+004,-6.15678043682948e+000,-8.19544736246203e-002

2.08493152168224e+004,-6.15679485637876e+000,-8.30922571172785e-002

2.11403608112276e+004,-6.15680967777555e+000,-8.42456592663373e-002

2.14354692507258e+004,-6.15682491211643e+000,-8.54148869935329e-002

2.17346972505211e+004,-6.15684057079901e+000,-8.66001496436169e-002

2.20381023175322e+004,-6.15685666552879e+000,-8.78016590029446e-002

2.23457427614443e+004,-6.15687320832908e+000,-8.90196293041870e-002

2.26576777059159e+004,-6.15689021154644e+000,-9.02542772555282e-002

2.29739670999406e+004,-6.15690768786164e+000,-9.15058220378880e-002

