Freq.,VOut,OutRef

1.00000000000000e+004,-4.16600401940181e+001,-3.69550812377866e-001

1.01395947979003e+004,-4.16600451854328e+001,-3.74708842120517e-001

1.02811382665607e+004,-4.16600503169869e+001,-3.79938845276334e-001

1.04246576084112e+004,-4.16600555926097e+001,-3.85241825286261e-001

1.05701804056138e+004,-4.16600610163401e+001,-3.90618799544385e-001

1.07177346253629e+004,-4.16600665923298e+001,-3.96070799591740e-001

1.08673486252606e+004,-4.16600723248470e+001,-4.01598871308733e-001

1.10190511587661e+004,-4.16600782182788e+001,-4.07204075117284e-001

1.11728713807222e+004,-4.16600842771351e+001,-4.12887486177176e-001

1.13288388529580e+004,-4.16600905060515e+001,-4.18650194591662e-001

1.14869835499703e+004,-4.16600969097934e+001,-4.24493305611739e-001

1.16473358646846e+004,-4.16601034932589e+001,-4.30417939846318e-001

1.18099266142953e+004,-4.16601102614834e+001,-4.36425233470674e-001

1.19747870461893e+004,-4.16601172196423e+001,-4.42516338444930e-001

1.21419488439505e+004,-4.16601243730557e+001,-4.48692422727421e-001

1.23114441334492e+004,-4.16601317271923e+001,-4.54954670495590e-001

1.24833054890161e+004,-4.16601392876730e+001,-4.61304282369954e-001

1.26575659397028e+004,-4.16601470602758e+001,-4.67742475638415e-001

1.28342589756290e+004,-4.16601550509397e+001,-4.74270484486624e-001

1.30134185544193e+004,-4.16601632657692e+001,-4.80889560227808e-001

1.31950791077289e+004,-4.16601717110391e+001,-4.87600971539757e-001

1.33792755478611e+004,-4.16601803931988e+001,-4.94406004701580e-001

1.35660432744767e+004,-4.16601893188778e+001,-5.01305963835121e-001

1.37554181813974e+004,-4.16601984948898e+001,-5.08302171149243e-001

1.39474366635040e+004,-4.16602079282382e+001,-5.15395967188856e-001

1.41421356237309e+004,-4.16602176261218e+001,-5.22588711082176e-001

1.43395524801583e+004,-4.16602275959395e+001,-5.29881780798372e-001

1.45397251732031e+004,-4.16602378452958e+001,-5.37276573402697e-001

1.47426921729110e+004,-4.16602483820072e+001,-5.44774505318730e-001

1.49484924863494e+004,-4.16602592141069e+001,-5.52377012592646e-001

1.51571656651040e+004,-4.16602703498521e+001,-5.60085551157857e-001

1.53687518128801e+004,-4.16602817977288e+001,-5.67901597110441e-001

1.55832915932100e+004,-4.16602935664590e+001,-5.75826646981043e-001

1.58008262372675e+004,-4.16603056650071e+001,-5.83862218012397e-001

1.60213975517924e+004,-4.16603181025859e+001,-5.92009848443844e-001

1.62450479271247e+004,-4.16603308886640e+001,-6.00271097794600e-001

1.64718203453514e+004,-4.16603440329728e+001,-6.08647547152518e-001

1.67017583885674e+004,-4.16603575455134e+001,-6.17140799467539e-001

1.69349062472505e+004,-4.16603714365642e+001,-6.25752479848360e-001

1.71713087287550e+004,-4.16603857166881e+001,-6.34484235862741e-001

1.74110112659224e+004,-4.16604003967409e+001,-6.43337737840376e-001

1.76540599258131e+004,-4.16604154878784e+001,-6.52314679182600e-001

1.79005014185594e+004,-4.16604310015657e+001,-6.61416776671711e-001

1.81503831063432e+004,-4.16604469495845e+001,-6.70645770788972e-001

1.84037530124975e+004,-4.16604633440425e+001,-6.80003426033729e-001

1.86606598307361e+004,-4.16604801973819e+001,-6.89491531245722e-001

1.89211529345119e+004,-4.16604975223884e+001,-6.99111899934859e-001

1.91852823865052e+004,-4.16605153322008e+001,-7.08866370611091e-001

1.94530989482457e+004,-4.16605336403203e+001,-7.18756807122598e-001

1.97246540898671e+004,-4.16605524606205e+001,-7.28785098993257e-001

1.99999999999999e+004,-4.16605718073572e+001,-7.38953161769109e-001

2.02791895958005e+004,-4.16605916951790e+001,-7.49262937364883e-001

2.05622765331213e+004,-4.16606121391379e+001,-7.59716394419011e-001

2.08493152168224e+004,-4.16606331546997e+001,-7.70315528648738e-001

2.11403608112276e+004,-4.16606547577558e+001,-7.81062363211920e-001

2.14354692507258e+004,-4.16606769646339e+001,-7.91958949074627e-001

2.17346972505211e+004,-4.16606997921104e+001,-8.03007365378363e-001

2.20381023175322e+004,-4.16607232574221e+001,-8.14209719816196e-001

2.23457427614443e+004,-4.16607473782782e+001,-8.25568149012790e-001

2.26576777059159e+004,-4.16607721728735e+001,-8.37084818905423e-001

2.29739670999406e+004,-4.16607976599010e+001,-8.48761925135117e-001

2.32946717293690e+004,-4.16608238585651e+001,-8.60601693437126e-001

2.36198532285905e+004,-4.16608507885954e+001,-8.72606380038998e-001

2.39495740923785e+004,-4.16608784702609e+001,-8.84778272061496e-001

2.42838976879009e+004,-4.16609069243834e+001,-8.97119687927490e-001

2.46228882668982e+004,-4.16609361723530e+001,-9.09632977771441e-001

2.49666109780322e+004,-4.16609662361428e+001,-9.22320523854932e-001

2.53151318794055e+004,-4.16609971383241e+001,-9.35184740988559e-001

2.56685179512580e+004,-4.16610289020823e+001,-9.48228076957609e-001

2.60268371088386e+004,-4.16610615512331e+001,-9.61453012950378e-001

2.63901582154578e+004,-4.16610951102389e+001,-9.74862063995908e-001

2.67585510957221e+004,-4.16611296042256e+001,-9.88457779401439e-001

2.71320865489533e+004,-4.16611650590002e+001,-1.00224274319924e+000

2.75108363627948e+004,-4.16612015010682e+001,-1.01621957459503e+000

2.78948733270080e+004,-4.16612389576521e+001,-1.03039092842257e+000

2.82842712474618e+004,-4.16612774567097e+001,-1.04475949560325e+000

2.86791049603164e+004,-4.16613170269531e+001,-1.05932800361136e+000

2.90794503464061e+004,-4.16613576978684e+001,-1.07409921694184e+000

2.94853843458219e+004,-4.16613994997355e+001,-1.08907593758599e+000

2.98969849726987e+004,-4.16614424636482e+001,-1.10426100550980e+000

3.03143313302078e+004,-4.16614866215356e+001,-1.11965729913888e+000

3.07375036257601e+004,-4.16615320061829e+001,-1.13526773584674e+000

3.11665831864199e+004,-4.16615786512533e+001,-1.15109527245014e+000

3.16016524745350e+004,-4.16616265913103e+001,-1.16714290570805e+000

3.20427951035848e+004,-4.16616758618408e+001,-1.18341367282483e+000

3.24900958542493e+004,-4.16617264992777e+001,-1.19991065196069e+000

3.29436406907028e+004,-4.16617785410244e+001,-1.21663696274591e+000

3.34035167771346e+004,-4.16618320254786e+001,-1.23359576679840e+000

3.38698124945009e+004,-4.16618869920572e+001,-1.25079026825025e+000

3.43426174575100e+004,-4.16619434812220e+001,-1.26822371427508e+000

3.48220225318448e+004,-4.16620015345049e+001,-1.28589939562372e+000

3.53081198516260e+004,-4.16620611945353e+001,-1.30382064716111e+000

3.58010028371187e+004,-4.16621225050661e+001,-1.32199084841348e+000

3.63007662126863e+004,-4.16621855110018e+001,-1.34041342411506e+000

3.68075060249948e+004,-4.16622502584265e+001,-1.35909184476188e+000

3.73213196614721e+004,-4.16623167946324e+001,-1.37802962717261e+000

3.78423058690237e+004,-4.16623851681490e+001,-1.39723033505033e+000

3.83705647730104e+004,-4.16624554287731e+001,-1.41669757955220e+000

3.89061978964912e+004,-4.16625276275991e+001,-1.43643501986197e+000

3.94493081797342e+004,-4.16626018170496e+001,-1.45644636376913e+000

