Freq.,VOut,OutRef

1.00000000000000e+004,-4.31362221094849e+001,-5.10088558466958e-001

1.01395947979003e+004,-4.31362289311283e+001,-5.17208349877609e-001

1.02811382665607e+004,-4.31362359443572e+001,-5.24427496811586e-001

1.04246576084112e+004,-4.31362431545466e+001,-5.31747384819484e-001

1.05701804056138e+004,-4.31362505672220e+001,-5.39169418734356e-001

1.07177346253629e+004,-4.31362581880637e+001,-5.46695022936539e-001

1.08673486252606e+004,-4.31362660229105e+001,-5.54325641628708e-001

1.10190511587661e+004,-4.31362740777652e+001,-5.62062739103482e-001

1.11728713807222e+004,-4.31362823587980e+001,-5.69907800026813e-001

1.13288388529580e+004,-4.31362908723524e+001,-5.77862329715101e-001

1.14869835499703e+004,-4.31362996249485e+001,-5.85927854424133e-001

1.16473358646846e+004,-4.31363086232895e+001,-5.94105921634482e-001

1.18099266142953e+004,-4.31363178742659e+001,-6.02398100346728e-001

1.19747870461893e+004,-4.31363273849605e+001,-6.10805981378177e-001

1.21419488439505e+004,-4.31363371626544e+001,-6.19331177664055e-001

1.23114441334492e+004,-4.31363472148323e+001,-6.27975324561029e-001

1.24833054890161e+004,-4.31363575491880e+001,-6.36740080157520e-001

1.26575659397028e+004,-4.31363681736303e+001,-6.45627125586489e-001

1.28342589756290e+004,-4.31363790962888e+001,-6.54638165343184e-001

1.30134185544193e+004,-4.31363903255205e+001,-6.63774927606145e-001

1.31950791077289e+004,-4.31364018699155e+001,-6.73039164565054e-001

1.33792755478611e+004,-4.31364137383041e+001,-6.82432652747181e-001

1.35660432744767e+004,-4.31364259397628e+001,-6.91957193356993e-001

1.37554181813974e+004,-4.31364384836216e+001,-7.01614612611743e-001

1.39474366635040e+004,-4.31364513794710e+001,-7.11406762086878e-001

1.41421356237309e+004,-4.31364646371689e+001,-7.21335519063237e-001

1.43395524801583e+004,-4.31364782668483e+001,-7.31402786880914e-001

1.45397251732031e+004,-4.31364922789247e+001,-7.41610495297549e-001

1.47426921729110e+004,-4.31365066841042e+001,-7.51960600848595e-001

1.49484924863494e+004,-4.31365214933913e+001,-7.62455087214790e-001

1.51571656651040e+004,-4.31365367180971e+001,-7.73095965597237e-001

1.53687518128801e+004,-4.31365523698478e+001,-7.83885275090161e-001

1.55832915932100e+004,-4.31365684605938e+001,-7.94825083064450e-001

1.58008262372675e+004,-4.31365850026180e+001,-8.05917485555217e-001

1.60213975517924e+004,-4.31366020085454e+001,-8.17164607652872e-001

1.62450479271247e+004,-4.31366194913526e+001,-8.28568603900163e-001

1.64718203453514e+004,-4.31366374643768e+001,-8.40131658694917e-001

1.67017583885674e+004,-4.31366559413268e+001,-8.51855986696817e-001

1.69349062472505e+004,-4.31366749362922e+001,-8.63743833240892e-001

1.71713087287550e+004,-4.31366944637547e+001,-8.75797474755206e-001

1.74110112659224e+004,-4.31367145385982e+001,-8.88019219185184e-001

1.76540599258131e+004,-4.31367351761202e+001,-9.00411406421063e-001

1.79005014185594e+004,-4.31367563920432e+001,-9.12976408734756e-001

1.81503831063432e+004,-4.31367782025262e+001,-9.25716631217857e-001

1.84037530124975e+004,-4.31368006241767e+001,-9.38634512228561e-001

1.86606598307361e+004,-4.31368236740630e+001,-9.51732523843520e-001

1.89211529345119e+004,-4.31368473697269e+001,-9.65013172314949e-001

1.91852823865052e+004,-4.31368717291963e+001,-9.78478998533353e-001

1.94530989482457e+004,-4.31368967709990e+001,-9.92132578496686e-001

1.97246540898671e+004,-4.31369225141761e+001,-1.00597652378585e+000

1.99999999999999e+004,-4.31369489782956e+001,-1.02001348204590e+000

2.02791895958005e+004,-4.31369761834678e+001,-1.03424613747237e+000

2.05622765331213e+004,-4.31370041503587e+001,-1.04867721130508e+000

2.08493152168224e+004,-4.31370329002065e+001,-1.06330946232715e+000

2.11403608112276e+004,-4.31370624548361e+001,-1.07814568737174e+000

2.14354692507258e+004,-4.31370928366755e+001,-1.09318872183263e+000

2.17346972505211e+004,-4.31371240687720e+001,-1.10844144018413e+000

2.20381023175322e+004,-4.31371561748094e+001,-1.12390675650392e+000

2.23457427614443e+004,-4.31371891791245e+001,-1.13958762500620e+000

2.26576777059159e+004,-4.31372231067256e+001,-1.15548704057906e+000

2.29739670999406e+004,-4.31372579833098e+001,-1.17160803932803e+000

2.32946717293690e+004,-4.31372938352823e+001,-1.18795369912809e+000

2.36198532285905e+004,-4.31373306897750e+001,-1.20452714018139e+000

2.39495740923785e+004,-4.31373685746664e+001,-1.22133152558140e+000

2.42838976879009e+004,-4.31374075186013e+001,-1.23837006188435e+000

2.46228882668982e+004,-4.31374475510120e+001,-1.25564599968789e+000

2.49666109780322e+004,-4.31374887021387e+001,-1.27316263421630e+000

2.53151318794055e+004,-4.31375310030515e+001,-1.29092330591200e+000

2.56685179512580e+004,-4.31375744856727e+001,-1.30893140103542e+000

2.60268371088386e+004,-4.31376191827994e+001,-1.32719035227071e+000

2.63901582154578e+004,-4.31376651281268e+001,-1.34570363934052e+000

2.67585510957221e+004,-4.31377123562722e+001,-1.36447478962454e+000

2.71320865489533e+004,-4.31377609027995e+001,-1.38350737878900e+000

2.75108363627948e+004,-4.31378108042444e+001,-1.40280503142142e+000

2.78948733270080e+004,-4.31378620981401e+001,-1.42237142167247e+000

2.82842712474618e+004,-4.31379148230435e+001,-1.44221027390711e+000

2.86791049603164e+004,-4.31379690185626e+001,-1.46232536336061e+000

2.90794503464061e+004,-4.31380247253840e+001,-1.48272051680350e+000

2.94853843458219e+004,-4.31380819853012e+001,-1.50339961321414e+000

2.98969849726987e+004,-4.31381408412442e+001,-1.52436658445850e+000

3.03143313302078e+004,-4.31382013373084e+001,-1.54562541597724e+000

3.07375036257601e+004,-4.31382635187859e+001,-1.56718014748047e+000

3.11665831864199e+004,-4.31383274321965e+001,-1.58903487365130e+000

3.16016524745350e+004,-4.31383931253195e+001,-1.61119374485444e+000

3.20427951035848e+004,-4.31384606472266e+001,-1.63366096785614e+000

3.24900958542493e+004,-4.31385300483155e+001,-1.65644080654865e+000

3.29436406907028e+004,-4.31386013803441e+001,-1.67953758268389e+000

3.34035167771346e+004,-4.31386746964659e+001,-1.70295567661469e+000

3.38698124945009e+004,-4.31387500512653e+001,-1.72669952804457e+000

3.43426174575100e+004,-4.31388275007952e+001,-1.75077363678380e+000

3.48220225318448e+004,-4.31389071026140e+001,-1.77518256351474e+000

3.53081198516260e+004,-4.31389889158245e+001,-1.79993093056464e+000

3.58010028371187e+004,-4.31390730011131e+001,-1.82502342268537e+000

3.63007662126863e+004,-4.31391594207898e+001,-1.85046478784281e+000

3.68075060249948e+004,-4.31392482388299e+001,-1.87625983801277e+000

3.73213196614721e+004,-4.31393395209156e+001,-1.90241344998548e+000

3.78423058690237e+004,-4.31394333344794e+001,-1.92893056617773e+000

3.83705647730104e+004,-4.31395297487477e+001,-1.95581619545283e+000

3.89061978964912e+004,-4.31396288347861e+001,-1.98307541394920e+000

3.94493081797342e+004,-4.31397306655448e+001,-2.01071336591532e+000

3.99999999999998e+004,-4.31398353159059e+001,-2.03873526455520e+000

4.05583791916010e+004,-4.31399428627311e+001,-2.06714639287892e+000

4.11245530662425e+004,-4.31400533849106e+001,-2.09595210456325e+000

4.16986304336447e+004,-4.31401669634128e+001,-2.12515782481858e+000

4.22807216224550e+004,-4.31402836813357e+001,-2.15476905126490e+000

4.28709385014515e+004,-4.31404036239582e+001,-2.18479135481528e+000

4.34693945010421e+004,-4.31405268787939e+001,-2.21523038056663e+000

4.40762046350642e+004,-4.31406535356443e+001,-2.24609184869952e+000

4.46914855228886e+004,-4.31407836866548e+001,-2.27738155538434e+000

4.53153554118317e+004,-4.31409174263702e+001,-2.30910537369684e+000

4.59479341998812e+004,-4.31410548517925e+001,-2.34126925453905e+000

4.65893434587380e+004,-4.31411960624391e+001,-2.37387922757161e+000

4.72397064571810e+004,-4.31413411604023e+001,-2.40694140214989e+000

4.78991481847569e+004,-4.31414902504099e+001,-2.44046196827024e+000

4.85677953758016e+004,-4.31416434398869e+001,-2.47444719752331e+000

4.92457765337964e+004,-4.31418008390184e+001,-2.50890344405452e+000

4.99332219560642e+004,-4.31419625608135e+001,-2.54383714553285e+000

5.06302637588109e+004,-4.31421287211701e+001,-2.57925482412701e+000

5.13370359025159e+004,-4.31422994389414e+001,-2.61516308748773e+000

5.20536742176771e+004,-4.31424748360031e+001,-2.65156862974034e+000

5.27803164309155e+004,-4.31426550373214e+001,-2.68847823248250e+000

5.35171021914442e+004,-4.31428401710230e+001,-2.72589876579019e+000

5.42641730979066e+004,-4.31430303684655e+001,-2.76383718923046e+000

5.50216727255895e+004,-4.31432257643087e+001,-2.80230055288372e+000

5.57897466540159e+004,-4.31434264965879e+001,-2.84129599837036e+000

5.65685424949235e+004,-4.31436327067874e+001,-2.88083075988673e+000

5.73582099206328e+004,-4.31438445399155e+001,-2.92091216524852e+000

5.81589006928121e+004,-4.31440621445804e+001,-2.96154763694040e+000

5.89707686916437e+004,-4.31442856730672e+001,-3.00274469317358e+000

5.97939699453972e+004,-4.31445152814158e+001,-3.04451094895126e+000

6.06286626604156e+004,-4.31447511295000e+001,-3.08685411714058e+000

6.14750072515201e+004,-4.31449933811076e+001,-3.12978200955253e+000

