time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

2.614709701151121e-010,2.317716e-005

3.949419407416869e-010,8.675060e-005

5.284129113682617e-010,1.938684e-004

6.618838819948364e-010,3.445100e-004

8.620903379346986e-010,6.520345e-004

1.062296793874561e-009,1.057371e-003

1.262503249814423e-009,1.560449e-003

1.462709705754285e-009,2.161196e-003

1.662916161694147e-009,2.859541e-003

1.863122617634010e-009,3.655409e-003

2.040876940872988e-009,4.441578e-003

2.217949981764084e-009,5.292767e-003

2.418156437703946e-009,6.268205e-003

2.618362893643808e-009,7.242919e-003

2.818569349583670e-009,8.216903e-003

3.018775805523533e-009,9.190149e-003

3.218982261463395e-009,1.016265e-002

3.419188717403257e-009,1.113440e-002

3.485924202716544e-009,1.145815e-002

3.552659688029832e-009,1.178182e-002

3.619395173343119e-009,1.210540e-002

3.686130658656406e-009,1.242889e-002

3.819601629282981e-009,1.307563e-002

4.019808085222843e-009,1.404509e-002

4.220014541162706e-009,1.501379e-002

4.420220997102568e-009,1.598171e-002

4.620427453042430e-009,1.694885e-002

4.887369394295579e-009,1.823715e-002

5.154311335548729e-009,1.952405e-002

5.421253276801878e-009,2.080953e-002

5.554724247428453e-009,2.145173e-002

5.621459732741741e-009,2.177270e-002

5.688195218055028e-009,2.209358e-002

7.022904924320776e-009,2.849222e-002

8.758027542466249e-009,3.673569e-002

1.096029855780473e-008,4.705669e-002

1.209480180813062e-008,5.232936e-002

1.797144773258803e-008,7.917768e-002

1.880583642931296e-008,8.237088e-002

1.960666225307242e-008,8.385663e-002

2.050051613984967e-008,8.382395e-002

2.130134196360914e-008,8.348399e-002

2.150154841954900e-008,8.339866e-002

2.156828390486229e-008,8.337018e-002

2.163501939017558e-008,8.334169e-002

2.170175487548887e-008,8.331318e-002

2.243584521393505e-008,8.299877e-002

2.296972909644136e-008,8.276922e-002

2.323667103769452e-008,8.265420e-002

2.330340652300781e-008,8.262542e-002

2.350361297894767e-008,8.253904e-002

2.357034846426096e-008,8.251023e-002

2.363708394957425e-008,8.248141e-002

2.370381943488754e-008,8.245259e-002

2.463811622927359e-008,8.204826e-002

2.550567753834635e-008,8.167256e-002

2.630650336210581e-008,8.133353e-002

2.704059370055199e-008,8.103202e-002

2.770794855368488e-008,8.076397e-002

2.824183243619120e-008,8.055030e-002

2.870898083338422e-008,8.036371e-002

2.884245180401080e-008,8.031046e-002

2.890918728932409e-008,8.028385e-002

2.897592277463738e-008,8.025724e-002

2.904265825995066e-008,8.023064e-002

2.910939374526395e-008,8.020405e-002

2.917612923057724e-008,8.017746e-002

2.924286471589053e-008,8.015089e-002

2.930960020120382e-008,8.012431e-002

2.937633568651711e-008,8.009774e-002

2.950980665714369e-008,8.004463e-002

2.964327762777027e-008,7.999155e-002

2.977674859839684e-008,7.993849e-002

2.991021956902342e-008,7.988545e-002

3.004369053964999e-008,7.983245e-002

3.017716151027656e-008,7.977946e-002

3.031063248090313e-008,7.972651e-002

3.044410345152970e-008,7.967358e-002

3.057757442215627e-008,7.962067e-002

3.071104539278284e-008,7.956779e-002

3.144513573122899e-008,7.927740e-002

3.197901961373527e-008,7.906666e-002

3.251290349624156e-008,7.885632e-002

3.298005189343456e-008,7.867259e-002

3.344720029062756e-008,7.848918e-002

3.391434868782056e-008,7.830616e-002

3.438149708501356e-008,7.812353e-002

3.484864548220656e-008,7.794134e-002

3.538252936471284e-008,7.773367e-002

3.591641324721913e-008,7.752657e-002

3.651703261503870e-008,7.729426e-002

3.731785843879813e-008,7.698563e-002

3.871930363037713e-008,7.644853e-002

4.025421979258270e-008,7.586463e-002

4.279016823448756e-008,7.490966e-002

4.899656836862313e-008,7.262281e-002

5.733850403278385e-008,6.965861e-002

7.735914962676957e-008,6.302869e-002

9.737979522075529e-008,5.702969e-002

9.996830621873988e-008,5.629696e-002

1.000000000000000e-007,5.628804e-002

