time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

2.493270069187567e-010,2.614681e-005

4.534881380286103e-010,1.260088e-004

6.576492691384628e-010,3.071057e-004

8.618104002483152e-010,5.730296e-004

1.065971531358169e-009,9.260150e-004

1.279854621092303e-009,1.390869e-003

1.503459669450715e-009,1.982244e-003

1.736786676433406e-009,2.715398e-003

1.991718922797862e-009,3.653052e-003

2.551445598844684e-009,6.014683e-003

2.706996936833142e-009,6.690333e-003

3.027821571434335e-009,8.097463e-003

3.309758371538414e-009,9.345304e-003

3.572251254393936e-009,1.051416e-002

3.815300220000904e-009,1.160124e-002

4.077793102856437e-009,1.277953e-002

4.350007944336249e-009,1.400522e-002

4.651388661688898e-009,1.536587e-002

5.147208551527127e-009,1.761096e-002

5.623584524116798e-009,1.977358e-002

5.643028441365356e-009,1.986194e-002

5.662472358613914e-009,1.995031e-002

5.711082151735309e-009,2.017128e-002

5.740248027608146e-009,2.030390e-002

5.886077406972331e-009,2.096725e-002

6.615224303793255e-009,2.428799e-002

6.624946262417534e-009,2.433230e-002

6.644390179666092e-009,2.442093e-002

6.692999972787487e-009,2.464252e-002

6.712443890036045e-009,2.473116e-002

6.761053683157440e-009,2.495279e-002

6.790219559030277e-009,2.508578e-002

6.838829352151672e-009,2.530744e-002

7.577698207596876e-009,2.867780e-002

7.606864083469713e-009,2.881086e-002

7.636029959342550e-009,2.894392e-002

7.704083669712503e-009,2.925441e-002

7.859635007700967e-009,2.996416e-002

8.540172111400497e-009,3.306877e-002

8.588781904521892e-009,3.329046e-002

8.608225821770450e-009,3.337913e-002

8.656835614891845e-009,3.360082e-002

8.686001490764682e-009,3.373383e-002

8.967938290868773e-009,3.501941e-002

9.560977766949792e-009,3.772194e-002

9.570699725574071e-009,3.776622e-002

9.590143642822629e-009,3.785479e-002

9.638753435944024e-009,3.807620e-002

9.658197353192582e-009,3.816476e-002

