time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.104562499488537e-009,4.793339e-006

1.299874999488538e-009,4.061567e-005

1.495187499488538e-009,1.247180e-004

1.690499999488538e-009,2.582337e-004

1.935406251022924e-009,4.934262e-004

2.096890623465614e-009,6.940036e-004

2.389859373465614e-009,1.145172e-003

2.682828123465613e-009,1.708354e-003

2.975796873465613e-009,2.385515e-003

4.538296873465611e-009,6.533838e-003

7.663296873465610e-009,1.511869e-002

1.547579687346566e-008,3.723396e-002

1.655001562346565e-008,4.029918e-002

1.790234375000000e-008,4.415896e-002

1.941601562499999e-008,4.839360e-002

2.024121093750003e-008,4.992883e-002

2.112011718750002e-008,5.058143e-002

2.287792968750000e-008,5.089074e-002

2.483105468749998e-008,5.108548e-002

2.649121093749997e-008,5.116572e-002

2.854199218749995e-008,5.118807e-002

2.883496093749994e-008,5.118575e-002

2.922558593749994e-008,5.118079e-002

2.971386718749994e-008,5.117177e-002

3.020214843749994e-008,5.115984e-002

3.078808593749996e-008,5.114193e-002

3.254589843750000e-008,5.106758e-002

3.449902343750005e-008,5.095479e-002

3.723339843750012e-008,5.075568e-002

4.143261718750022e-008,5.038199e-002

4.582714843750032e-008,4.993030e-002

4.680371093750035e-008,4.982372e-002

4.778027343750037e-008,4.971527e-002

4.934277343750041e-008,4.953824e-002

5.197949218750047e-008,4.923104e-002

5.520214843750055e-008,4.884382e-002

5.578808593750057e-008,4.877225e-002

6.008496093750067e-008,4.823872e-002

6.662792968750083e-008,4.740470e-002

7.551464843750105e-008,4.624850e-002

8.508496093750128e-008,4.499155e-002

9.377636718750149e-008,4.385022e-002

9.990234375000001e-008,4.304959e-002

1.000000000000000e-007,4.303686e-002

