time,Vn014

0.000000000000000e+000,0.000000e+000

1.972512323497624e-011,0.000000e+000

2.542275885738293e-010,1.007345e-013

4.828674922792117e-010,1.845671e-006

5.825310400482246e-010,5.435808e-006

6.411566563829380e-010,8.793487e-006

6.997822727176515e-010,1.323582e-005

7.584078890523649e-010,1.888278e-005

8.170335053870784e-010,2.584586e-005

8.756591217217918e-010,3.422891e-005

9.401472996899765e-010,4.520577e-005

1.010498039291631e-009,5.941431e-005

1.086711340526758e-009,7.759914e-005

1.174649765028826e-009,1.024409e-004

1.274313312797837e-009,1.358778e-004

1.385701983833791e-009,1.802132e-004

1.514678339770158e-009,2.411870e-004

1.667104942240411e-009,3.272226e-004

1.672967503873882e-009,3.308434e-004

1.784356174909835e-009,4.048363e-004

2.085007143685333e-009,6.508653e-004

2.425035718426665e-009,1.009244e-003

2.712301238466756e-009,1.368187e-003

2.835415032769652e-009,1.533669e-003

2.888178087470893e-009,1.606550e-003

3.005429320140318e-009,1.772398e-003

3.222344100578754e-009,2.090227e-003

3.415808634483305e-009,2.383175e-003

3.480296812451488e-009,2.482589e-003

3.597548045120913e-009,2.665567e-003

3.966889428029618e-009,3.254555e-003

4.019652482730863e-009,3.339892e-003

4.054827852531693e-009,3.396964e-003

4.131041153766825e-009,3.521112e-003

4.605908646078029e-009,4.303627e-003

4.611771207711501e-009,4.313359e-003

4.623496330978444e-009,4.332835e-003

4.646946577512330e-009,4.371828e-003

4.687984508946632e-009,4.440166e-003

4.775922933448707e-009,4.586898e-003

5.174577124524779e-009,5.255053e-003

5.198027371058666e-009,5.294469e-003

5.250790425759911e-009,5.383199e-003

5.479430329465306e-009,5.768153e-003

5.784283534405832e-009,6.282090e-003

5.801871219306247e-009,6.311754e-003

5.842909150740548e-009,6.380983e-003

5.930847575242623e-009,6.529361e-003

6.382264821019940e-009,7.291312e-003

6.429165314087714e-009,7.370493e-003

6.564004231657562e-009,7.598126e-003

