time,Vn026

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

8.085371031880475e-010,0.000000e+000

1.100195861916409e-009,0.000000e+000

1.294635034401983e-009,0.000000e+000

1.586293793130344e-009,0.000000e+000

1.877952551858706e-009,0.000000e+000

2.147447973581894e-009,0.000000e+000

2.439106732310255e-009,0.000000e+000

2.730765491038616e-009,0.000000e+000

3.605741767223700e-009,0.000000e+000

4.966815974622724e-009,0.000000e+000

7.300086044449624e-009,0.000000e+000

1.196662618410339e-008,0.000000e+000

1.410545708144469e-008,0.000000e+000

1.604984880630043e-008,0.000000e+000

1.801031888630137e-008,6.632676e-011

1.925662952870975e-008,1.917632e-008

2.014582937936418e-008,9.936447e-008

2.140968400052041e-008,4.611771e-007

2.325685613913336e-008,2.007311e-006

2.500680869150352e-008,5.358380e-006

2.539568703647466e-008,6.442157e-006

2.724285917508761e-008,1.372886e-005

2.918725089994334e-008,2.604525e-005

3.132608179728470e-008,4.640099e-005

3.375657145335445e-008,7.978998e-005

3.677037862688094e-008,1.386035e-004

4.114526000780649e-008,2.606210e-004

4.415906718133298e-008,3.672629e-004

4.707565476861668e-008,4.840078e-004

5.018668152838595e-008,6.189884e-004

5.368658663312639e-008,7.786521e-004

5.456156290931150e-008,8.192810e-004

5.854756594526589e-008,1.005303e-003

6.350576484364792e-008,1.233147e-003

6.933894001821492e-008,1.487689e-003

7.867202029752212e-008,1.850718e-003

8.372743878214686e-008,2.021800e-003

9.510213037255251e-008,2.341416e-003

9.995312208874777e-008,2.451903e-003

1.000000000000000e-007,2.452901e-003

