time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

8.085371031880475e-010,0.000000e+000

1.100195861916409e-009,0.000000e+000

1.391854620644770e-009,0.000000e+000

1.683513379373131e-009,0.000000e+000

1.952436137554228e-009,0.000000e+000

2.244667559824681e-009,0.000000e+000

2.536326318553042e-009,0.000000e+000

2.925204663524191e-009,0.000000e+000

3.702961353466487e-009,0.000000e+000

4.772376802137149e-009,0.000000e+000

6.425109768264537e-009,0.000000e+000

9.244477769305359e-009,0.000000e+000

1.488321377138699e-008,0.000000e+000

1.838165325252467e-008,8.674671e-013

1.945106870119532e-008,3.147543e-009

2.034026855184976e-008,3.065601e-008

2.209022110421992e-008,4.246793e-007

2.481236951901794e-008,4.295739e-006

2.539568703647466e-008,6.160861e-006

2.802061586502990e-008,2.246434e-005

3.083998386607075e-008,6.105518e-005

3.424266938456840e-008,1.487811e-004

3.822867242052279e-008,3.226988e-004

4.250633421520555e-008,5.986308e-004

4.882560732098689e-008,1.126431e-003

5.456156290931150e-008,1.628398e-003

6.097805560133555e-008,2.120758e-003

6.710288953463090e-008,2.480461e-003

7.381104098538295e-008,2.734915e-003

7.915811822873604e-008,2.858305e-003

8.372743878214686e-008,2.912705e-003

9.267164071648292e-008,2.898875e-003

9.995312208874777e-008,2.818284e-003

1.000000000000000e-007,2.817611e-003

