time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

2.714017837288815e-010,2.483249e-005

5.133705317109298e-010,1.181660e-004

7.553392796929778e-010,2.815666e-004

9.973080276750257e-010,5.151875e-004

1.273843739654509e-009,8.683273e-004

1.550379451633993e-009,1.313500e-003

1.826915163613476e-009,1.850826e-003

1.861482127610911e-009,1.924477e-003

1.896049091608347e-009,1.999569e-003

1.930616055605782e-009,2.076103e-003

2.096755865449476e-009,2.463181e-003

2.407858541426395e-009,3.211298e-003

2.753528181400749e-009,4.044020e-003

3.202898713367410e-009,5.128221e-003

3.652269245334070e-009,6.213713e-003

3.825104065321247e-009,6.631426e-003

3.859671029318683e-009,6.714968e-003

3.928804957313554e-009,6.882047e-003

4.654711201259698e-009,8.635332e-003

5.829987977172502e-009,1.146594e-002

7.212666537069919e-009,1.478228e-002

9.355818304910961e-009,1.989972e-002

1.219030935270073e-008,2.662644e-002

1.571613968043919e-008,3.492814e-002

1.696055038434684e-008,3.784088e-002

1.856644023115701e-008,4.143827e-002

1.929234647510314e-008,4.237929e-002

1.984541789906209e-008,4.266867e-002

1.987998486305953e-008,4.267445e-002

2.016985667985445e-008,4.267236e-002

2.099946381579288e-008,4.259534e-002

2.182907095173131e-008,4.250889e-002

2.186363791572875e-008,4.250515e-002

2.189820487972618e-008,4.250141e-002

2.193277184372361e-008,4.249766e-002

2.203647273571592e-008,4.248639e-002

2.214017362770822e-008,4.247509e-002

2.224387451970053e-008,4.246376e-002

2.238214237569026e-008,4.244864e-002

2.252041023168000e-008,4.243350e-002

2.265867808766974e-008,4.241837e-002

2.283151290765691e-008,4.239947e-002

2.300434772764409e-008,4.238063e-002

2.317718254763126e-008,4.236187e-002

2.338458433161587e-008,4.233948e-002

2.359198611560048e-008,4.231727e-002

2.393765575557482e-008,4.228063e-002

2.414505753955943e-008,4.225872e-002

2.431789235954660e-008,4.224049e-002

2.449072717953378e-008,4.222229e-002

2.466356199952095e-008,4.220410e-002

2.483639681950812e-008,4.218593e-002

2.500923163949529e-008,4.216777e-002

2.518206645948247e-008,4.214963e-002

2.535490127946964e-008,4.213149e-002

2.552773609945681e-008,4.211337e-002

2.601167359542090e-008,4.206266e-002

2.784372268728493e-008,4.187107e-002

2.898443249920027e-008,4.175216e-002

2.922640124718232e-008,4.172698e-002

3.403120924282613e-008,4.123000e-002

3.959649044641363e-008,4.066163e-002

4.865303501374236e-008,3.975321e-002

4.996657964564500e-008,3.962315e-002

6.033666884487637e-008,3.861103e-002

7.070675804410774e-008,3.762466e-002

8.107684724333911e-008,3.666342e-002

9.144693644257048e-008,3.572669e-002

9.999559009068970e-008,3.497248e-002

1.000000000000000e-007,3.497209e-002

