time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

3.233124994885372e-010,0.000000e+000

5.186249994885372e-010,0.000000e+000

7.139374994885372e-010,0.000000e+000

9.092499994885372e-010,0.000000e+000

1.104562499488537e-009,0.000000e+000

1.299874999488538e-009,0.000000e+000

1.592843749488538e-009,0.000000e+000

1.902343750000000e-009,0.000000e+000

2.194546873465614e-009,0.000000e+000

2.975796873465613e-009,0.000000e+000

3.268765623465613e-009,0.000000e+000

3.464078123465612e-009,0.000000e+000

3.757046873465612e-009,0.000000e+000

4.050015623465612e-009,0.000000e+000

4.342984373465611e-009,0.000000e+000

4.635953123465611e-009,0.000000e+000

5.026578123465611e-009,0.000000e+000

5.124234373465611e-009,2.519780e-007

5.221890623465610e-009,5.673325e-005

5.319546873465610e-009,6.318121e-004

5.417203123465610e-009,3.250390e-003

5.514859373465610e-009,1.056517e-002

5.612515623465610e-009,2.509565e-002

5.710171873465610e-009,4.764556e-002

5.807828123465610e-009,7.698130e-002

5.905484373465610e-009,1.108437e-001

6.003140623465610e-009,1.471405e-001

6.296109373465609e-009,2.600408e-001

6.589078123465609e-009,3.732982e-001

6.882046873465609e-009,4.861193e-001

7.175015623465608e-009,5.984970e-001

7.370328123465608e-009,6.715963e-001

7.467984373465609e-009,7.040401e-001

7.565640623465610e-009,7.302514e-001

7.663296873465610e-009,7.485845e-001

7.760953123465611e-009,7.594088e-001

7.956265623465612e-009,7.663921e-001

1.039767187346563e-008,7.439716e-001

1.362032812346565e-008,7.155623e-001

1.772189062346564e-008,6.855518e-001

1.873242187500000e-008,6.837516e-001

1.951367187499999e-008,6.843184e-001

2.043652343750003e-008,6.851417e-001

2.151074218750001e-008,6.859629e-001

2.229199218750001e-008,6.864730e-001

2.336621093750000e-008,6.852610e-001

2.346386718750000e-008,6.805395e-001

2.356152343750000e-008,6.698785e-001

2.365917968749999e-008,6.515535e-001

2.375683593749999e-008,6.257529e-001

2.385449218749999e-008,5.942309e-001

2.404980468749999e-008,5.223913e-001

2.483105468749998e-008,2.211426e-001

2.522167968749998e-008,7.150006e-002

2.531933593749998e-008,3.486832e-002

2.541699218749998e-008,4.524348e-004

2.551464843749998e-008,-2.919262e-002

2.561230468749998e-008,-5.171972e-002

2.570996093749997e-008,-6.638838e-002

2.580761718749997e-008,-7.434406e-002

2.590527343749997e-008,-7.772125e-002

2.600292968749997e-008,-7.854793e-002

2.610058593749997e-008,-7.819523e-002

2.649121093749997e-008,-7.442608e-002

2.815136718749995e-008,-5.801141e-002

2.971386718749994e-008,-4.367563e-002

3.127636718749997e-008,-3.021017e-002

3.264355468750000e-008,-1.904559e-002

3.371777343750003e-008,-1.065460e-002

3.449902343750005e-008,-4.757569e-003

3.479199218750006e-008,-2.626220e-003

3.498730468750006e-008,-1.282193e-003

3.508496093750006e-008,-6.473679e-004

3.518261718750007e-008,-4.320538e-005

3.528027343750007e-008,5.268498e-004

3.537792968750007e-008,1.060268e-003

3.547558593750007e-008,1.555366e-003

3.557324218750008e-008,2.011135e-003

3.567089843750008e-008,2.427059e-003

3.576855468750008e-008,2.802941e-003

3.586621093750008e-008,3.138772e-003

3.596386718750008e-008,3.434654e-003

3.606152343750009e-008,3.690742e-003

3.625683593750009e-008,4.084414e-003

3.645214843750010e-008,4.323053e-003

3.664746093750010e-008,4.416413e-003

3.684277343750011e-008,4.387634e-003

3.713574218750011e-008,4.196185e-003

3.840527343750014e-008,3.060265e-003

3.938183593750017e-008,2.315411e-003

4.035839843750019e-008,1.691906e-003

4.123730468750021e-008,1.227246e-003

4.211621093750023e-008,8.482575e-004

4.299511718750026e-008,5.498615e-004

4.387402343750028e-008,3.273200e-004

4.475292968750030e-008,1.760428e-004

4.572949218750032e-008,8.611949e-005

4.680371093750035e-008,7.246262e-005

5.061230468750044e-008,2.119958e-004

5.451855468750054e-008,2.527391e-004

5.578808593750057e-008,2.525839e-004

8.508496093750128e-008,2.261645e-004

9.990234375000001e-008,2.184274e-004

1.000000000000000e-007,2.184824e-004

