freq,Vout,deg
1.00E+04,-8.68E-03,-2.88E-03
1.01E+04,-8.68E-03,-2.92E-03
1.03E+04,-8.68E-03,-2.96E-03
1.04E+04,-8.68E-03,-3.00E-03
1.06E+04,-8.68E-03,-3.04E-03
1.07E+04,-8.68E-03,-3.08E-03
1.09E+04,-8.68E-03,-3.13E-03
1.10E+04,-8.68E-03,-3.17E-03
1.12E+04,-8.68E-03,-3.21E-03
1.13E+04,-8.68E-03,-3.26E-03
1.15E+04,-8.68E-03,-3.30E-03
1.16E+04,-8.68E-03,-3.35E-03
1.18E+04,-8.68E-03,-3.40E-03
1.20E+04,-8.68E-03,-3.45E-03
1.21E+04,-8.68E-03,-3.49E-03
1.23E+04,-8.68E-03,-3.54E-03
1.25E+04,-8.68E-03,-3.59E-03
1.27E+04,-8.68E-03,-3.64E-03
1.28E+04,-8.68E-03,-3.69E-03
1.30E+04,-8.68E-03,-3.74E-03
1.32E+04,-8.68E-03,-3.80E-03
1.34E+04,-8.68E-03,-3.85E-03
1.36E+04,-8.68E-03,-3.90E-03
1.38E+04,-8.68E-03,-3.96E-03
1.39E+04,-8.68E-03,-4.01E-03
1.41E+04,-8.68E-03,-4.07E-03
1.43E+04,-8.68E-03,-4.13E-03
1.45E+04,-8.68E-03,-4.18E-03
1.47E+04,-8.68E-03,-4.24E-03
1.49E+04,-8.68E-03,-4.30E-03
1.52E+04,-8.68E-03,-4.36E-03
1.54E+04,-8.68E-03,-4.42E-03
1.56E+04,-8.68E-03,-4.48E-03
1.58E+04,-8.68E-03,-4.55E-03
1.60E+04,-8.68E-03,-4.61E-03
1.62E+04,-8.68E-03,-4.67E-03
1.65E+04,-8.68E-03,-4.74E-03
1.67E+04,-8.68E-03,-4.81E-03
1.69E+04,-8.68E-03,-4.87E-03
1.72E+04,-8.68E-03,-4.94E-03
1.74E+04,-8.68E-03,-5.01E-03
1.77E+04,-8.68E-03,-5.08E-03
1.79E+04,-8.68E-03,-5.15E-03
1.82E+04,-8.68E-03,-5.22E-03
1.84E+04,-8.68E-03,-5.29E-03
1.87E+04,-8.68E-03,-5.37E-03
1.89E+04,-8.68E-03,-5.44E-03
1.92E+04,-8.68E-03,-5.52E-03
1.95E+04,-8.68E-03,-5.60E-03
1.97E+04,-8.68E-03,-5.68E-03
2.00E+04,-8.68E-03,-5.75E-03
2.03E+04,-8.68E-03,-5.83E-03
2.06E+04,-8.68E-03,-5.92E-03
2.08E+04,-8.68E-03,-6.00E-03
2.11E+04,-8.68E-03,-6.08E-03
2.14E+04,-8.68E-03,-6.17E-03
2.17E+04,-8.68E-03,-6.25E-03
2.20E+04,-8.68E-03,-6.34E-03
2.23E+04,-8.68E-03,-6.43E-03
2.27E+04,-8.68E-03,-6.52E-03
2.30E+04,-8.68E-03,-6.61E-03
2.33E+04,-8.68E-03,-6.70E-03
2.36E+04,-8.68E-03,-6.80E-03
2.39E+04,-8.68E-03,-6.89E-03
2.43E+04,-8.68E-03,-6.99E-03
2.46E+04,-8.68E-03,-7.08E-03
2.50E+04,-8.68E-03,-7.18E-03
2.53E+04,-8.68E-03,-7.28E-03
2.57E+04,-8.68E-03,-7.39E-03
2.60E+04,-8.68E-03,-7.49E-03
2.64E+04,-8.68E-03,-7.59E-03
2.68E+04,-8.68E-03,-7.70E-03
2.71E+04,-8.68E-03,-7.81E-03
2.75E+04,-8.68E-03,-7.92E-03
2.79E+04,-8.68E-03,-8.03E-03
2.83E+04,-8.68E-03,-8.14E-03
2.87E+04,-8.68E-03,-8.25E-03
2.91E+04,-8.68E-03,-8.37E-03
2.95E+04,-8.68E-03,-8.48E-03
2.99E+04,-8.68E-03,-8.60E-03
3.03E+04,-8.68E-03,-8.72E-03
3.07E+04,-8.68E-03,-8.84E-03
3.12E+04,-8.68E-03,-8.97E-03
3.16E+04,-8.68E-03,-9.09E-03
3.20E+04,-8.68E-03,-9.22E-03
3.25E+04,-8.68E-03,-9.35E-03
3.29E+04,-8.68E-03,-9.48E-03
3.34E+04,-8.68E-03,-9.61E-03
3.39E+04,-8.68E-03,-9.74E-03
3.43E+04,-8.68E-03,-9.88E-03
3.48E+04,-8.68E-03,-1.00E-02
3.53E+04,-8.68E-03,-1.02E-02
3.58E+04,-8.68E-03,-1.03E-02
3.63E+04,-8.68E-03,-1.04E-02
3.68E+04,-8.68E-03,-1.06E-02
3.73E+04,-8.68E-03,-1.07E-02
3.78E+04,-8.68E-03,-1.09E-02
3.84E+04,-8.68E-03,-1.10E-02
3.89E+04,-8.68E-03,-1.12E-02
3.94E+04,-8.68E-03,-1.14E-02
4.00E+04,-8.68E-03,-1.15E-02
4.06E+04,-8.68E-03,-1.17E-02
4.11E+04,-8.68E-03,-1.18E-02
4.17E+04,-8.68E-03,-1.20E-02
4.23E+04,-8.68E-03,-1.22E-02
4.29E+04,-8.68E-03,-1.23E-02
4.35E+04,-8.68E-03,-1.25E-02
4.41E+04,-8.68E-03,-1.27E-02
4.47E+04,-8.68E-03,-1.29E-02
4.53E+04,-8.68E-03,-1.30E-02
4.59E+04,-8.68E-03,-1.32E-02
