time,Vout
0.00E+00,0.00E+00
5.85E-12,2.76E-05
1.17E-11,1.07E-04
1.76E-11,2.37E-04
2.34E-11,4.20E-04
2.93E-11,6.53E-04
3.51E-11,9.39E-04
4.10E-11,1.28E-03
8.19E-11,4.81E-03
1.49E-10,1.47E-02
2.47E-10,3.75E-02
3.85E-10,8.40E-02
5.72E-10,1.68E-01
7.52E-10,2.69E-01
1.00E-09,4.28E-01
1.07E-09,4.77E-01
1.17E-09,5.36E-01
1.37E-09,6.34E-01
1.60E-09,7.22E-01
2.00E-09,8.38E-01
2.04E-09,8.45E-01
2.12E-09,8.58E-01
2.28E-09,8.76E-01
2.60E-09,8.92E-01
3.23E-09,8.82E-01
3.86E-09,8.38E-01
4.72E-09,7.50E-01
5.63E-09,6.43E-01
6.63E-09,5.20E-01
8.63E-09,2.71E-01
1.00E-08,9.98E-02
1.01E-08,9.14E-02
1.02E-08,8.14E-02
1.04E-08,6.48E-02
1.07E-08,4.51E-02
1.10E-08,2.92E-02
1.13E-08,1.96E-02
1.16E-08,1.33E-02
1.19E-08,9.09E-03
1.22E-08,6.16E-03
1.25E-08,4.19E-03
1.28E-08,2.83E-03
1.31E-08,1.93E-03
1.35E-08,1.31E-03
1.38E-08,8.88E-04
1.41E-08,6.05E-04
1.44E-08,3.84E-04
1.48E-08,2.32E-04
1.53E-08,1.26E-04
1.59E-08,6.31E-05
1.66E-08,2.67E-05
1.75E-08,8.98E-06
1.85E-08,1.99E-06
1.90E-08,8.57E-07
2.00E-08,1.67E-07
2.00E-08,8.21E-06
2.00E-08,4.23E-05
2.00E-08,1.81E-04
2.00E-08,5.22E-04
2.00E-08,1.80E-03
2.01E-08,6.31E-03
2.02E-08,1.85E-02
2.03E-08,4.57E-02
2.04E-08,9.99E-02
2.06E-08,1.93E-01
2.07E-08,2.54E-01
2.08E-08,2.79E-01
2.09E-08,3.34E-01
2.10E-08,4.28E-01
2.11E-08,4.93E-01
2.12E-08,5.56E-01
2.14E-08,6.64E-01
2.16E-08,7.11E-01
2.18E-08,7.75E-01
2.20E-08,8.37E-01
2.21E-08,8.50E-01
2.22E-08,8.64E-01
2.24E-08,8.83E-01
2.27E-08,8.94E-01
2.34E-08,8.69E-01
2.41E-08,8.16E-01
2.50E-08,7.16E-01
2.60E-08,5.98E-01
2.70E-08,4.75E-01
3.00E-08,9.98E-02
3.01E-08,8.71E-02
3.03E-08,7.30E-02
3.06E-08,5.11E-02
3.09E-08,3.32E-02
3.12E-08,2.20E-02
3.15E-08,1.50E-02
3.18E-08,1.02E-02
3.21E-08,6.96E-03
3.24E-08,4.72E-03
3.27E-08,3.20E-03
3.31E-08,2.17E-03
3.34E-08,1.47E-03
3.37E-08,1.00E-03
3.40E-08,6.82E-04
3.43E-08,4.43E-04
3.47E-08,2.72E-04
3.52E-08,1.53E-04
3.57E-08,7.88E-05
3.64E-08,3.52E-05
3.72E-08,1.30E-05
3.82E-08,3.32E-06
3.90E-08,9.81E-07
4.00E-08,1.63E-07
4.00E-08,8.20E-06
4.00E-08,4.23E-05
4.00E-08,1.81E-04
4.00E-08,5.22E-04
4.00E-08,1.80E-03
4.01E-08,6.31E-03
