Freq.,VOut,OutRef

1.00000000000000e+004,-1.88391099613523e+001,-1.33079106555036e-001

1.01395947979003e+004,-1.88391101276229e+001,-1.34936820735359e-001

1.02811382665607e+004,-1.88391102985682e+001,-1.36820467599393e-001

1.04246576084112e+004,-1.88391104743194e+001,-1.38730409153440e-001

1.05701804056138e+004,-1.88391106550117e+001,-1.40667012454714e-001

1.07177346253629e+004,-1.88391108407838e+001,-1.42630649687717e-001

1.08673486252606e+004,-1.88391110317788e+001,-1.44621698227282e-001

1.10190511587661e+004,-1.88391112281433e+001,-1.46640540721816e-001

1.11728713807222e+004,-1.88391114300282e+001,-1.48687565157982e-001

1.13288388529580e+004,-1.88391116375891e+001,-1.50763164936981e-001

1.14869835499703e+004,-1.88391118509853e+001,-1.52867738954329e-001

1.16473358646846e+004,-1.88391120703807e+001,-1.55001691675029e-001

1.18099266142953e+004,-1.88391122959442e+001,-1.57165433205400e-001

1.19747870461893e+004,-1.88391125278491e+001,-1.59359379380888e-001

1.21419488439505e+004,-1.88391127662739e+001,-1.61583951838437e-001

1.23114441334492e+004,-1.88391130114015e+001,-1.63839578104336e-001

1.24833054890161e+004,-1.88391132634207e+001,-1.66126691668805e-001

1.26575659397028e+004,-1.88391135225251e+001,-1.68445732075990e-001

1.28342589756290e+004,-1.88391137889137e+001,-1.70797145006327e-001

1.30134185544193e+004,-1.88391140627918e+001,-1.73181382357387e-001

1.31950791077289e+004,-1.88391143443694e+001,-1.75598902339565e-001

1.33792755478611e+004,-1.88391146338633e+001,-1.78050169557205e-001

1.35660432744767e+004,-1.88391149314960e+001,-1.80535655099758e-001

1.37554181813974e+004,-1.88391152374963e+001,-1.83055836634415e-001

1.39474366635040e+004,-1.88391155520992e+001,-1.85611198495631e-001

1.41421356237309e+004,-1.88391158755470e+001,-1.88202231776718e-001

1.43395524801583e+004,-1.88391162080881e+001,-1.90829434428432e-001

1.45397251732031e+004,-1.88391165499780e+001,-1.93493311353046e-001

1.47426921729110e+004,-1.88391169014799e+001,-1.96194374497534e-001

1.49484924863494e+004,-1.88391172628636e+001,-1.98933142959770e-001

1.51571656651040e+004,-1.88391176344073e+001,-2.01710143079417e-001

1.53687518128801e+004,-1.88391180163966e+001,-2.04525908544760e-001

1.55832915932100e+004,-1.88391184091248e+001,-2.07380980497182e-001

1.58008262372675e+004,-1.88391188128942e+001,-2.10275907625855e-001

1.60213975517924e+004,-1.88391192280150e+001,-2.13211246284029e-001

1.62450479271247e+004,-1.88391196548064e+001,-2.16187560588999e-001

