Freq.,VOut,OutRef

1.00000000000000e+004,-4.31361051364646e+001,-4.87985118582306e-001

1.01395947979003e+004,-4.31361086729611e+001,-4.94797060253415e-001

1.02811382665607e+004,-4.31361123088795e+001,-5.01704089828284e-001

1.04246576084112e+004,-4.31361160470147e+001,-5.08707534546580e-001

1.05701804056138e+004,-4.31361198902403e+001,-5.15808740169065e-001

1.07177346253629e+004,-4.31361238415107e+001,-5.23009071235884e-001

1.08673486252606e+004,-4.31361279038630e+001,-5.30309911331821e-001

1.10190511587661e+004,-4.31361320804205e+001,-5.37712663345007e-001

1.11728713807222e+004,-4.31361363743932e+001,-5.45218749744243e-001

1.13288388529580e+004,-4.31361407890822e+001,-5.52829612845007e-001

1.14869835499703e+004,-4.31361453278809e+001,-5.60546715091705e-001

1.16473358646846e+004,-4.31361499942784e+001,-5.68371539333814e-001

1.18099266142953e+004,-4.31361547918617e+001,-5.76305589112657e-001

1.19747870461893e+004,-4.31361597243188e+001,-5.84350388950766e-001

1.21419488439505e+004,-4.31361647954410e+001,-5.92507484642839e-001

1.23114441334492e+004,-4.31361700091266e+001,-6.00778443552896e-001

1.24833054890161e+004,-4.31361753693832e+001,-6.09164854914322e-001

1.26575659397028e+004,-4.31361808803313e+001,-6.17668330135186e-001

1.28342589756290e+004,-4.31361865462069e+001,-6.26290503108712e-001

1.30134185544193e+004,-4.31361923713654e+001,-6.35033030523749e-001

1.31950791077289e+004,-4.31361983602843e+001,-6.43897592186391e-001

1.33792755478611e+004,-4.31362045175674e+001,-6.52885891337246e-001

1.35660432744767e+004,-4.31362108479473e+001,-6.61999654983543e-001

1.37554181813974e+004,-4.31362173562903e+001,-6.71240634225975e-001

1.39474366635040e+004,-4.31362240475989e+001,-6.80610604597181e-001

1.41421356237309e+004,-4.31362309270166e+001,-6.90111366400244e-001

1.43395524801583e+004,-4.31362379998314e+001,-6.99744745055281e-001

1.45397251732031e+004,-4.31362452714797e+001,-7.09512591450266e-001

1.47426921729110e+004,-4.31362527475509e+001,-7.19416782292734e-001

1.49484924863494e+004,-4.31362604337917e+001,-7.29459220472113e-001

1.51571656651040e+004,-4.31362683361099e+001,-7.39641835424736e-001

1.53687518128801e+004,-4.31362764605797e+001,-7.49966583502028e-001

1.55832915932100e+004,-4.31362848134458e+001,-7.60435448345861e-001

1.58008262372675e+004,-4.31362934011285e+001,-7.71050441270096e-001

1.60213975517924e+004,-4.31363022302287e+001,-7.81813601644334e-001

1.62450479271247e+004,-4.31363113075326e+001,-7.92726997285451e-001

1.64718203453514e+004,-4.31363206400173e+001,-8.03792724854101e-001

1.67017583885674e+004,-4.31363302348560e+001,-8.15012910255603e-001

1.69349062472505e+004,-4.31363400994232e+001,-8.26389709048028e-001

1.71713087287550e+004,-4.31363502413012e+001,-8.37925306854291e-001

1.74110112659224e+004,-4.31363606682850e+001,-8.49621919782015e-001

1.76540599258131e+004,-4.31363713883889e+001,-8.61481794846251e-001

1.79005014185594e+004,-4.31363824098521e+001,-8.73507210401343e-001

1.81503831063432e+004,-4.31363937411459e+001,-8.85700476576282e-001

