Freq.,VOut,OutRef

1.00000000000000e+004,-1.93015983358781e+001,-1.60812181460506e-001

1.01395947979003e+004,-1.93015987087897e+001,-1.63057028581619e-001

1.02811382665607e+004,-1.93015990921849e+001,-1.65333212292246e-001

1.04246576084112e+004,-1.93015994863586e+001,-1.67641170020291e-001

1.05701804056138e+004,-1.93015998916134e+001,-1.69981345302984e-001

1.07177346253629e+004,-1.93016003082612e+001,-1.72354187864761e-001

1.08673486252606e+004,-1.93016007366222e+001,-1.74760153709078e-001

1.10190511587661e+004,-1.93016011770257e+001,-1.77199705204574e-001

1.11728713807222e+004,-1.93016016298100e+001,-1.79673311174100e-001

1.13288388529580e+004,-1.93016020953234e+001,-1.82181446982138e-001

1.14869835499703e+004,-1.93016025739237e+001,-1.84724594630560e-001

1.16473358646846e+004,-1.93016030659787e+001,-1.87303242847728e-001

1.18099266142953e+004,-1.93016035718666e+001,-1.89917887184759e-001

1.19747870461893e+004,-1.93016040919765e+001,-1.92569030107670e-001

1.21419488439505e+004,-1.93016046267077e+001,-1.95257181099074e-001

1.23114441334492e+004,-1.93016051764719e+001,-1.97982856748070e-001

1.24833054890161e+004,-1.93016057416913e+001,-2.00746580858415e-001

1.26575659397028e+004,-1.93016063228003e+001,-2.03548884543473e-001

1.28342589756290e+004,-1.93016069202457e+001,-2.06390306329145e-001

1.30134185544193e+004,-1.93016075344868e+001,-2.09271392258251e-001

1.31950791077289e+004,-1.93016081659956e+001,-2.12192695995254e-001

1.33792755478611e+004,-1.93016088152577e+001,-2.15154778931049e-001

1.35660432744767e+004,-1.93016094827719e+001,-2.18158210294729e-001

1.37554181813974e+004,-1.93016101690514e+001,-2.21203567258189e-001

1.39474366635040e+004,-1.93016108746237e+001,-2.24291435049120e-001

1.41421356237309e+004,-1.93016116000314e+001,-2.27422407062901e-001

1.43395524801583e+004,-1.93016123458317e+001,-2.30597084979867e-001

1.45397251732031e+004,-1.93016131125980e+001,-2.33816078875302e-001

1.47426921729110e+004,-1.93016139009194e+001,-2.37080007340876e-001

1.49484924863494e+004,-1.93016147114024e+001,-2.40389497598911e-001

1.51571656651040e+004,-1.93016155446694e+001,-2.43745185630211e-001

1.53687518128801e+004,-1.93016164013611e+001,-2.47147716288841e-001

1.55832915932100e+004,-1.93016172821359e+001,-2.50597743429533e-001

1.58008262372675e+004,-1.93016181876709e+001,-2.54095930032960e-001

1.60213975517924e+004,-1.93016191186618e+001,-2.57642948332962e-001

1.62450479271247e+004,-1.93016200758245e+001,-2.61239479944293e-001

1.64718203453514e+004,-1.93016210598946e+001,-2.64886215995178e-001

1.67017583885674e+004,-1.93016220716283e+001,-2.68583857260137e-001

1.69349062472505e+004,-1.93016231118033e+001,-2.72333114293081e-001

1.71713087287550e+004,-1.93016241812189e+001,-2.76134707565446e-001

1.74110112659224e+004,-1.93016252806972e+001,-2.79989367600883e-001

1.76540599258131e+004,-1.93016264110832e+001,-2.83897835121899e-001

1.79005014185594e+004,-1.93016275732456e+001,-2.87860861185477e-001

1.81503831063432e+004,-1.93016287680776e+001,-2.91879207331995e-001

1.84037530124975e+004,-1.93016299964975e+001,-2.95953645728501e-001

1.86606598307361e+004,-1.93016312594495e+001,-3.00084959318041e-001

1.89211529345119e+004,-1.93016325579040e+001,-3.04273941971528e-001

1.91852823865052e+004,-1.93016338928591e+001,-3.08521398635882e-001

1.94530989482457e+004,-1.93016352653404e+001,-3.12828145494344e-001

1.97246540898671e+004,-1.93016366764032e+001,-3.17195010116099e-001

1.99999999999999e+004,-1.93016381271315e+001,-3.21622831623664e-001

2.02791895958005e+004,-1.93016396186404e+001,-3.26112460844785e-001

2.05622765331213e+004,-1.93016411520759e+001,-3.30664760484361e-001

2.08493152168224e+004,-1.93016427286166e+001,-3.35280605282040e-001

2.11403608112276e+004,-1.93016443494739e+001,-3.39960882187563e-001

2.14354692507258e+004,-1.93016460158935e+001,-3.44706490524263e-001

2.17346972505211e+004,-1.93016477291559e+001,-3.49518342166807e-001

2.20381023175322e+004,-1.93016494905777e+001,-3.54397361713079e-001

2.23457427614443e+004,-1.93016513015124e+001,-3.59344486663293e-001

2.26576777059159e+004,-1.93016531633515e+001,-3.64360667598794e-001

2.29739670999406e+004,-1.93016550775259e+001,-3.69446868364236e-001

2.32946717293690e+004,-1.93016570455063e+001,-3.74604066254665e-001

2.36198532285905e+004,-1.93016590688050e+001,-3.79833252199805e-001

2.39495740923785e+004,-1.93016611489764e+001,-3.85135430957670e-001

2.42838976879009e+004,-1.93016632876192e+001,-3.90511621302651e-001

