Freq.,VOut,OutRef

1.00000000000000e+004,-1.36432312844223e-001,-1.82186517447476e-002

1.01395947979003e+004,-1.36432305461025e-001,-1.84729749657824e-002

1.02811382665607e+004,-1.36432297870354e-001,-1.87308484196227e-002

1.04246576084112e+004,-1.36432290066230e-001,-1.89923216675013e-002

1.05701804056138e+004,-1.36432282042866e-001,-1.92574449597321e-002

1.07177346253629e+004,-1.36432273793868e-001,-1.95262692510288e-002

1.08673486252606e+004,-1.36432265312903e-001,-1.97988462059862e-002

1.10190511587661e+004,-1.36432256593582e-001,-2.00752282100050e-002

1.11728713807222e+004,-1.36432247629175e-001,-2.03554683803946e-002

1.13288388529580e+004,-1.36432238412829e-001,-2.06396205753912e-002

1.14869835499703e+004,-1.36432228937230e-001,-2.09277394074343e-002

1.16473358646846e+004,-1.36432219195403e-001,-2.12198802472534e-002

1.18099266142953e+004,-1.36432209179778e-001,-2.15160992414588e-002

1.19747870461893e+004,-1.36432198882519e-001,-2.18164533206410e-002

1.21419488439505e+004,-1.36432188295798e-001,-2.21210002090772e-002

1.23114441334492e+004,-1.36432177411574e-001,-2.24297984363916e-002

1.24833054890161e+004,-1.36432166221217e-001,-2.27429073515389e-002

1.26575659397028e+004,-1.36432154716360e-001,-2.30603871293409e-002

1.28342589756290e+004,-1.36432142888120e-001,-2.33822987858830e-002

1.30134185544193e+004,-1.36432130727503e-001,-2.37087041886427e-002

1.31950791077289e+004,-1.36432118224842e-001,-2.40396660707348e-002

1.33792755478611e+004,-1.36432105370861e-001,-2.43752480380355e-002

1.35660432744767e+004,-1.36432092155502e-001,-2.47155145863253e-002

1.37554181813974e+004,-1.36432078568735e-001,-2.50605311108892e-002

1.39474366635040e+004,-1.36432064600025e-001,-2.54103639205048e-002

1.41421356237309e+004,-1.36432050238643e-001,-2.57650802496525e-002

1.43395524801583e+004,-1.36432035473517e-001,-2.61247482715807e-002

1.45397251732031e+004,-1.36432020293522e-001,-2.64894371093352e-002

1.47426921729110e+004,-1.36432004686661e-001,-2.68592168546458e-002

1.49484924863494e+004,-1.36431988641154e-001,-2.72341585743015e-002

1.51571656651040e+004,-1.36431972144672e-001,-2.76143343285094e-002

1.53687518128801e+004,-1.36431955184520e-001,-2.79998171836195e-002

1.55832915932100e+004,-1.36431937747683e-001,-2.83906812259885e-002

1.58008262372675e+004,-1.36431919820609e-001,-2.87870015771578e-002

1.60213975517924e+004,-1.36431901389714e-001,-2.91888544051685e-002

1.62450479271247e+004,-1.36431882440753e-001,-2.95963169430580e-002

1.64718203453514e+004,-1.36431862959099e-001,-3.00094675026293e-002

1.67017583885674e+004,-1.36431842929980e-001,-3.04283854863564e-002

1.69349062472505e+004,-1.36431822337803e-001,-3.08531514083844e-002

1.71713087287550e+004,-1.36431801166892e-001,-3.12838469048133e-002

1.74110112659224e+004,-1.36431779400938e-001,-3.17205547520836e-002

1.76540599258131e+004,-1.36431757023198e-001,-3.21633588826148e-002

1.79005014185594e+004,-1.36431734016557e-001,-3.26123443998811e-002

1.81503831063432e+004,-1.36431710363162e-001,-3.30675975966235e-002

1.84037530124975e+004,-1.36431686045012e-001,-3.35292059688151e-002

1.86606598307361e+004,-1.36431661043424e-001,-3.39972582344860e-002

1.89211529345119e+004,-1.36431635339036e-001,-3.44718443516303e-002

1.91852823865052e+004,-1.36431608912375e-001,-3.49530555314729e-002

1.94530989482457e+004,-1.36431581742880e-001,-3.54409842615627e-002

1.97246540898671e+004,-1.36431553809770e-001,-3.59357243188481e-002

1.99999999999999e+004,-1.36431525091615e-001,-3.64373707898217e-002

2.02791895958005e+004,-1.36431495566341e-001,-3.69460200887478e-002

2.05622765331213e+004,-1.36431465211405e-001,-3.74617699751897e-002

2.08493152168224e+004,-1.36431434003213e-001,-3.79847195757619e-002

2.11403608112276e+004,-1.36431401918049e-001,-3.85149693982291e-002

2.14354692507258e+004,-1.36431368931147e-001,-3.90526213556770e-002

2.17346972505211e+004,-1.36431335017252e-001,-3.95977787828200e-002

2.20381023175322e+004,-1.36431300150199e-001,-4.01505464579031e-002

2.23457427614443e+004,-1.36431264303326e-001,-4.07110306213995e-002

2.26576777059159e+004,-1.36431227449123e-001,-4.12793389973920e-002

2.29739670999406e+004,-1.36431189559182e-001,-4.18555808143870e-002

2.32946717293690e+004,-1.36431150604485e-001,-4.24398668250796e-002

2.36198532285905e+004,-1.36431110555084e-001,-4.30323093294116e-002

2.39495740923785e+004,-1.36431069380392e-001,-4.36330221936931e-002

2.42838976879009e+004,-1.36431027048555e-001,-4.42421208764374e-002

2.46228882668982e+004,-1.36430983527194e-001,-4.48597224464951e-002

2.49666109780322e+004,-1.36430938782927e-001,-4.54859456071038e-002

2.53151318794055e+004,-1.36430892781333e-001,-4.61209107201727e-002

2.56685179512580e+004,-1.36430845487177e-001,-4.67647398270882e-002

2.60268371088386e+004,-1.36430796864125e-001,-4.74175566732344e-002

2.63901582154578e+004,-1.36430746874848e-001,-4.80794867326672e-002

2.67585510957221e+004,-1.36430695480953e-001,-4.87506572306624e-002

2.71320865489533e+004,-1.36430642643108e-001,-4.94311971687289e-002

2.75108363627948e+004,-1.36430588320639e-001,-5.01212373504559e-002

2.78948733270080e+004,-1.36430532471955e-001,-5.08209104048887e-002

2.82842712474618e+004,-1.36430475054164e-001,-5.15303508137362e-002

2.86791049603164e+004,-1.36430416023169e-001,-5.22496949362072e-002

2.90794503464061e+004,-1.36430355333671e-001,-5.29790810355920e-002

2.94853843458219e+004,-1.36430292939159e-001,-5.37186493055385e-002

2.98969849726987e+004,-1.36430228791853e-001,-5.44685418968063e-002

3.03143313302078e+004,-1.36430162842372e-001,-5.52289029467434e-002

3.07375036257601e+004,-1.36430095040210e-001,-5.59998786039287e-002

3.11665831864199e+004,-1.36430025333331e-001,-5.67816170580236e-002

3.16016524745350e+004,-1.36429953668403e-001,-5.75742685676299e-002

3.20427951035848e+004,-1.36429879990208e-001,-5.83779854913897e-002

3.24900958542493e+004,-1.36429804242505e-001,-5.91929223127883e-002

3.29436406907028e+004,-1.36429726367094e-001,-6.00192356744818e-002

3.34035167771346e+004,-1.36429646304211e-001,-6.08570844062431e-002

3.38698124945009e+004,-1.36429563992607e-001,-6.17066295547512e-002

3.43426174575100e+004,-1.36429479369040e-001,-6.25680344174825e-002

3.48220225318448e+004,-1.36429392368690e-001,-6.34414645708029e-002

3.53081198516260e+004,-1.36429302924939e-001,-6.43270879034491e-002

3.58010028371187e+004,-1.36429210969106e-001,-6.52250746500882e-002

3.63007662126863e+004,-1.36429116430795e-001,-6.61355974211363e-002

3.68075060249948e+004,-1.36429019237478e-001,-6.70588312390459e-002

3.73213196614721e+004,-1.36428919314852e-001,-6.79949535684288e-002

3.78423058690237e+004,-1.36428816586226e-001,-6.89441443548673e-002

3.83705647730104e+004,-1.36428710972828e-001,-6.99065860558368e-002

3.89061978964912e+004,-1.36428602393886e-001,-7.08824636766894e-002

3.94493081797342e+004,-1.36428490766242e-001,-7.18719648067831e-002

3.99999999999998e+004,-1.36428376004272e-001,-7.28752796566258e-002

4.05583791916010e+004,-1.36428258020250e-001,-7.38926010912509e-002

4.11245530662425e+004,-1.36428136723679e-001,-7.49241246716469e-002

4.16986304336447e+004,-1.36428012021737e-001,-7.59700486886627e-002

4.22807216224550e+004,-1.36427883819022e-001,-7.70305742030745e-002

4.28709385014515e+004,-1.36427752017330e-001,-7.81059050844051e-002

4.34693945010421e+004,-1.36427616515824e-001,-7.91962480494605e-002

4.40762046350642e+004,-1.36427477210776e-001,-8.03018127024736e-002

4.46914855228886e+004,-1.36427333995633e-001,-8.14228115755051e-002

4.53153554118317e+004,-1.36427186760770e-001,-8.25594601697574e-002

4.59479341998812e+004,-1.36427035393631e-001,-8.37119769956601e-002

4.65893434587380e+004,-1.36426879778313e-001,-8.48805836177048e-002

4.72397064571810e+004,-1.36426719795941e-001,-8.60655046934741e-002

4.78991481847569e+004,-1.36426555324166e-001,-8.72669680203958e-002

4.85677953758016e+004,-1.36426386237122e-001,-8.84852045779717e-002

4.92457765337964e+004,-1.36426212405728e-001,-8.97204485716664e-002

4.99332219560642e+004,-1.36426033696995e-001,-9.09729374802152e-002

5.06302637588109e+004,-1.36425849974396e-001,-9.22429120989492e-002

5.13370359025159e+004,-1.36425661097601e-001,-9.35306165876475e-002

5.20536742176771e+004,-1.36425466922280e-001,-9.48362985177555e-002

5.27803164309155e+004,-1.36425267300172e-001,-9.61602089191370e-002

5.35171021914442e+004,-1.36425062078822e-001,-9.75026023295144e-002

5.42641730979066e+004,-1.36424851101504e-001,-9.88637368430889e-002

5.50216727255895e+004,-1.36424634207246e-001,-1.00243874159730e-001

5.57897466540159e+004,-1.36424411230423e-001,-1.01643279637095e-001

5.65685424949235e+004,-1.36424182001015e-001,-1.03062222339660e-001

5.73582099206328e+004,-1.36423946344053e-001,-1.04500975092622e-001

5.81589006928121e+004,-1.36423704079911e-001,-1.05959814533119e-001

