Freq.,VOut,OutRef

1.00000000000000e+004,-1.15699131617247e+000,-2.02180538814568e-003

1.01395947979003e+004,-1.15699131915666e+000,-2.05002861092762e-003

1.02811382665607e+004,-1.15699132222435e+000,-2.07864581261911e-003

1.04246576084112e+004,-1.15699132537776e+000,-2.10766249302744e-003

1.05701804056138e+004,-1.15699132862010e+000,-2.13708422395893e-003

1.07177346253629e+004,-1.15699133195468e+000,-2.16691665358278e-003

1.08673486252606e+004,-1.15699133538108e+000,-2.19716553450384e-003

1.10190511587661e+004,-1.15699133890538e+000,-2.22783665728974e-003

1.11728713807222e+004,-1.15699134252787e+000,-2.25893593190860e-003

1.13288388529580e+004,-1.15699134625273e+000,-2.29046932562755e-003

1.14869835499703e+004,-1.15699135008190e+000,-2.32244290403431e-003

1.16473358646846e+004,-1.15699135401967e+000,-2.35486280316552e-003

1.18099266142953e+004,-1.15699135806673e+000,-2.38773526819602e-003

1.19747870461893e+004,-1.15699136222784e+000,-2.42106660540565e-003

1.21419488439505e+004,-1.15699136650732e+000,-2.45486321272485e-003

1.23114441334492e+004,-1.15699137090519e+000,-2.48913160654163e-003

1.24833054890161e+004,-1.15699137542758e+000,-2.52387835396382e-003

1.26575659397028e+004,-1.15699138007716e+000,-2.55911013746894e-003

1.28342589756290e+004,-1.15699138485784e+000,-2.59483372518510e-003

1.30134185544193e+004,-1.15699138977235e+000,-2.63105598849940e-003

1.31950791077289e+004,-1.15699139482489e+000,-2.66778388504864e-003

1.33792755478611e+004,-1.15699140001935e+000,-2.70502447307836e-003

1.35660432744767e+004,-1.15699140535998e+000,-2.74278490703833e-003

1.37554181813974e+004,-1.15699141085095e+000,-2.78107244280295e-003

1.39474366635040e+004,-1.15699141649602e+000,-2.81989444093979e-003

1.41421356237309e+004,-1.15699142230064e+000,-2.85925835435801e-003

1.43395524801583e+004,-1.15699142826775e+000,-2.89917175732319e-003

1.45397251732031e+004,-1.15699143440255e+000,-2.93964231583212e-003

1.47426921729110e+004,-1.15699144071004e+000,-2.98067780477198e-003

1.49484924863494e+004,-1.15699144719392e+000,-3.02228611756193e-003

1.51571656651040e+004,-1.15699145386083e+000,-3.06447523833875e-003

1.53687518128801e+004,-1.15699146071476e+000,-3.10725328200706e-003

1.55832915932100e+004,-1.15699146776207e+000,-3.15062846171614e-003

1.58008262372675e+004,-1.15699147500680e+000,-3.19460912111662e-003

1.60213975517924e+004,-1.15699148245594e+000,-3.23920370247160e-003

1.62450479271247e+004,-1.15699149011329e+000,-3.28442078740654e-003

1.64718203453514e+004,-1.15699149798640e+000,-3.33026905393687e-003

1.67017583885674e+004,-1.15699150608099e+000,-3.37675731452695e-003

1.69349062472505e+004,-1.15699151440355e+000,-3.42389449995166e-003

1.71713087287550e+004,-1.15699152295940e+000,-3.47168967531789e-003

1.74110112659224e+004,-1.15699153175518e+000,-3.52015202419351e-003

1.76540599258131e+004,-1.15699154079923e+000,-3.56929084826018e-003

1.79005014185594e+004,-1.15699155009685e+000,-3.61911560063481e-003

1.81503831063432e+004,-1.15699155965620e+000,-3.66963584865610e-003

1.84037530124975e+004,-1.15699156948386e+000,-3.72086130480199e-003

1.86606598307361e+004,-1.15699157958812e+000,-3.77280180719794e-003

1.89211529345119e+004,-1.15699158997614e+000,-3.82546734018462e-003

1.91852823865052e+004,-1.15699160065634e+000,-3.87886802043374e-003

1.94530989482457e+004,-1.15699161163623e+000,-3.93301411344946e-003

1.97246540898671e+004,-1.15699162292530e+000,-3.98791601599375e-003

1.99999999999999e+004,-1.15699163453114e+000,-4.04358428479182e-003

2.02791895958005e+004,-1.15699164646308e+000,-4.10002961311039e-003

2.05622765331213e+004,-1.15699165873112e+000,-4.15726284103093e-003

2.08493152168224e+004,-1.15699167134353e+000,-4.21529497327091e-003

2.11403608112276e+004,-1.15699168431035e+000,-4.27413715769160e-003

2.14354692507258e+004,-1.15699169764116e+000,-4.33380070285364e-003

2.17346972505211e+004,-1.15699171134710e+000,-4.39429706648353e-003

2.20381023175322e+004,-1.15699172543814e+000,-4.45563787557228e-003

2.23457427614443e+004,-1.15699173992512e+000,-4.51783491615319e-003

2.26576777059159e+004,-1.15699175481955e+000,-4.58090013561656e-003

2.29739670999406e+004,-1.15699177013227e+000,-4.64484565504112e-003

2.32946717293690e+004,-1.15699178587546e+000,-4.70968375734528e-003

2.36198532285905e+004,-1.15699180206068e+000,-4.77542690375254e-003

2.39495740923785e+004,-1.15699181870084e+000,-4.84208772190791e-003

2.42838976879009e+004,-1.15699183580920e+000,-4.90967901618578e-003

2.46228882668982e+004,-1.15699185339799e+000,-4.97821377825044e-003

2.49666109780322e+004,-1.15699187148043e+000,-5.04770517762198e-003

2.53151318794055e+004,-1.15699189007137e+000,-5.11816655835433e-003

2.56685179512580e+004,-1.15699190918455e+000,-5.18961146135127e-003

2.60268371088386e+004,-1.15699192883548e+000,-5.26205360667683e-003

2.63901582154578e+004,-1.15699194903790e+000,-5.33550692070970e-003

2.67585510957221e+004,-1.15699196980843e+000,-5.40998550772908e-003

2.71320865489533e+004,-1.15699199116170e+000,-5.48550368473572e-003

2.75108363627948e+004,-1.15699201311624e+000,-5.56207594518678e-003

2.78948733270080e+004,-1.15699203568654e+000,-5.63971701500680e-003

2.82842712474618e+004,-1.15699205889128e+000,-5.71844180073376e-003

2.86791049603164e+004,-1.15699208274844e+000,-5.79826542443960e-003

2.90794503464061e+004,-1.15699210727537e+000,-5.87920322693255e-003

2.94853843458219e+004,-1.15699213249132e+000,-5.96127075351518e-003

2.98969849726987e+004,-1.15699215841602e+000,-6.04448376646805e-003

3.03143313302078e+004,-1.15699218506895e+000,-6.12885825361163e-003

3.07375036257601e+004,-1.15699221247044e+000,-6.21441042343320e-003

3.11665831864199e+004,-1.15699224064173e+000,-6.30115670791526e-003

3.16016524745350e+004,-1.15699226960468e+000,-6.38911376894156e-003

3.20427951035848e+004,-1.15699229938140e+000,-6.47829850171867e-003

3.24900958542493e+004,-1.15699232999390e+000,-6.56872804291278e-003

3.29436406907028e+004,-1.15699236146691e+000,-6.66041975387021e-003

3.34035167771346e+004,-1.15699239382372e+000,-6.75339125230133e-003

3.38698124945009e+004,-1.15699242708907e+000,-6.84766039542830e-003

3.43426174575100e+004,-1.15699246128922e+000,-6.94324528496621e-003

3.48220225318448e+004,-1.15699249644960e+000,-7.04016428482764e-003

3.53081198516260e+004,-1.15699253259796e+000,-7.13843600437570e-003

