Freq.,VOut,OutRef

1.00000000000000e+004,-2.36172766597009e+001,-4.03174913911020e-001

1.01395947979003e+004,-2.36172791225992e+001,-4.08802951170704e-001

1.02811382665607e+004,-2.36172816547338e+001,-4.14509549725758e-001

1.04246576084112e+004,-2.36172842580504e+001,-4.20295806117757e-001

1.05701804056138e+004,-2.36172869345504e+001,-4.26162832186694e-001

1.07177346253629e+004,-2.36172896862906e+001,-4.32111755289597e-001

1.08673486252606e+004,-2.36172925153860e+001,-4.38143718513547e-001

1.10190511587661e+004,-2.36172954240110e+001,-4.44259880895792e-001

1.11728713807222e+004,-2.36172984144010e+001,-4.50461417647580e-001

1.13288388529580e+004,-2.36173014888544e+001,-4.56749520376786e-001

1.14869835499703e+004,-2.36173046497342e+001,-4.63125397318891e-001

1.16473358646846e+004,-2.36173078994692e+001,-4.69590273569500e-001

1.18099266142953e+004,-2.36173112405575e+001,-4.76145391315188e-001

1.19747870461893e+004,-2.36173146755667e+001,-4.82792010076542e-001

1.21419488439505e+004,-2.36173182071365e+001,-4.89531406947607e-001

1.23114441334492e+004,-2.36173218379812e+001,-4.96364876839328e-001

1.24833054890161e+004,-2.36173255708912e+001,-5.03293732731178e-001

1.26575659397028e+004,-2.36173294087351e+001,-5.10319305921176e-001

1.28342589756290e+004,-2.36173333544624e+001,-5.17442946280482e-001

1.30134185544193e+004,-2.36173374111053e+001,-5.24666022513482e-001

1.31950791077289e+004,-2.36173415817814e+001,-5.31989922420284e-001

1.33792755478611e+004,-2.36173458696956e+001,-5.39416053161560e-001

1.35660432744767e+004,-2.36173502781432e+001,-5.46945841529632e-001

1.37554181813974e+004,-2.36173548105118e+001,-5.54580734220929e-001

1.39474366635040e+004,-2.36173594702844e+001,-5.62322198115126e-001

1.41421356237309e+004,-2.36173642610417e+001,-5.70171720553658e-001

1.43395524801583e+004,-2.36173691864651e+001,-5.78130809626982e-001

1.45397251732031e+004,-2.36173742503394e+001,-5.86200994462734e-001

1.47426921729110e+004,-2.36173794565559e+001,-5.94383825518091e-001

1.49484924863494e+004,-2.36173848091148e+001,-6.02680874879542e-001

1.51571656651040e+004,-2.36173903121293e+001,-6.11093736559748e-001

1.53687518128801e+004,-2.36173959698276e+001,-6.19624026807049e-001

1.55832915932100e+004,-2.36174017865569e+001,-6.28273384413242e-001

1.58008262372675e+004,-2.36174077667867e+001,-6.37043471027547e-001

1.60213975517924e+004,-2.36174139151118e+001,-6.45935971474569e-001

1.62450479271247e+004,-2.36174202362562e+001,-6.54952594077597e-001

1.64718203453514e+004,-2.36174267350767e+001,-6.64095070986411e-001

1.67017583885674e+004,-2.36174334165663e+001,-6.73365158507311e-001

1.69349062472505e+004,-2.36174402858586e+001,-6.82764637440039e-001

1.71713087287550e+004,-2.36174473482308e+001,-6.92295313420246e-001

1.74110112659224e+004,-2.36174546091092e+001,-7.01959017261572e-001

1.76540599258131e+004,-2.36174620740716e+001,-7.11757605310689e-001

1.79005014185594e+004,-2.36174697488532e+001,-7.21692959798200e-001

1.81503831063432e+004,-2.36174776393499e+001,-7.31766989201436e-001

1.84037530124975e+004,-2.36174857516233e+001,-7.41981628608800e-001

1.86606598307361e+004,-2.36174940919052e+001,-7.52338840091269e-001

1.89211529345119e+004,-2.36175026666025e+001,-7.62840613074383e-001

1.91852823865052e+004,-2.36175114823020e+001,-7.73488964722285e-001

1.94530989482457e+004,-2.36175205457755e+001,-7.84285940321868e-001

1.97246540898671e+004,-2.36175298639848e+001,-7.95233613673973e-001

1.99999999999999e+004,-2.36175394440875e+001,-8.06334087490094e-001

2.02791895958005e+004,-2.36175492934420e+001,-8.17589493793621e-001

2.05622765331213e+004,-2.36175594196132e+001,-8.29001994328360e-001

2.08493152168224e+004,-2.36175698303788e+001,-8.40573780970869e-001

2.11403608112276e+004,-2.36175805337344e+001,-8.52307076149934e-001

2.14354692507258e+004,-2.36175915379005e+001,-8.64204133270193e-001

2.17346972505211e+004,-2.36176028513283e+001,-8.76267237142551e-001

2.20381023175322e+004,-2.36176144827059e+001,-8.88498704422772e-001

2.23457427614443e+004,-2.36176264409660e+001,-9.00900884049625e-001

2.26576777059159e+004,-2.36176387352913e+001,-9.13476157697480e-001

2.29739670999406e+004,-2.36176513751229e+001,-9.26226940228445e-001

2.32946717293690e+004,-2.36176643701665e+001,-9.39155680153250e-001

2.36198532285905e+004,-2.36176777304005e+001,-9.52264860099881e-001

2.39495740923785e+004,-2.36176914660831e+001,-9.65556997285573e-001

2.42838976879009e+004,-2.36177055877607e+001,-9.79034643997683e-001

2.46228882668982e+004,-2.36177201062755e+001,-9.92700388079750e-001

2.49666109780322e+004,-2.36177350327741e+001,-1.00655685342548e+000

2.53151318794055e+004,-2.36177503787156e+001,-1.02060670047873e+000

2.56685179512580e+004,-2.36177661558812e+001,-1.03485262673913e+000

2.60268371088386e+004,-2.36177823763821e+001,-1.04929736727830e+000

2.63901582154578e+004,-2.36177990526696e+001,-1.06394369525840e+000

2.67585510957221e+004,-2.36178161975444e+001,-1.07879442246110e+000

2.71320865489533e+004,-2.36178338241661e+001,-1.09385239982309e+000

2.75108363627948e+004,-2.36178519460636e+001,-1.10912051797874e+000

2.78948733270080e+004,-2.36178705771453e+001,-1.12460170780810e+000

2.82842712474618e+004,-2.36178897317098e+001,-1.14029894099704e+000

2.86791049603164e+004,-2.36179094244566e+001,-1.15621523060013e+000

2.90794503464061e+004,-2.36179296704975e+001,-1.17235363161445e+000

2.94853843458219e+004,-2.36179504853680e+001,-1.18871724155988e+000

2.98969849726987e+004,-2.36179718850397e+001,-1.20530920106668e+000

3.03143313302078e+004,-2.36179938859313e+001,-1.22213269447376e+000

3.07375036257601e+004,-2.36180165049225e+001,-1.23919095043064e+000

3.11665831864199e+004,-2.36180397593659e+001,-1.25648724251227e+000

3.16016524745350e+004,-2.36180636671008e+001,-1.27402488983805e+000

3.20427951035848e+004,-2.36180882464662e+001,-1.29180725770347e+000

3.24900958542493e+004,-2.36181135163154e+001,-1.30983775821623e+000

3.29436406907028e+004,-2.36181394960301e+001,-1.32811985094328e+000

3.34035167771346e+004,-2.36181662055351e+001,-1.34665704356584e+000

3.38698124945009e+004,-2.36181936653134e+001,-1.36545289254459e+000

3.43426174575100e+004,-2.36182218964222e+001,-1.38451100379100e+000

3.48220225318448e+004,-2.36182509205084e+001,-1.40383503335102e+000

3.53081198516260e+004,-2.36182807598254e+001,-1.42342868809513e+000

3.58010028371187e+004,-2.36183114372501e+001,-1.44329572641971e+000

3.63007662126863e+004,-2.36183429762998e+001,-1.46343995895664e+000

3.68075060249948e+004,-2.36183754011508e+001,-1.48386524929298e+000

3.73213196614721e+004,-2.36184087366561e+001,-1.50457551470013e+000

3.78423058690237e+004,-2.36184430083646e+001,-1.52557472687226e+000

3.83705647730104e+004,-2.36184782425407e+001,-1.54686691267601e+000

3.89061978964912e+004,-2.36185144661838e+001,-1.56845615490846e+000

3.94493081797342e+004,-2.36185517070489e+001,-1.59034659306573e+000

3.99999999999998e+004,-2.36185899936682e+001,-1.61254242412352e+000

4.05583791916010e+004,-2.36186293553716e+001,-1.63504790332509e+000

4.11245530662425e+004,-2.36186698223104e+001,-1.65786734498152e+000

4.16986304336447e+004,-2.36187114254787e+001,-1.68100512328352e+000

4.22807216224550e+004,-2.36187541967380e+001,-1.70446567312072e+000

4.28709385014515e+004,-2.36187981688406e+001,-1.72825349091512e+000

4.34693945010421e+004,-2.36188433754548e+001,-1.75237313546408e+000

4.40762046350642e+004,-2.36188898511901e+001,-1.77682922879438e+000

4.46914855228886e+004,-2.36189376316237e+001,-1.80162645702701e+000

4.53153554118317e+004,-2.36189867533270e+001,-1.82676957125546e+000

4.59479341998812e+004,-2.36190372538935e+001,-1.85226338843269e+000

4.65893434587380e+004,-2.36190891719669e+001,-1.87811279227228e+000

4.72397064571810e+004,-2.36191425472708e+001,-1.90432273415860e+000

4.78991481847569e+004,-2.36191974206381e+001,-1.93089823407205e+000

4.85677953758016e+004,-2.36192538340420e+001,-1.95784438152300e+000

4.92457765337964e+004,-2.36193118306277e+001,-1.98516633650132e+000

4.99332219560642e+004,-2.36193714547448e+001,-2.01286933043529e+000

5.06302637588109e+004,-2.36194327519807e+001,-2.04095866716359e+000

5.13370359025159e+004,-2.36194957691948e+001,-2.06943972392199e+000

5.20536742176771e+004,-2.36195605545541e+001,-2.09831795233918e+000

5.27803164309155e+004,-2.36196271575686e+001,-2.12759887944848e+000

5.35171021914442e+004,-2.36196956291296e+001,-2.15728810871041e+000

5.42641730979066e+004,-2.36197660215467e+001,-2.18739132105006e+000

5.50216727255895e+004,-2.36198383885879e+001,-2.21791427590653e+000

5.57897466540159e+004,-2.36199127855193e+001,-2.24886281229541e+000

5.65685424949235e+004,-2.36199892691471e+001,-2.28024284988551e+000

5.73582099206328e+004,-2.36200678978595e+001,-2.31206039008976e+000

