Freq.,VOut,OutRef

1.00000000000000e+004,-3.07058491597594e+001,-6.18547589957701e-002

1.01395947979003e+004,-3.07058497813908e+001,-6.27181461029698e-002

1.02811382665607e+004,-3.07058504204864e+001,-6.35935825414729e-002

1.04246576084112e+004,-3.07058510775369e+001,-6.44812363792823e-002

1.05701804056138e+004,-3.07058517530460e+001,-6.53812780294415e-002

1.07177346253629e+004,-3.07058524475320e+001,-6.62938802756544e-002

1.08673486252606e+004,-3.07058531615274e+001,-6.72192183095118e-002

1.10190511587661e+004,-3.07058538955804e+001,-6.81574697567146e-002

1.11728713807222e+004,-3.07058546502532e+001,-6.91088147242117e-002

1.13288388529580e+004,-3.07058554261250e+001,-7.00734358193905e-002

1.14869835499703e+004,-3.07058562237907e+001,-7.10515181937215e-002

1.16473358646846e+004,-3.07058570438621e+001,-7.20432495759988e-002

1.18099266142953e+004,-3.07058578869676e+001,-7.30488203092111e-002

1.19747870461893e+004,-3.07058587537541e+001,-7.40684233811688e-002

1.21419488439505e+004,-3.07058596448855e+001,-7.51022544719741e-002

1.23114441334492e+004,-3.07058605610453e+001,-7.61505119776211e-002

1.24833054890161e+004,-3.07058615029358e+001,-7.72133970570255e-002

1.26575659397028e+004,-3.07058624712786e+001,-7.82911136695521e-002

1.28342589756290e+004,-3.07058634668157e+001,-7.93838686106617e-002

1.30134185544193e+004,-3.07058644903104e+001,-8.04918715491088e-002

1.31950791077289e+004,-3.07058655425464e+001,-8.16153350755819e-002

1.33792755478611e+004,-3.07058666243306e+001,-8.27544747295177e-002

1.35660432744767e+004,-3.07058677364911e+001,-8.39095090549405e-002

1.37554181813974e+004,-3.07058688798798e+001,-8.50806596308803e-002

1.39474366635040e+004,-3.07058700553730e+001,-8.62681511135147e-002

1.41421356237309e+004,-3.07058712638704e+001,-8.74722112886701e-002

1.43395524801583e+004,-3.07058725062977e+001,-8.86930711031222e-002

1.45397251732031e+004,-3.07058737836060e+001,-8.99309647146736e-002

1.47426921729110e+004,-3.07058750967736e+001,-9.11861295326915e-002

1.49484924863494e+004,-3.07058764468050e+001,-9.24588062703918e-002

1.51571656651040e+004,-3.07058778347342e+001,-9.37492389772487e-002

1.53687518128801e+004,-3.07058792616232e+001,-9.50576750980996e-002

1.55832915932100e+004,-3.07058807285640e+001,-9.63843655106518e-002

1.58008262372675e+004,-3.07058822366785e+001,-9.77295645806367e-002

1.60213975517924e+004,-3.07058837871209e+001,-9.90935302001314e-002

1.62450479271247e+004,-3.07058853810769e+001,-1.00476523845117e-001

1.64718203453514e+004,-3.07058870197658e+001,-1.01878810616431e-001

1.67017583885674e+004,-3.07058887044404e+001,-1.03300659298368e-001

