Freq.,VOut,OutRef

1.00000000000000e+004,-3.80977060398622e+001,-1.66414913293024e-001

1.01395947979003e+004,-3.80977075267263e+001,-1.68737831750354e-001

1.02811382665607e+004,-3.80977090553678e+001,-1.71093170694843e-001

1.04246576084112e+004,-3.80977106269599e+001,-1.73481382434471e-001

1.05701804056138e+004,-3.80977122427084e+001,-1.75902925580949e-001

1.07177346253629e+004,-3.80977139038537e+001,-1.78358265133659e-001

1.08673486252606e+004,-3.80977156116700e+001,-1.80847872573605e-001

1.10190511587661e+004,-3.80977173674680e+001,-1.83372225949474e-001

1.11728713807222e+004,-3.80977191725947e+001,-1.85931809970918e-001

1.13288388529580e+004,-3.80977210284349e+001,-1.88527116098417e-001

1.14869835499703e+004,-3.80977229364125e+001,-1.91158642640651e-001

1.16473358646846e+004,-3.80977248979911e+001,-1.93826894845652e-001

1.18099266142953e+004,-3.80977269146756e+001,-1.96532384998685e-001

1.19747870461893e+004,-3.80977289880125e+001,-1.99275632521624e-001

1.21419488439505e+004,-3.80977311195921e+001,-2.02057164069801e-001

1.23114441334492e+004,-3.80977333110492e+001,-2.04877513631157e-001

1.24833054890161e+004,-3.80977355640644e+001,-2.07737222630252e-001

1.26575659397028e+004,-3.80977378803653e+001,-2.10636840031105e-001

1.28342589756290e+004,-3.80977402617279e+001,-2.13576922440313e-001

1.30134185544193e+004,-3.80977427099784e+001,-2.16558034211289e-001

1.31950791077289e+004,-3.80977452269932e+001,-2.19580747558901e-001

1.33792755478611e+004,-3.80977478147023e+001,-2.22645642657302e-001

1.35660432744767e+004,-3.80977504750890e+001,-2.25753307759947e-001

1.37554181813974e+004,-3.80977532101925e+001,-2.28904339305260e-001

1.39474366635040e+004,-3.80977560221089e+001,-2.32099342033157e-001

1.41421356237309e+004,-3.80977589129932e+001,-2.35338929096949e-001

1.43395524801583e+004,-3.80977618850605e+001,-2.38623722183599e-001

1.45397251732031e+004,-3.80977649405880e+001,-2.41954351626966e-001

1.47426921729110e+004,-3.80977680819167e+001,-2.45331456530846e-001

1.49484924863494e+004,-3.80977713114531e+001,-2.48755684888435e-001

1.51571656651040e+004,-3.80977746316706e+001,-2.52227693706591e-001

1.53687518128801e+004,-3.80977780451125e+001,-2.55748149127904e-001

1.55832915932100e+004,-3.80977815543927e+001,-2.59317726559007e-001

1.58008262372675e+004,-3.80977851621984e+001,-2.62937110797161e-001

1.60213975517924e+004,-3.80977888712920e+001,-2.66606996159629e-001

1.62450479271247e+004,-3.80977926845130e+001,-2.70328086615473e-001

1.64718203453514e+004,-3.80977966047802e+001,-2.74101095920086e-001

1.67017583885674e+004,-3.80978006350943e+001,-2.77926747745982e-001

1.69349062472505e+004,-3.80978047785394e+001,-2.81805775824108e-001

1.71713087287550e+004,-3.80978090382860e+001,-2.85738924077911e-001

1.74110112659224e+004,-3.80978134175935e+001,-2.89726946766568e-001

1.76540599258131e+004,-3.80978179198116e+001,-2.93770608626996e-001

1.79005014185594e+004,-3.80978225483841e+001,-2.97870685016025e-001

1.81503831063432e+004,-3.80978273068508e+001,-3.02027962058257e-001

1.84037530124975e+004,-3.80978321988502e+001,-3.06243236793294e-001

1.86606598307361e+004,-3.80978372281225e+001,-3.10517317324719e-001

1.89211529345119e+004,-3.80978423985122e+001,-3.14851022974096e-001

1.91852823865052e+004,-3.80978477139709e+001,-3.19245184432865e-001

1.94530989482457e+004,-3.80978531785605e+001,-3.23700643919324e-001

1.97246540898671e+004,-3.80978587964563e+001,-3.28218255336344e-001

1.99999999999999e+004,-3.80978645719497e+001,-3.32798884430606e-001

2.02791895958005e+004,-3.80978705094520e+001,-3.37443408957083e-001

2.05622765331213e+004,-3.80978766134974e+001,-3.42152718839487e-001

2.08493152168224e+004,-3.80978828887460e+001,-3.46927716341230e-001

2.11403608112276e+004,-3.80978893399881e+001,-3.51769316230904e-001

2.14354692507258e+004,-3.80978959721472e+001,-3.56678445953950e-001

2.17346972505211e+004,-3.80979027902839e+001,-3.61656045805929e-001

2.20381023175322e+004,-3.80979097995994e+001,-3.66703069108735e-001

2.23457427614443e+004,-3.80979170054399e+001,-3.71820482385534e-001

2.26576777059159e+004,-3.80979244133002e+001,-3.77009265542805e-001

2.29739670999406e+004,-3.80979320288276e+001,-3.82270412053317e-001

2.32946717293690e+004,-3.80979398578266e+001,-3.87604929137968e-001

2.36198532285905e+004,-3.80979479062629e+001,-3.93013837955223e-001

2.39495740923785e+004,-3.80979561802678e+001,-3.98498173789417e-001

2.42838976879009e+004,-3.80979646861430e+001,-4.04058986241489e-001

2.46228882668982e+004,-3.80979734303650e+001,-4.09697339425733e-001

2.49666109780322e+004,-3.80979824195898e+001,-4.15414312165060e-001

2.53151318794055e+004,-3.80979916606584e+001,-4.21210998189193e-001

2.56685179512580e+004,-3.80980011606010e+001,-4.27088506338695e-001

2.60268371088386e+004,-3.80980109266429e+001,-4.33047960767165e-001

2.63901582154578e+004,-3.80980209662097e+001,-4.39090501149220e-001

2.67585510957221e+004,-3.80980312869319e+001,-4.45217282891519e-001

2.71320865489533e+004,-3.80980418966522e+001,-4.51429477339530e-001

2.75108363627948e+004,-3.80980528034294e+001,-4.57728271999316e-001

2.78948733270080e+004,-3.80980640155455e+001,-4.64114870750185e-001

2.82842712474618e+004,-3.80980755415114e+001,-4.70590494065327e-001

2.86791049603164e+004,-3.80980873900731e+001,-4.77156379237545e-001

2.90794503464061e+004,-3.80980995702181e+001,-4.83813780600396e-001

2.94853843458219e+004,-3.80981120911819e+001,-4.90563969761313e-001

2.98969849726987e+004,-3.80981249624548e+001,-4.97408235828147e-001

3.03143313302078e+004,-3.80981381937886e+001,-5.04347885647964e-001

3.07375036257601e+004,-3.80981517952039e+001,-5.11384244039313e-001

3.11665831864199e+004,-3.80981657769972e+001,-5.18518654034946e-001

3.16016524745350e+004,-3.80981801497485e+001,-5.25752477123077e-001

3.20427951035848e+004,-3.80981949243286e+001,-5.33087093493711e-001

3.24900958542493e+004,-3.80982101119071e+001,-5.40523902286187e-001

3.29436406907028e+004,-3.80982257239607e+001,-5.48064321840677e-001

3.34035167771346e+004,-3.80982417722809e+001,-5.55709789953449e-001

3.38698124945009e+004,-3.80982582689828e+001,-5.63461764132796e-001

3.43426174575100e+004,-3.80982752265134e+001,-5.71321721860999e-001

3.48220225318448e+004,-3.80982926576611e+001,-5.79291160856051e-001

3.53081198516260e+004,-3.80983105755640e+001,-5.87371599338694e-001

3.58010028371187e+004,-3.80983289937197e+001,-5.95564576303410e-001

3.63007662126863e+004,-3.80983479259947e+001,-6.03871651788194e-001

3.68075060249948e+004,-3.80983673866343e+001,-6.12294407152596e-001

3.73213196614721e+004,-3.80983873902723e+001,-6.20834445355294e-001

3.78423058690237e+004,-3.80984079519417e+001,-6.29493391235830e-001

3.83705647730104e+004,-3.80984290870851e+001,-6.38272891800686e-001

3.89061978964912e+004,-3.80984508115649e+001,-6.47174616511634e-001

3.94493081797342e+004,-3.80984731416754e+001,-6.56200257575697e-001

3.99999999999998e+004,-3.80984960941532e+001,-6.65351530240558e-001

4.05583791916010e+004,-3.80985196861892e+001,-6.74630173092287e-001

4.11245530662425e+004,-3.80985439354403e+001,-6.84037948357333e-001

4.16986304336447e+004,-3.80985688600418e+001,-6.93576642204293e-001

4.22807216224550e+004,-3.80985944786194e+001,-7.03248065054391e-001

4.28709385014515e+004,-3.80986208103024e+001,-7.13054051888712e-001

4.34693945010421e+004,-3.80986478747362e+001,-7.22996462565358e-001

4.40762046350642e+004,-3.80986756920962e+001,-7.33077182135001e-001

4.46914855228886e+004,-3.80987042831010e+001,-7.43298121159847e-001

4.53153554118317e+004,-3.80987336690264e+001,-7.53661216039892e-001

4.59479341998812e+004,-3.80987638717199e+001,-7.64168429338626e-001

4.65893434587380e+004,-3.80987949136151e+001,-7.74821750112249e-001

4.72397064571810e+004,-3.80988268177466e+001,-7.85623194243326e-001

4.78991481847569e+004,-3.80988596077653e+001,-7.96574804779191e-001

4.85677953758016e+004,-3.80988933079540e+001,-8.07678652268202e-001

4.92457765337964e+004,-3.80989279432436e+001,-8.18936835105522e-001

