Freq.,VOut,OutRef

1.00000000000000e+004,-1.44790259260500e+001,-2.56783875238176e-002

1.01395947979003e+004,-1.44790273618003e+001,-2.60366627868182e-002

1.02811382665607e+004,-1.44790288378847e+001,-2.63999316769663e-002

1.04246576084112e+004,-1.44790303554359e+001,-2.67682635720961e-002

1.05701804056138e+004,-1.44790319156179e+001,-2.71417288085351e-002

1.07177346253629e+004,-1.44790335196262e+001,-2.75203986954324e-002

1.08673486252606e+004,-1.44790351686925e+001,-2.79043455070984e-002

1.10190511587661e+004,-1.44790368640800e+001,-2.82936425294456e-002

1.11728713807222e+004,-1.44790386070898e+001,-2.86883640388087e-002

1.13288388529580e+004,-1.44790403990573e+001,-2.90885853447234e-002

1.14869835499703e+004,-1.44790422413578e+001,-2.94943827752857e-002

1.16473358646846e+004,-1.44790441354024e+001,-2.99058337225678e-002

1.18099266142953e+004,-1.44790460826432e+001,-3.03230166287916e-002

1.19747870461893e+004,-1.44790480845733e+001,-3.07460110114669e-002

1.21419488439505e+004,-1.44790501427268e+001,-3.11748974806589e-002

1.23114441334492e+004,-1.44790522586806e+001,-3.16097577507513e-002

1.24833054890161e+004,-1.44790544340567e+001,-3.20506746481442e-002

1.26575659397028e+004,-1.44790566705218e+001,-3.24977321369694e-002

1.28342589756290e+004,-1.44790589697897e+001,-3.29510153236216e-002

1.30134185544193e+004,-1.44790613336218e+001,-3.34106104806003e-002

1.31950791077289e+004,-1.44790637638279e+001,-3.38766050640887e-002

1.33792755478611e+004,-1.44790662622704e+001,-3.43490877084836e-002

1.35660432744767e+004,-1.44790688308623e+001,-3.48281482678941e-002

1.37554181813974e+004,-1.44790714715712e+001,-3.53138778108990e-002

1.39474366635040e+004,-1.44790741864179e+001,-3.58063686589204e-002

1.41421356237309e+004,-1.44790769774825e+001,-3.63057143704739e-002

1.43395524801583e+004,-1.44790798469001e+001,-3.68120097956996e-002

1.45397251732031e+004,-1.44790827968683e+001,-3.73253510555289e-002

1.47426921729110e+004,-1.44790858296434e+001,-3.78458355912305e-002

1.49484924863494e+004,-1.44790889475475e+001,-3.83735621479644e-002

1.51571656651040e+004,-1.44790921529656e+001,-3.89086308222512e-002

1.53687518128801e+004,-1.44790954483500e+001,-3.94511430595834e-002

1.55832915932100e+004,-1.44790988362216e+001,-4.00012016767566e-002

1.58008262372675e+004,-1.44791023191716e+001,-4.05589108819405e-002

1.60213975517924e+004,-1.44791058998636e+001,-4.11243762875074e-002

1.62450479271247e+004,-1.44791095810346e+001,-4.16977049365783e-002

1.64718203453514e+004,-1.44791133655000e+001,-4.22790053011072e-002

1.67017583885674e+004,-1.44791172561515e+001,-4.28683873288032e-002

1.69349062472505e+004,-1.44791212559627e+001,-4.34659624349468e-002

1.71713087287550e+004,-1.44791253679904e+001,-4.40718435310619e-002

1.74110112659224e+004,-1.44791295953755e+001,-4.46861450498322e-002

1.76540599258131e+004,-1.44791339413473e+001,-4.53089829514102e-002

1.79005014185594e+004,-1.44791384092245e+001,-4.59404747526421e-002

1.81503831063432e+004,-1.44791430024199e+001,-4.65807395276771e-002

1.84037530124975e+004,-1.44791477244386e+001,-4.72298979621574e-002

1.86606598307361e+004,-1.44791525788855e+001,-4.78880723325944e-002

1.89211529345119e+004,-1.44791575694646e+001,-4.85553865535649e-002

1.91852823865052e+004,-1.44791626999839e+001,-4.92319661812075e-002

1.94530989482457e+004,-1.44791679743572e+001,-4.99179384385271e-002

1.97246540898671e+004,-1.44791733966065e+001,-5.06134322391906e-002

1.99999999999999e+004,-1.44791789708658e+001,-5.13185782037373e-002

2.02791895958005e+004,-1.44791847013845e+001,-5.20335086747504e-002

2.05622765331213e+004,-1.44791905925299e+001,-5.27583577427045e-002

2.08493152168224e+004,-1.44791966487899e+001,-5.34932612685184e-002

2.11403608112276e+004,-1.44792028747791e+001,-5.42383568872085e-002

2.14354692507258e+004,-1.44792092752367e+001,-5.49937840625162e-002

2.17346972505211e+004,-1.44792158550370e+001,-5.57596840621917e-002

2.20381023175322e+004,-1.44792226191875e+001,-5.65362000167862e-002

2.23457427614443e+004,-1.44792295728349e+001,-5.73234769196477e-002

2.26576777059159e+004,-1.44792367212684e+001,-5.81216616579706e-002

2.29739670999406e+004,-1.44792440699244e+001,-5.89309030222461e-002

2.32946717293690e+004,-1.44792516243889e+001,-5.97513517388461e-002

2.36198532285905e+004,-1.44792593904035e+001,-6.05831604825548e-002

2.39495740923785e+004,-1.44792673738683e+001,-6.14264838999064e-002

2.42838976879009e+004,-1.44792755808462e+001,-6.22814786337460e-002

2.46228882668982e+004,-1.44792840175680e+001,-6.31483033387260e-002

2.49666109780322e+004,-1.44792926904367e+001,-6.40271187052893e-002

2.53151318794055e+004,-1.44793016060319e+001,-6.49180874800188e-002

2.56685179512580e+004,-1.44793107711153e+001,-6.58213744832570e-002

2.60268371088386e+004,-1.44793201926352e+001,-6.67371466325071e-002

2.63901582154578e+004,-1.44793298777308e+001,-6.76655729675052e-002

2.67585510957221e+004,-1.44793398337383e+001,-6.86068246655266e-002

2.71320865489533e+004,-1.44793500681961e+001,-6.95610750619558e-002

2.75108363627948e+004,-1.44793605888504e+001,-7.05284996711508e-002

2.78948733270080e+004,-1.44793714036602e+001,-7.15092762092501e-002

2.82842712474618e+004,-1.44793825208031e+001,-7.25035846154778e-002

2.86791049603164e+004,-1.44793939486812e+001,-7.35116070687978e-002

2.90794503464061e+004,-1.44794056959287e+001,-7.45335280032972e-002

2.94853843458219e+004,-1.44794177714152e+001,-7.55695341406132e-002

2.98969849726987e+004,-1.44794301842538e+001,-7.66198145025134e-002

3.03143313302078e+004,-1.44794429438082e+001,-7.76845604243738e-002

3.07375036257601e+004,-1.44794560596973e+001,-7.87639655857986e-002

3.11665831864199e+004,-1.44794695418046e+001,-7.98582260185782e-002

3.16016524745350e+004,-1.44794834002816e+001,-8.09675401416822e-002

3.20427951035848e+004,-1.44794976455595e+001,-8.20921087536152e-002

3.24900958542493e+004,-1.44795122883530e+001,-8.32321350727864e-002

3.29436406907028e+004,-1.44795273396692e+001,-8.43878247471937e-002

3.34035167771346e+004,-1.44795428108149e+001,-8.55593858704972e-002

3.38698124945009e+004,-1.44795587134052e+001,-8.67470289980147e-002

3.43426174575100e+004,-1.44795750593706e+001,-8.79509671663428e-002

3.48220225318448e+004,-1.44795918609661e+001,-8.91714159061610e-002

3.53081198516260e+004,-1.44796091307794e+001,-9.04085932555779e-002

3.58010028371187e+004,-1.44796268817395e+001,-9.16627197799146e-002

3.63007662126863e+004,-1.44796451271255e+001,-9.29340185816327e-002

3.68075060249948e+004,-1.44796638805755e+001,-9.42227153161150e-002

3.73213196614721e+004,-1.44796831560979e+001,-9.55290381939669e-002

3.78423058690237e+004,-1.44797029680775e+001,-9.68532180104818e-002

3.83705647730104e+004,-1.44797233312875e+001,-9.81954881443005e-002

3.89061978964912e+004,-1.44797442609000e+001,-9.95560845660459e-002

3.94493081797342e+004,-1.44797657724939e+001,-1.00935245856932e-001

3.99999999999998e+004,-1.44797878820675e+001,-1.02333213207547e-001

4.05583791916010e+004,-1.44798106060487e+001,-1.03750230428001e-001

4.11245530662425e+004,-1.44798339613053e+001,-1.05186543955490e-001

4.16986304336447e+004,-1.44798579651559e+001,-1.06642402860253e-001

4.22807216224550e+004,-1.44798826353826e+001,-1.08118058846456e-001

4.28709385014515e+004,-1.44799079902425e+001,-1.09613766249275e-001

4.34693945010421e+004,-1.44799340484778e+001,-1.11129782050306e-001

4.40762046350642e+004,-1.44799608293304e+001,-1.12666365863960e-001

4.46914855228886e+004,-1.44799883525522e+001,-1.14223779944741e-001

4.53153554118317e+004,-1.44800166384200e+001,-1.15802289173113e-001

4.59479341998812e+004,-1.44800457077466e+001,-1.17402161063046e-001

4.65893434587380e+004,-1.44800755818946e+001,-1.19023665746879e-001

4.72397064571810e+004,-1.44801062827905e+001,-1.20667075970784e-001

