Freq.,VOut,OutRef

1.00000000000000e+004,-1.88929969922591e+001,-2.42500471124227e-001

1.01395947979003e+004,-1.88929980809431e+001,-2.45885574805575e-001

1.02811382665607e+004,-1.88929992002223e+001,-2.49317929515601e-001

1.04246576084112e+004,-1.88930003509562e+001,-2.52798194715585e-001

1.05701804056138e+004,-1.88930015340282e+001,-2.56327039068446e-001

1.07177346253629e+004,-1.88930027503469e+001,-2.59905140562084e-001

1.08673486252606e+004,-1.88930040008460e+001,-2.63533186644779e-001

1.10190511587661e+004,-1.88930052864857e+001,-2.67211874353830e-001

1.11728713807222e+004,-1.88930066082531e+001,-2.70941910449436e-001

1.13288388529580e+004,-1.88930079671628e+001,-2.74724011551499e-001

1.14869835499703e+004,-1.88930093642581e+001,-2.78558904274892e-001

1.16473358646846e+004,-1.88930108006115e+001,-2.82447325371638e-001

1.18099266142953e+004,-1.88930122773254e+001,-2.86390021868593e-001

1.19747870461893e+004,-1.88930137955335e+001,-2.90387751212180e-001

1.21419488439505e+004,-1.88930153564012e+001,-2.94441281413820e-001

1.23114441334492e+004,-1.88930169611262e+001,-2.98551391198793e-001

1.24833054890161e+004,-1.88930186109403e+001,-3.02718870149805e-001

1.26575659397028e+004,-1.88930203071097e+001,-3.06944518863856e-001

1.28342589756290e+004,-1.88930220509359e+001,-3.11229149102777e-001

1.30134185544193e+004,-1.88930238437572e+001,-3.15573583949280e-001

1.31950791077289e+004,-1.88930256869493e+001,-3.19978657965081e-001

1.33792755478611e+004,-1.88930275819262e+001,-3.24445217349815e-001

1.35660432744767e+004,-1.88930295301422e+001,-3.28974120101903e-001

1.37554181813974e+004,-1.88930315330918e+001,-3.33566236186405e-001

1.39474366635040e+004,-1.88930335923116e+001,-3.38222447697027e-001

1.41421356237309e+004,-1.88930357093813e+001,-3.42943649028977e-001

1.43395524801583e+004,-1.88930378859250e+001,-3.47730747045896e-001

1.45397251732031e+004,-1.88930401236119e+001,-3.52584661258506e-001

1.47426921729110e+004,-1.88930424241584e+001,-3.57506323995050e-001

1.49484924863494e+004,-1.88930447893289e+001,-3.62496680583211e-001

1.51571656651040e+004,-1.88930472209371e+001,-3.67556689529047e-001

1.53687518128801e+004,-1.88930497208477e+001,-3.72687322701364e-001

1.55832915932100e+004,-1.88930522909776e+001,-3.77889565517375e-001

1.58008262372675e+004,-1.88930549332971e+001,-3.83164417130839e-001

1.60213975517924e+004,-1.88930576498322e+001,-3.88512890620803e-001

1.62450479271247e+004,-1.88930604426653e+001,-3.93936013190332e-001

1.64718203453514e+004,-1.88930633139371e+001,-3.99434826357272e-001

1.67017583885674e+004,-1.88930662658486e+001,-4.05010386156086e-001

1.69349062472505e+004,-1.88930693006620e+001,-4.10663763339307e-001

1.71713087287550e+004,-1.88930724207030e+001,-4.16396043581662e-001

1.74110112659224e+004,-1.88930756283624e+001,-4.22208327687112e-001

1.76540599258131e+004,-1.88930789260980e+001,-4.28101731798638e-001

1.79005014185594e+004,-1.88930823164363e+001,-4.34077387612337e-001

