Freq.,VOut,OutRef

1.00000000000000e+004,-1.91536815213682e+001,-6.04452174106091e-002

1.01395947979003e+004,-1.91536820803623e+001,-6.12889341106067e-002

1.02811382665607e+004,-1.91536826550611e+001,-6.21444258076305e-002

1.04246576084112e+004,-1.91536832459048e+001,-6.30118567571657e-002

1.05701804056138e+004,-1.91536838533472e+001,-6.38913934961825e-002

1.07177346253629e+004,-1.91536844778539e+001,-6.47832048857697e-002

1.08673486252606e+004,-1.91536851199042e+001,-6.56874621343799e-002

1.10190511587661e+004,-1.91536857799902e+001,-6.66043388397198e-002

1.11728713807222e+004,-1.91536864586184e+001,-6.75340110127648e-002

1.13288388529580e+004,-1.91536871563089e+001,-6.84766571172921e-002

1.14869835499703e+004,-1.91536878735970e+001,-6.94324581001669e-002

1.16473358646846e+004,-1.91536886110327e+001,-7.04015974277763e-002

1.18099266142953e+004,-1.91536893691811e+001,-7.13842611224737e-002

1.19747870461893e+004,-1.91536901486235e+001,-7.23806377938923e-002

1.21419488439505e+004,-1.91536909499576e+001,-7.33909186760204e-002

1.23114441334492e+004,-1.91536917737974e+001,-7.44152976671577e-002

1.24833054890161e+004,-1.91536926207744e+001,-7.54539713620252e-002

1.26575659397028e+004,-1.91536934915378e+001,-7.65071390900754e-002

1.28342589756290e+004,-1.91536943867547e+001,-7.75750029559113e-002

1.30134185544193e+004,-1.91536953071113e+001,-7.86577678751987e-002

1.31950791077289e+004,-1.91536962533125e+001,-7.97556416139079e-002

1.33792755478611e+004,-1.91536972260832e+001,-8.08688348297301e-002

1.35660432744767e+004,-1.91536982261688e+001,-8.19975611060214e-002

1.37554181813974e+004,-1.91536992543350e+001,-8.31420370016547e-002

1.39474366635040e+004,-1.91537003113693e+001,-8.43024820832218e-002

1.41421356237309e+004,-1.91537013980814e+001,-8.54791189700715e-002

1.43395524801583e+004,-1.91537025153033e+001,-8.66721733782540e-002

1.45397251732031e+004,-1.91537036638900e+001,-8.78818741623101e-002

1.47426921729110e+004,-1.91537048447214e+001,-8.91084533526240e-002

1.49484924863494e+004,-1.91537060587009e+001,-9.03521462096229e-002

1.51571656651040e+004,-1.91537073067575e+001,-9.16131912620900e-002

1.53687518128801e+004,-1.91537085898468e+001,-9.28918303469169e-002

1.55832915932100e+004,-1.91537099089501e+001,-9.41883086690838e-002

1.58008262372675e+004,-1.91537112650765e+001,-9.55028748355697e-002

1.60213975517924e+004,-1.91537126592638e+001,-9.68357809027098e-002

1.62450479271247e+004,-1.91537140925780e+001,-9.81872824320651e-002

1.64718203453514e+004,-1.91537155661152e+001,-9.95576385315912e-002

1.67017583885674e+004,-1.91537170810021e+001,-1.00947111905554e-001

1.69349062472505e+004,-1.91537186383970e+001,-1.02355968904180e-001

1.71713087287550e+004,-1.91537202394898e+001,-1.03784479577413e-001

1.74110112659224e+004,-1.91537218855047e+001,-1.05232917716217e-001

1.76540599258131e+004,-1.91537235776993e+001,-1.06701560914283e-001

1.79005014185594e+004,-1.91537253173662e+001,-1.08190690614795e-001

1.81503831063432e+004,-1.91537271058343e+001,-1.09700592163969e-001

1.84037530124975e+004,-1.91537289444698e+001,-1.11231554862511e-001

1.86606598307361e+004,-1.91537308346762e+001,-1.12783872025120e-001

1.89211529345119e+004,-1.91537327778968e+001,-1.14357841028599e-001

1.91852823865052e+004,-1.91537347756147e+001,-1.15953763372328e-001

1.94530989482457e+004,-1.91537368293544e+001,-1.17571944732737e-001

1.97246540898671e+004,-1.91537389406827e+001,-1.19212695020942e-001

1.99999999999999e+004,-1.91537411112105e+001,-1.20876328435997e-001

2.02791895958005e+004,-1.91537433425928e+001,-1.22563163532268e-001

2.05622765331213e+004,-1.91537456365312e+001,-1.24273523270274e-001

2.08493152168224e+004,-1.91537479947740e+001,-1.26007735082865e-001

2.11403608112276e+004,-1.91537504191187e+001,-1.27766130929548e-001

2.14354692507258e+004,-1.91537529114122e+001,-1.29549047364763e-001

2.17346972505211e+004,-1.91537554735531e+001,-1.31356825594631e-001

2.20381023175322e+004,-1.91537581074926e+001,-1.33189811543625e-001

2.23457427614443e+004,-1.91537608152357e+001,-1.35048355918222e-001

2.26576777059159e+004,-1.91537635988437e+001,-1.36932814267527e-001

2.29739670999406e+004,-1.91537664604342e+001,-1.38843547056784e-001

2.32946717293690e+004,-1.91537694021842e+001,-1.40780919724506e-001

2.36198532285905e+004,-1.91537724263309e+001,-1.42745302755562e-001

2.39495740923785e+004,-1.91537755351729e+001,-1.44737071750663e-001

2.42838976879009e+004,-1.91537787310732e+001,-1.46756607488424e-001

2.46228882668982e+004,-1.91537820164596e+001,-1.48804296001865e-001

2.49666109780322e+004,-1.91537853938275e+001,-1.50880528644340e-001

2.53151318794055e+004,-1.91537888657409e+001,-1.52985702164409e-001

2.56685179512580e+004,-1.91537924348350e+001,-1.55120218776858e-001

2.60268371088386e+004,-1.91537961038173e+001,-1.57284486236745e-001

2.63901582154578e+004,-1.91537998754706e+001,-1.59478917910086e-001

2.67585510957221e+004,-1.91538037526540e+001,-1.61703932855760e-001

2.71320865489533e+004,-1.91538077383060e+001,-1.63959955892589e-001

2.75108363627948e+004,-1.91538118354452e+001,-1.66247417686969e-001

2.78948733270080e+004,-1.91538160471743e+001,-1.68566754819208e-001

2.82842712474618e+004,-1.91538203766808e+001,-1.70918409872554e-001

2.86791049603164e+004,-1.91538248272403e+001,-1.73302831504584e-001

2.90794503464061e+004,-1.91538294022179e+001,-1.75720474534895e-001

2.94853843458219e+004,-1.91538341050720e+001,-1.78171800020748e-001

2.98969849726987e+004,-1.91538389393550e+001,-1.80657275345555e-001

3.03143313302078e+004,-1.91538439087175e+001,-1.83177374296021e-001

