Freq.,VOut,OutRef

1.00000000000000e+004,-1.30251865758175e+001,-2.72565629661740e-002

1.01395947979003e+004,-1.30251887381487e+001,-2.76366857335218e-002

1.02811382665607e+004,-1.30251909611909e+001,-2.80220993438085e-002

1.04246576084112e+004,-1.30251932466461e+001,-2.84128770002570e-002

1.05701804056138e+004,-1.30251955962635e+001,-2.88090929013845e-002

1.07177346253629e+004,-1.30251980118431e+001,-2.92108222420039e-002

1.08673486252606e+004,-1.30252004952335e+001,-2.96181412464014e-002

1.10190511587661e+004,-1.30252030483350e+001,-3.00311271722549e-002

1.11728713807222e+004,-1.30252056731019e+001,-3.04498583147841e-002

1.13288388529580e+004,-1.30252083715422e+001,-3.08744140360587e-002

1.14869835499703e+004,-1.30252111457211e+001,-3.13048747631138e-002

1.16473358646846e+004,-1.30252139977595e+001,-3.17413220194181e-002

1.18099266142953e+004,-1.30252169298397e+001,-3.21838384156801e-002

1.19747870461893e+004,-1.30252199442042e+001,-3.26325076797188e-002

1.21419488439505e+004,-1.30252230431568e+001,-3.30874146741602e-002

1.23114441334492e+004,-1.30252262290676e+001,-3.35486453886232e-002

1.24833054890161e+004,-1.30252295043716e+001,-3.40162869769675e-002

1.26575659397028e+004,-1.30252328715725e+001,-3.44904277560367e-002

1.28342589756290e+004,-1.30252363332429e+001,-3.49711572320679e-002

1.30134185544193e+004,-1.30252398920269e+001,-3.54585661108808e-002

1.31950791077289e+004,-1.30252435506441e+001,-3.59527462986648e-002

1.33792755478611e+004,-1.30252473118882e+001,-3.64537909390996e-002

1.35660432744767e+004,-1.30252511786319e+001,-3.69617944107975e-002

1.37554181813974e+004,-1.30252551538269e+001,-3.74768523550728e-002

1.39474366635040e+004,-1.30252592405073e+001,-3.79990616832541e-002

1.41421356237309e+004,-1.30252634417924e+001,-3.85285205887943e-002

1.43395524801583e+004,-1.30252677608872e+001,-3.90653285736970e-002

1.45397251732031e+004,-1.30252722010869e+001,-3.96095864505912e-002

1.47426921729110e+004,-1.30252767657777e+001,-4.01613963697701e-002

1.49484924863494e+004,-1.30252814584401e+001,-4.07208618265361e-002

1.51571656651040e+004,-1.30252862826514e+001,-4.12880876803131e-002

1.53687518128801e+004,-1.30252912420893e+001,-4.18631801625797e-002

1.55832915932100e+004,-1.30252963405316e+001,-4.24462469142629e-002

1.58008262372675e+004,-1.30253015818624e+001,-4.30373969761047e-002

1.60213975517924e+004,-1.30253069700740e+001,-4.36367408123954e-002

1.62450479271247e+004,-1.30253125092679e+001,-4.42443903411698e-002

