Freq.,VOut,OutRef

1.00000000000000e+004,-8.44189729389749e+000,-1.69400124496992e-001

1.01395947979003e+004,-8.44189740487672e+000,-1.71764806672657e-001

1.02811382665607e+004,-8.44189751896352e+000,-1.74162496227990e-001

1.04246576084112e+004,-8.44189763624420e+000,-1.76593653831300e-001

1.05701804056138e+004,-8.44189775680789e+000,-1.79058746574715e-001

1.07177346253629e+004,-8.44189788074634e+000,-1.81558248065060e-001

1.08673486252606e+004,-8.44189800815318e+000,-1.84092638519696e-001

1.10190511587661e+004,-8.44189813912531e+000,-1.86662404851365e-001

1.11728713807222e+004,-8.44189827376194e+000,-1.89268040766451e-001

1.13288388529580e+004,-8.44189841216494e+000,-1.91910046858673e-001

1.14869835499703e+004,-8.44189855443923e+000,-1.94588930703067e-001

1.16473358646846e+004,-8.44189870069261e+000,-1.97305206954023e-001

1.18099266142953e+004,-8.44189885103571e+000,-2.00059397445895e-001

1.19747870461893e+004,-8.44189900558218e+000,-2.02852031291005e-001

1.21419488439505e+004,-8.44189916444903e+000,-2.05683644980181e-001

1.23114441334492e+004,-8.44189932775607e+000,-2.08554782489534e-001

1.24833054890161e+004,-8.44189949562688e+000,-2.11465995378402e-001

1.26575659397028e+004,-8.44189966818817e+000,-2.14417842900242e-001

1.28342589756290e+004,-8.44189984557003e+000,-2.17410892108540e-001

1.30134185544193e+004,-8.44190002790619e+000,-2.20445717963946e-001

1.31950791077289e+004,-8.44190021533438e+000,-2.23522903443265e-001

1.33792755478611e+004,-8.44190040799543e+000,-2.26643039656607e-001

1.35660432744767e+004,-8.44190060603472e+000,-2.29806725952850e-001

1.37554181813974e+004,-8.44190080960104e+000,-2.33014570041314e-001

1.39474366635040e+004,-8.44190101884761e+000,-2.36267188102951e-001

1.41421356237309e+004,-8.44190123393166e+000,-2.39565204910859e-001

1.43395524801583e+004,-8.44190145501456e+000,-2.42909253950487e-001

1.45397251732031e+004,-8.44190168226255e+000,-2.46299977536182e-001

1.47426921729110e+004,-8.44190191584585e+000,-2.49738026940947e-001

1.49484924863494e+004,-8.44190215593956e+000,-2.53224062515220e-001

1.51571656651040e+004,-8.44190240272355e+000,-2.56758753815478e-001

1.53687518128801e+004,-8.44190265638237e+000,-2.60342779733370e-001

1.55832915932100e+004,-8.44190291710595e+000,-2.63976828620880e-001

1.58008262372675e+004,-8.44190318508909e+000,-2.67661598427897e-001

1.60213975517924e+004,-8.44190346053155e+000,-2.71397796833429e-001

1.62450479271247e+004,-8.44190374363910e+000,-2.75186141377010e-001

1.64718203453514e+004,-8.44190403462272e+000,-2.79027359600500e-001

1.67017583885674e+004,-8.44190433369909e+000,-2.82922189185585e-001

1.69349062472505e+004,-8.44190464109072e+000,-2.86871378093796e-001

1.71713087287550e+004,-8.44190495702601e+000,-2.90875684710986e-001

1.74110112659224e+004,-8.44190528173966e+000,-2.94935877989771e-001

1.76540599258131e+004,-8.44190561547260e+000,-2.99052737597403e-001

1.79005014185594e+004,-8.44190595847208e+000,-3.03227054065918e-001

1.81503831063432e+004,-8.44190631099207e+000,-3.07459628940404e-001

1.84037530124975e+004,-8.44190667329316e+000,-3.11751274934573e-001

1.86606598307361e+004,-8.44190704564321e+000,-3.16102816081384e-001

1.89211529345119e+004,-8.44190742831677e+000,-3.20515087896390e-001

1.91852823865052e+004,-8.44190782159584e+000,-3.24988937531954e-001

1.94530989482457e+004,-8.44190822577006e+000,-3.29525223939613e-001

1.97246540898671e+004,-8.44190864113638e+000,-3.34124818036116e-001

1.99999999999999e+004,-8.44190906799986e+000,-3.38788602866440e-001

2.02791895958005e+004,-8.44190950667344e+000,-3.43517473773721e-001

2.05622765331213e+004,-8.44190995747833e+000,-3.48312338568340e-001

2.08493152168224e+004,-8.44191042074406e+000,-3.53174117702468e-001

2.11403608112276e+004,-8.44191089680908e+000,-3.58103744442822e-001

2.14354692507258e+004,-8.44191138602024e+000,-3.63102165050555e-001

2.17346972505211e+004,-8.44191188873378e+000,-3.68170338959563e-001

2.20381023175322e+004,-8.44191240531495e+000,-3.73309238960334e-001

2.23457427614443e+004,-8.44191293613859e+000,-3.78519851383007e-001

2.26576777059159e+004,-8.44191348158911e+000,-3.83803176286611e-001

2.29739670999406e+004,-8.44191404206101e+000,-3.89160227646959e-001

2.32946717293690e+004,-8.44191461795883e+000,-3.94592033551210e-001

2.36198532285905e+004,-8.44191520969734e+000,-4.00099636392540e-001

2.39495740923785e+004,-8.44191581770211e+000,-4.05684093066574e-001

2.42838976879009e+004,-8.44191644240954e+000,-4.11346475173024e-001

2.46228882668982e+004,-8.44191708426690e+000,-4.17087869219857e-001

2.49666109780322e+004,-8.44191774373309e+000,-4.22909376826031e-001

