Freq.,VOut,OutRef

1.00000000000000e+004,-7.69372694561547e+000,-4.82266513581951e-002

1.01395947979003e+004,-7.69373027623763e+000,-4.88993068061062e-002

1.02811382665607e+004,-7.69373370037140e+000,-4.95813282662479e-002

1.04246576084112e+004,-7.69373722063883e+000,-5.02728454684992e-002

1.05701804056138e+004,-7.69374083973504e+000,-5.09739899124263e-002

1.07177346253629e+004,-7.69374456043095e+000,-5.16848948846711e-002

1.08673486252606e+004,-7.69374838557351e+000,-5.24056954959286e-002

1.10190511587661e+004,-7.69375231809137e+000,-5.31365286801885e-002

1.11728713807222e+004,-7.69375636099321e+000,-5.38775332439567e-002

1.13288388529580e+004,-7.69376051737270e+000,-5.46288498722430e-002

1.14869835499703e+004,-7.69376479040975e+000,-5.53906211603089e-002

1.16473358646846e+004,-7.69376918337251e+000,-5.61629916403806e-002

1.18099266142953e+004,-7.69377369962143e+000,-5.69461077953591e-002

1.19747870461893e+004,-7.69377834260968e+000,-5.77401180978956e-002

1.21419488439505e+004,-7.69378311588786e+000,-5.85451730214348e-002

1.23114441334492e+004,-7.69378802310502e+000,-5.93614250764550e-002

1.24833054890161e+004,-7.69379306801130e+000,-6.01890288358537e-002

1.26575659397028e+004,-7.69379825446384e+000,-6.10281409421099e-002

1.28342589756290e+004,-7.69380358642391e+000,-6.18789201691924e-002

1.30134185544193e+004,-7.69380906796647e+000,-6.27415274071146e-002

1.31950791077289e+004,-7.69381470327751e+000,-6.36161257246900e-002

1.33792755478611e+004,-7.69382049666179e+000,-6.45028803670917e-002

1.35660432744767e+004,-7.69382645254292e+000,-6.54019588018489e-002

1.37554181813974e+004,-7.69383257546699e+000,-6.63135307460413e-002

1.39474366635040e+004,-7.69383887010838e+000,-6.72377681757169e-002

1.41421356237309e+004,-7.69384534126989e+000,-6.81748453764057e-002

1.43395524801583e+004,-7.69385199388997e+000,-6.91249389476150e-002

1.45397251732031e+004,-7.69385883304213e+000,-7.00882278575351e-002

1.47426921729110e+004,-7.69386586394294e+000,-7.10648934444932e-002

1.49484924863494e+004,-7.69387309195274e+000,-7.20551194653827e-002

1.51571656651040e+004,-7.69388052258138e+000,-7.30590921140222e-002

1.53687518128801e+004,-7.69388816149251e+000,-7.40770000467946e-002

1.55832915932100e+004,-7.69389601450537e+000,-7.51090344290406e-002

1.58008262372675e+004,-7.69390408760266e+000,-7.61553889395376e-002

1.60213975517924e+004,-7.69391238693193e+000,-7.72162598212125e-002

1.62450479271247e+004,-7.69392091881139e+000,-7.82918459005903e-002

1.64718203453514e+004,-7.69392968973559e+000,-7.93823486124144e-002

1.67017583885674e+004,-7.69393870637780e+000,-8.04879720434983e-002

1.69349062472505e+004,-7.69394797559681e+000,-8.16089229519311e-002

1.71713087287550e+004,-7.69395750444201e+000,-8.27454107956507e-002

1.74110112659224e+004,-7.69396730015683e+000,-8.38976477745043e-002

1.76540599258131e+004,-7.69397737018645e+000,-8.50658488450087e-002

1.79005014185594e+004,-7.69398772218150e+000,-8.62502317614994e-002

1.81503831063432e+004,-7.69399836400352e+000,-8.74510171076497e-002

1.84037530124975e+004,-7.69400930373286e+000,-8.86684283135061e-002

1.86606598307361e+004,-7.69402054967150e+000,-8.99026917054335e-002

1.89211529345119e+004,-7.69403211035264e+000,-9.11540365137374e-002

1.91852823865052e+004,-7.69404399454301e+000,-9.24226949283123e-002

