Freq.,VOut,OutRef

1.00000000000000e+004,-3.73454421972696e+001,-2.63730684509252e-001

1.01395947979003e+004,-3.73454447523980e+001,-2.67411876026872e-001

1.02811382665607e+004,-3.73454473792667e+001,-2.71144440150569e-001

1.04246576084112e+004,-3.73454500798872e+001,-2.74929093382348e-001

1.05701804056138e+004,-3.73454528563272e+001,-2.78766562202190e-001

1.07177346253629e+004,-3.73454557107126e+001,-2.82657583200067e-001

1.08673486252606e+004,-3.73454586452280e+001,-2.86602903221972e-001

1.10190511587661e+004,-3.73454616621197e+001,-2.90603279508487e-001

1.11728713807222e+004,-3.73454647636964e+001,-2.94659479839578e-001

1.13288388529580e+004,-3.73454679523317e+001,-2.98772282678244e-001

1.14869835499703e+004,-3.73454712304650e+001,-3.02942477323324e-001

1.16473358646846e+004,-3.73454746006043e+001,-3.07170864052475e-001

1.18099266142953e+004,-3.73454780653272e+001,-3.11458254282184e-001

1.19747870461893e+004,-3.73454816272837e+001,-3.15805470712965e-001

1.21419488439505e+004,-3.73454852891974e+001,-3.20213347491606e-001

1.23114441334492e+004,-3.73454890538682e+001,-3.24682730366492e-001

1.24833054890161e+004,-3.73454929241738e+001,-3.29214476848386e-001

1.26575659397028e+004,-3.73454969030726e+001,-3.33809456372404e-001

1.28342589756290e+004,-3.73455009936050e+001,-3.38468550464614e-001

1.30134185544193e+004,-3.73455051988969e+001,-3.43192652903377e-001

1.31950791077289e+004,-3.73455095221605e+001,-3.47982669896342e-001

1.33792755478611e+004,-3.73455139666981e+001,-3.52839520244738e-001

1.35660432744767e+004,-3.73455185359039e+001,-3.57764135520024e-001

1.37554181813974e+004,-3.73455232332664e+001,-3.62757460240211e-001

1.39474366635040e+004,-3.73455280623716e+001,-3.67820452047203e-001

1.41421356237309e+004,-3.73455330269053e+001,-3.72954081885886e-001

1.43395524801583e+004,-3.73455381306557e+001,-3.78159334190750e-001

1.45397251732031e+004,-3.73455433775165e+001,-3.83437207069047e-001

1.47426921729110e+004,-3.73455487714898e+001,-3.88788712488814e-001

1.49484924863494e+004,-3.73455543166888e+001,-3.94214876470035e-001

1.51571656651040e+004,-3.73455600173414e+001,-3.99716739276832e-001

1.53687518128801e+004,-3.73455658777926e+001,-4.05295355614736e-001

1.55832915932100e+004,-3.73455719025085e+001,-4.10951794826386e-001

1.58008262372675e+004,-3.73455780960791e+001,-4.16687141094103e-001

1.60213975517924e+004,-3.73455844632216e+001,-4.22502493643627e-001

1.62450479271247e+004,-3.73455910087847e+001,-4.28398966947899e-001

1.64718203453514e+004,-3.73455977377510e+001,-4.34377690939746e-001

1.67017583885674e+004,-3.73456046552416e+001,-4.40439811220160e-001

1.69349062472505e+004,-3.73456117665199e+001,-4.46586489272260e-001

1.71713087287550e+004,-3.73456190769946e+001,-4.52818902683155e-001

1.74110112659224e+004,-3.73456265922245e+001,-4.59138245357959e-001

1.76540599258131e+004,-3.73456343179225e+001,-4.65545727747663e-001

1.79005014185594e+004,-3.73456422599594e+001,-4.72042577072097e-001

1.81503831063432e+004,-3.73456504243685e+001,-4.78630037549853e-001

1.84037530124975e+004,-3.73456588173499e+001,-4.85309370630079e-001

1.86606598307361e+004,-3.73456674452752e+001,-4.92081855225709e-001

1.89211529345119e+004,-3.73456763146921e+001,-4.98948787953777e-001

1.91852823865052e+004,-3.73456854323290e+001,-5.05911483373742e-001

1.94530989482457e+004,-3.73456948050999e+001,-5.12971274234942e-001

1.97246540898671e+004,-3.73457044401098e+001,-5.20129511718824e-001

1.99999999999999e+004,-3.73457143446596e+001,-5.27387565694132e-001

2.02791895958005e+004,-3.73457245262512e+001,-5.34746824966633e-001

2.05622765331213e+004,-3.73457349925933e+001,-5.42208697538165e-001

2.08493152168224e+004,-3.73457457516066e+001,-5.49774610866225e-001

2.11403608112276e+004,-3.73457568114301e+001,-5.57446012125907e-001

2.14354692507258e+004,-3.73457681804260e+001,-5.65224368479028e-001

2.17346972505211e+004,-3.73457798671868e+001,-5.73111167342368e-001

2.20381023175322e+004,-3.73457918805406e+001,-5.81107916660652e-001

2.23457427614443e+004,-3.73458042295580e+001,-5.89216145184915e-001

2.26576777059159e+004,-3.73458169235581e+001,-5.97437402753180e-001

2.29739670999406e+004,-3.73458299721154e+001,-6.05773260572447e-001

2.32946717293690e+004,-3.73458433850668e+001,-6.14225311506457e-001

2.36198532285905e+004,-3.73458571725181e+001,-6.22795170369125e-001

2.39495740923785e+004,-3.73458713448516e+001,-6.31484474215430e-001

2.42838976879009e+004,-3.73458859127329e+001,-6.40294882643534e-001

2.46228882668982e+004,-3.73459008871194e+001,-6.49228078091999e-001

2.49666109780322e+004,-3.73459162792666e+001,-6.58285766150338e-001

2.53151318794055e+004,-3.73459321007373e+001,-6.67469675865158e-001

2.56685179512580e+004,-3.73459483634090e+001,-6.76781560054155e-001

2.60268371088386e+004,-3.73459650794820e+001,-6.86223195623299e-001

2.63901582154578e+004,-3.73459822614885e+001,-6.95796383887115e-001

2.67585510957221e+004,-3.73459999223010e+001,-7.05502950893032e-001

2.71320865489533e+004,-3.73460180751409e+001,-7.15344747751938e-001

2.75108363627948e+004,-3.73460367335881e+001,-7.25323650966796e-001

2.78948733270080e+004,-3.73460559115900e+001,-7.35441562772800e-001

2.82842712474618e+004,-3.73460756234713e+001,-7.45700411475221e-001

2.86791049603164e+004,-3.73460958839432e+001,-7.56102151796455e-001

2.90794503464061e+004,-3.73461167081144e+001,-7.66648765219905e-001

2.94853843458219e+004,-3.73461381115004e+001,-7.77342260347637e-001

2.98969849726987e+004,-3.73461601100343e+001,-7.88184673253614e-001

3.03143313302078e+004,-3.73461827200776e+001,-7.99178067846053e-001

3.07375036257601e+004,-3.73462059584312e+001,-8.10324536230759e-001

3.11665831864199e+004,-3.73462298423464e+001,-8.21626199081588e-001

3.16016524745350e+004,-3.73462543895365e+001,-8.33085206013366e-001

3.20427951035848e+004,-3.73462796181884e+001,-8.44703735959617e-001

3.24900958542493e+004,-3.73463055469748e+001,-8.56483997552561e-001

3.29436406907028e+004,-3.73463321950662e+001,-8.68428229512034e-001

3.34035167771346e+004,-3.73463595821436e+001,-8.80538701033556e-001

3.38698124945009e+004,-3.73463877284110e+001,-8.92817712184339e-001

3.43426174575100e+004,-3.73464166546088e+001,-9.05267594300877e-001

3.48220225318448e+004,-3.73464463820269e+001,-9.17890710395048e-001

3.53081198516260e+004,-3.73464769325187e+001,-9.30689455557572e-001

3.58010028371187e+004,-3.73465083285142e+001,-9.43666257374850e-001

3.63007662126863e+004,-3.73465405930349e+001,-9.56823576343277e-001

3.68075060249948e+004,-3.73465737497083e+001,-9.70163906289759e-001

3.73213196614721e+004,-3.73466078227821e+001,-9.83689774798739e-001

3.78423058690237e+004,-3.73466428371397e+001,-9.97403743641604e-001

3.83705647730104e+004,-3.73466788183156e+001,-1.01130840921082e+000

3.89061978964912e+004,-3.73467157925108e+001,-1.02540640296031e+000

3.94493081797342e+004,-3.73467537866090e+001,-1.03970039184780e+000

3.99999999999998e+004,-3.73467928281924e+001,-1.05419307878436e+000

4.05583791916010e+004,-3.73468329455593e+001,-1.06888720308458e+000

4.11245530662425e+004,-3.73468741677396e+001,-1.08378554092730e+000

4.16986304336447e+004,-3.73469165245132e+001,-1.09889090581463e+000

4.22807216224550e+004,-3.73469600464267e+001,-1.11420614904063e+000

4.28709385014515e+004,-3.73470047648115e+001,-1.12973416016100e+000

4.34693945010421e+004,-3.73470507118020e+001,-1.14547786746960e+000

4.40762046350642e+004,-3.73470979203538e+001,-1.16144023847816e+000

4.46914855228886e+004,-3.73471464242622e+001,-1.17762428040308e+000

4.53153554118317e+004,-3.73471962581819e+001,-1.19403304065219e+000

4.59479341998812e+004,-3.73472474576456e+001,-1.21066960732230e+000

4.65893434587380e+004,-3.73473000590838e+001,-1.22753710969661e+000

4.72397064571810e+004,-3.73473540998448e+001,-1.24463871874827e+000

4.78991481847569e+004,-3.73474096182150e+001,-1.26197764764953e+000

4.85677953758016e+004,-3.73474666534390e+001,-1.27955715228531e+000

4.92457765337964e+004,-3.73475252457403e+001,-1.29738053177041e+000

4.99332219560642e+004,-3.73475854363428e+001,-1.31545112897222e+000

5.06302637588109e+004,-3.73476472674918e+001,-1.33377233103832e+000

5.13370359025159e+004,-3.73477107824752e+001,-1.35234756992976e+000

5.20536742176771e+004,-3.73477760256457e+001,-1.37118032295572e+000

5.27803164309155e+004,-3.73478430424429e+001,-1.39027411331798e+000

5.35171021914442e+004,-3.73479118794148e+001,-1.40963251065549e+000

5.42641730979066e+004,-3.73479825842414e+001,-1.42925913159745e+000

5.50216727255895e+004,-3.73480552057561e+001,-1.44915764031848e+000

5.57897466540159e+004,-3.73481297939699e+001,-1.46933174910061e+000

5.65685424949235e+004,-3.73482064000931e+001,-1.48978521889924e+000

5.73582099206328e+004,-3.73482850765594e+001,-1.51052185991522e+000

5.81589006928121e+004,-3.73483658770493e+001,-1.53154553216935e+000

5.89707686916437e+004,-3.73484488565128e+001,-1.55286014608523e+000

5.97939699453972e+004,-3.73485340711938e+001,-1.57446966307524e+000

6.06286626604156e+004,-3.73486215786536e+001,-1.59637809613151e+000

6.14750072515201e+004,-3.73487114377942e+001,-1.61858951042357e+000

6.23331663728396e+004,-3.73488037088830e+001,-1.64110802389980e+000

6.32033049490698e+004,-3.73488984535758e+001,-1.66393780789538e+000

6.40855902071694e+004,-3.73489957349413e+001,-1.68708308774418e+000

6.49801917084985e+004,-3.73490956174847e+001,-1.71054814339866e+000

6.58872813814055e+004,-3.73491981671714e+001,-1.73433731005291e+000

6.68070335542691e+004,-3.73493034514512e+001,-1.75845497877224e+000

6.77396249890018e+004,-3.73494115392812e+001,-1.78290559713014e+000

6.86852349150199e+004,-3.73495225011501e+001,-1.80769366984844e+000

6.96440450636895e+004,-3.73496364091012e+001,-1.83282375944575e+000

7.06162397032520e+004,-3.73497533367553e+001,-1.85830048689205e+000

7.16020056742374e+004,-3.73498733593344e+001,-1.88412853226866e+000

7.26015324253724e+004,-3.73499965536835e+001,-1.91031263543606e+000

7.36150120499896e+004,-3.73501229982936e+001,-1.93685759670700e+000

7.46426393229441e+004,-3.73502527733234e+001,-1.96376827752922e+000

7.56846117380472e+004,-3.73503859606214e+001,-1.99104960117249e+000

7.67411295460207e+004,-3.73505226437466e+001,-2.01870655342645e+000

7.78123957929823e+004,-3.73506629079898e+001,-2.04674418330297e+000

7.88986163594682e+004,-3.73508068403937e+001,-2.07516760374943e+000

7.99999999999995e+004,-3.73509545297728e+001,-2.10398199236918e+000

8.11167583832018e+004,-3.73511060667323e+001,-2.13319259215132e+000

8.22491061324848e+004,-3.73512615436874e+001,-2.16280471220918e+000

8.33972608672892e+004,-3.73514210548803e+001,-2.19282372852932e+000

8.45614432449099e+004,-3.73515846963985e+001,-2.22325508472886e+000

8.57418770029029e+004,-3.73517525661904e+001,-2.25410429282663e+000

8.69387890020841e+004,-3.73519247640813e+001,-2.28537693402125e+000

8.81524092701283e+004,-3.73521013917886e+001,-2.31707865948436e+000

8.93829710457770e+004,-3.73522825529353e+001,-2.34921519116276e+000

9.06307108236633e+004,-3.73524683530635e+001,-2.38179232259681e+000

9.18958683997622e+004,-3.73526588996463e+001,-2.41481591974893e+000

9.31786869174758e+004,-3.73528543020991e+001,-2.44829192184739e+000

9.44794129143618e+004,-3.73530546717896e+001,-2.48222634224581e+000

9.57982963695136e+004,-3.73532601220470e+001,-2.51662526929633e+000

