Freq.,VOut,OutRef

1.00000000000000e+004,-1.04457618282042e+001,-4.15427149305785e-002

1.01395947979003e+004,-1.04457660107188e+001,-4.21217469032700e-002

1.02811382665607e+004,-1.04457703105761e+001,-4.27088244275719e-002

1.04246576084112e+004,-1.04457747310611e+001,-4.33040582300443e-002

1.05701804056138e+004,-1.04457792755509e+001,-4.39075605117017e-002

1.07177346253629e+004,-1.04457839475156e+001,-4.45194449779928e-002

1.08673486252606e+004,-1.04457887505228e+001,-4.51398268423961e-002

1.10190511587661e+004,-1.04457936882392e+001,-4.57688228539368e-002

1.11728713807222e+004,-1.04457987644337e+001,-4.64065513096825e-002

1.13288388529580e+004,-1.04458039829800e+001,-4.70531320790264e-002

1.14869835499703e+004,-1.04458093478604e+001,-4.77086866099994e-002

1.16473358646846e+004,-1.04458148631668e+001,-4.83733379677235e-002

1.18099266142953e+004,-1.04458205331054e+001,-4.90472108369322e-002

1.19747870461893e+004,-1.04458263619994e+001,-4.97304315448541e-002

1.21419488439505e+004,-1.04458323542918e+001,-5.04231280851282e-002

1.23114441334492e+004,-1.04458385145504e+001,-5.11254301217417e-002

1.24833054890161e+004,-1.04458448474682e+001,-5.18374690303945e-002

1.26575659397028e+004,-1.04458513578685e+001,-5.25593779072220e-002

1.28342589756290e+004,-1.04458580507105e+001,-5.32912915724415e-002

1.30134185544193e+004,-1.04458649310893e+001,-5.40333466150421e-002

1.31950791077289e+004,-1.04458720042412e+001,-5.47856814019278e-002

1.33792755478611e+004,-1.04458792755487e+001,-5.55484360899155e-002

1.35660432744767e+004,-1.04458867505431e+001,-5.63217526543625e-002

1.37554181813974e+004,-1.04458944349092e+001,-5.71057749032893e-002

1.39474366635040e+004,-1.04459023344879e+001,-5.79006485081650e-002

1.41421356237309e+004,-1.04459104552834e+001,-5.87065210046357e-002

1.43395524801583e+004,-1.04459188034658e+001,-5.95235418226719e-002

1.45397251732031e+004,-1.04459273853752e+001,-6.03518623094264e-002

1.47426921729110e+004,-1.04459362075273e+001,-6.11916357435197e-002

1.49484924863494e+004,-1.04459452766179e+001,-6.20430173527920e-002

1.51571656651040e+004,-1.04459545995274e+001,-6.29061643404458e-002

1.53687518128801e+004,-1.04459641833265e+001,-6.37812358966408e-002

1.55832915932100e+004,-1.04459740352816e+001,-6.46683932184158e-002

1.58008262372675e+004,-1.04459841628575e+001,-6.55677995431896e-002

1.60213975517924e+004,-1.04459945737267e+001,-6.64796201443992e-002

1.62450479271247e+004,-1.04460052757727e+001,-6.74040223642573e-002

1.64718203453514e+004,-1.04460162770952e+001,-6.83411756369858e-002

1.67017583885674e+004,-1.04460275860174e+001,-6.92912514951071e-002

1.69349062472505e+004,-1.04460392110908e+001,-7.02544235998938e-002

1.71713087287550e+004,-1.04460511611027e+001,-7.12308677465793e-002

1.74110112659224e+004,-1.04460634450812e+001,-7.22207618932612e-002

1.76540599258131e+004,-1.04460760723021e+001,-7.32242861763926e-002

1.79005014185594e+004,-1.04460890522957e+001,-7.42416229257977e-002

1.81503831063432e+004,-1.04461023948531e+001,-7.52729566850402e-002

1.84037530124975e+004,-1.04461161100341e+001,-7.63184742233677e-002

1.86606598307361e+004,-1.04461302081741e+001,-7.73783645542445e-002

1.89211529345119e+004,-1.04461446998900e+001,-7.84528189589262e-002

1.91852823865052e+004,-1.04461595960886e+001,-7.95420309984805e-002

1.94530989482457e+004,-1.04461749079761e+001,-8.06461965172303e-002

1.97246540898671e+004,-1.04461906470627e+001,-8.17655136765671e-002

1.99999999999999e+004,-1.04462068251729e+001,-8.29001829584532e-002

2.02791895958005e+004,-1.04462234544540e+001,-8.40504071763294e-002

2.05622765331213e+004,-1.04462405473817e+001,-8.52163915080650e-002

2.08493152168224e+004,-1.04462581167721e+001,-8.63983434836252e-002

2.11403608112276e+004,-1.04462761757897e+001,-8.75964730094000e-002

