Freq.,VOut,OutRef

1.00000000000000e+004,-3.10429780149924e+000,-5.90544684143288e-002

1.01395947979003e+004,-3.10429783911091e+000,-5.98788248934645e-002

1.02811382665607e+004,-3.10429787777640e+000,-6.07146884005375e-002

1.04246576084112e+004,-3.10429791752490e+000,-6.15622195462542e-002

1.05701804056138e+004,-3.10429795838700e+000,-6.24215811771486e-002

1.07177346253629e+004,-3.10429800039334e+000,-6.32929384178581e-002

1.08673486252606e+004,-3.10429804357624e+000,-6.41764586919947e-002

1.10190511587661e+004,-3.10429808796832e+000,-6.50723117618382e-002

1.11728713807222e+004,-3.10429813360350e+000,-6.59806697567583e-002

1.13288388529580e+004,-3.10429818051606e+000,-6.69017072109641e-002

1.14869835499703e+004,-3.10429822874184e+000,-6.78356010898909e-002

1.16473358646846e+004,-3.10429827831776e+000,-6.87825308277814e-002

1.18099266142953e+004,-3.10429832928078e+000,-6.97426783678863e-002

1.19747870461893e+004,-3.10429838166979e+000,-7.07162281866958e-002

1.21419488439505e+004,-3.10429843552471e+000,-7.17033673343522e-002

1.23114441334492e+004,-3.10429849088623e+000,-7.27042854725358e-002

1.24833054890161e+004,-3.10429854779636e+000,-7.37191749076960e-002

1.26575659397028e+004,-3.10429860629797e+000,-7.47482306310634e-002

1.28342589756290e+004,-3.10429866643532e+000,-7.57916503525885e-002

1.30134185544193e+004,-3.10429872825421e+000,-7.68496345383852e-002

1.31950791077289e+004,-3.10429879180109e+000,-7.79223864548441e-002

1.33792755478611e+004,-3.10429885712406e+000,-7.90101122009792e-002

1.35660432744767e+004,-3.10429892427245e+000,-8.01130207524193e-002

1.37554181813974e+004,-3.10429899329715e+000,-8.12313239974588e-002

1.39474366635040e+004,-3.10429906424993e+000,-8.23652367834797e-002

1.41421356237309e+004,-3.10429913718450e+000,-8.35149769515794e-002

1.43395524801583e+004,-3.10429921215573e+000,-8.46807653829337e-002

1.45397251732031e+004,-3.10429928922021e+000,-8.58628260387240e-002

1.47426921729110e+004,-3.10429936843573e+000,-8.70613860051911e-002

1.49484924863494e+004,-3.10429944986206e+000,-8.82766755340452e-002

1.51571656651040e+004,-3.10429953356065e+000,-8.95089280872546e-002

1.53687518128801e+004,-3.10429961959408e+000,-9.07583803868615e-002

1.55832915932100e+004,-3.10429970802694e+000,-9.20252724533959e-002

1.58008262372675e+004,-3.10429979892589e+000,-9.33098476539481e-002

1.60213975517924e+004,-3.10429989235879e+000,-9.46123527521474e-002

1.62450479271247e+004,-3.10429998839596e+000,-9.59330379494262e-002

1.64718203453514e+004,-3.10430008710899e+000,-9.72721569401032e-002

1.67017583885674e+004,-3.10430018857212e+000,-9.86299669513452e-002

1.69349062472505e+004,-3.10430029286092e+000,-1.00006728801661e-001

1.71713087287550e+004,-3.10430040005344e+000,-1.01402706943065e-001

1.74110112659224e+004,-3.10430051022992e+000,-1.02818169514843e-001

1.76540599258131e+004,-3.10430062347225e+000,-1.04253388397279e-001

1.79005014185594e+004,-3.10430073986486e+000,-1.05708639259756e-001

1.81503831063432e+004,-3.10430085949452e+000,-1.07184201614123e-001

1.84037530124975e+004,-3.10430098245022e+000,-1.08680358869537e-001

1.86606598307361e+004,-3.10430110882342e+000,-1.10197398385747e-001

1.89211529345119e+004,-3.10430123870787e+000,-1.11735611528992e-001

1.91852823865052e+004,-3.10430137220001e+000,-1.13295293726262e-001

1.94530989482457e+004,-3.10430150939878e+000,-1.14876744522529e-001

1.97246540898671e+004,-3.10430165040562e+000,-1.16480267638852e-001

1.99999999999999e+004,-3.10430179532488e+000,-1.18106171028245e-001

2.02791895958005e+004,-3.10430194426377e+000,-1.19754766935336e-001

2.05622765331213e+004,-3.10430209733190e+000,-1.21426371959073e-001

2.08493152168224e+004,-3.10430225464236e+000,-1.23121307106483e-001

2.11403608112276e+004,-3.10430241631072e+000,-1.24839897861900e-001

2.14354692507258e+004,-3.10430258245613e+000,-1.26582474241155e-001

2.17346972505211e+004,-3.10430275320031e+000,-1.28349370862319e-001

2.20381023175322e+004,-3.10430292866850e+000,-1.30140927003960e-001

2.23457427614443e+004,-3.10430310898948e+000,-1.31957486670094e-001

2.26576777059159e+004,-3.10430329429479e+000,-1.33799398660617e-001

2.29739670999406e+004,-3.10430348471989e+000,-1.35667016632299e-001

2.32946717293690e+004,-3.10430368040376e+000,-1.37560699168300e-001

2.36198532285905e+004,-3.10430388148850e+000,-1.39480809849526e-001

2.39495740923785e+004,-3.10430408812073e+000,-1.41427717316665e-001

2.42838976879009e+004,-3.10430430045011e+000,-1.43401795348501e-001

2.46228882668982e+004,-3.10430451863064e+000,-1.45403422927554e-001

2.49666109780322e+004,-3.10430474282014e+000,-1.47432984314149e-001

2.53151318794055e+004,-3.10430497318026e+000,-1.49490869121863e-001

2.56685179512580e+004,-3.10430520987718e+000,-1.51577472386441e-001

2.60268371088386e+004,-3.10430545308117e+000,-1.53693194644993e-001

2.63901582154578e+004,-3.10430570296701e+000,-1.55838442010086e-001

2.67585510957221e+004,-3.10430595971342e+000,-1.58013626251589e-001

2.71320865489533e+004,-3.10430622350431e+000,-1.60219164866384e-001

2.75108363627948e+004,-3.10430649452776e+000,-1.62455481166988e-001

2.78948733270080e+004,-3.10430677297683e+000,-1.64723004354982e-001

2.82842712474618e+004,-3.10430705904928e+000,-1.67022169606886e-001

2.86791049603164e+004,-3.10430735294803e+000,-1.69353418154206e-001

2.90794503464061e+004,-3.10430765488076e+000,-1.71717197369268e-001

2.94853843458219e+004,-3.10430796506051e+000,-1.74113960848701e-001

2.98969849726987e+004,-3.10430828370568e+000,-1.76544168498936e-001

3.03143313302078e+004,-3.10430861103979e+000,-1.79008286626191e-001

3.07375036257601e+004,-3.10430894729193e+000,-1.81506788022576e-001

3.11665831864199e+004,-3.10430929269690e+000,-1.84040152055942e-001

3.16016524745350e+004,-3.10430964749520e+000,-1.86608864760318e-001

3.20427951035848e+004,-3.10431001193291e+000,-1.89213418931162e-001

3.24900958542493e+004,-3.10431038626237e+000,-1.91854314213851e-001

3.29436406907028e+004,-3.10431077074161e+000,-1.94532057202833e-001

3.34035167771346e+004,-3.10431116563528e+000,-1.97247161532864e-001

3.38698124945009e+004,-3.10431157121385e+000,-2.00000147980994e-001

3.43426174575100e+004,-3.10431198775432e+000,-2.02791544562229e-001

3.48220225318448e+004,-3.10431241554039e+000,-2.05621886628149e-001

3.53081198516260e+004,-3.10431285486189e+000,-2.08491716972901e-001

3.58010028371187e+004,-3.10431330601580e+000,-2.11401585930197e-001

3.63007662126863e+004,-3.10431376930569e+000,-2.14352051480772e-001

3.68075060249948e+004,-3.10431424504220e+000,-2.17343679355591e-001

3.73213196614721e+004,-3.10431473354310e+000,-2.20377043143156e-001

3.78423058690237e+004,-3.10431523513280e+000,-2.23452724401239e-001

3.83705647730104e+004,-3.10431575014359e+000,-2.26571312759381e-001

3.89061978964912e+004,-3.10431627891464e+000,-2.29733406036460e-001

3.94493081797342e+004,-3.10431682179283e+000,-2.32939610349314e-001

3.99999999999998e+004,-3.10431737913257e+000,-2.36190540228766e-001

4.05583791916010e+004,-3.10431795129563e+000,-2.39486818735587e-001

4.11245530662425e+004,-3.10431853865208e+000,-2.42829077574205e-001

4.16986304336447e+004,-3.10431914157910e+000,-2.46217957217493e-001

4.22807216224550e+004,-3.10431976046228e+000,-2.49654107021036e-001

4.28709385014515e+004,-3.10432039569481e+000,-2.53138185349735e-001

4.34693945010421e+004,-3.10432104767834e+000,-2.56670859696756e-001

4.40762046350642e+004,-3.10432171682227e+000,-2.60252806813705e-001

4.46914855228886e+004,-3.10432240354423e+000,-2.63884712834557e-001

4.53153554118317e+004,-3.10432310827034e+000,-2.67567273403019e-001

4.59479341998812e+004,-3.10432383143438e+000,-2.71301193808445e-001

4.65893434587380e+004,-3.10432457347918e+000,-2.75087189109451e-001

4.72397064571810e+004,-3.10432533485506e+000,-2.78925984277483e-001

4.78991481847569e+004,-3.10432611602155e+000,-2.82818314321744e-001

4.85677953758016e+004,-3.10432691744564e+000,-2.86764924437735e-001

4.92457765337964e+004,-3.10432773960330e+000,-2.90766570136711e-001

4.99332219560642e+004,-3.10432858297871e+000,-2.94824017391610e-001

5.06302637588109e+004,-3.10432944806390e+000,-2.98938042781918e-001

5.13370359025159e+004,-3.10433033535958e+000,-3.03109433633257e-001

5.20536742176771e+004,-3.10433124537438e+000,-3.07338988168354e-001

5.27803164309155e+004,-3.10433217862528e+000,-3.11627515652719e-001

5.35171021914442e+004,-3.10433313563693e+000,-3.15975836549259e-001

5.42641730979066e+004,-3.10433411694225e+000,-3.20384782665512e-001

5.50216727255895e+004,-3.10433512308153e+000,-3.24855197314927e-001

5.57897466540159e+004,-3.10433615460285e+000,-3.29387935468352e-001

5.65685424949235e+004,-3.10433721206181e+000,-3.33983863914744e-001

5.73582099206328e+004,-3.10433829602092e+000,-3.38643861423976e-001

5.81589006928121e+004,-3.10433940705018e+000,-3.43368818905180e-001

