Freq.,VOut,OutRef

1.00000000000000e+004,-2.73294813662143e+001,-5.51692418717378e-001

1.01395947979003e+004,-2.73294887843346e+001,-5.59392911300527e-001

1.02811382665607e+004,-2.73294964107942e+001,-5.67200862848388e-001

1.04246576084112e+004,-2.73295042514382e+001,-5.75117771910012e-001

1.05701804056138e+004,-2.73295123122755e+001,-5.83145157890207e-001

1.07177346253629e+004,-2.73295205994828e+001,-5.91284561336519e-001

1.08673486252606e+004,-2.73295291194102e+001,-5.99537544230557e-001

1.10190511587661e+004,-2.73295378785851e+001,-6.07905690287494e-001

1.11728713807222e+004,-2.73295468837178e+001,-6.16390605252818e-001

1.13288388529580e+004,-2.73295561417062e+001,-6.24993917208412e-001

1.14869835499703e+004,-2.73295656596414e+001,-6.33717276881841e-001

1.16473358646846e+004,-2.73295754448124e+001,-6.42562357957238e-001

1.18099266142953e+004,-2.73295855047126e+001,-6.51530857392306e-001

1.19747870461893e+004,-2.73295958470445e+001,-6.60624495741497e-001

1.21419488439505e+004,-2.73296064797260e+001,-6.69845017478983e-001

1.23114441334492e+004,-2.73296174108968e+001,-6.79194191328886e-001

1.24833054890161e+004,-2.73296286489235e+001,-6.88673810602340e-001

1.26575659397028e+004,-2.73296402024068e+001,-6.98285693531324e-001

1.28342589756290e+004,-2.73296520801878e+001,-7.08031683616226e-001

1.30134185544193e+004,-2.73296642913542e+001,-7.17913649972184e-001

1.31950791077289e+004,-2.73296768452480e+001,-7.27933487680644e-001

1.33792755478611e+004,-2.73296897514718e+001,-7.38093118148488e-001

1.35660432744767e+004,-2.73297030198964e+001,-7.48394489468304e-001

1.37554181813974e+004,-2.73297166606681e+001,-7.58839576786879e-001

1.39474366635040e+004,-2.73297306842163e+001,-7.69430382674729e-001

1.41421356237309e+004,-2.73297451012616e+001,-7.80168937505803e-001

1.43395524801583e+004,-2.73297599228236e+001,-7.91057299835502e-001

1.45397251732031e+004,-2.73297751602291e+001,-8.02097556791543e-001

1.47426921729110e+004,-2.73297908251211e+001,-8.13291824461584e-001

1.49484924863494e+004,-2.73298069294670e+001,-8.24642248292920e-001

1.51571656651040e+004,-2.73298234855675e+001,-8.36151003494856e-001

1.53687518128801e+004,-2.73298405060666e+001,-8.47820295444626e-001

1.55832915932100e+004,-2.73298580039600e+001,-8.59652360101730e-001

1.58008262372675e+004,-2.73298759926059e+001,-8.71649464424974e-001

1.60213975517924e+004,-2.73298944857340e+001,-8.83813906798104e-001

1.62450479271247e+004,-2.73299134974566e+001,-8.96148017456568e-001

1.64718203453514e+004,-2.73299330422781e+001,-9.08654158926354e-001

1.67017583885674e+004,-2.73299531351072e+001,-9.21334726460151e-001

1.69349062472505e+004,-2.73299737912668e+001,-9.34192148487171e-001

1.71713087287550e+004,-2.73299950265059e+001,-9.47228887064589e-001

1.74110112659224e+004,-2.73300168570113e+001,-9.60447438333427e-001

1.76540599258131e+004,-2.73300392994196e+001,-9.73850332985998e-001

1.79005014185594e+004,-2.73300623708295e+001,-9.87440136732811e-001

1.81503831063432e+004,-2.73300860888146e+001,-1.00121945078120e+000

1.84037530124975e+004,-2.73301104714362e+001,-1.01519091231454e+000

1.86606598307361e+004,-2.73301355372569e+001,-1.02935719498393e+000

1.89211529345119e+004,-2.73301613053541e+001,-1.04372100939943e+000

1.91852823865052e+004,-2.73301877953344e+001,-1.05828510363340e+000

1.94530989482457e+004,-2.73302150273475e+001,-1.07305226372655e+000

1.97246540898671e+004,-2.73302430221017e+001,-1.08802531420209e+000

1.99999999999999e+004,-2.73302718008787e+001,-1.10320711858482e+000

2.02791895958005e+004,-2.73303013855495e+001,-1.11860057993024e+000

2.05622765331213e+004,-2.73303317985899e+001,-1.13420864135541e+000

2.08493152168224e+004,-2.73303630630981e+001,-1.15003428657962e+000

2.11403608112276e+004,-2.73303952028101e+001,-1.16608054047284e+000

2.14354692507258e+004,-2.73304282421185e+001,-1.18235046960661e+000

2.17346972505211e+004,-2.73304622060891e+001,-1.19884718281790e+000

2.20381023175322e+004,-2.73304971204801e+001,-1.21557383177307e+000

2.23457427614443e+004,-2.73305330117603e+001,-1.23253361154449e+000

2.26576777059159e+004,-2.73305699071284e+001,-1.24972976119178e+000

2.29739670999406e+004,-2.73306078345329e+001,-1.26716556435016e+000

2.32946717293690e+004,-2.73306468226923e+001,-1.28484434982648e+000

2.36198532285905e+004,-2.73306869011155e+001,-1.30276949220234e+000

2.39495740923785e+004,-2.73307281001239e+001,-1.32094441244342e+000

2.42838976879009e+004,-2.73307704508722e+001,-1.33937257852001e+000

2.46228882668982e+004,-2.73308139853719e+001,-1.35805750602879e+000

2.49666109780322e+004,-2.73308587365132e+001,-1.37700275882826e+000

2.53151318794055e+004,-2.73309047380893e+001,-1.39621194967776e+000

2.56685179512580e+004,-2.73309520248205e+001,-1.41568874088498e+000

2.60268371088386e+004,-2.73310006323786e+001,-1.43543684496299e+000

2.63901582154578e+004,-2.73310505974125e+001,-1.45546002529086e+000

2.67585510957221e+004,-2.73311019575743e+001,-1.47576209678808e+000

2.71320865489533e+004,-2.73311547515460e+001,-1.49634692658965e+000

2.75108363627948e+004,-2.73312090190665e+001,-1.51721843473608e+000

2.78948733270080e+004,-2.73312648009603e+001,-1.53838059486530e+000

2.82842712474618e+004,-2.73313221391656e+001,-1.55983743491641e+000

2.86791049603164e+004,-2.73313810767640e+001,-1.58159303784085e+000

2.90794503464061e+004,-2.73314416580107e+001,-1.60365154231889e+000

2.94853843458219e+004,-2.73315039283653e+001,-1.62601714348879e+000

